,CCAA,SEXO,EDAD,NACIO,ECIVIL,ESTUDIO,D_1,VISI_2_1,MOVI_21_1,MOVI_22_1,MOVI_25_1
380,15,2,1,3,5,5,1,2,1,1,2
381,4,1,2,3,5,5,5,2,1,2,2
382,3,1,3,3,3,1,1,2,2,1,1
383,17,1,2,3,2,1,5,2,1,2,1
384,13,2,2,3,2,5,1,2,1,2,2
385,15,2,2,3,5,1,1,1,2,1,2
386,14,1,1,3,3,3,1,2,2,2,2
387,19,1,1,3,2,5,5,2,2,1,1
388,8,2,5,1,4,1,5,2,1,2,2
389,13,1,3,1,2,3,1,1,1,1,2
390,17,1,2,3,3,1,5,1,2,1,2
391,17,1,1,3,2,1,1,2,2,1,1
392,17,1,1,1,5,5,1,2,1,1,2
393,14,1,6,3,3,5,1,1,2,2,2
394,17,2,1,3,1,5,1,1,2,1,2
395,4,1,1,3,5,5,1,1,2,2,2
396,15,2,2,3,2,3,1,2,2,1,1
397,14,1,2,3,5,5,1,1,2,1,1
398,14,1,2,3,5,2,1,2,1,2,2
399,3,1,4,3,5,1,1,1,2,1,2
400,1,1,2,1,5,7,1,1,1,2,1
401,4,1,2,1,3,5,1,2,2,2,1
402,17,1,1,3,5,7,5,2,1,2,1
403,15,1,3,3,5,1,1,1,1,1,1
404,15,1,1,3,3,4,5,1,2,1,1
405,8,1,4,1,3,4,1,1,2,2,2
406,3,1,1,2,2,4,1,2,2,2,1
407,17,1,4,3,5,4,1,1,2,2,1
408,17,2,2,1,2,7,1,2,1,1,1
409,4,1,1,1,5,4,1,2,2,2,1
410,6,1,1,3,5,1,1,1,2,1,1
411,14,2,4,2,2,5,1,1,1,2,1
412,3,1,1,1,5,8,5,1,2,1,1
413,3,1,2,3,2,5,1,1,2,1,1
414,4,1,1,3,5,4,1,1,1,2,1
415,19,2,2,3,5,4,5,2,2,2,1
416,4,2,1,3,2,4,1,1,1,1,2
417,14,2,1,3,5,5,5,2,1,1,2
418,17,2,1,3,3,4,5,1,1,1,1
419,17,1,1,3,5,4,1,1,2,1,2
420,17,1,4,3,5,1,1,1,1,2,2
421,8,1,1,3,2,5,5,2,1,2,2
422,13,1,1,3,5,1,1,2,1,2,1
423,17,1,1,3,5,7,1,1,1,1,2
424,13,2,1,1,2,4,1,2,2,2,1
425,8,2,4,3,5,4,1,2,1,2,2
426,4,1,1,3,5,5,5,1,1,2,1
427,15,2,4,3,5,1,5,2,1,2,2
428,3,1,4,3,5,4,1,2,1,1,2
429,13,2,4,3,3,4,1,1,1,1,2
430,3,1,2,3,2,5,2,1,1,1,1
431,17,1,1,1,2,1,5,1,1,1,1
432,15,2,2,3,3,3,1,1,1,2,2
433,13,1,2,2,5,6,1,1,2,2,1
434,17,1,3,1,4,5,1,2,2,2,1
435,7,1,1,3,2,5,5,2,1,1,1
436,15,1,1,3,5,3,1,2,2,1,2
437,3,1,4,3,5,1,1,2,1,1,1
438,15,1,1,3,5,3,1,2,1,1,2
439,3,2,5,3,5,3,1,2,1,1,2
440,4,2,1,1,2,3,4,2,2,2,1
441,14,2,1,3,2,5,5,1,1,2,1
442,19,1,1,3,5,3,1,2,1,2,1
443,15,2,4,3,5,3,5,2,1,1,1
444,19,1,1,1,5,5,1,2,1,1,1
445,17,1,6,1,3,3,1,2,2,2,2
446,14,1,1,1,5,5,1,2,1,2,1
447,14,1,1,1,2,5,1,1,1,2,1
448,17,2,1,1,3,5,1,2,1,2,2
449,17,1,1,3,5,4,1,2,1,1,1
450,15,1,1,1,5,4,1,1,1,1,1
451,13,1,5,3,5,4,2,2,2,2,1
452,13,2,1,3,5,1,1,2,1,1,2
453,13,2,3,2,5,4,1,2,2,2,1
454,17,1,1,3,2,1,1,2,1,2,2
455,14,2,3,3,3,4,3,1,1,1,1
456,15,2,2,3,3,4,1,1,2,1,2
457,17,1,1,3,5,1,1,1,1,1,2
458,17,2,1,1,2,7,1,2,2,1,2
459,4,1,1,3,4,3,1,1,2,1,2
460,17,1,1,1,4,1,1,2,1,1,2
461,17,1,2,3,5,4,1,1,2,1,1
462,14,2,1,3,5,4,1,1,2,1,1
463,13,1,1,3,5,3,1,1,2,1,1
464,13,2,2,3,5,4,1,2,1,2,2
465,14,2,1,3,5,3,1,2,2,1,2
466,17,1,5,3,3,4,1,1,2,1,1
467,17,1,2,3,2,4,1,1,1,1,1
468,17,2,1,3,5,4,4,1,1,1,2
469,17,2,1,3,5,3,4,2,1,2,1
470,3,2,1,3,5,1,1,2,2,2,1
471,13,1,2,3,5,3,1,1,1,1,1
472,10,1,3,3,5,1,5,2,1,1,2
473,8,1,3,3,3,3,1,2,1,2,1
474,15,2,2,3,2,5,1,1,1,1,2
475,3,1,1,3,4,4,1,1,1,2,2
476,17,1,2,3,5,3,1,1,1,1,2
477,17,1,2,3,2,2,1,1,1,1,2
478,9,2,4,3,2,4,1,1,2,2,1
479,14,1,2,3,2,3,1,1,2,1,2
480,17,1,1,1,2,3,1,2,1,1,2
481,17,1,1,3,5,4,5,1,2,1,2
482,13,1,1,1,2,2,1,2,1,1,1
483,3,1,1,3,5,7,5,2,1,1,1
484,14,1,1,1,2,4,1,2,2,2,1
485,14,1,1,3,5,2,5,2,2,1,1
486,15,1,2,3,2,1,1,2,2,1,2
487,17,1,3,1,5,6,1,1,1,1,2
488,3,1,2,1,5,4,1,1,1,1,2
489,17,1,4,3,5,4,1,2,2,1,2
490,13,1,1,2,3,3,1,1,1,2,1
491,17,2,1,3,3,4,1,1,1,1,1
492,13,2,3,3,5,3,5,1,1,2,1
493,3,1,2,3,5,1,1,2,2,1,1
494,4,2,1,1,3,5,1,2,1,2,1
495,17,1,4,3,5,5,1,1,1,1,1
496,17,1,3,3,5,1,1,2,2,1,1
497,17,1,4,3,5,7,1,1,1,1,1
498,15,2,3,3,2,5,1,1,1,1,1
499,17,1,5,3,3,1,1,2,1,1,1
500,8,1,1,3,5,1,5,1,2,1,2
501,17,1,1,3,2,1,1,2,2,2,1
502,17,2,2,1,3,4,1,2,1,1,1
503,14,1,1,3,5,8,1,1,2,2,1
504,3,1,3,3,3,4,4,2,1,2,2
505,14,2,1,3,5,7,1,1,1,2,2
506,14,1,1,3,3,4,1,1,2,2,2
507,15,1,1,3,5,4,1,2,2,1,1
508,17,1,2,3,5,7,1,2,1,1,2
509,17,2,4,3,5,3,5,2,1,2,1
510,15,1,1,3,2,3,1,2,2,2,1
511,3,2,1,3,5,4,1,1,1,2,2
512,17,1,2,1,3,4,5,2,2,1,2
513,14,1,1,3,2,4,1,2,1,1,1
514,17,2,3,3,5,4,5,1,2,2,1
515,3,1,5,3,3,1,1,2,1,2,2
516,17,1,1,3,5,2,1,2,1,1,2
517,17,1,2,1,5,4,1,2,2,1,1
518,15,2,3,3,5,4,1,1,2,2,1
519,3,1,2,3,3,7,1,2,1,2,2
520,8,1,2,3,5,4,1,1,2,2,1
521,14,1,1,3,3,3,1,2,2,2,1
522,17,1,1,1,5,4,1,1,2,1,1
523,17,2,4,1,5,4,1,2,1,2,1
524,15,2,1,3,5,3,1,2,1,1,2
525,10,1,2,3,2,4,1,2,2,2,1
526,14,1,1,3,3,4,1,2,1,2,2
527,10,2,3,3,5,4,5,1,2,1,2
528,4,1,3,3,2,4,5,1,2,2,1
529,15,1,1,2,3,4,1,1,2,2,2
530,3,1,1,3,5,5,1,2,1,2,2
531,4,1,1,3,5,3,1,2,1,2,1
532,11,2,1,3,2,1,1,2,1,2,2
533,15,1,2,3,3,4,1,1,2,1,2
534,4,1,1,3,5,1,1,1,1,2,1
535,17,2,2,3,5,3,1,2,2,1,2
536,3,2,1,1,3,1,1,1,2,2,2
537,6,1,3,3,3,5,1,2,2,1,1
538,4,2,2,1,5,4,1,1,1,2,2
539,14,1,2,3,4,1,1,1,1,1,1
540,4,1,5,3,3,4,5,1,1,2,1
541,14,1,2,1,3,5,2,1,2,2,2
542,13,1,1,3,5,3,5,2,1,2,2
543,16,1,1,3,1,5,1,2,1,2,2
544,17,1,1,3,5,3,1,2,2,2,2
545,3,1,1,3,2,5,5,1,1,1,2
546,13,2,1,1,5,5,1,1,1,1,1
547,4,2,1,3,2,1,1,1,1,2,2
548,16,2,1,3,1,3,1,1,2,1,2
549,4,1,1,3,3,1,1,2,1,1,2
550,8,1,6,3,2,3,5,2,2,2,2
551,3,1,5,3,3,5,1,2,2,2,2
552,15,2,1,3,2,5,5,2,1,1,1
553,17,1,1,3,2,1,1,1,1,2,1
554,13,1,3,2,2,3,5,2,1,1,2
555,4,1,1,3,2,2,5,2,2,2,1
556,17,2,1,3,4,5,5,2,1,1,1
557,19,1,1,3,3,4,1,2,2,2,2
558,3,1,5,3,2,5,1,2,1,1,2
559,17,1,1,3,5,3,5,1,2,1,1
560,14,1,1,1,3,3,1,2,2,1,1
561,4,1,1,3,5,4,1,1,1,1,1
562,3,2,5,3,5,5,4,2,2,2,2
563,3,1,1,3,5,3,5,1,2,1,2
564,15,1,1,3,2,5,1,2,2,2,1
565,3,1,1,3,3,4,5,1,1,1,2
566,17,1,2,3,5,1,5,1,2,2,2
567,14,1,3,3,5,1,1,1,1,1,2
568,8,1,4,3,4,1,1,1,2,2,2
569,17,1,2,1,3,5,5,2,2,1,2
570,14,1,4,3,2,1,5,2,2,1,2
571,8,2,1,1,3,3,1,2,2,2,2
572,4,1,2,3,2,3,1,1,1,2,2
573,8,2,5,3,2,3,1,2,2,1,1
574,6,1,1,3,2,3,1,2,2,1,1
575,17,2,1,3,5,5,1,1,2,2,2
576,14,1,1,3,5,4,1,2,1,2,1
