AGEP,SEX,EDU,PINCP,OWN_RENT,HOUSING_TYPE,DENSITY
11,2,4,53,0,1,261.338623046875
9,1,2,16,2,1,238.34275817871094
5,1,5,11,2,2,137.25079345703125
13,2,2,60,0,1,230.33837890625
9,1,7,95,0,2,229.7490234375
14,2,1,44,0,1,153.78445434570312
8,1,7,15,0,1,203.6408233642578
14,1,1,23,0,0,236.86328125
8,2,4,29,0,1,208.69639587402344
7,2,4,9,0,0,208.48764038085938
9,2,1,11,2,0,67.93894958496094
12,1,2,37,0,0,204.74246215820312
0,1,2,23,0,2,147.5262451171875
13,1,3,35,2,1,149.274169921875
3,1,1,11,0,0,311.6037902832031
5,1,4,35,2,0,200.97483825683594
3,1,6,15,0,2,191.45668029785156
5,2,8,32,2,0,200.62911987304688
9,1,3,17,0,2,83.929443359375
6,1,1,23,2,1,207.22476196289062
13,2,2,30,2,2,100.012939453125
3,1,8,21,0,0,156.281494140625
6,2,3,22,0,1,108.23465728759766
6,2,6,92,0,0,241.28594970703125
15,1,1,14,0,1,213.56118774414062
4,1,3,26,0,0,165.98057556152344
1,1,6,14,0,1,189.88267517089844
7,1,6,15,0,1,311.2349853515625
2,1,5,33,2,0,205.43240356445312
8,2,1,49,0,1,145.80767822265625
0,1,2,21,2,0,154.54287719726562
6,2,7,44,0,0,225.04342651367188
5,2,2,34,0,1,273.70849609375
8,2,2,28,2,2,208.56594848632812
6,1,5,33,0,1,221.35482788085938
12,2,4,60,0,1,200.877685546875
4,2,5,32,0,2,164.4720458984375
10,1,1,19,0,1,151.1713104248047
2,1,4,59,0,2,257.826171875
14,2,2,60,2,2,230.2556610107422
1,2,6,20,0,0,237.2690887451172
9,2,6,84,0,2,208.1788787841797
10,1,5,129,2,0,170.6400146484375
8,1,4,41,0,1,137.17852783203125
0,1,5,39,0,1,150.94793701171875
8,2,4,46,2,0,117.51126861572266
5,2,3,54,0,0,221.6865997314453
8,1,4,20,2,1,240.19265747070312
2,1,1,7,0,2,121.97179412841797
0,1,4,34,2,1,140.5080108642578
6,1,7,79,0,1,159.58226013183594
7,1,7,57,0,0,282.78125
4,2,7,36,0,0,289.8343505859375
7,1,6,26,0,0,215.86312866210938
13,2,2,35,0,1,192.9334259033203
5,2,3,21,0,1,170.44500732421875
3,1,1,25,2,2,206.51930236816406
7,1,5,33,2,1,189.57725524902344
8,2,3,23,0,2,118.37568664550781
0,2,5,39,2,1,227.6855010986328
8,1,6,25,0,0,150.9754638671875
14,1,1,21,0,1,144.76815795898438
12,1,1,35,0,0,253.040283203125
14,2,2,72,2,2,221.156494140625
7,2,3,28,0,2,235.439453125
7,1,5,21,0,1,152.85940551757812
4,1,5,20,2,1,191.85511779785156
0,2,3,28,0,2,232.22613525390625
8,2,8,25,0,0,264.19952392578125
10,1,3,39,0,2,224.0174102783203
0,1,1,12,0,1,226.685302734375
14,1,2,11,0,1,202.70736694335938
0,2,7,14,2,2,213.03497314453125
9,1,4,12,0,0,294.95477294921875
7,1,8,39,0,1,199.44326782226562
15,2,1,27,2,1,164.505615234375
3,2,6,55,0,0,237.33680725097656
12,2,3,13,0,2,245.41513061523438
8,2,3,53,2,1,134.00570678710938
5,1,5,19,2,0,195.6455535888672
3,2,2,27,2,1,168.2864990234375
0,2,4,25,2,1,188.76913452148438
8,2,2,14,2,0,217.14718627929688
0,1,7,32,0,0,138.88479614257812
10,1,2,16,0,1,180.44371032714844
3,1,2,12,2,0,245.297119140625
5,2,3,24,0,0,234.6593017578125
9,1,3,42,2,2,310.53448486328125
0,1,8,51,0,1,193.96751403808594
1,1,5,24,2,0,284.6679382324219
2,1,4,15,2,0,195.83621215820312
9,1,4,28,0,1,190.99545288085938
8,2,5,92,0,0,141.3837127685547
11,1,1,26,0,1,180.2794952392578
6,2,8,64,0,0,179.84938049316406
10,1,5,20,0,0,189.89468383789062
0,2,4,22,2,2,162.19793701171875
7,2,4,31,2,0,188.041015625
0,1,8,28,0,0,242.37408447265625
0,1,2,16,2,1,226.83126831054688
7,1,4,40,0,0,155.9578399658203
5,1,4,18,0,2,174.20919799804688
10,1,4,20,2,0,229.1192169189453
13,2,1,31,0,1,92.80622863769531
3,1,7,39,2,0,253.78173828125
2,2,8,30,0,1,183.39329528808594
10,2,3,15,0,2,140.49652099609375
0,1,7,64,0,1,218.5404052734375
4,1,3,27,0,2,236.04010009765625
13,2,2,77,0,2,219.93954467773438
0,2,2,6,0,0,182.6782989501953
11,2,2,34,2,2,265.18035888671875
1,1,6,25,0,0,196.54959106445312
8,1,5,10,2,2,208.9920196533203
13,2,3,59,2,0,202.65943908691406
15,2,1,42,2,0,298.9587097167969
1,1,4,20,0,1,211.897705078125
5,1,1,16,0,0,172.1526641845703
3,1,4,13,0,1,249.0341796875
12,2,3,25,2,2,190.39767456054688
1,2,4,29,0,0,240.06607055664062
0,2,5,15,2,0,183.65203857421875
6,1,7,39,2,1,179.2969970703125
6,2,6,22,0,2,137.35818481445312
0,2,8,9,0,2,181.97653198242188
1,1,5,27,0,2,231.094482421875
2,2,4,19,2,0,149.50265502929688
11,2,4,26,0,0,240.61294555664062
5,1,5,36,0,1,251.02362060546875
8,2,5,36,2,0,250.8764190673828
14,1,2,28,2,1,205.64337158203125
8,2,6,32,0,0,252.03050231933594
4,1,1,11,0,1,259.5234375
12,1,3,45,0,2,148.43357849121094
6,2,1,20,0,0,218.7589874267578
4,1,1,20,2,0,230.95909118652344
0,1,8,40,0,2,239.13626098632812
15,1,1,37,0,1,166.76345825195312
9,1,3,33,0,2,167.68629455566406
4,2,3,20,0,1,193.2698516845703
2,1,1,21,0,0,184.8696746826172
5,1,4,20,0,1,195.97085571289062
0,2,6,27,0,2,184.76034545898438
0,1,6,16,0,0,237.2825164794922
7,2,5,36,0,0,245.66952514648438
0,1,6,25,2,2,209.89146423339844
9,1,6,46,0,2,227.81527709960938
9,1,7,29,0,0,226.47865295410156
10,2,6,29,0,2,120.70608520507812
0,2,3,13,0,0,204.0869903564453
8,2,5,35,0,1,194.1278533935547
6,1,1,13,0,2,232.38970947265625
9,1,4,10,0,1,167.13778686523438
6,2,8,57,0,1,121.53622436523438
7,2,7,14,0,0,216.04075622558594
8,1,3,26,0,0,177.79922485351562
11,2,1,12,2,1,268.361572265625
4,1,7,54,0,2,305.75347900390625
3,1,5,23,0,0,204.28150939941406
11,2,1,62,2,1,186.21237182617188
6,1,5,24,2,0,324.734375
0,1,6,53,2,2,238.96246337890625
10,2,3,14,0,0,181.74307250976562
13,2,1,13,2,0,163.95089721679688
8,2,4,20,0,1,273.61041259765625
10,2,3,74,0,2,142.0384521484375
14,1,1,21,0,1,260.6888732910156
7,1,1,39,2,0,148.79315185546875
3,2,1,23,0,1,242.61322021484375
11,2,2,24,0,0,240.41201782226562
0,2,6,32,0,1,195.8140106201172
5,2,3,21,0,2,153.66030883789062
1,2,6,27,0,1,201.80650329589844
7,2,6,44,2,0,237.8955841064453
4,2,4,51,0,0,141.34144592285156
4,1,2,20,0,0,197.4499969482422
5,2,1,29,2,1,233.69032287597656
7,1,1,9,0,0,200.7003173828125
15,1,1,8,2,0,245.65982055664062
4,1,2,26,2,2,130.1756134033203
0,1,5,25,0,0,138.92637634277344
0,2,3,19,0,0,140.49169921875
9,2,6,27,0,0,248.3822479248047
13,2,1,35,0,2,171.24081420898438
11,2,1,17,2,1,198.88047790527344
0,2,5,26,0,0,234.80740356445312
11,2,2,54,0,0,296.41827392578125
15,2,1,40,2,0,247.61846923828125
12,1,2,22,0,1,227.4591522216797
11,2,3,15,0,0,177.83639526367188
13,1,1,18,0,0,196.7211456298828
3,1,5,34,0,0,222.59262084960938
2,2,1,17,0,0,260.08416748046875
11,2,4,34,2,1,178.91629028320312
9,1,1,15,2,1,207.5387420654297
12,2,3,21,0,1,190.44735717773438
8,2,1,14,2,0,252.005859375
6,1,8,60,0,0,141.92665100097656
9,1,5,26,0,1,153.49575805664062
2,1,4,34,2,0,209.2610321044922
1,1,2,17,0,0,140.48336791992188
4,1,7,11,2,0,122.3829116821289
14,2,2,24,0,0,247.89865112304688
8,1,4,25,0,0,183.97781372070312
0,2,7,11,0,0,247.72393798828125
10,2,5,64,2,2,211.56092834472656
13,1,3,20,2,0,204.7100830078125
1,1,7,14,0,0,165.56149291992188
8,1,8,61,2,1,186.45455932617188
9,1,7,36,2,0,70.26962280273438
0,2,1,22,0,1,177.5712890625
10,1,5,13,0,0,146.4899139404297
1,1,3,20,0,0,179.7275848388672
5,2,4,35,0,0,126.58035278320312
3,1,5,32,0,0,139.76937866210938
3,1,7,9,2,1,215.94935607910156
3,1,1,19,0,1,247.9656524658203
1,1,6,41,0,1,203.7022247314453
3,1,2,26,0,0,230.71792602539062
0,1,7,12,2,2,248.0707244873047
12,2,3,38,2,2,120.86793518066406
14,1,2,37,0,2,108.41939544677734
1,2,7,8,2,2,214.83074951171875
12,1,1,47,0,0,209.0513458251953
8,1,2,12,2,0,176.90982055664062
12,1,4,130,0,0,271.3897399902344
8,2,4,23,0,1,206.71713256835938
10,1,2,45,2,0,222.85867309570312
0,2,4,17,0,0,207.9881591796875
6,2,2,17,0,1,314.0921936035156
14,2,1,15,0,0,122.78543853759766
7,1,4,13,0,0,262.71966552734375
2,2,4,41,2,0,259.2769775390625
3,2,3,28,0,2,262.5426025390625
7,1,6,16,0,0,151.23448181152344
11,2,3,34,0,2,260.348388671875
13,2,1,39,2,0,191.2036895751953
10,1,5,90,0,0,213.72601318359375
0,2,8,57,0,1,207.46156311035156
15,1,1,13,2,0,189.0545196533203
8,1,1,13,0,1,150.25497436523438
4,1,5,10,0,2,282.3545837402344
10,2,6,27,0,0,237.79823303222656
0,1,1,6,0,0,205.77210998535156
6,2,8,79,2,2,184.1231689453125
8,1,5,43,2,0,213.6444549560547
13,1,2,27,2,0,281.2253723144531
14,1,1,30,0,2,182.5299530029297
1,2,1,15,0,2,131.09063720703125
10,1,4,9,0,1,260.5108642578125
11,1,1,21,2,2,148.92288208007812
1,2,1,23,2,0,243.9490509033203
0,2,6,20,2,1,231.3027801513672
5,1,7,41,0,0,213.07432556152344
8,1,6,37,0,0,213.0501251220703
7,1,8,37,0,0,159.97256469726562
10,2,3,35,0,0,205.49969482421875
0,1,3,33,0,0,176.98941040039062
5,2,7,43,2,2,150.80545043945312
8,2,7,12,0,2,172.99830627441406
9,2,3,40,2,1,250.49423217773438
6,2,3,37,0,1,116.12543487548828
9,2,6,53,0,1,156.78140258789062
11,1,3,45,0,0,252.42904663085938
11,2,2,20,2,1,39.42176818847656
11,2,1,26,2,0,270.76922607421875
15,2,1,25,0,1,144.89678955078125
11,2,3,50,0,2,239.4512481689453
12,2,3,16,0,0,142.39500427246094
14,2,2,38,2,0,199.10552978515625
9,1,5,35,2,2,124.48863983154297
10,2,1,13,2,1,183.2104034423828
11,1,5,76,2,0,218.25460815429688
0,1,7,20,0,0,178.9043426513672
10,1,3,10,0,0,190.32980346679688
9,1,2,17,0,0,276.1003723144531
3,1,1,14,2,0,167.87698364257812
0,1,1,9,0,0,266.9767150878906
0,2,1,16,0,0,84.72502136230469
0,1,5,40,0,1,189.37237548828125
6,2,3,33,0,1,171.779052734375
10,1,3,30,0,0,227.41375732421875
2,1,2,19,2,0,274.5268859863281
8,2,8,41,2,1,168.418701171875
0,1,6,13,2,0,300.5846252441406
9,1,7,58,2,0,269.3663330078125
12,2,1,37,0,0,266.6771545410156
5,1,1,16,0,0,155.5455780029297
0,2,3,15,0,1,172.73411560058594
4,2,4,19,0,2,151.83963012695312
0,2,6,32,2,2,203.3549346923828
13,2,2,38,2,0,267.61553955078125
9,1,6,53,2,0,222.46327209472656
9,2,7,48,0,0,169.81028747558594
7,1,3,36,2,0,176.92227172851562
5,2,3,17,0,0,195.99139404296875
12,1,2,30,2,1,282.08685302734375
10,2,6,28,0,0,228.57122802734375
12,2,3,31,0,0,176.30935668945312
14,1,1,36,0,2,226.34445190429688
0,1,7,7,2,1,246.68499755859375
4,1,2,32,0,1,205.91326904296875
0,2,7,24,2,1,99.46331024169922
7,1,4,9,2,1,237.28585815429688
1,1,7,42,0,0,118.00846099853516
10,1,4,43,0,1,140.23011779785156
1,1,6,60,2,0,218.5068359375
0,1,4,9,0,0,160.3611297607422
13,2,3,40,2,0,180.3773193359375
4,2,4,14,0,1,201.74510192871094
0,2,8,19,2,0,269.35693359375
12,1,3,12,0,0,145.2616729736328
12,2,1,23,2,0,215.83656311035156
8,2,4,44,2,0,152.65512084960938
0,2,3,28,0,0,209.1872100830078
3,1,6,13,2,0,220.37225341796875
6,1,3,26,2,1,194.71060180664062
9,2,3,54,0,1,179.87460327148438
11,2,4,30,2,1,160.11343383789062
8,2,5,26,2,0,165.6617889404297
12,2,1,37,2,1,236.8426513671875
0,2,8,29,0,0,139.3248291015625
6,2,2,17,2,0,261.37530517578125
12,1,3,15,2,1,252.8614044189453
10,1,4,23,0,0,169.14024353027344
12,1,2,23,0,1,152.7639923095703
5,1,3,27,0,0,171.59033203125
5,2,3,14,0,1,210.10658264160156
0,1,1,5,0,0,281.14208984375
10,1,4,121,2,1,177.7794952392578
10,2,4,9,0,0,183.65237426757812
0,2,4,15,0,1,186.80056762695312
0,1,7,21,2,1,148.74598693847656
3,2,5,11,0,0,204.3262481689453
0,1,6,15,2,0,235.697021484375
10,2,6,39,0,0,232.1131591796875
5,2,6,45,0,0,223.13516235351562
5,2,2,12,2,0,156.0848388671875
1,2,8,45,0,1,162.06520080566406
0,2,5,13,0,0,169.2677764892578
12,1,4,46,2,2,202.59829711914062
3,2,1,35,2,0,199.75233459472656
10,2,5,20,0,0,200.57614135742188
0,2,5,27,2,0,207.0004425048828
13,2,1,74,2,1,317.46649169921875
8,1,2,17,0,2,211.42227172851562
9,1,7,42,2,2,152.3003692626953
0,2,4,33,2,0,66.3544921875
15,1,1,33,0,1,211.98435974121094
14,2,2,39,2,0,164.6074676513672
8,1,6,57,0,0,240.85867309570312
8,2,3,24,0,2,112.8340835571289
0,1,7,59,2,2,188.8624267578125
4,2,2,32,2,0,234.278564453125
9,1,7,23,2,2,170.65744018554688
0,2,1,11,0,1,273.5391845703125
7,1,8,19,2,1,231.0843048095703
6,2,6,17,2,0,162.36044311523438
4,2,2,13,0,0,143.6886749267578
0,2,8,85,2,1,239.11534118652344
3,2,3,37,0,1,169.48959350585938
0,2,2,26,2,0,239.64703369140625
7,2,1,11,0,1,201.7429962158203
0,2,5,14,0,0,156.2769012451172
0,2,2,22,2,1,65.96676635742188
7,2,1,31,2,0,213.08139038085938
8,2,1,39,2,0,169.17945861816406
0,1,4,21,0,0,189.3856964111328
13,1,1,25,2,1,199.496337890625
5,1,2,15,2,1,253.22421264648438
10,1,4,19,2,0,240.03408813476562
14,1,1,10,0,2,132.9910125732422
5,1,5,16,0,1,183.76116943359375
0,1,5,42,0,0,241.39617919921875
10,2,5,35,2,0,251.33157348632812
11,2,3,26,0,0,275.64947509765625
4,2,3,8,2,2,238.73463439941406
0,1,6,45,0,0,202.71917724609375
14,2,1,62,0,1,279.1781005859375
4,2,5,21,2,1,253.58775329589844
3,2,6,22,0,0,210.57821655273438
15,1,1,48,2,1,287.42010498046875
1,2,4,38,0,0,169.08729553222656
0,1,4,36,0,1,197.0618438720703
2,1,1,13,0,0,222.0233154296875
7,2,1,15,0,0,197.01834106445312
3,2,5,13,0,0,272.3078918457031
4,1,7,33,0,0,171.61465454101562
10,2,3,35,2,2,222.09414672851562
8,2,2,91,2,0,104.94391632080078
4,2,7,22,0,0,192.6842498779297
4,2,2,10,2,2,243.47219848632812
12,1,2,37,2,0,200.9313507080078
11,1,2,66,0,1,178.89114379882812
9,1,7,32,0,0,183.62252807617188
10,1,5,25,0,0,159.3345947265625
0,1,4,9,2,0,170.44200134277344
11,1,5,21,0,1,243.91494750976562
10,2,6,34,2,0,153.52658081054688
8,2,4,33,0,0,203.79330444335938
7,1,7,89,2,0,181.39434814453125
0,1,1,8,0,0,228.7541961669922
3,1,6,8,0,1,379.4697265625
8,2,7,15,0,0,286.36761474609375
12,1,3,17,0,0,257.073974609375
0,2,4,12,2,0,205.43492126464844
0,1,2,19,0,0,195.52090454101562
4,2,8,15,2,0,223.28778076171875
7,1,5,24,0,0,249.0098114013672
0,2,6,26,0,1,211.4157257080078
9,2,2,57,0,0,256.46575927734375
0,2,2,10,0,2,220.8669891357422
8,1,2,14,2,2,199.2123260498047
5,1,1,19,2,2,166.9381103515625
11,2,2,19,0,0,291.05889892578125
7,2,3,18,0,0,184.10556030273438
14,2,2,15,0,1,231.9768829345703
9,2,4,39,2,1,149.06576538085938
10,1,6,139,0,2,212.04486083984375
8,2,1,33,0,2,222.93777465820312
7,1,5,18,0,0,144.73263549804688
6,1,3,26,0,2,179.646728515625
0,2,8,27,0,0,184.3082275390625
7,2,3,11,0,2,226.8314208984375
0,1,4,25,2,1,175.85360717773438
4,2,6,24,0,0,230.64581298828125
0,2,3,25,2,0,236.68557739257812
11,1,4,29,0,2,239.6268310546875
11,1,3,10,0,0,171.52439880371094
0,1,3,12,0,0,247.30056762695312
0,2,4,17,2,0,175.85983276367188
12,1,3,9,0,0,186.8203125
0,2,8,19,2,1,253.74261474609375
8,2,2,32,0,2,197.2567596435547
0,1,8,30,2,2,192.3981170654297
9,1,6,29,2,1,145.14976501464844
9,2,3,23,0,0,199.4344024658203
8,2,4,16,0,0,229.84188842773438
6,2,1,6,0,1,279.6311950683594
9,2,7,84,0,0,266.2827453613281
5,1,7,59,2,0,154.54833984375
11,2,3,32,0,0,182.1243896484375
4,2,8,42,0,1,203.33717346191406
8,2,3,23,2,0,199.5177459716797
13,2,2,16,0,1,234.09933471679688
0,2,4,7,0,0,203.17843627929688
3,1,4,21,0,1,103.85105895996094
6,1,1,13,0,0,185.92868041992188
7,2,6,33,2,0,201.77117919921875
7,2,2,18,2,0,94.69835662841797
10,2,6,48,0,1,309.69769287109375
7,2,8,95,0,1,132.67465209960938
4,1,2,11,0,0,182.52053833007812
7,1,5,55,2,1,258.18341064453125
0,2,8,17,0,0,199.2769012451172
12,2,1,40,2,1,182.7981719970703
9,1,4,28,0,1,180.64315795898438
0,1,6,17,0,1,217.33921813964844
11,2,2,28,0,1,190.44613647460938
11,2,4,73,0,1,177.25015258789062
5,2,4,17,2,1,172.8469696044922
5,1,7,24,0,1,223.8189697265625
2,2,6,116,0,0,222.28146362304688
