AGEP,SEX,MSP,EDU,HOUSING_TYPE,OWN_RENT,PINCP,DENSITY
92,1,3,5,1,0,138754,808.43115234375
82,1,1,2,2,1,137398,1129.4573974609375
68,1,1,4,1,0,110668,716.781982421875
19,1,2,7,1,0,74636,923.2971801757812
74,1,1,3,1,0,135625,721.11767578125
89,1,3,6,1,0,141505,241.306396484375
63,1,1,3,1,0,131355,546.1146240234375
62,1,0,4,1,0,144577,757.75439453125
73,1,5,2,2,1,122291,1223.193115234375
57,1,2,3,1,0,84812,633.3759155273438
88,1,1,4,1,0,164476,652.2625732421875
10,1,2,6,2,1,58710,723.0302734375
58,1,4,7,1,0,98567,886.350830078125
52,1,3,9,1,0,89880,761.67236328125
24,1,0,4,1,0,89534,957.2481689453125
54,1,1,7,1,0,100031,808.5651245117188
34,1,3,3,1,0,101484,685.3662109375
86,1,1,3,1,0,138797,827.147705078125
67,1,1,6,1,0,101843,580.8963623046875
17,1,1,4,1,0,86369,896.4452514648438
61,1,3,1,1,0,109945,945.8577270507812
49,1,3,1,1,0,100967,768.3545532226562
62,1,1,1,1,0,94559,974.6077270507812
76,1,4,4,1,0,112501,418.22137451171875
85,1,2,2,1,0,128821,811.2371215820312
44,1,3,7,1,0,113039,789.535888671875
29,1,1,6,1,0,64116,98.3814697265625
48,1,2,1,1,0,94831,650.5188598632812
32,1,1,4,1,0,75928,443.14483642578125
62,1,4,2,1,0,101611,917.3724365234375
63,1,5,1,1,0,110845,660.17822265625
12,1,2,6,1,0,43259,659.6112670898438
35,1,5,2,1,0,82032,988.3552856445312
48,1,2,5,2,1,68876,1180.27685546875
60,1,2,2,1,0,151384,777.0343017578125
81,1,1,7,1,0,116191,846.521728515625
42,1,1,4,2,1,104110,736.97705078125
90,1,1,2,1,0,142250,924.5990600585938
57,1,2,4,1,0,118793,854.1668090820312
82,1,4,4,2,1,136266,1103.005615234375
89,1,2,10,1,0,141660,716.2818603515625
46,1,2,4,1,0,104131,724.2603759765625
22,1,2,2,1,0,68439,914.2609252929688
66,1,4,8,1,0,138104,953.1074829101562
46,1,2,3,1,0,101198,840.866455078125
81,1,2,1,1,0,146173,919.4525146484375
50,1,3,4,2,1,103067,846.4529418945312
9,1,2,3,1,0,73343,985.4803466796875
46,1,2,8,1,0,95855,853.70458984375
43,1,4,4,1,0,92647,742.5839233398438
76,1,2,3,2,1,141976,1214.714111328125
52,1,5,4,1,0,101041,907.5697021484375
36,1,2,3,1,0,67679,560.3519287109375
58,1,1,6,1,0,87888,739.4566650390625
55,1,4,2,1,0,102452,732.4805908203125
89,1,3,8,1,0,141373,493.9831237792969
63,1,2,1,1,0,108971,518.7510986328125
17,1,2,4,2,1,84578,815.9678344726562
60,1,2,6,1,0,118910,769.3569946289062
83,1,5,3,1,0,140599,324.7861328125
23,1,2,4,1,0,73314,952.3126220703125
72,1,1,3,1,0,113610,996.1546630859375
52,1,5,7,1,0,107760,833.8045043945312
13,1,2,5,1,0,65761,177.56024169921875
36,1,5,9,1,0,106153,502.67596435546875
85,1,2,5,1,0,122647,931.3836059570312
59,1,2,4,1,0,116063,825.566162109375
57,1,0,2,2,1,100708,1218.2578125
9,1,2,4,2,1,84442,439.78302001953125
90,1,2,5,1,0,134267,993.9638671875
29,1,3,1,1,0,94673,931.9093627929688
30,1,1,4,1,0,76466,925.2411499023438
56,1,2,6,1,0,110336,998.2288818359375
90,1,1,2,1,0,144296,377.571533203125
26,1,2,5,1,0,77303,719.2763671875
91,1,2,4,1,0,118507,685.3480224609375
49,1,1,4,1,0,92521,985.5426025390625
42,1,3,8,2,1,89103,865.2406616210938
35,1,5,7,1,0,87804,899.6795654296875
35,1,3,5,1,0,114263,967.9771118164062
63,1,3,3,1,0,110923,651.48974609375
91,1,3,4,2,1,151737,804.5115966796875
13,1,2,1,1,0,61813,833.8656005859375
21,1,2,2,1,0,64693,868.124267578125
73,1,1,8,1,0,109456,965.2196044921875
57,1,1,3,1,0,89976,758.90966796875
33,1,1,4,1,0,95853,792.8466186523438
14,1,0,3,1,0,66502,792.8338623046875
80,1,3,2,1,0,98522,455.29754638671875
57,1,3,4,1,0,95736,871.8807983398438
91,1,0,5,1,0,169792,962.5743408203125
51,1,2,4,1,0,107098,341.10858154296875
63,1,5,4,1,0,108561,622.6497802734375
25,1,3,3,1,0,53091,802.4968872070312
55,1,3,7,1,0,120157,356.6617431640625
12,1,1,4,2,1,74353,966.2750854492188
48,1,3,1,2,1,118807,1090.1473388671875
20,1,2,3,1,0,53261,730.9710693359375
36,1,2,3,1,0,75643,798.8052978515625
84,1,3,4,1,0,117027,630.092529296875
20,1,5,3,1,0,55884,985.543701171875
28,1,0,3,1,0,84795,833.6458129882812
11,1,2,5,1,0,77560,988.239013671875
72,1,2,2,1,0,112416,995.423583984375
15,1,0,0,1,0,76074,500.2370910644531
41,1,0,2,1,0,65412,924.3607788085938
12,1,2,7,1,0,53798,740.67822265625
62,1,1,4,2,1,98052,1148.59423828125
29,1,4,6,1,0,74573,614.4310302734375
41,1,3,4,1,0,99726,914.6102294921875
27,1,2,1,2,1,53796,891.269775390625
92,1,1,6,1,0,143078,786.9070434570312
85,1,2,6,2,1,136473,925.278076171875
50,1,2,1,2,1,93984,1138.3154296875
25,1,5,4,2,1,93688,887.7651977539062
39,1,4,5,2,1,100988,1126.326416015625
55,1,2,5,2,1,90984,893.2128295898438
33,1,1,1,1,0,92436,526.2933349609375
27,1,2,9,1,0,84733,580.710205078125
80,1,2,1,1,0,139707,676.4964599609375
87,1,4,1,1,0,147210,976.7582397460938
91,1,5,6,1,0,139427,612.760009765625
38,1,1,5,1,0,115084,842.2550659179688
32,1,4,6,1,0,96672,489.8318786621094
6,1,2,0,1,0,46068,850.8753662109375
71,1,5,1,2,1,129524,1056.591552734375
23,1,2,9,1,0,78606,800.1932983398438
81,1,4,6,2,1,142234,952.9935302734375
57,1,4,4,1,0,123540,883.4833374023438
73,1,5,6,1,0,110859,789.677734375
68,1,2,4,1,0,126443,937.98291015625
28,1,3,5,1,0,85072,878.091796875
52,1,1,5,2,1,84783,927.6954345703125
78,1,0,5,1,0,115970,702.90234375
29,1,2,6,1,0,71138,691.9730224609375
32,1,2,6,1,0,101074,784.811279296875
92,1,4,6,1,0,154502,576.6697998046875
25,1,3,7,1,0,68945,854.874755859375
53,1,4,9,1,0,90626,525.741943359375
64,1,0,2,1,0,99758,589.069580078125
94,1,0,4,1,0,150152,857.2318115234375
60,1,3,2,1,0,111469,911.7418212890625
71,1,3,5,1,0,131198,619.5247192382812
61,1,2,5,1,0,122487,638.88818359375
81,1,3,4,1,0,114485,749.4894409179688
59,1,3,8,2,1,118542,529.4696044921875
43,1,5,4,1,0,101170,893.5530395507812
43,1,5,3,2,1,71814,908.2877197265625
69,1,4,4,1,0,101070,878.387939453125
85,1,1,5,2,1,123881,969.5565185546875
27,1,4,6,1,0,71386,707.1766357421875
31,1,2,3,1,0,62275,839.178466796875
48,1,2,4,1,0,106415,996.01416015625
46,1,2,2,1,0,93859,799.87060546875
8,1,1,4,1,0,72551,471.7799072265625
23,1,2,5,2,1,91528,604.0159912109375
77,1,1,2,2,1,116766,1317.2938232421875
87,1,3,1,1,0,126713,960.4658203125
84,1,3,5,1,0,119549,909.8800048828125
94,1,2,6,1,0,188400,792.8914794921875
80,1,4,4,1,0,125507,432.25128173828125
33,1,2,4,2,1,76795,765.4461059570312
21,1,4,4,1,0,66091,744.257568359375
55,1,2,5,1,0,99884,844.3392333984375
81,1,4,6,1,0,122285,744.8284912109375
64,1,1,8,2,1,118402,1516.50048828125
77,1,0,3,1,0,111633,842.8504638671875
68,1,1,3,1,0,119916,984.9315795898438
23,1,1,5,1,0,70173,737.7183227539062
53,1,1,4,1,0,99154,880.182373046875
83,1,2,7,2,1,112248,817.3855590820312
64,1,5,4,2,1,130846,1183.1527099609375
17,1,1,2,1,0,70868,842.3662109375
39,1,2,3,1,0,118234,535.5770263671875
35,1,2,2,1,0,104490,981.8946533203125
80,1,3,4,2,1,123019,917.6934814453125
77,1,2,4,2,1,127925,862.7369384765625
75,1,5,6,1,0,114585,989.6211547851562
24,1,2,4,1,0,60031,361.35284423828125
67,1,0,2,1,0,121688,530.4876098632812
85,1,3,2,2,1,102751,1353.7332763671875
43,1,1,2,1,0,87248,918.3978881835938
39,1,5,3,1,0,96517,894.9406127929688
22,1,2,6,1,0,108689,756.2313232421875
44,1,2,4,1,0,103812,537.411865234375
23,1,0,2,2,1,68070,1508.248046875
30,1,3,7,2,1,105111,763.5451049804688
49,1,2,4,1,0,112712,558.8109741210938
64,1,3,3,1,0,104498,682.314208984375
62,1,1,4,1,0,101794,852.4220581054688
87,1,1,2,1,0,154772,997.3399047851562
54,1,0,3,2,1,98763,781.2044677734375
63,1,2,5,1,0,109702,823.8317260742188
49,1,4,6,1,0,121855,566.904052734375
64,1,3,3,2,1,126625,298.04107666015625
58,1,1,2,1,0,135997,883.30224609375
8,1,2,7,1,0,30510,708.1793212890625
42,1,3,3,1,0,77472,954.4022216796875
79,1,1,4,1,0,113720,775.2603149414062
78,1,4,6,2,1,124992,630.3812255859375
37,1,0,2,2,1,126987,826.3383178710938
43,1,0,2,1,0,115354,682.623046875
93,1,2,6,2,1,177471,656.308349609375
59,1,1,3,1,0,97430,795.5694580078125
48,1,3,3,1,0,92145,994.5441284179688
79,1,3,3,1,0,104479,856.1458740234375
18,1,5,6,2,1,83893,839.0301513671875
53,1,2,9,1,0,96375,528.5413818359375
44,1,2,2,1,0,85882,674.906494140625
65,1,2,4,1,0,146490,806.2410278320312
23,1,1,2,2,1,52996,1350.8233642578125
33,1,2,3,1,0,73397,828.3557739257812
40,1,3,2,1,0,98021,778.2095336914062
64,1,0,4,2,1,96629,864.4807739257812
68,1,2,4,2,1,114156,864.1156005859375
90,1,0,7,1,0,136134,841.6033935546875
69,1,0,4,1,0,100800,692.4255981445312
86,1,2,2,1,0,165267,986.3200073242188
61,1,3,7,1,0,110595,716.375244140625
52,1,1,1,1,0,138135,914.1141357421875
63,1,3,3,2,1,123881,1430.668212890625
18,1,2,7,2,1,73381,649.949951171875
55,1,2,1,1,0,113001,798.2210083007812
25,1,2,1,1,0,59319,902.5497436523438
84,1,0,2,1,0,151929,696.82177734375
58,1,3,3,1,0,126059,961.1676025390625
72,1,1,3,2,1,107107,689.4303588867188
70,1,0,2,1,0,91124,837.5885009765625
52,1,3,2,1,0,111316,675.11962890625
34,1,1,4,2,1,92779,1138.0272216796875
53,1,3,3,1,0,66023,974.2166748046875
47,1,0,3,2,1,99587,1414.9283447265625
33,1,1,3,1,0,80544,782.38818359375
92,1,3,2,1,0,147737,641.358642578125
42,1,2,4,1,0,95127,904.2037963867188
91,1,2,2,2,1,162780,1285.25048828125
55,1,1,2,1,0,114258,951.0328979492188
21,1,3,5,1,0,82473,729.1774291992188
21,1,2,2,1,0,70893,880.6504516601562
48,1,2,4,1,0,121641,929.907958984375
92,1,5,3,1,0,156810,337.33966064453125
62,1,3,4,2,1,133773,1043.7442626953125
44,1,0,1,1,0,79321,911.6434326171875
74,1,4,3,1,0,123507,655.3367919921875
85,1,5,3,1,0,137314,802.5548095703125
30,1,4,8,1,0,83992,653.63427734375
53,1,3,9,1,0,114101,974.1939086914062
60,1,3,3,1,0,98130,760.0478515625
39,1,2,6,1,0,83947,583.178466796875
31,1,1,6,1,0,85797,927.36474609375
9,1,1,1,1,0,74374,692.287841796875
54,1,1,5,2,1,104246,1062.829833984375
54,1,2,4,2,1,91082,1588.115478515625
51,1,2,3,2,1,94293,1251.3759765625
70,1,5,3,1,0,110348,902.7138671875
28,1,1,7,2,1,74217,1167.4456787109375
21,1,2,1,1,0,34825,985.682861328125
33,1,2,2,1,0,95591,691.736083984375
22,1,5,2,2,1,89088,817.6951904296875
81,1,1,1,1,0,137903,724.951416015625
69,1,1,4,1,0,110272,678.980224609375
51,1,2,1,1,0,93460,744.3253784179688
64,1,5,1,2,1,109506,676.046875
70,1,1,6,1,0,120282,811.481689453125
79,1,5,4,1,0,129853,846.2198486328125
22,1,3,3,1,0,68219,993.0991821289062
29,1,1,2,1,0,89338,625.6275634765625
17,1,1,0,1,0,62747,928.5349731445312
29,1,0,6,1,0,47918,878.9852294921875
79,1,3,6,1,0,119360,983.3353881835938
25,1,1,2,1,0,65096,583.6148071289062
92,1,2,5,1,0,130779,482.9892578125
51,1,5,3,2,1,112193,1174.332275390625
40,1,3,7,1,0,104370,958.4352416992188
77,1,0,5,2,1,139069,594.975341796875
89,1,5,5,1,0,120845,697.119873046875
45,1,1,3,2,1,109960,862.8598022460938
43,1,3,5,1,0,77886,918.00634765625
27,1,4,4,1,0,68150,559.8084716796875
88,1,3,1,1,0,133570,761.3499755859375
90,1,3,8,1,0,156174,486.6402587890625
26,1,0,5,2,1,50465,808.36376953125
86,1,2,2,1,0,155224,434.44598388671875
82,1,1,5,1,0,122533,647.87255859375
87,1,3,4,1,0,130820,585.6490478515625
65,1,1,6,1,0,150578,712.466064453125
26,1,2,2,1,0,66257,939.6185302734375
29,1,0,6,1,0,91822,802.5302734375
86,1,0,9,1,0,132058,280.34375
34,1,1,3,1,0,35153,802.1389770507812
51,1,2,11,2,1,75639,1362.0867919921875
9,1,2,3,1,0,43560,686.7427978515625
68,1,3,3,2,1,148200,1673.031005859375
60,1,1,4,1,0,122008,630.0911865234375
63,1,2,8,1,0,115696,949.8505859375
46,1,2,4,1,0,92403,511.7325439453125
94,1,2,3,1,0,159554,744.119873046875
40,1,2,7,1,0,108953,919.798583984375
86,1,3,3,1,0,120862,775.8821411132812
89,1,3,4,1,0,134765,971.5919799804688
7,1,1,3,1,0,52232,995.3193359375
6,1,1,2,2,1,95615,867.4169311523438
79,1,2,4,1,0,168301,938.8397827148438
20,1,1,2,2,1,86942,1208.380126953125
69,1,2,2,1,0,95717,879.6743774414062
19,1,2,9,1,0,59632,871.8659057617188
55,1,2,4,1,0,82677,634.0028076171875
72,1,5,3,1,0,130183,588.2225341796875
51,1,2,6,1,0,98573,717.239013671875
40,1,2,5,2,1,91764,515.441650390625
63,1,3,4,2,1,106925,1495.388427734375
41,1,2,6,1,0,97116,995.4740600585938
95,1,5,2,1,0,148158,534.353759765625
90,1,2,1,1,0,132642,565.9656372070312
72,1,3,5,2,1,117597,1015.8820190429688
62,1,3,6,1,0,97373,663.1898193359375
31,1,1,3,1,0,78917,840.0435791015625
41,1,2,6,2,1,45797,1184.38427734375
19,1,5,8,2,1,54924,581.6800537109375
16,1,2,0,1,0,96775,856.1301879882812
43,1,3,4,1,0,97766,827.2742919921875
86,1,4,7,1,0,149771,961.83056640625
45,1,2,7,1,0,121155,356.08343505859375
28,1,3,4,1,0,90910,618.9686889648438
49,1,3,4,1,0,108614,724.8031616210938
19,1,3,3,1,0,69342,684.2598876953125
85,1,2,4,1,0,138299,659.2186279296875
82,1,2,1,1,0,157643,811.66796875
83,1,1,1,1,0,117362,545.0994262695312
20,1,0,2,1,0,64294,882.3964233398438
40,1,4,4,1,0,67181,649.27587890625
22,1,2,1,1,0,91752,528.409423828125
81,1,1,5,1,0,143425,960.7186889648438
39,1,3,7,1,0,111967,497.1485290527344
12,1,2,2,1,0,59880,753.4815673828125
52,1,3,4,1,0,113058,829.2938232421875
29,1,3,3,2,1,92145,736.1019287109375
67,1,2,3,1,0,127468,514.2022705078125
94,1,3,3,2,1,149397,1004.1445922851562
16,1,1,6,1,0,44976,555.7852783203125
50,1,1,6,1,0,101256,246.55010986328125
73,1,1,3,1,0,133598,880.226318359375
84,1,5,8,1,0,144765,861.6575927734375
21,1,2,4,2,1,58567,1125.966552734375
83,1,3,3,1,0,133506,442.78369140625
60,1,2,3,1,0,94367,800.881591796875
14,1,2,0,1,0,64319,335.8056640625
71,1,2,1,1,0,153185,902.69384765625
92,1,1,3,1,0,137869,732.5159912109375
63,1,0,3,2,1,104147,758.2046508789062
36,1,2,1,1,0,101644,884.1632080078125
46,1,3,5,1,0,89794,664.6348876953125
49,1,1,3,1,0,92077,216.117919921875
94,1,1,8,1,0,126362,673.19287109375
51,1,2,7,1,0,110429,906.1075439453125
79,1,3,3,1,0,137593,933.9855346679688
15,1,2,1,1,0,82862,591.708251953125
44,1,1,5,1,0,102182,970.6730346679688
38,1,2,2,1,0,65662,947.7044067382812
65,1,1,9,1,0,102412,959.6769409179688
21,1,4,7,1,0,60687,616.4375
11,1,0,3,1,0,54063,938.06005859375
54,1,3,3,1,0,84691,868.5050048828125
74,1,3,4,2,1,135143,984.3062744140625
90,1,0,3,2,1,136913,928.351806640625
65,1,1,1,1,0,124662,921.0413208007812
90,1,1,5,1,0,155046,717.2727661132812
38,1,1,3,2,1,99552,1607.5499267578125
71,1,2,5,2,1,125103,1035.6065673828125
36,1,0,1,2,1,78634,1253.376220703125
64,1,3,3,2,1,115046,1198.1142578125
39,1,1,2,1,0,80423,901.3178100585938
20,1,0,3,1,0,72917,602.6777954101562
19,1,3,3,1,0,65279,933.4683227539062
22,1,2,3,2,1,50829,852.8817138671875
30,1,2,3,1,0,86740,874.0999145507812
52,1,2,5,1,0,105419,972.8331909179688
79,1,1,4,1,0,130611,756.436279296875
85,1,3,3,1,0,126873,870.3764038085938
76,1,2,6,1,0,115060,906.9307861328125
20,1,2,4,1,0,71745,597.8486328125
20,1,4,1,1,0,62258,972.1946411132812
63,1,2,6,1,0,106342,986.515869140625
43,1,4,5,1,0,90383,803.80419921875
59,1,0,7,1,0,104901,610.882568359375
94,1,1,5,1,0,126264,865.5026245117188
34,1,1,3,1,0,100717,836.0477294921875
19,1,1,4,2,1,49041,1202.1627197265625
63,1,1,2,1,0,131070,817.3107299804688
28,1,3,1,2,1,96802,623.5233154296875
87,1,3,3,2,1,149442,1047.5234375
57,1,1,2,1,0,130148,583.1376953125
79,1,1,1,2,1,126176,901.4617919921875
44,1,2,3,2,1,85201,923.2884521484375
94,1,3,3,1,0,126728,887.569580078125
86,1,1,4,1,0,124787,826.861083984375
35,1,5,5,1,0,95731,950.310546875
9,1,2,3,2,1,61926,667.2354125976562
17,1,2,6,2,1,64822,1261.4095458984375
77,1,1,2,1,0,97511,494.5010681152344
52,1,3,11,1,0,99786,894.1377563476562
58,1,2,6,1,0,135109,788.6137084960938
53,1,4,9,1,0,107310,701.323974609375
86,1,5,6,1,0,161239,839.5415649414062
31,1,4,7,1,0,114242,447.12689208984375
15,1,0,4,2,1,52355,1025.2142333984375
32,1,2,3,2,1,79810,1082.869873046875
88,1,4,7,1,0,141930,801.9669189453125
22,1,2,6,1,0,55090,782.947998046875
25,1,2,5,1,0,75968,974.8063354492188
80,1,2,8,1,0,133720,800.0089111328125
94,1,2,5,1,0,142035,678.4248046875
34,1,3,6,1,0,55614,481.6168212890625
86,1,4,3,1,0,125403,656.9971923828125
41,1,3,2,1,0,78979,305.6510009765625
59,1,1,4,1,0,121220,743.2576904296875
49,1,3,4,1,0,96940,897.4329833984375
66,1,0,6,1,0,135951,911.18798828125
48,1,1,5,1,0,128075,334.4359130859375
34,1,2,4,1,0,66422,630.63134765625
42,1,3,6,1,0,78947,935.3213500976562
37,1,1,3,1,0,87462,512.099853515625
51,1,3,5,1,0,97688,300.89263916015625
31,1,5,3,1,0,83524,743.7196044921875
24,1,4,2,2,1,59168,645.4241333007812
21,1,2,4,2,1,66528,954.3507690429688
27,1,1,8,2,1,55334,1447.330322265625
17,1,1,8,1,0,83449,696.343994140625
38,1,3,1,1,0,67761,539.28857421875
62,1,3,3,1,0,137234,839.2935791015625
21,1,5,1,1,0,65822,922.7360229492188
81,1,1,5,2,1,127983,685.4967651367188
78,1,0,6,1,0,125874,791.6264038085938
10,1,2,6,1,0,64704,655.1878662109375
23,1,1,8,1,0,98595,301.90277099609375
78,1,4,4,1,0,117656,855.2886962890625
18,1,3,4,1,0,43561,611.1909790039062
90,1,2,5,1,0,141850,372.36175537109375
54,1,4,5,1,0,123481,568.5718994140625
88,1,5,3,1,0,129369,709.0675048828125
41,1,5,4,2,1,109080,840.2701416015625
77,1,3,4,2,1,130495,368.4005126953125
30,1,5,2,1,0,84929,810.3133544921875
26,1,2,3,1,0,88448,824.4967651367188
23,1,1,3,1,0,86404,827.45849609375
74,1,4,7,1,0,143924,989.258056640625
23,1,2,4,2,1,67609,1542.943359375
89,1,1,3,1,0,138027,935.94287109375
59,1,2,5,1,0,112275,768.229736328125
89,1,1,2,1,0,136341,910.3232421875
93,1,0,5,2,1,116992,1031.14306640625
29,1,2,5,2,1,81732,745.677978515625
6,1,2,5,1,0,45393,854.494140625
26,1,2,4,2,1,67655,1219.607666015625
85,1,0,6,1,0,122713,484.85546875
15,1,1,2,2,1,77261,1522.74951171875
91,1,2,2,2,1,153141,371.72186279296875
78,1,2,2,1,0,137920,868.6577758789062
19,1,4,4,2,1,57663,1442.818359375
73,1,2,2,1,0,144798,857.0427856445312
66,1,4,3,1,0,105337,562.926025390625
41,1,3,2,2,1,94759,1040.316162109375
63,1,3,5,1,0,111938,804.1434326171875
66,1,1,6,1,0,127614,944.333251953125
88,1,1,1,2,1,149505,1554.8701171875
53,1,1,3,2,1,114289,1090.4991455078125
40,1,5,1,1,0,77500,841.5888671875
28,1,2,6,1,0,69483,920.8359985351562
44,1,3,3,1,0,91754,803.8138427734375
75,1,4,2,1,0,109548,498.6574401855469
31,1,3,1,1,0,92607,679.2471923828125
19,1,0,3,2,1,60709,654.973876953125
