AGEP,SEX,EDU,MSP,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
86,1,12,6,207362,2,2,244.17242431640625
76,1,12,2,154881,2,1,250.21847534179688
67,2,12,1,135068,1,1,188.02259826660156
54,2,12,5,153531,2,2,255.90892028808594
45,1,12,4,156109,2,1,266.9632263183594
40,2,12,2,106507,2,1,284.2522888183594
56,1,12,2,135366,1,1,176.53488159179688
70,2,12,1,139138,2,2,273.666748046875
39,1,12,4,136563,2,0,277.6314697265625
8,1,6,1,45041,1,1,176.25709533691406
57,1,12,2,138482,2,1,261.4715881347656
86,1,12,2,168026,2,0,236.27496337890625
42,1,12,4,137537,2,1,270.3428039550781
29,2,12,3,115451,1,1,203.7122039794922
14,1,3,1,37914,1,2,194.50396728515625
60,2,12,3,147740,2,0,263.3688659667969
54,2,12,2,134799,2,2,249.0245361328125
35,2,12,4,140498,1,1,226.63792419433594
87,2,12,5,195274,2,1,317.70623779296875
31,2,12,1,102527,1,1,233.8522186279297
49,1,12,5,159514,1,1,228.20481872558594
35,1,12,4,139687,2,1,238.1632537841797
21,1,12,2,108384,2,0,253.69085693359375
4,1,1,1,17498,2,0,220.79217529296875
45,2,12,2,128639,2,0,238.7252960205078
38,2,12,2,122001,2,0,255.93202209472656
87,2,12,6,204021,1,1,222.4443817138672
77,1,12,4,171360,1,1,208.81797790527344
25,2,12,2,103944,2,2,279.33050537109375
26,1,12,5,133425,2,1,307.9356994628906
72,2,12,3,155674,1,2,272.9388732910156
67,1,12,4,165120,2,2,280.9001159667969
56,2,12,3,153430,1,1,200.82229614257812
35,1,12,3,122379,2,2,266.689697265625
82,1,12,6,213150,2,0,258.76708984375
13,1,12,1,84198,1,2,219.75650024414062
8,2,1,1,20653,2,0,295.9993896484375
84,2,12,4,184343,2,0,261.13031005859375
53,1,12,2,139103,2,2,272.717529296875
86,1,12,5,194623,2,0,240.7198486328125
34,1,12,1,107293,1,1,238.5753631591797
89,2,12,6,212935,2,0,277.8092041015625
33,2,12,1,94093,2,1,276.04437255859375
7,2,5,1,36313,1,1,205.5334014892578
5,1,4,1,29339,1,2,199.8289031982422
93,1,12,2,181980,2,0,320.0551452636719
15,2,4,1,37723,2,1,243.4644012451172
27,2,12,3,124134,2,0,274.48095703125
82,2,12,4,181731,2,0,292.41058349609375
9,2,1,1,18665,1,1,198.99147033691406
48,1,12,3,140922,1,2,188.96762084960938
59,2,12,5,174053,1,2,215.98138427734375
48,1,12,1,122010,2,0,258.4342346191406
93,2,12,1,159453,1,1,217.17103576660156
52,2,12,2,133839,2,0,258.4922180175781
39,1,12,2,134501,1,1,195.54885864257812
80,1,12,4,181695,2,0,265.861572265625
8,1,4,1,44057,1,2,217.57293701171875
54,2,12,2,130957,2,0,272.6401062011719
14,2,3,1,45448,1,2,213.67381286621094
27,2,12,1,96307,2,1,256.9026184082031
50,2,12,4,156990,1,2,224.06153869628906
74,1,12,4,174434,1,1,212.24649047851562
33,1,12,6,156844,1,1,246.66734313964844
18,2,12,2,96931,2,1,232.77032470703125
48,2,12,5,158449,1,1,253.56561279296875
54,2,12,2,131133,2,1,232.66688537597656
80,2,12,3,169346,2,2,268.8274230957031
83,2,12,3,175826,1,1,227.32501220703125
90,1,12,2,173925,2,0,274.1123046875
39,1,12,2,122144,2,1,246.88504028320312
85,1,12,5,197788,1,2,227.04595947265625
64,2,12,1,124682,2,1,255.1262664794922
54,1,12,6,175801,1,1,231.8358154296875
56,1,12,3,148133,1,1,225.80331420898438
60,2,12,2,148943,2,2,267.8553161621094
8,2,12,1,78425,2,0,240.8123016357422
35,1,12,2,117441,1,2,233.01422119140625
76,1,12,1,147152,2,0,269.2488708496094
71,2,12,1,135923,2,0,252.85113525390625
92,2,12,6,220546,2,2,299.20849609375
92,2,12,1,159079,1,2,211.0934295654297
11,1,4,1,44789,2,1,252.5098876953125
40,1,12,1,111523,2,2,267.5085144042969
52,2,12,3,144759,2,2,278.6448059082031
9,2,2,1,28985,1,1,204.1748504638672
94,1,12,3,186913,1,2,233.88050842285156
74,1,12,6,187983,2,2,268.5755310058594
11,2,12,1,78030,2,1,248.76295471191406
34,1,12,1,109588,2,2,257.7098388671875
51,1,12,4,144815,1,2,190.88150024414062
32,2,12,6,152451,2,1,282.4909973144531
14,2,12,1,89434,1,1,225.74127197265625
12,1,4,1,37820,1,1,183.66513061523438
44,1,12,4,151218,1,2,218.2069549560547
28,2,12,2,112314,2,0,268.1415100097656
29,2,12,1,96249,2,0,254.45455932617188
38,2,12,2,116017,1,2,205.67483520507812
33,2,12,1,93474,2,2,260.3921813964844
23,2,12,1,101782,1,2,183.86822509765625
9,1,3,1,34912,2,0,267.95416259765625
8,1,3,1,34892,2,2,242.16697692871094
81,2,12,3,173667,1,1,231.78250122070312
31,2,12,5,142309,1,2,204.23887634277344
83,2,12,1,160754,2,2,284.755859375
89,2,12,3,181002,1,2,241.21054077148438
66,1,12,4,168865,1,1,227.4551544189453
30,1,12,6,151434,1,2,242.86709594726562
34,2,12,1,102774,1,1,207.46925354003906
59,2,12,2,141127,1,2,219.9151153564453
82,2,12,5,195142,2,0,264.0431823730469
69,1,12,5,182920,2,1,231.3391876220703
71,1,12,4,172475,2,2,279.89471435546875
43,2,12,5,155913,2,1,293.1393127441406
15,1,3,1,44861,1,1,193.4866180419922
64,1,12,1,134122,2,1,238.13963317871094
71,2,12,3,164023,1,2,220.1589813232422
30,1,12,6,148583,2,2,246.91751098632812
18,2,12,1,89604,2,2,254.2006378173828
28,1,12,6,146456,2,1,270.9278259277344
40,1,12,2,125987,1,2,208.7003173828125
80,1,12,2,157571,2,0,258.2279357910156
77,1,12,2,159444,1,1,213.53038024902344
25,1,12,1,100940,2,2,227.71563720703125
82,2,12,1,150550,2,0,262.8937683105469
76,1,12,6,192372,2,0,284.37640380859375
87,2,12,4,187590,1,2,243.324951171875
41,1,12,5,145880,2,0,225.9055938720703
93,1,12,2,180466,1,1,243.75381469726562
5,1,12,1,73129,2,1,238.34295654296875
51,2,12,4,150625,2,0,249.58425903320312
45,1,12,5,154158,1,1,225.5669403076172
13,1,12,1,89303,2,2,261.3868713378906
69,2,12,5,179232,1,1,188.13055419921875
10,2,3,1,44136,2,2,281.8951721191406
88,2,12,3,168048,2,0,267.6429748535156
25,1,12,2,103980,1,1,217.62550354003906
29,1,12,2,110169,1,2,222.05873107910156
6,1,2,1,25334,2,0,253.14234924316406
49,2,12,3,136079,1,2,179.16917419433594
5,2,1,1,18831,2,1,279.127685546875
61,1,12,5,166481,1,2,218.9777069091797
31,2,12,2,116322,2,2,232.10104370117188
11,1,2,1,29435,2,2,285.8938293457031
27,1,12,6,155149,2,1,270.5218505859375
82,1,12,5,187420,2,2,216.55650329589844
48,2,12,6,160787,2,0,272.57666015625
82,2,12,2,160146,2,2,243.11898803710938
62,2,12,6,182516,1,2,208.37774658203125
52,1,12,4,155864,2,1,265.34149169921875
81,1,12,4,178801,1,2,211.92791748046875
30,2,12,5,146991,2,0,299.4702453613281
54,1,12,2,134829,2,2,260.6809387207031
14,2,12,1,75900,2,2,216.5238800048828
8,1,3,1,31377,1,2,188.13967895507812
37,1,12,1,109840,2,0,272.0155944824219
13,2,12,1,84601,1,2,206.1869659423828
55,1,12,3,152116,1,1,229.81175231933594
38,2,12,3,130053,1,2,217.00584411621094
66,1,12,3,162860,1,2,218.10516357421875
57,2,12,5,163651,2,2,303.4745178222656
60,1,12,6,178601,2,0,256.5361328125
57,2,12,5,159456,1,2,176.60780334472656
30,1,12,4,136829,2,0,254.26531982421875
92,1,12,5,201114,1,1,219.04342651367188
85,1,12,2,170522,2,2,230.10606384277344
81,1,12,3,165524,2,2,243.73587036132812
74,1,12,5,182464,2,2,282.6657409667969
91,1,12,5,197708,2,0,266.38983154296875
93,2,12,1,160028,2,1,256.8817138671875
26,2,12,3,116763,2,2,253.7031707763672
91,1,12,4,192217,1,2,162.81607055664062
40,1,12,6,152211,2,1,241.00083923339844
93,2,12,2,167816,2,2,266.5909423828125
93,1,12,1,159082,2,0,283.10009765625
50,2,12,6,171640,2,0,297.7942810058594
76,1,12,5,190460,1,1,223.7686767578125
13,2,2,1,22535,2,2,227.08383178710938
64,1,12,3,147534,2,2,289.5736389160156
55,2,12,5,157450,1,1,201.56808471679688
91,1,12,2,165026,2,2,253.97621154785156
54,1,12,1,122895,2,0,261.3815612792969
73,2,12,3,165303,1,1,241.62326049804688
49,2,12,6,166374,1,1,207.04476928710938
13,1,5,1,46349,1,1,240.88531494140625
67,1,12,2,148467,1,2,192.10888671875
54,1,12,4,144677,2,1,225.73011779785156
46,2,12,5,155390,2,1,246.81564331054688
10,1,5,1,47701,2,2,239.24502563476562
87,1,12,6,195535,2,2,240.40505981445312
59,2,12,1,133182,2,1,239.7869110107422
91,2,12,4,192487,2,0,258.60333251953125
33,2,12,3,124983,2,0,278.8901062011719
72,1,12,3,169836,2,0,275.20477294921875
7,2,4,1,41120,2,1,241.38626098632812
8,2,2,1,34224,2,0,286.5453796386719
49,1,12,6,170470,2,0,264.1899719238281
6,2,2,1,29733,2,0,247.35804748535156
25,2,12,4,127905,2,1,242.88934326171875
48,1,12,6,164261,2,1,263.7994079589844
35,2,12,6,148224,2,0,243.9712371826172
89,2,12,1,153065,1,2,221.3937530517578
16,1,2,1,40621,2,2,258.8792724609375
21,1,12,2,104530,1,1,211.68624877929688
85,2,12,2,165776,1,2,205.36024475097656
60,1,12,5,171280,1,2,237.55389404296875
72,1,12,2,147440,1,2,215.07325744628906
28,1,12,1,106707,1,1,239.91490173339844
68,2,12,3,163715,1,1,205.99942016601562
76,2,12,1,151786,2,2,275.1867980957031
88,1,12,3,182515,1,1,203.606201171875
84,2,12,3,164504,2,1,258.7724304199219
61,1,12,2,136494,2,0,275.6360168457031
89,1,12,5,204898,1,1,209.3035125732422
62,1,12,3,153943,1,2,233.072509765625
27,1,12,4,127825,2,0,266.8772277832031
82,2,12,2,161084,2,0,273.123046875
41,2,12,3,129002,2,2,277.0207214355469
17,1,1,1,32685,1,1,225.94764709472656
41,2,12,1,108957,1,2,198.34837341308594
7,1,8,1,49175,1,1,200.81423950195312
81,2,12,2,166415,1,1,251.03451538085938
73,1,12,2,153378,1,2,202.8451690673828
11,1,4,1,38148,2,2,267.8669128417969
48,1,12,4,146018,1,1,188.17135620117188
52,2,12,4,161394,2,1,270.5625305175781
18,2,12,2,97120,1,1,233.41490173339844
26,2,12,2,105161,2,2,284.88067626953125
79,2,12,6,200880,2,1,289.89263916015625
59,1,12,4,156204,2,1,257.2785339355469
63,1,12,4,163358,2,1,299.4351501464844
46,2,12,2,136480,2,1,238.2899932861328
12,1,1,1,27621,2,2,278.5910339355469
27,2,12,3,121022,2,1,251.50636291503906
29,1,12,1,99796,2,1,291.44110107421875
64,1,12,5,174681,2,1,307.5611572265625
70,1,12,6,189505,2,1,232.15670776367188
78,2,12,6,197003,2,1,244.6756134033203
47,2,12,6,169501,2,2,231.45449829101562
87,1,12,3,172759,2,2,266.1799011230469
44,1,12,2,121818,2,2,259.2742614746094
82,1,12,3,174031,1,2,256.3198547363281
85,2,12,4,187048,2,1,269.6131591796875
51,1,12,3,147760,1,1,205.80819702148438
71,1,12,6,182871,1,1,243.07504272460938
84,2,12,2,157670,2,1,260.783203125
41,1,12,4,147110,1,1,233.49380493164062
5,2,1,1,14464,2,2,236.21279907226562
27,2,12,4,123610,2,0,265.6999206542969
75,2,12,1,148611,2,0,278.00262451171875
8,1,12,1,77992,2,1,291.7073974609375
70,2,12,4,168360,2,1,287.2137756347656
70,1,12,4,174610,1,1,225.41964721679688
59,2,12,4,162285,1,1,175.2889404296875
47,2,12,1,119587,2,1,294.0843200683594
11,1,3,1,32009,2,0,276.2606201171875
47,1,12,5,162999,1,2,189.81893920898438
35,2,12,2,114930,1,1,198.3031005859375
7,2,5,1,39162,1,2,219.44554138183594
17,1,5,1,45371,1,1,229.81170654296875
69,1,12,5,175821,2,1,252.8187255859375
1,2,1,1,11401,1,1,232.16473388671875
11,1,1,1,28162,1,1,222.49392700195312
8,1,2,1,27485,2,0,240.6773223876953
92,1,12,6,221709,2,2,281.1449279785156
17,2,1,1,18845,2,0,226.4434051513672
72,2,12,3,167718,1,2,200.85154724121094
36,2,12,3,110256,2,2,276.5778503417969
60,2,12,3,153127,2,1,250.74583435058594
17,2,5,1,39662,2,2,256.1884460449219
42,1,12,2,111333,1,2,228.80148315429688
87,1,12,2,172024,2,0,240.826416015625
39,1,12,6,153895,2,1,284.4107971191406
32,1,12,4,127785,1,2,228.7000732421875
45,2,12,1,110978,1,1,193.8463592529297
44,2,12,4,136703,2,0,295.04083251953125
34,2,12,6,152876,1,1,211.39212036132812
79,1,12,6,199542,1,1,224.79959106445312
44,1,12,1,112767,2,1,268.5724792480469
90,1,12,4,190660,2,2,223.95773315429688
7,1,1,1,24129,1,1,202.87196350097656
89,1,12,5,191779,2,1,291.35784912109375
88,2,12,4,194955,2,0,285.56890869140625
16,1,2,1,33094,1,2,208.5233917236328
95,1,12,5,205280,1,2,246.2001495361328
61,1,12,6,176229,1,1,208.79176330566406
15,2,5,1,48568,1,1,191.9600067138672
39,2,12,4,138524,2,0,305.7044982910156
9,2,1,1,27189,1,1,233.4136199951172
36,2,12,3,124681,2,0,266.8097839355469
41,1,12,4,147404,2,2,275.6028137207031
8,2,5,1,45894,1,2,177.26577758789062
28,2,12,5,140687,2,0,225.75314331054688
94,2,12,6,200142,1,1,212.8016357421875
58,1,12,1,140092,2,2,278.45745849609375
11,1,7,1,49880,1,1,196.60621643066406
78,2,12,2,158469,1,2,200.83340454101562
25,2,12,2,108054,2,1,267.83758544921875
67,1,12,4,172024,1,1,205.09463500976562
30,2,12,4,131997,1,2,219.3985595703125
71,2,12,4,167486,2,2,303.5305480957031
43,2,12,5,149145,2,0,301.485595703125
27,1,12,2,96073,1,2,185.0497283935547
66,1,12,4,161593,2,2,248.04583740234375
81,2,12,6,190053,2,2,280.3652648925781
83,1,12,1,155630,2,0,245.63604736328125
58,2,12,2,141836,2,2,290.3482666015625
79,1,12,1,153527,2,0,256.8796081542969
76,2,12,4,177437,1,2,196.63365173339844
45,1,12,1,124641,2,2,264.2857360839844
70,2,12,2,158792,2,2,256.19097900390625
76,1,12,3,162866,1,2,233.69126892089844
11,1,1,1,30317,1,2,200.29074096679688
76,1,12,1,149671,2,1,256.63165283203125
41,1,12,2,123467,2,2,273.07012939453125
34,1,12,4,136550,2,2,251.379638671875
78,2,12,3,169883,1,2,199.42332458496094
17,1,2,1,45335,2,2,274.0828857421875
68,2,12,1,144365,2,0,260.2076416015625
84,2,12,5,190131,2,1,262.36712646484375
6,2,3,1,39492,1,2,190.05221557617188
44,2,12,1,102323,1,2,225.04107666015625
61,1,12,4,167550,2,0,259.4421691894531
25,1,12,3,118216,2,1,256.94317626953125
79,1,12,2,162958,2,2,263.0288391113281
7,2,4,1,43329,2,1,282.4830627441406
55,1,12,1,120969,2,0,266.42626953125
88,2,12,3,166510,1,2,240.3106689453125
25,2,12,3,115633,2,2,272.1682434082031
65,1,12,3,160031,2,1,236.1486053466797
72,1,12,1,155775,1,1,233.07273864746094
64,1,12,5,183935,1,1,203.88522338867188
80,2,12,1,151288,1,1,194.2976837158203
58,1,12,5,160402,2,0,298.6854553222656
35,2,12,5,144735,1,2,196.6878204345703
27,2,12,5,136835,2,0,299.67169189453125
62,2,12,5,177978,1,1,240.2527618408203
74,1,12,3,161627,2,1,259.1748046875
21,1,12,2,86204,2,2,260.787353515625
80,1,12,4,177705,1,2,253.02224731445312
19,2,12,2,105104,2,2,247.9827117919922
87,2,12,3,175975,1,2,242.23475646972656
15,1,3,1,39497,2,0,268.7765808105469
61,1,12,5,170638,2,0,292.6397399902344
51,1,12,6,177883,1,1,204.0227508544922
46,2,12,2,124224,2,0,269.33245849609375
88,1,12,6,211137,2,2,290.0119934082031
57,1,12,6,171117,2,0,271.3103942871094
88,1,12,6,209527,2,0,262.0445251464844
92,1,12,3,180971,2,1,267.86181640625
87,1,12,2,163472,2,1,264.5744323730469
43,2,12,3,141364,1,2,217.0094757080078
79,1,12,5,186402,2,0,239.1737518310547
62,2,12,2,148149,1,1,204.2827911376953
94,1,12,5,203978,2,1,241.34222412109375
30,1,12,2,109991,2,2,228.1859588623047
29,2,12,2,110508,2,0,249.63047790527344
73,1,12,1,142849,2,0,268.6786804199219
85,2,12,6,211146,2,1,297.27496337890625
12,2,4,1,32682,1,1,243.84130859375
12,1,2,1,39345,1,2,177.6395721435547
42,2,12,4,138817,2,2,248.24327087402344
60,2,12,2,137942,2,1,256.9898376464844
27,2,12,5,140737,2,1,274.5713195800781
71,2,12,3,160518,1,1,179.46978759765625
56,1,12,1,125866,2,2,219.83572387695312
93,1,12,2,181534,2,2,250.05397033691406
31,2,12,2,105708,1,2,224.5997314453125
86,1,12,2,166029,2,2,274.01800537109375
48,2,12,2,126819,2,2,264.39990234375
85,2,12,6,213619,2,1,266.0172119140625
12,1,3,1,29288,2,0,234.2832489013672
51,2,12,2,130229,2,2,256.60015869140625
56,2,12,1,126350,2,2,275.5563049316406
48,2,12,4,150304,2,0,250.4665069580078
37,2,12,3,124731,2,0,256.392578125
9,1,3,1,36245,2,1,283.5097961425781
50,2,12,1,112961,1,1,226.63174438476562
11,1,3,1,38131,1,1,177.39907836914062
55,2,12,6,172927,1,2,198.4581756591797
38,2,12,6,156956,2,0,262.24603271484375
52,1,12,5,174330,1,1,200.36138916015625
32,2,12,4,137265,1,1,181.193115234375
94,2,12,3,182203,2,1,254.20115661621094
37,1,12,4,139944,2,2,261.6064147949219
52,2,12,1,123691,2,2,248.05979919433594
6,2,1,1,16219,2,0,264.9407653808594
39,1,12,6,158595,1,2,236.66116333007812
31,2,12,5,144827,1,1,230.55857849121094
54,2,12,5,163568,2,0,254.78115844726562
39,2,12,6,161727,2,1,267.80548095703125
24,2,12,1,93546,2,2,254.10191345214844
86,1,12,6,211198,1,1,217.0088348388672
19,2,12,1,96894,2,1,247.766357421875
26,2,12,2,108913,1,2,243.43841552734375
74,1,12,6,190698,2,1,242.58206176757812
43,1,12,4,145847,2,2,245.57345581054688
71,2,12,1,142126,1,2,212.46926879882812
46,1,12,6,175657,2,0,260.9730529785156
20,1,12,2,103802,2,0,279.46759033203125
72,1,12,3,155852,1,1,229.26019287109375
44,1,12,1,107402,1,2,197.33580017089844
12,2,2,1,32155,2,2,240.32131958007812
91,2,12,1,158677,2,2,281.4146728515625
39,2,12,2,112873,2,2,263.8537292480469
10,1,1,1,21838,1,2,212.6675262451172
52,2,12,2,134863,1,2,189.34251403808594
88,1,12,5,201751,1,2,205.0435791015625
66,2,12,2,141941,1,2,230.53135681152344
56,1,12,5,165817,1,2,213.92813110351562
43,1,12,4,143776,2,0,283.3157958984375
84,1,12,6,205148,2,1,302.8235778808594
91,1,12,2,172872,2,0,267.13641357421875
63,1,12,5,174373,2,2,315.0207824707031
29,1,12,2,111023,2,2,272.0113525390625
62,1,12,4,161258,2,2,262.2132263183594
43,1,12,4,149283,1,1,195.71263122558594
30,1,12,5,133449,2,0,309.7357177734375
27,1,12,4,117635,2,0,249.38668823242188
11,1,12,1,80481,1,1,203.48472595214844
47,1,12,1,109815,1,2,232.4613037109375
68,1,12,2,140289,2,1,273.75469970703125
38,1,12,1,102091,1,2,221.0044403076172
26,2,12,6,148146,2,0,295.2120056152344
55,1,12,6,168870,2,1,235.4409637451172
73,1,12,2,157443,1,2,251.40255737304688
57,2,12,6,175927,1,1,246.08526611328125
14,1,4,1,47478,2,2,271.55029296875
51,2,12,6,167562,1,2,201.60581970214844
87,1,12,2,167756,2,1,239.4578857421875
72,2,12,3,167825,1,1,170.7833709716797
52,2,12,6,174152,2,1,268.5752258300781
25,2,12,4,122679,1,1,209.80447387695312
66,1,12,4,169056,2,1,246.92312622070312
22,1,12,1,93966,1,1,239.69137573242188
82,1,12,5,193017,1,2,181.79840087890625
15,2,3,1,41954,2,0,226.44216918945312
66,2,12,6,187090,1,1,218.25787353515625
37,2,12,4,138576,1,1,207.38470458984375
54,1,12,5,159314,2,0,282.0373229980469
80,2,12,2,158506,2,0,271.3116149902344
44,1,12,5,151734,1,2,187.28968811035156
21,2,12,1,90115,2,1,257.5537414550781
71,2,12,4,173539,2,1,295.0811462402344
89,1,12,2,175468,2,1,229.4578094482422
61,1,12,2,145747,2,0,249.7467041015625
6,1,6,1,40138,2,1,234.42910766601562
30,2,12,2,117919,2,2,259.4388122558594
85,2,12,5,194663,2,1,249.6793212890625
88,2,12,3,177611,1,1,226.20193481445312
32,2,12,4,126456,2,2,290.406494140625
80,1,12,3,173311,1,2,233.22238159179688
34,2,12,4,140863,1,2,225.93414306640625
81,2,12,5,188432,1,2,229.0257110595703
25,2,12,4,119444,2,2,236.07534790039062
69,1,12,3,159133,2,1,256.5882873535156
14,1,12,1,85615,2,1,252.89715576171875
83,1,12,6,205167,1,1,206.9652862548828
85,2,12,4,182583,1,1,215.68357849121094
95,2,12,3,188779,2,0,269.4495849609375
44,1,12,4,138689,2,1,280.2011413574219
51,1,12,5,158778,1,1,196.4468536376953
26,2,12,6,149121,1,1,242.98406982421875
86,2,12,2,167730,1,2,236.09249877929688
42,2,12,1,118768,2,0,281.9252624511719
83,1,12,2,158991,2,2,255.76364135742188
10,1,5,1,46803,2,2,242.56655883789062
90,1,12,5,198207,1,2,279.7977600097656
46,2,12,3,144147,1,2,184.6136016845703
59,2,12,4,162495,2,2,269.7591857910156
62,1,12,1,133666,2,0,282.54791259765625
10,2,2,1,23015,2,0,274.8596496582031
30,1,12,4,135246,1,1,246.25669860839844
63,1,12,4,166223,2,1,280.01361083984375
15,1,4,1,49922,2,0,264.05474853515625
48,2,12,2,122782,2,2,243.032958984375
69,2,12,2,147412,2,0,284.091796875
76,2,12,1,148035,2,0,235.5189971923828
85,2,12,5,193698,1,1,240.52700805664062
67,1,12,2,144992,2,0,301.0013732910156
49,2,12,1,116659,1,2,210.790771484375
66,2,12,4,173017,1,1,204.45513916015625
71,2,12,1,138233,1,1,180.480712890625
50,1,12,3,143377,1,1,210.7113494873047
16,1,1,1,24325,2,2,246.74293518066406
71,1,12,2,155621,2,0,279.21148681640625
62,1,12,3,149144,2,1,267.2172546386719
16,2,12,1,91522,1,2,183.17088317871094
31,1,12,2,108215,1,2,210.6517791748047
8,1,1,1,23611,1,1,226.61007690429688
50,2,12,2,128782,2,2,259.2117004394531
36,1,12,3,125329,1,2,221.16087341308594
25,2,12,6,146385,2,0,261.3506164550781
71,2,12,5,177211,1,1,203.24346923828125
41,1,12,1,115129,1,1,200.908447265625
40,1,12,5,142231,1,1,222.3756866455078
79,1,12,5,181691,1,2,204.13473510742188
47,2,12,6,172220,1,1,243.92962646484375
55,2,12,5,159900,2,1,298.83453369140625
77,2,12,3,166737,2,2,268.0281982421875
