AGEP,SEX,MSP,EDU,PINCP,OWN_RENT,HOUSING_TYPE,DENSITY
55.0,2,4,2,28517.0,1,3,3002.0
70.0,1,2,2,26601.0,1,3,3100.0
93.0,2,2,1,25762.0,2,1,877.0
89.0,2,3,4,25557.0,2,3,3119.0
61.0,2,2,3,27388.0,0,1,991.0
71.0,2,1,3,31187.0,1,3,3157.0
40.0,2,1,2,30508.0,2,1,1070.0
52.0,2,2,3,28809.0,0,1,1031.0
80.0,2,2,2,25728.0,2,3,2988.0
57.0,2,4,3,27374.0,1,3,3105.0
52.0,1,2,2,28204.0,2,1,955.0
83.0,2,4,2,25064.0,2,1,1022.0
55.0,2,1,2,28415.0,1,3,3033.0
80.0,1,3,4,30795.0,2,3,2885.0
59.0,2,2,3,26942.0,1,3,3037.0
68.0,1,1,1,29406.0,2,3,3021.0
49.0,2,1,3,27355.0,0,1,1180.0
80.0,1,4,4,27122.0,2,3,3006.0
73.0,1,3,4,26403.0,0,1,976.0
21.0,1,4,3,27687.0,1,3,2854.0
69.0,2,3,3,32134.0,1,3,3093.0
91.0,1,3,3,26454.0,1,3,2918.0
56.0,2,1,4,28972.0,2,1,936.0
37.0,1,1,3,25335.0,1,3,2963.0
42.0,1,4,1,26406.0,1,3,3131.0
63.0,2,2,1,26312.0,0,1,1002.0
79.0,1,2,2,25669.0,0,1,1018.0
33.0,2,2,1,26517.0,0,1,1130.0
38.0,2,2,2,25521.0,0,1,977.0
76.0,2,1,1,25058.0,0,1,1024.0
41.0,2,4,3,25013.0,0,1,1113.0
32.0,2,1,1,26498.0,2,1,994.0
86.0,2,2,3,27921.0,1,3,3000.0
43.0,1,4,1,33338.0,0,1,1064.0
49.0,1,1,4,25213.0,2,1,1012.0
33.0,2,1,1,26140.0,1,3,2914.0
69.0,2,3,3,25312.0,0,1,1080.0
53.0,2,4,3,27059.0,1,3,2941.0
56.0,1,2,2,32610.0,1,3,2966.0
93.0,2,1,4,29063.0,0,1,963.0
46.0,2,2,1,27675.0,2,1,1055.0
55.0,1,2,4,25340.0,0,1,1184.0
68.0,1,3,2,25268.0,2,3,3049.0
53.0,2,3,4,30339.0,2,1,991.0
56.0,1,3,4,30442.0,0,1,1149.0
84.0,1,2,4,25362.0,2,1,998.0
41.0,2,1,2,25140.0,2,1,1031.0
87.0,2,2,2,29240.0,0,1,1085.0
59.0,1,1,3,25884.0,2,1,1139.0
31.0,1,1,4,28601.0,1,3,3056.0
33.0,2,2,4,28340.0,0,1,985.0
41.0,2,2,2,25419.0,1,3,2842.0
93.0,2,3,4,25122.0,0,1,978.0
69.0,2,1,2,27273.0,0,1,1073.0
55.0,2,2,2,30488.0,1,3,2820.0
35.0,1,3,3,26193.0,0,1,818.0
77.0,2,1,4,29951.0,0,1,1051.0
70.0,1,4,3,28247.0,0,1,1099.0
48.0,1,1,3,26242.0,2,3,3198.0
74.0,1,2,1,25620.0,2,3,2940.0
42.0,1,2,3,25651.0,2,3,2843.0
52.0,2,1,2,31062.0,0,1,1043.0
31.0,2,4,4,25578.0,1,3,2946.0
29.0,1,4,1,27386.0,1,3,2860.0
42.0,2,2,2,25489.0,2,1,1083.0
82.0,2,2,3,25023.0,2,1,1084.0
95.0,1,4,4,25154.0,0,1,800.0
38.0,1,1,4,25140.0,1,3,2947.0
85.0,2,1,3,30985.0,2,1,1005.0
72.0,2,3,2,30080.0,2,3,2830.0
51.0,1,2,3,26263.0,2,1,1112.0
83.0,1,3,3,26975.0,1,3,2956.0
67.0,1,3,2,29789.0,1,3,2899.0
77.0,1,1,3,26160.0,1,3,3022.0
35.0,1,3,4,27877.0,0,1,945.0
87.0,1,3,4,26413.0,0,1,1124.0
70.0,2,3,4,25283.0,1,3,2981.0
51.0,2,3,4,25625.0,0,1,1132.0
40.0,1,2,3,25585.0,1,3,2926.0
37.0,1,2,2,28175.0,0,1,1038.0
31.0,1,4,4,26591.0,0,1,1083.0
34.0,1,3,3,26404.0,1,3,3001.0
35.0,2,3,2,26612.0,2,1,1060.0
78.0,2,3,2,28823.0,1,3,3001.0
31.0,1,2,4,25351.0,2,1,1014.0
63.0,2,2,3,32720.0,0,1,983.0
73.0,1,1,3,27215.0,2,1,1052.0
53.0,1,2,1,25583.0,1,3,2966.0
53.0,1,3,1,28940.0,2,3,3005.0
67.0,1,1,1,26777.0,2,3,2828.0
42.0,2,4,2,26902.0,2,3,2931.0
36.0,2,1,3,25244.0,0,1,1016.0
55.0,2,2,3,25316.0,2,3,2895.0
60.0,1,1,2,28731.0,2,1,901.0
72.0,1,3,3,27207.0,2,1,1010.0
33.0,2,4,3,28774.0,1,3,3020.0
77.0,2,1,3,28760.0,2,3,2996.0
58.0,1,2,4,25856.0,1,3,2900.0
33.0,2,2,3,25536.0,1,3,3026.0
53.0,1,4,3,26664.0,2,1,857.0
35.0,1,2,4,26142.0,0,1,998.0
38.0,1,4,4,27533.0,2,1,983.0
85.0,1,2,3,28244.0,2,1,945.0
89.0,2,3,3,32731.0,2,3,2947.0
86.0,1,3,3,26522.0,2,3,3118.0
56.0,2,3,2,26356.0,2,3,3063.0
35.0,2,4,3,28865.0,2,1,850.0
59.0,1,3,3,25216.0,2,3,3069.0
61.0,1,2,2,27134.0,2,1,1004.0
18.0,2,4,4,25368.0,0,1,939.0
30.0,2,3,1,25352.0,1,3,3047.0
69.0,1,2,3,29040.0,2,3,2975.0
50.0,2,2,4,25888.0,1,3,3025.0
92.0,1,2,3,25583.0,2,3,2951.0
31.0,1,4,4,26794.0,1,3,2771.0
52.0,1,2,3,27244.0,2,3,3061.0
55.0,2,1,3,26520.0,1,3,2934.0
68.0,2,2,3,30678.0,1,3,2980.0
34.0,2,4,3,26366.0,1,3,3102.0
43.0,2,3,1,28377.0,1,3,3193.0
70.0,2,1,4,26958.0,1,3,3122.0
30.0,2,1,2,31235.0,1,3,3110.0
42.0,1,1,3,26318.0,2,1,1018.0
94.0,2,2,4,26548.0,0,1,787.0
79.0,1,1,4,29801.0,2,1,1070.0
90.0,2,2,3,27616.0,2,3,2944.0
66.0,2,4,1,27373.0,0,1,1008.0
59.0,2,2,4,29808.0,1,3,3078.0
35.0,1,1,4,27493.0,1,3,2809.0
35.0,2,3,4,33766.0,2,3,2916.0
63.0,2,1,3,30624.0,0,1,877.0
84.0,1,2,4,37823.0,1,3,2987.0
65.0,2,2,4,26595.0,2,1,991.0
32.0,1,3,3,28357.0,0,1,1207.0
54.0,2,4,4,27477.0,1,3,3036.0
77.0,2,3,3,25544.0,2,3,2958.0
85.0,2,2,1,25887.0,0,1,1047.0
68.0,1,2,4,25465.0,2,3,3088.0
59.0,1,4,1,25373.0,2,1,1065.0
74.0,2,1,4,26736.0,1,3,3102.0
93.0,1,2,3,25283.0,1,3,3052.0
67.0,1,2,3,25284.0,1,3,3016.0
47.0,2,4,3,26725.0,2,1,1042.0
76.0,2,2,3,28491.0,2,3,2957.0
36.0,1,1,3,27108.0,2,1,915.0
93.0,1,1,2,32954.0,2,3,2890.0
81.0,2,2,2,25331.0,1,3,3172.0
56.0,1,3,2,26098.0,0,1,1087.0
42.0,1,2,3,25408.0,2,1,965.0
62.0,1,3,4,29045.0,2,1,1103.0
80.0,2,3,2,29945.0,1,3,2950.0
50.0,1,1,4,25834.0,0,1,840.0
79.0,2,1,3,29850.0,1,3,2811.0
80.0,1,1,3,29374.0,2,3,3050.0
84.0,1,2,2,26917.0,0,1,909.0
69.0,1,3,2,25997.0,2,1,1098.0
92.0,2,3,2,26102.0,0,1,1029.0
33.0,1,3,4,27354.0,1,3,3039.0
75.0,2,1,1,30557.0,2,1,1143.0
44.0,1,2,4,26760.0,1,3,2973.0
33.0,1,2,3,27571.0,2,3,3159.0
53.0,1,1,2,25446.0,2,3,3169.0
84.0,1,1,3,27892.0,2,3,2979.0
79.0,2,1,4,25305.0,0,1,1040.0
89.0,2,4,3,27637.0,2,3,3024.0
84.0,2,2,3,28156.0,1,3,2999.0
84.0,1,2,2,29607.0,0,1,955.0
95.0,2,2,2,31270.0,0,1,1151.0
58.0,2,2,3,31492.0,2,3,2970.0
34.0,1,2,2,25416.0,2,1,1063.0
67.0,1,2,4,26825.0,0,1,996.0
69.0,1,1,3,32701.0,2,1,1033.0
56.0,2,2,3,28136.0,1,3,3036.0
86.0,1,3,3,32264.0,0,1,1051.0
76.0,2,4,2,26730.0,2,3,3085.0
42.0,2,1,2,28334.0,2,1,1151.0
91.0,2,1,3,26726.0,2,3,2965.0
51.0,1,1,4,25540.0,0,1,999.0
51.0,1,2,1,25352.0,2,3,3182.0
91.0,1,2,1,28331.0,2,1,1145.0
72.0,1,3,3,26084.0,0,1,912.0
79.0,1,2,1,27790.0,1,3,2954.0
55.0,1,2,4,26907.0,2,3,2846.0
83.0,1,1,2,29781.0,2,1,1047.0
51.0,2,3,3,25035.0,2,3,3077.0
51.0,1,1,4,25999.0,0,1,1022.0
58.0,2,2,4,25364.0,2,1,858.0
57.0,1,2,4,26095.0,2,3,3175.0
73.0,1,2,4,31493.0,2,3,2943.0
59.0,2,1,3,25203.0,2,3,2779.0
31.0,1,3,1,26005.0,2,1,984.0
35.0,1,2,3,30425.0,2,1,904.0
38.0,1,1,3,27475.0,1,3,3004.0
42.0,2,2,2,29163.0,2,3,2729.0
51.0,1,1,4,25173.0,1,3,3099.0
93.0,2,1,4,30222.0,2,3,2943.0
90.0,2,1,3,26793.0,2,3,3170.0
58.0,2,3,3,29566.0,1,3,2935.0
57.0,2,1,1,25328.0,2,1,997.0
34.0,2,2,3,28756.0,2,1,1104.0
92.0,2,2,3,25546.0,1,3,3026.0
94.0,2,1,2,25466.0,2,1,778.0
53.0,1,1,3,27918.0,2,1,1001.0
72.0,1,2,2,26860.0,2,1,891.0
39.0,2,3,3,27093.0,0,1,960.0
34.0,1,1,4,25574.0,2,1,895.0
71.0,1,3,2,28736.0,1,3,2981.0
78.0,2,3,2,28589.0,0,1,993.0
65.0,1,2,3,26515.0,1,3,3050.0
63.0,1,1,4,25121.0,2,3,3019.0
45.0,2,2,2,33353.0,1,3,3201.0
49.0,1,3,2,25640.0,0,1,970.0
71.0,1,2,3,28217.0,2,1,1037.0
79.0,1,3,2,28355.0,0,1,1045.0
67.0,1,2,3,25004.0,2,1,1224.0
57.0,2,1,2,25880.0,1,3,2885.0
34.0,2,2,3,25351.0,1,3,2878.0
78.0,1,4,4,28061.0,2,1,938.0
50.0,1,2,3,26655.0,2,3,2947.0
78.0,2,1,4,25797.0,0,1,872.0
94.0,2,1,2,25714.0,1,3,3115.0
39.0,1,1,2,29625.0,0,1,934.0
21.0,1,4,3,27296.0,0,1,973.0
76.0,1,1,4,27545.0,2,3,3018.0
63.0,1,2,4,25655.0,2,1,876.0
31.0,1,1,2,30683.0,2,1,990.0
51.0,1,2,2,33399.0,1,3,3134.0
61.0,2,4,3,28985.0,0,1,1002.0
56.0,1,2,1,29277.0,0,1,959.0
86.0,2,2,3,25268.0,2,3,3032.0
61.0,1,2,2,26076.0,2,3,2882.0
94.0,1,3,4,32355.0,2,1,854.0
57.0,1,3,2,25272.0,0,1,884.0
63.0,1,3,1,27874.0,2,3,3022.0
94.0,1,1,4,27836.0,0,1,1017.0
44.0,2,1,2,25239.0,0,1,961.0
94.0,1,4,3,26706.0,1,3,3056.0
46.0,1,4,2,25969.0,2,3,2969.0
44.0,2,2,3,27156.0,0,1,1040.0
88.0,1,1,3,29301.0,0,1,969.0
22.0,1,4,4,27594.0,2,1,1106.0
51.0,2,1,3,29805.0,2,1,1193.0
54.0,2,2,4,35008.0,2,1,918.0
91.0,1,2,4,26814.0,0,1,929.0
41.0,2,4,4,26377.0,0,1,852.0
68.0,1,2,3,25614.0,0,1,965.0
69.0,2,1,1,32175.0,0,1,964.0
71.0,2,2,3,29115.0,2,1,972.0
31.0,2,4,4,27739.0,2,3,3068.0
37.0,2,3,4,28924.0,1,3,2994.0
93.0,2,3,3,30111.0,2,3,3043.0
70.0,2,1,3,27982.0,2,1,992.0
73.0,1,4,3,27652.0,1,3,3039.0
57.0,2,2,3,26928.0,1,3,2964.0
33.0,1,4,4,26215.0,2,3,2763.0
44.0,2,1,1,26116.0,1,3,2982.0
42.0,1,3,3,25284.0,2,1,1028.0
35.0,1,2,3,26465.0,2,1,938.0
73.0,1,4,4,25810.0,2,1,883.0
44.0,1,2,3,25277.0,0,1,937.0
32.0,2,2,3,28235.0,0,1,1050.0
87.0,1,3,4,29348.0,0,1,1074.0
77.0,1,4,4,26178.0,2,3,3065.0
74.0,2,2,4,27510.0,2,3,3279.0
74.0,2,2,2,25447.0,2,3,2814.0
46.0,2,3,2,32874.0,2,3,3158.0
65.0,1,1,2,26057.0,0,1,945.0
93.0,1,3,2,28045.0,2,3,3057.0
84.0,1,1,2,25080.0,0,1,911.0
49.0,1,1,4,27763.0,1,3,3055.0
83.0,2,2,1,26061.0,2,1,1066.0
33.0,2,2,2,27080.0,2,3,2879.0
56.0,1,1,4,27056.0,2,1,1000.0
59.0,1,1,1,30564.0,2,1,981.0
46.0,2,2,1,29976.0,2,3,2856.0
88.0,1,4,3,25488.0,1,3,3181.0
46.0,2,2,3,25006.0,1,3,3067.0
62.0,2,1,2,30689.0,0,1,1127.0
35.0,1,2,3,25208.0,2,3,2819.0
88.0,2,1,1,25941.0,2,1,1030.0
65.0,1,1,1,29266.0,2,1,1014.0
57.0,2,4,4,28993.0,0,1,1023.0
43.0,1,3,4,27980.0,2,3,2919.0
63.0,1,1,4,25701.0,2,1,1104.0
85.0,2,1,4,27848.0,0,1,969.0
67.0,2,1,4,27014.0,0,1,1004.0
34.0,1,1,4,26757.0,1,3,3060.0
76.0,2,1,3,29701.0,2,1,1154.0
56.0,1,3,2,26001.0,1,3,3004.0
46.0,2,2,2,25930.0,2,3,2966.0
63.0,2,2,3,28442.0,1,3,3052.0
92.0,1,1,3,26708.0,1,3,3084.0
48.0,2,1,2,25385.0,0,1,952.0
89.0,2,1,4,28091.0,2,3,3118.0
57.0,2,2,3,30701.0,1,3,2979.0
86.0,1,4,3,26225.0,2,1,943.0
39.0,2,1,1,34926.0,2,3,3076.0
85.0,2,1,3,27007.0,1,3,2860.0
54.0,2,2,3,25113.0,0,1,786.0
22.0,1,4,3,28353.0,2,1,975.0
39.0,1,1,4,25760.0,2,3,3184.0
35.0,1,4,3,30663.0,1,3,3057.0
36.0,1,1,2,28342.0,2,1,1017.0
57.0,2,3,3,25866.0,0,1,1107.0
36.0,1,2,4,26985.0,2,1,1065.0
39.0,1,2,3,25790.0,0,1,828.0
30.0,2,1,3,27584.0,1,3,2890.0
87.0,2,1,1,26180.0,2,1,1051.0
57.0,2,2,3,25184.0,1,3,2902.0
85.0,2,1,2,26307.0,2,1,918.0
62.0,2,1,3,34274.0,2,3,3000.0
56.0,2,1,1,25126.0,1,3,2997.0
84.0,1,1,3,25332.0,2,1,1064.0
42.0,2,1,2,26699.0,0,1,933.0
81.0,2,4,3,26874.0,2,1,1054.0
37.0,1,1,2,28090.0,0,1,1020.0
81.0,2,3,4,26137.0,1,3,2962.0
74.0,2,1,3,27161.0,0,1,991.0
85.0,2,1,3,27514.0,1,3,2982.0
58.0,2,2,4,26926.0,2,3,3111.0
58.0,2,3,2,25588.0,1,3,2929.0
81.0,1,2,1,25754.0,1,3,3097.0
75.0,1,3,3,26834.0,2,1,947.0
28.0,2,4,3,26248.0,1,3,2948.0
76.0,2,2,4,25618.0,0,1,978.0
76.0,1,1,2,26981.0,0,1,993.0
39.0,1,1,3,26774.0,2,1,1269.0
94.0,1,2,4,29322.0,1,3,3144.0
34.0,2,2,1,25745.0,1,3,3012.0
64.0,2,1,1,28023.0,0,1,984.0
62.0,2,2,2,25611.0,1,3,3052.0
93.0,2,3,2,25424.0,1,3,2959.0
61.0,2,2,3,27897.0,1,3,2752.0
75.0,2,1,2,28011.0,0,1,920.0
53.0,1,2,2,33326.0,1,3,2996.0
44.0,1,1,2,25499.0,2,1,862.0
33.0,1,3,1,26706.0,1,3,2944.0
50.0,2,3,4,25131.0,0,1,1045.0
63.0,1,1,3,26519.0,2,1,946.0
78.0,2,2,4,25105.0,1,3,3075.0
36.0,1,1,3,25831.0,1,3,2945.0
88.0,1,2,3,29260.0,1,3,2997.0
84.0,1,1,3,35226.0,1,3,2893.0
46.0,2,2,2,25787.0,1,3,3106.0
31.0,2,1,2,25553.0,1,3,3087.0
80.0,1,3,3,25230.0,2,1,930.0
58.0,1,1,3,29664.0,2,3,2992.0
68.0,2,3,4,27998.0,0,1,951.0
84.0,2,1,3,29525.0,2,3,2969.0
32.0,2,1,2,27912.0,2,1,1077.0
83.0,1,1,4,27126.0,2,1,939.0
40.0,2,4,3,26857.0,1,3,3056.0
52.0,1,1,2,27424.0,2,1,1019.0
20.0,2,4,4,25125.0,1,3,3066.0
51.0,1,3,3,25578.0,1,3,3082.0
47.0,1,2,2,28482.0,0,1,1131.0
58.0,1,3,2,28069.0,2,3,2988.0
43.0,1,2,4,26773.0,2,3,3028.0
39.0,1,3,4,27848.0,0,1,951.0
85.0,2,3,1,27935.0,2,1,1013.0
48.0,1,1,4,27183.0,1,3,3039.0
35.0,1,1,3,26251.0,2,3,2887.0
39.0,2,3,1,25382.0,1,3,2995.0
91.0,1,2,3,25118.0,0,1,914.0
85.0,1,1,4,27347.0,1,3,3015.0
55.0,1,1,3,29947.0,1,3,2958.0
76.0,1,3,3,25732.0,2,3,3163.0
27.0,2,4,2,30904.0,1,3,2945.0
79.0,1,1,3,25397.0,2,1,1018.0
30.0,1,4,4,25477.0,1,3,3262.0
73.0,2,2,3,32397.0,1,3,3085.0
84.0,2,2,4,27458.0,2,3,3057.0
53.0,1,3,1,25096.0,0,1,982.0
90.0,2,3,3,26128.0,1,3,3112.0
82.0,1,4,3,27350.0,2,1,958.0
88.0,2,3,3,28161.0,1,3,2902.0
59.0,2,3,4,36537.0,1,3,3068.0
35.0,2,4,4,29016.0,0,1,969.0
31.0,2,4,2,27183.0,0,1,1148.0
53.0,1,1,1,25215.0,2,1,997.0
75.0,1,1,3,31997.0,1,3,3118.0
33.0,2,2,4,25010.0,1,3,3015.0
68.0,2,1,3,28046.0,2,3,3044.0
76.0,1,1,3,26155.0,1,3,3189.0
54.0,2,2,2,25567.0,2,1,952.0
84.0,1,3,2,26335.0,2,3,2997.0
38.0,1,1,1,26373.0,1,3,3014.0
94.0,1,1,4,27391.0,1,3,2944.0
68.0,2,1,2,29236.0,1,3,2928.0
81.0,1,2,4,27820.0,2,1,992.0
51.0,2,3,4,25056.0,0,1,913.0
60.0,1,4,2,28060.0,2,3,2835.0
84.0,2,3,2,25151.0,1,3,2914.0
41.0,2,2,3,25080.0,2,1,953.0
83.0,2,1,3,25201.0,0,1,1147.0
52.0,1,2,3,26873.0,1,3,3058.0
46.0,2,3,3,31962.0,1,3,3019.0
89.0,2,2,2,25880.0,2,3,3012.0
76.0,2,1,3,25072.0,2,3,2979.0
37.0,1,1,4,25656.0,2,3,2988.0
41.0,1,1,4,25513.0,1,3,2881.0
37.0,1,3,2,25450.0,2,1,955.0
72.0,2,3,1,27127.0,1,3,2877.0
86.0,1,1,2,28994.0,2,1,975.0
92.0,2,2,1,29057.0,1,3,3165.0
47.0,2,2,2,25752.0,1,3,3054.0
94.0,1,2,3,29998.0,2,1,954.0
59.0,2,2,2,32850.0,0,1,875.0
72.0,1,2,4,27784.0,1,3,3056.0
94.0,2,1,4,26294.0,0,1,859.0
59.0,2,2,3,25616.0,1,3,3210.0
30.0,2,2,1,25004.0,1,3,2772.0
36.0,1,2,3,25167.0,2,3,3025.0
45.0,2,2,4,25376.0,0,1,1078.0
49.0,2,3,4,25359.0,0,1,1039.0
50.0,1,2,2,29949.0,0,1,947.0
30.0,1,3,2,25695.0,1,3,3002.0
85.0,1,4,1,26450.0,1,3,2903.0
53.0,2,2,4,28465.0,1,3,3159.0
53.0,1,3,2,25906.0,1,3,3085.0
56.0,1,2,3,25618.0,0,1,1068.0
77.0,2,1,3,25096.0,2,3,3071.0
43.0,2,1,2,25203.0,2,3,2994.0
85.0,1,1,4,26887.0,0,1,1033.0
75.0,1,3,4,26126.0,0,1,894.0
44.0,1,1,3,26354.0,1,3,2949.0
66.0,1,1,2,26785.0,2,3,3199.0
63.0,1,2,2,27065.0,1,3,3086.0
86.0,1,4,4,26346.0,2,1,943.0
45.0,1,1,1,25456.0,0,1,1205.0
89.0,2,2,3,26520.0,1,3,2998.0
59.0,1,2,4,26134.0,2,1,1002.0
20.0,1,4,2,25066.0,1,3,2930.0
94.0,1,1,2,31623.0,1,3,2964.0
36.0,1,4,3,25096.0,2,3,2889.0
75.0,2,1,4,27505.0,1,3,3046.0
48.0,2,2,3,29926.0,0,1,1241.0
76.0,1,1,2,27122.0,2,3,3000.0
32.0,2,1,3,26925.0,2,1,1079.0
80.0,1,3,4,27101.0,2,3,2933.0
62.0,1,1,3,25497.0,1,3,3079.0
41.0,2,3,3,26295.0,2,1,1016.0
60.0,1,1,3,29778.0,0,1,877.0
33.0,1,4,3,28801.0,2,3,3111.0
65.0,2,2,2,26027.0,2,1,1050.0
68.0,1,3,3,26587.0,1,3,2946.0
32.0,2,2,2,26792.0,0,1,1028.0
55.0,2,2,3,27508.0,2,3,3132.0
43.0,2,2,2,29977.0,2,1,986.0
47.0,1,1,3,27125.0,2,1,1014.0
38.0,2,3,2,27848.0,0,1,894.0
63.0,2,2,3,27714.0,0,1,918.0
36.0,1,2,2,31849.0,2,1,1136.0
44.0,2,3,4,25417.0,2,3,2935.0
48.0,2,4,2,25118.0,0,1,1065.0
54.0,1,2,2,26826.0,0,1,902.0
55.0,1,3,3,25363.0,2,1,1171.0
47.0,2,1,3,26173.0,2,3,3051.0
69.0,1,3,4,31981.0,0,1,909.0
33.0,1,2,3,25558.0,2,1,1066.0
76.0,1,1,3,30595.0,2,1,660.0
79.0,2,3,3,27067.0,2,3,3256.0
