AGEP,SEX,EDU,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
2,2,2,49323,1,1,614.1254272460938
3,2,3,65309,1,2,731.171875
1,2,4,80378,1,2,888.536376953125
3,2,3,81063,1,1,941.259033203125
1,1,1,34583,2,2,443.1874084472656
1,2,1,50586,2,2,582.8190307617188
1,1,1,37836,1,1,459.38397216796875
3,2,4,94481,1,2,1010.7545776367188
0,1,4,91219,2,2,1004.4924926757812
2,1,1,40173,2,1,482.9402770996094
0,2,2,55579,1,2,620.7405395507812
2,1,4,91700,2,2,993.1944580078125
3,1,3,69067,2,1,815.4254760742188
4,1,1,30746,1,2,436.6522216796875
1,2,4,66596,1,1,744.7179565429688
1,1,4,73781,1,1,841.2900390625
2,1,3,79029,2,1,872.2575073242188
3,1,2,42777,2,2,526.0730590820312
0,2,3,67052,1,1,789.1494140625
0,2,4,78867,2,1,884.8866577148438
0,1,4,72685,1,1,807.7183837890625
1,2,3,56399,1,2,635.9262084960938
3,1,2,50689,1,2,584.4202270507812
4,1,4,70878,2,2,813.7958374023438
3,2,3,56735,2,1,667.6519775390625
3,1,1,41668,2,2,500.8492126464844
4,2,1,42424,1,1,555.026123046875
3,2,4,88469,1,1,977.94482421875
0,2,1,755,1,1,100.3619155883789
2,2,1,45468,1,2,513.1912231445312
2,1,4,90021,1,2,948.9983520507812
1,1,1,37263,1,1,479.3955078125
2,1,3,67065,1,2,780.4578247070312
0,1,1,32908,1,2,415.63153076171875
1,2,2,45097,2,1,529.0357055664062
3,1,1,20786,2,2,319.91168212890625
4,1,1,33507,2,1,464.35308837890625
1,1,2,31021,2,2,413.1026611328125
1,2,3,80261,2,2,895.8990478515625
2,2,1,46529,1,1,542.4656372070312
0,1,3,58825,2,1,712.94970703125
2,1,3,57766,1,2,660.5255737304688
1,1,3,76051,1,1,879.162353515625
4,2,2,46510,2,2,542.8562622070312
2,1,3,61673,2,2,718.486572265625
4,2,3,66866,1,2,774.0425415039062
2,1,3,63153,1,1,727.1642456054688
1,1,1,36009,2,1,494.8045654296875
4,2,1,36774,1,2,468.29736328125
1,2,4,97143,2,1,1076.7039794921875
2,2,1,38105,1,1,489.5216369628906
2,2,3,47442,1,1,549.9954833984375
2,2,3,56585,2,2,692.1099243164062
0,1,2,53851,1,2,617.725341796875
4,2,1,48130,2,2,573.4898681640625
1,1,3,62467,1,2,698.2361450195312
3,1,2,65420,1,2,766.033447265625
2,2,3,63798,1,1,775.1124267578125
3,1,3,62928,1,2,700.8880004882812
4,2,4,89763,2,1,987.039794921875
4,2,4,82378,1,1,929.5614624023438
3,1,2,44421,2,2,516.6862182617188
0,1,1,45040,2,2,548.5423583984375
2,1,2,43877,1,2,512.1417236328125
1,2,1,9488,2,2,185.00967407226562
0,2,3,74271,1,1,811.000244140625
3,1,1,31882,2,2,416.78912353515625
4,1,2,44891,2,2,563.7115478515625
4,1,1,38191,2,1,474.839599609375
1,1,4,83781,2,2,957.9263916015625
0,2,2,37355,2,1,469.8575744628906
2,2,1,7295,2,2,164.70761108398438
3,2,4,80469,2,1,915.4728393554688
3,2,3,65950,1,1,754.8182983398438
4,1,1,33773,1,1,432.7561340332031
3,1,2,64134,1,1,762.2791137695312
3,1,1,56571,1,2,646.5128173828125
4,1,2,35120,2,2,437.0260009765625
4,1,2,62920,1,2,731.25
4,2,4,93296,2,2,1004.3368530273438
4,1,4,92608,2,1,1027.75390625
4,1,3,51652,1,1,614.5596313476562
2,1,2,42038,2,2,521.6180419921875
4,1,3,77879,2,1,918.1941528320312
0,2,1,28823,1,2,403.3544616699219
4,1,2,62070,2,2,700.78759765625
1,1,3,77888,1,1,894.6536865234375
1,2,3,55919,2,2,673.1326904296875
4,2,1,54504,2,1,636.083251953125
0,1,3,83917,1,2,948.9341430664062
0,1,4,78692,1,1,908.435302734375
4,2,4,89616,2,2,991.9370727539062
1,1,2,67365,1,1,738.7127075195312
2,2,2,49912,2,2,608.8786010742188
3,2,1,31069,2,1,405.63458251953125
4,1,2,53970,1,2,625.1198120117188
2,1,3,67634,1,1,770.1353759765625
3,1,3,57072,2,1,653.6080932617188
3,1,4,86280,1,2,911.7301635742188
3,2,4,89456,1,2,994.19921875
3,1,3,68084,2,1,760.823486328125
4,2,1,42311,1,2,543.83056640625
1,1,3,67307,2,1,770.162353515625
4,1,4,76783,1,2,883.0538330078125
4,2,3,59434,1,2,675.2781982421875
2,1,4,72637,2,1,840.6085815429688
2,2,1,21449,2,2,323.82305908203125
2,1,3,53524,2,1,634.13232421875
3,1,2,53641,2,1,621.251708984375
1,1,1,48522,1,2,559.3406372070312
2,2,2,46511,1,1,549.4908447265625
3,1,3,48721,1,1,589.0855102539062
2,2,4,94084,1,2,1051.3463134765625
2,1,3,72968,1,1,842.0830688476562
3,1,4,67569,1,1,785.477294921875
0,1,4,89499,1,2,987.5626831054688
1,2,3,72000,1,2,782.4356079101562
1,2,1,30442,2,1,390.61541748046875
3,1,3,66480,1,2,760.6342163085938
0,1,2,28300,1,1,373.99066162109375
2,2,4,84002,1,2,942.2908325195312
0,1,3,82060,1,2,876.4962158203125
1,2,2,49772,1,1,591.3648071289062
2,2,2,39001,2,1,514.0119018554688
3,1,4,81071,2,2,926.9645385742188
1,1,2,47927,1,2,554.543701171875
4,2,3,79257,2,2,885.08837890625
2,2,2,44929,1,2,522.0497436523438
0,2,1,29640,1,1,384.3407287597656
3,1,2,41793,2,1,528.4530639648438
3,2,3,50244,2,1,602.8381958007812
3,2,4,93658,2,1,1069.6988525390625
3,2,2,48922,2,1,592.9654541015625
3,2,1,42780,1,2,519.4302368164062
3,2,4,79557,1,2,903.9480590820312
1,2,4,78530,2,1,879.0756225585938
4,2,1,44891,2,2,549.9232177734375
2,2,3,59627,2,2,724.3873901367188
2,2,2,57010,1,2,631.45263671875
1,2,4,62223,1,1,676.4916381835938
1,2,3,69412,1,1,825.1087036132812
1,2,3,64853,2,2,778.8169555664062
3,2,3,68645,2,1,797.90234375
1,1,2,38707,1,2,474.0938720703125
3,1,4,85869,2,1,936.794189453125
4,1,2,50665,1,1,559.8213500976562
4,1,2,56485,2,2,678.6901245117188
1,2,3,73687,2,2,848.6939697265625
0,1,4,73943,2,2,841.1257934570312
2,2,2,42581,1,1,507.3302917480469
4,1,1,31694,2,1,435.1954040527344
1,2,1,50619,2,1,593.4139404296875
2,2,2,38718,1,2,506.3138427734375
1,1,2,57950,2,2,662.7994995117188
4,2,3,50196,1,1,589.8809204101562
1,1,3,52447,2,1,597.4093627929688
2,2,2,50676,1,2,571.1904907226562
0,1,2,61342,1,2,692.1470336914062
4,1,2,55057,1,1,638.0833740234375
3,2,4,77777,2,1,890.8491821289062
4,1,2,44032,2,2,554.7274169921875
3,2,2,52326,1,1,609.06494140625
0,2,3,54970,2,1,663.8448486328125
4,1,4,79724,1,1,895.6321411132812
0,1,3,59682,1,1,694.3766479492188
1,2,2,51162,2,1,602.8639526367188
1,1,4,77232,2,1,883.3181762695312
3,1,4,70797,1,2,796.4102783203125
4,2,4,71878,2,2,856.5267333984375
1,1,2,49269,2,2,542.4602661132812
2,2,1,15041,2,1,259.0570373535156
1,2,2,51924,1,1,603.805908203125
0,1,1,37699,1,1,487.1038818359375
3,1,2,54185,1,2,641.3065795898438
3,2,3,81649,2,2,927.1426391601562
0,2,2,56661,2,1,666.5262451171875
2,2,1,20855,2,2,263.18780517578125
1,2,1,37179,1,1,446.8344421386719
3,2,4,78752,1,1,926.038818359375
2,1,1,35194,1,1,463.29315185546875
2,1,4,86288,1,1,948.9317016601562
1,1,3,79352,1,1,887.660888671875
1,1,2,36274,1,2,468.2081298828125
4,1,1,29738,1,1,391.95135498046875
3,1,4,98243,2,1,1098.1400146484375
1,1,3,63860,2,2,713.531005859375
3,1,4,97528,2,2,1067.079833984375
4,1,1,43277,1,1,518.082763671875
3,2,2,64623,1,1,750.5717163085938
1,2,3,59250,1,2,677.0881958007812
2,2,4,77800,1,2,866.1041870117188
1,1,2,31810,1,2,377.8974914550781
2,1,1,33165,1,1,440.66705322265625
1,2,3,44706,2,1,517.7592163085938
4,2,3,77585,2,2,871.878173828125
4,2,1,38011,2,2,501.5399169921875
3,2,2,54917,1,1,643.0076904296875
3,2,2,56508,1,2,690.9662475585938
1,2,4,92479,1,2,981.451904296875
4,2,2,51150,2,1,623.682861328125
4,2,1,20839,1,1,324.5626525878906
1,2,3,72225,2,2,791.1268920898438
2,2,2,32194,1,1,402.5155944824219
3,1,1,44351,2,1,514.927490234375
2,2,2,59966,2,2,674.8509521484375
3,1,2,57225,1,1,718.2486572265625
4,1,3,68388,1,2,780.4763793945312
0,2,4,79333,1,2,852.8508911132812
1,2,4,75367,2,1,850.0567016601562
2,1,1,24543,1,2,306.5516662597656
3,2,3,69472,2,1,772.6851806640625
2,2,2,45690,2,2,596.2405395507812
4,2,4,67208,1,1,795.3538818359375
0,2,1,18923,1,1,300.8913879394531
4,2,2,53859,2,2,653.1043701171875
2,1,1,36277,1,2,450.52947998046875
4,1,3,52251,1,1,667.2471313476562
2,1,2,52567,2,1,625.4059448242188
4,1,3,72421,1,2,829.0333862304688
4,1,2,36025,1,2,443.3861389160156
3,2,1,46503,2,1,555.0737915039062
1,2,1,24300,2,1,312.8588562011719
3,2,1,31687,2,1,393.9704895019531
3,1,1,23433,2,1,343.4947814941406
2,1,1,40974,1,1,519.6460571289062
3,2,3,43954,2,2,524.9453125
4,1,4,82662,1,2,953.6001586914062
2,2,3,65931,2,2,759.044189453125
2,2,2,48517,1,1,601.5339965820312
3,1,4,80106,1,2,908.0929565429688
0,2,1,53080,2,2,605.777587890625
2,2,1,42625,1,2,531.2761840820312
1,1,3,59895,2,1,709.158447265625
0,1,3,73038,2,1,799.62451171875
1,1,4,88255,2,2,939.8438110351562
0,2,2,49773,2,2,581.666259765625
3,1,1,48904,2,1,594.34375
3,1,4,73047,1,1,820.1343994140625
1,1,3,72321,2,1,837.2515258789062
4,1,4,82786,2,1,926.0892333984375
1,1,2,34377,2,1,458.916748046875
2,1,3,59672,1,1,710.0438842773438
3,2,1,25439,2,2,373.1071472167969
3,1,4,98831,2,2,1082.8829345703125
0,1,1,34285,1,2,460.6099853515625
3,2,3,67629,1,1,770.9022827148438
4,1,2,45944,1,2,566.7196655273438
4,1,4,93674,2,2,1040.5428466796875
4,2,2,60049,2,1,724.0226440429688
1,1,4,75776,2,2,872.3506469726562
1,2,2,54903,1,1,651.0697631835938
1,2,2,59775,2,1,734.3132934570312
1,2,4,89061,1,2,967.4522705078125
1,2,3,64429,2,1,740.0046997070312
4,2,3,70446,2,1,814.641845703125
1,1,3,69357,2,1,813.4254760742188
0,1,4,77137,1,1,822.8252563476562
0,1,2,38445,2,1,465.81060791015625
0,2,2,46470,2,1,529.4186401367188
0,1,1,11769,1,1,208.39320373535156
0,2,4,101834,1,2,1130.591552734375
1,1,1,46249,1,1,577.264404296875
3,2,3,83022,1,2,919.590576171875
1,2,4,88502,2,2,954.5115966796875
3,2,2,39997,1,2,476.3733825683594
4,2,4,91409,2,2,1002.1603393554688
0,2,1,40643,1,1,505.41680908203125
3,2,3,66185,2,2,797.6884155273438
3,1,1,25395,1,2,355.118408203125
4,1,4,82880,2,1,953.3705444335938
2,2,2,42054,2,1,548.1495361328125
3,1,2,48349,1,2,572.77490234375
3,2,2,53057,2,2,655.8743896484375
4,2,3,61271,2,1,700.4315185546875
0,2,2,41904,1,2,518.3582763671875
1,2,1,50356,2,1,617.729736328125
1,1,3,68707,1,1,793.6940307617188
0,1,1,31440,2,2,424.6720886230469
4,2,4,79967,1,2,897.794677734375
2,1,2,39276,2,1,501.84326171875
1,2,1,11297,2,1,248.48141479492188
4,2,1,28568,1,2,393.2023620605469
3,2,1,20900,1,1,305.7973937988281
2,2,2,62114,2,1,735.6957397460938
2,2,4,74994,1,2,828.4261474609375
1,2,2,47406,1,2,579.1483764648438
1,2,3,63552,1,2,722.9577026367188
4,2,2,42927,1,1,532.026611328125
4,1,4,85864,2,1,975.5359497070312
4,1,3,63588,1,2,747.7188110351562
3,1,1,29695,1,1,401.7398376464844
3,1,2,52349,2,1,638.5896606445312
3,2,1,42895,2,2,516.2099609375
0,2,3,61455,1,1,714.2564086914062
3,1,1,35281,2,1,459.49627685546875
4,1,4,94605,1,2,1048.3048095703125
4,2,1,48015,1,2,574.7352905273438
2,1,2,54393,1,2,643.5653686523438
1,2,2,45092,2,1,556.0758666992188
4,2,1,37536,2,2,473.5125427246094
4,2,3,57774,2,1,687.1396484375
0,2,2,40605,1,2,480.093994140625
3,2,2,34395,2,1,433.1976623535156
1,1,2,62785,1,1,707.2857055664062
4,1,1,39476,1,2,506.4573974609375
4,2,3,62327,1,2,731.0643310546875
4,2,2,53921,1,2,600.9325561523438
4,2,1,33733,2,1,423.89007568359375
3,2,2,33906,2,1,435.78192138671875
2,2,3,80611,1,1,908.1405029296875
1,1,4,89103,2,2,975.6146850585938
3,1,2,44153,2,1,583.2439575195312
1,2,3,76534,1,2,851.4385986328125
2,1,2,57494,1,2,657.0113525390625
0,2,3,58926,2,2,664.0023803710938
3,2,4,82379,2,2,931.3110961914062
3,1,4,54578,1,2,653.2362670898438
1,1,1,20259,2,2,252.1983184814453
0,1,4,82870,1,1,925.0960083007812
0,1,3,73481,2,1,826.9634399414062
3,1,3,55063,1,1,651.8443603515625
4,2,4,92860,1,1,1032.804443359375
3,1,3,61709,1,2,696.780029296875
1,2,1,33285,2,2,445.1247863769531
3,2,2,53326,2,2,642.8052368164062
3,1,4,75615,2,1,909.8861694335938
0,2,2,60247,2,2,707.7030639648438
3,2,4,75582,2,2,843.0616455078125
4,1,1,33660,2,1,434.2980041503906
1,1,1,15859,2,1,298.68115234375
1,2,1,27457,2,2,397.6200866699219
4,1,3,55383,1,2,641.2975463867188
0,2,2,42772,2,1,513.0151977539062
4,1,4,78370,1,2,877.8809814453125
2,2,4,81063,2,1,911.995361328125
1,1,3,72573,2,2,793.6976318359375
4,2,3,63136,1,2,728.329833984375
2,1,4,68180,2,2,793.0916748046875
1,2,2,48341,2,1,621.9728393554688
1,2,1,38511,1,1,482.02764892578125
3,1,3,50426,1,2,614.4374389648438
4,1,1,19805,2,2,320.22186279296875
3,1,3,64715,1,2,756.934326171875
3,1,3,79015,1,1,891.8563232421875
4,2,3,61905,2,2,689.8432006835938
3,2,2,50574,2,2,571.0239868164062
2,2,2,68175,2,2,742.0654296875
2,1,4,102744,1,2,1102.3150634765625
0,1,3,56584,2,2,662.9297485351562
3,2,2,46311,2,1,606.1797485351562
4,2,3,72396,2,1,816.3162841796875
4,2,1,59254,2,1,691.518798828125
2,1,3,57971,2,2,645.9794311523438
4,1,3,69479,1,2,807.4969482421875
1,1,1,62251,1,1,715.359375
1,1,1,23309,1,1,320.39404296875
3,1,3,72599,2,2,829.5413208007812
4,2,4,92273,1,2,1022.502197265625
0,1,3,46826,1,1,572.8165283203125
1,1,3,55523,2,1,643.3821411132812
4,2,4,69286,1,1,759.2320556640625
3,2,3,65614,2,2,712.1874389648438
1,2,4,65473,1,1,721.9015502929688
1,1,1,21338,2,2,290.1876220703125
2,2,3,70801,1,1,823.4910278320312
3,1,4,77246,2,1,863.0204467773438
1,2,4,74076,2,2,816.2028198242188
3,2,2,59457,1,1,699.5446166992188
2,1,3,74627,2,2,846.6156005859375
0,1,4,64119,2,1,739.2581787109375
1,1,1,53568,2,2,663.0880737304688
4,1,1,44227,1,1,552.6227416992188
1,2,3,54945,2,2,624.9448852539062
3,2,1,30978,2,1,391.3937683105469
2,1,4,65550,2,1,770.6707763671875
1,2,4,95053,1,2,1033.439697265625
0,1,4,75939,2,2,819.21923828125
2,2,3,69823,1,2,786.0833740234375
0,1,3,46627,1,1,560.3394165039062
0,2,2,61454,2,1,749.4755249023438
1,2,2,32144,1,2,437.1747741699219
1,1,3,66389,1,1,769.8560180664062
2,1,3,82657,1,1,927.600341796875
2,1,3,82512,2,2,932.3658447265625
2,2,4,79483,2,1,901.4026489257812
2,2,2,48723,2,1,572.9000244140625
1,2,2,50795,2,2,614.98876953125
1,1,2,41918,2,2,539.9556274414062
4,1,2,65900,1,2,750.9923095703125
0,2,1,17482,1,2,258.3768310546875
1,2,3,65247,2,1,766.5883178710938
3,1,4,73946,1,2,822.7036743164062
1,2,2,39394,2,1,499.674560546875
4,1,4,83601,2,2,931.2200317382812
3,1,2,50809,1,2,592.7967529296875
3,2,2,53502,2,2,613.9086303710938
4,1,1,39816,1,2,482.8465576171875
4,2,1,51968,1,1,632.5457153320312
4,1,1,46706,2,1,605.2256469726562
3,2,3,66178,1,1,763.1055908203125
3,2,4,75457,2,1,848.2659301757812
1,2,3,61432,1,1,733.986083984375
4,2,2,69462,2,2,773.683837890625
0,2,3,98362,2,2,1053.3353271484375
4,2,2,74825,2,2,831.9599609375
2,1,1,31943,2,2,418.9936828613281
2,1,1,22356,2,1,351.08587646484375
1,1,2,44526,1,1,555.2296752929688
2,2,1,29815,1,2,351.2403259277344
0,2,4,81111,2,2,907.8155517578125
0,2,4,80360,1,2,889.3450317382812
4,1,4,69652,1,2,778.8553466796875
1,1,3,62030,2,2,690.6536254882812
2,1,1,39120,1,1,452.8807678222656
1,2,1,47494,1,1,571.0753173828125
1,1,1,26341,2,2,372.7757263183594
1,1,1,20188,1,1,318.2101745605469
0,1,1,24988,2,1,367.16131591796875
3,2,3,65462,1,2,760.4143676757812
2,1,3,66409,2,2,783.74267578125
2,2,3,58141,1,2,643.4472045898438
2,1,2,80284,1,2,886.3765869140625
4,1,4,54469,2,1,645.1290283203125
2,1,2,56934,1,2,678.9164428710938
3,2,1,43417,2,2,561.7947998046875
2,1,1,31644,1,2,388.0791015625
3,1,4,72561,2,2,768.6419677734375
2,2,4,97487,1,2,1083.2391357421875
3,2,3,97182,2,1,1082.3726806640625
3,1,4,80450,2,2,890.8379516601562
0,1,2,46308,1,1,571.45068359375
2,2,4,73446,1,1,816.82958984375
4,2,1,34256,1,2,419.9671325683594
4,1,1,36188,1,2,468.7589416503906
3,2,4,66076,2,1,795.4910278320312
2,2,1,27229,1,2,368.14715576171875
2,2,3,74598,2,1,828.2181396484375
4,1,1,52084,2,2,630.8309936523438
3,1,3,75991,2,1,868.2010498046875
3,1,2,60098,2,1,695.5106811523438
2,1,3,62501,2,2,727.7515258789062
1,2,2,81195,2,2,920.3460083007812
1,1,4,75811,2,2,900.1107177734375
4,2,4,69890,1,2,809.9273681640625
4,2,4,87014,2,2,957.0760498046875
2,1,4,68341,2,1,805.5426635742188
2,1,1,53170,1,2,616.7561645507812
2,2,4,101392,2,2,1136.1678466796875
2,1,1,41259,2,2,533.2061157226562
2,1,4,87698,1,2,953.176513671875
3,2,4,95520,1,1,1068.085693359375
1,2,1,39728,2,2,455.3074645996094
2,1,1,26457,1,1,333.919921875
3,1,3,78562,2,2,858.2744750976562
3,1,3,74988,2,1,845.8387451171875
4,1,4,64238,1,2,751.4398803710938
3,1,1,36704,2,1,477.6524353027344
1,2,2,68184,1,1,760.5157470703125
2,2,4,77955,1,2,877.7265625
0,2,3,62317,2,1,738.50146484375
3,1,4,70755,2,1,813.6273193359375
2,1,3,78132,2,1,886.5455932617188
1,1,3,47393,1,1,545.9260864257812
3,2,1,47085,2,2,562.6770629882812
4,2,3,48068,1,2,559.8629150390625
1,2,1,32136,1,2,420.5502624511719
3,2,4,95138,1,2,1019.9789428710938
1,2,1,45313,1,1,559.7820434570312
3,2,1,28636,1,2,375.567626953125
4,1,4,84298,1,1,920.8401489257812
3,2,3,72649,1,1,815.5689697265625
4,2,2,50025,2,2,566.4827270507812
3,1,3,47317,1,1,555.02978515625
1,1,1,34532,2,1,461.2333679199219
2,2,3,65028,2,1,752.399658203125
3,2,3,63708,2,1,730.2734985351562
3,2,1,37552,2,2,463.92205810546875
1,2,4,49753,2,1,623.3533935546875
4,1,2,52890,2,2,621.776611328125
2,2,3,61565,1,1,706.8607788085938
0,2,3,45574,2,1,589.8709106445312
2,1,2,37376,2,2,459.8787536621094
0,2,2,46416,1,2,545.1259765625
1,2,1,46589,2,2,549.1947021484375
3,1,4,85877,2,1,943.8341674804688
2,2,3,66722,2,1,724.5076293945312
2,2,1,48971,2,1,599.0428466796875
1,2,4,98376,1,1,1086.51904296875
2,1,2,48523,2,2,583.8668212890625
2,2,3,64322,1,1,722.4154663085938
3,1,4,80523,2,2,926.4005126953125
3,2,4,91840,2,2,1000.72802734375
3,1,3,78193,2,1,873.4505615234375
3,2,2,47954,1,2,577.343017578125
3,1,1,38070,2,2,465.6432189941406
2,1,3,49264,1,2,596.9158325195312
3,1,4,82764,2,1,918.408935546875
2,2,4,83773,1,1,926.4007568359375
4,2,1,38464,1,1,468.0365295410156
1,1,3,67747,1,1,776.1289672851562
1,1,1,24946,1,1,344.5376892089844
4,1,4,81378,1,2,974.3934936523438
1,1,3,65610,1,2,777.052978515625
4,1,4,81792,2,1,924.4624633789062
1,2,4,79904,1,2,913.066162109375
0,2,4,87104,1,2,965.2952880859375
0,1,4,101572,1,2,1113.486328125
1,2,2,52524,2,2,595.4065551757812
4,1,1,22768,1,2,332.4587097167969
3,2,1,53572,2,2,655.8359985351562
2,2,2,43195,1,1,544.7203369140625
1,1,4,64893,2,2,747.1163330078125
4,1,2,46864,2,2,571.3598022460938
2,2,1,34675,2,2,460.2944641113281
2,2,4,87636,1,1,1013.2767333984375
2,1,2,48309,2,1,572.0696411132812
4,2,4,92209,1,1,1038.905517578125
3,1,4,84160,2,1,923.1316528320312
2,2,4,96096,2,1,1061.3638916015625
2,2,2,43022,2,1,548.7536010742188
1,1,1,26777,2,1,399.1616516113281
3,1,1,38776,2,1,524.65966796875
2,1,4,74187,1,2,829.5123901367188
2,1,4,56797,2,1,629.8385009765625
1,1,1,45658,1,2,538.343994140625
3,1,4,95794,2,1,1060.1871337890625
4,2,2,44394,2,1,544.6361694335938
1,2,4,68092,1,1,792.7958984375
1,2,1,32501,1,2,431.4559631347656
0,1,3,69191,2,1,797.2014770507812
2,2,1,34060,1,1,419.9015197753906
3,2,1,34384,2,2,448.2923583984375
0,1,4,86752,2,1,970.66064453125
1,1,3,61691,2,2,738.38720703125
4,2,2,56883,2,2,682.137451171875
4,1,2,44029,1,2,511.125732421875
0,1,1,48436,1,2,529.500732421875
2,1,4,99002,1,1,1101.8048095703125
2,1,3,49465,1,1,594.7890625
3,2,3,67332,2,2,787.03564453125
1,1,4,70409,2,1,794.7974243164062
0,2,2,39070,2,2,485.7952575683594
4,1,2,45503,2,1,567.90087890625
4,1,1,32434,2,1,439.57122802734375
0,2,3,74712,1,1,849.0646362304688
1,2,4,98548,2,2,1051.432861328125
3,2,3,63487,2,2,730.435302734375
0,2,4,99063,2,2,1100.9996337890625
2,2,2,47060,2,1,545.7745971679688
3,2,3,62298,2,2,724.083984375
3,1,2,71064,2,1,836.071533203125
0,2,3,71746,1,1,839.3950805664062
4,1,2,50115,1,1,588.2670288085938
2,2,4,89376,1,1,964.9020385742188
1,2,2,56299,1,2,667.1328735351562
2,1,2,44271,1,2,538.4501953125
4,2,1,47256,1,1,591.208984375
1,2,4,71265,2,2,801.7978515625
2,2,1,27209,2,1,371.5077209472656
2,1,2,51488,2,2,586.6452026367188
1,1,4,76736,1,2,863.8748168945312
4,2,1,61049,2,1,710.6138305664062
3,1,3,59560,1,1,666.6651611328125
4,2,1,45293,2,1,515.0514526367188
3,2,2,28128,2,1,378.70611572265625
3,2,2,44707,2,1,575.037109375
3,2,3,70926,1,1,820.2451782226562
3,1,2,55861,2,1,660.9288940429688
2,2,3,71408,1,2,822.8890991210938
4,1,4,69197,1,2,790.4340209960938
0,1,3,75269,2,2,845.2259521484375
1,1,3,55671,1,1,678.950927734375
4,1,3,78366,1,2,898.6652221679688
2,2,3,77584,1,2,855.2691650390625
2,2,2,62401,1,1,706.8285522460938
2,1,2,68218,2,1,751.2203979492188
3,2,3,67426,1,1,792.4072875976562
4,1,2,57822,1,2,698.0778198242188
3,1,3,67300,2,2,786.6304321289062
3,1,2,60489,1,2,704.71630859375
4,2,4,87503,2,1,979.17236328125
2,1,2,51345,1,2,598.3104248046875
3,1,2,41270,1,1,499.9870300292969
