AGEP,SEX,EDU,MSP,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
52.0,1,12,2,142148.0,1,1,103.48321533203125
73.0,1,11,1,120215.0,2,2,146.15769958496094
48.0,1,8,1,91543.0,1,0,102.74146270751953
55.0,1,3,1,56471.0,3,0,149.0785369873047
51.0,1,7,2,90553.0,1,2,105.95147705078125
24.0,1,6,1,73501.0,2,0,146.0758056640625
60.0,1,10,2,122371.0,2,1,127.4826431274414
35.0,1,4,2,61323.0,2,0,142.0074462890625
65.0,1,1,1,35776.0,1,1,112.2463607788086
31.0,2,8,1,100813.0,2,1,143.92874145507812
56.0,1,2,2,30216.0,3,0,147.10531616210938
49.0,1,1,2,32845.0,2,0,132.28396606445312
92.0,2,5,1,69165.0,1,0,126.5283432006836
28.0,2,2,1,38793.0,1,1,110.890380859375
34.0,1,8,2,109177.0,1,2,122.79661560058594
66.0,1,4,1,58218.0,3,1,163.54525756835938
57.0,2,10,2,119441.0,2,1,131.89735412597656
22.0,1,8,2,92884.0,3,2,160.77479553222656
21.0,1,1,1,23252.0,1,0,136.80764770507812
28.0,1,4,1,58191.0,2,0,145.1763153076172
76.0,2,5,2,70035.0,2,2,158.2521209716797
88.0,2,9,2,113525.0,2,1,146.7511444091797
45.0,1,10,1,128211.0,3,0,168.74285888671875
18.0,1,3,2,40443.0,1,1,114.2977066040039
39.0,1,10,2,118008.0,1,0,105.66966247558594
67.0,2,5,2,75924.0,1,1,105.47212982177734
91.0,2,7,2,96671.0,1,1,102.50067138671875
77.0,2,8,2,90178.0,2,1,138.22361755371094
40.0,1,12,1,137429.0,2,2,144.1301727294922
20.0,1,7,2,91633.0,2,2,129.82064819335938
81.0,2,7,2,89057.0,3,0,161.43089294433594
89.0,1,9,2,109578.0,2,2,130.25946044921875
86.0,2,3,1,53836.0,3,2,159.0194854736328
57.0,1,6,1,81718.0,1,0,135.32388305664062
34.0,2,7,1,93339.0,1,2,115.68513488769531
23.0,2,1,2,31396.0,2,0,144.9930419921875
49.0,2,9,2,108916.0,1,2,117.73899841308594
41.0,1,4,2,63660.0,3,2,161.9759521484375
65.0,1,12,2,144322.0,2,2,141.81106567382812
54.0,2,3,1,55266.0,3,2,172.94761657714844
45.0,1,12,1,136211.0,3,1,123.025146484375
60.0,1,6,2,79914.0,2,0,134.2093505859375
39.0,2,9,2,110940.0,1,1,120.17793273925781
68.0,1,10,1,109874.0,2,0,127.98103332519531
87.0,2,4,1,58905.0,1,0,104.79302978515625
55.0,1,7,1,78193.0,2,0,132.73353576660156
57.0,2,8,2,96349.0,3,2,156.06861877441406
63.0,2,3,1,43533.0,3,1,154.2106475830078
48.0,2,7,2,93276.0,3,0,163.79464721679688
80.0,2,12,1,141252.0,3,1,144.37257385253906
30.0,1,9,1,104549.0,1,0,121.5150375366211
92.0,2,10,2,119119.0,2,0,144.47064208984375
87.0,1,6,1,76802.0,3,0,141.51559448242188
49.0,1,12,2,134805.0,3,2,144.4598846435547
24.0,2,3,1,54887.0,3,0,143.28948974609375
69.0,2,4,1,68002.0,2,1,134.9622344970703
58.0,1,12,2,137226.0,2,0,150.17266845703125
28.0,2,5,1,69102.0,1,0,117.67494201660156
67.0,1,10,2,126312.0,3,0,146.67828369140625
67.0,1,5,1,69502.0,3,0,168.984375
84.0,1,5,1,70229.0,2,2,133.11805725097656
74.0,2,6,2,77061.0,2,1,145.63296508789062
54.0,1,8,2,99434.0,2,1,125.16365814208984
48.0,2,2,2,43703.0,3,1,165.23800659179688
43.0,2,7,1,93435.0,1,1,117.92459106445312
59.0,1,8,2,109057.0,3,1,147.89796447753906
57.0,1,12,2,132829.0,1,1,129.8136749267578
43.0,1,8,2,100679.0,2,1,143.70367431640625
87.0,1,2,2,43249.0,1,2,114.55963134765625
22.0,1,3,1,54336.0,3,1,152.33424377441406
75.0,2,2,1,31395.0,2,1,131.65711975097656
29.0,2,4,2,65808.0,2,2,134.84703063964844
42.0,1,5,2,75491.0,2,1,148.77452087402344
42.0,2,8,2,102850.0,2,0,150.33396911621094
68.0,2,11,2,129709.0,3,0,160.87124633789062
55.0,2,4,2,64497.0,1,1,137.6644744873047
93.0,2,4,1,53798.0,2,1,160.2398681640625
79.0,1,2,1,39576.0,2,2,121.55577087402344
27.0,1,9,1,108205.0,3,1,162.78684997558594
40.0,1,11,1,131989.0,3,1,157.12481689453125
88.0,1,10,2,120252.0,3,0,154.45721435546875
93.0,1,3,2,42051.0,1,1,119.72530364990234
73.0,1,5,2,71180.0,2,0,141.242431640625
16.0,1,6,2,76222.0,3,0,156.39666748046875
43.0,2,9,2,107513.0,1,2,127.49172973632812
73.0,2,10,2,124002.0,3,2,161.4803466796875
91.0,2,6,2,76468.0,2,2,134.7080841064453
74.0,1,10,2,121778.0,3,2,150.74398803710938
83.0,2,6,1,83787.0,3,0,159.38388061523438
23.0,1,10,1,122282.0,1,1,108.3823013305664
59.0,1,2,2,38332.0,1,0,120.42520904541016
89.0,1,4,1,68909.0,3,1,173.16452026367188
49.0,1,11,1,132578.0,2,2,129.17918395996094
28.0,1,4,2,65174.0,1,1,97.92449951171875
53.0,1,1,2,21687.0,1,0,134.01577758789062
71.0,1,4,1,60956.0,3,0,160.66322326660156
21.0,2,11,2,136226.0,2,1,135.6287078857422
17.0,1,6,2,74572.0,3,1,150.97341918945312
93.0,1,2,1,33203.0,1,2,127.783447265625
49.0,1,3,1,50942.0,2,0,128.40771484375
40.0,2,7,2,91209.0,2,2,141.1923828125
84.0,1,5,1,70996.0,1,0,118.13247680664062
54.0,1,7,1,89685.0,1,1,121.39503479003906
78.0,2,2,2,36670.0,2,2,137.92576599121094
79.0,2,12,1,143679.0,2,1,133.00485229492188
60.0,2,9,1,114014.0,1,0,114.21245574951172
38.0,1,2,2,32210.0,1,2,103.37490844726562
56.0,1,10,1,120166.0,2,2,123.15330505371094
69.0,2,5,2,76877.0,3,0,166.53207397460938
70.0,1,1,1,27079.0,3,2,183.4351806640625
68.0,1,1,2,34185.0,3,2,164.45460510253906
93.0,1,11,1,134633.0,2,0,148.1676483154297
71.0,2,12,2,135560.0,1,0,120.02751159667969
73.0,1,9,1,114114.0,3,2,160.95498657226562
83.0,2,4,2,58818.0,3,0,147.93112182617188
62.0,2,6,1,73960.0,3,0,170.40786743164062
78.0,1,8,2,100909.0,1,0,129.40293884277344
45.0,2,9,1,113822.0,3,1,160.12713623046875
32.0,1,2,1,36252.0,2,1,136.18807983398438
50.0,2,11,1,131039.0,2,0,139.9215087890625
55.0,1,4,1,63735.0,1,0,116.89064025878906
51.0,2,6,2,84887.0,1,1,132.71044921875
17.0,1,3,2,50832.0,3,1,153.6999969482422
35.0,1,11,2,136122.0,2,2,144.68125915527344
81.0,1,1,2,32713.0,3,0,135.9805450439453
56.0,1,11,1,129472.0,3,0,158.9571990966797
28.0,1,7,2,89368.0,3,0,149.8054962158203
41.0,1,6,2,79816.0,2,1,151.4921112060547
87.0,2,3,1,50036.0,2,0,150.24119567871094
79.0,2,2,1,38951.0,2,2,164.85494995117188
69.0,2,4,2,57740.0,2,2,146.98828125
62.0,1,9,2,109929.0,2,2,135.01409912109375
29.0,2,9,2,107516.0,3,0,164.31576538085938
19.0,1,8,2,110539.0,3,0,162.85899353027344
83.0,2,3,2,53543.0,1,0,97.67740631103516
51.0,2,7,1,91580.0,2,2,133.70147705078125
33.0,1,1,2,29004.0,3,0,157.6359405517578
43.0,2,7,1,95061.0,2,0,122.26951599121094
51.0,1,9,2,104033.0,3,2,155.58755493164062
53.0,1,11,2,120985.0,1,1,134.6892547607422
28.0,1,11,2,133097.0,1,2,122.44544219970703
53.0,2,10,2,121509.0,3,1,158.8549041748047
40.0,2,9,2,111539.0,3,2,177.6942901611328
74.0,2,1,1,29057.0,2,1,146.05322265625
30.0,1,2,1,38942.0,3,1,157.71363830566406
30.0,2,5,1,63193.0,2,0,146.86370849609375
61.0,1,6,2,83224.0,2,0,142.488037109375
48.0,1,8,2,102878.0,2,0,143.705322265625
34.0,1,4,2,67050.0,1,0,118.54814910888672
64.0,1,7,2,89744.0,3,1,170.91891479492188
20.0,1,8,1,100856.0,1,0,115.7179946899414
62.0,2,5,1,66902.0,3,1,165.71694946289062
57.0,1,9,2,117080.0,2,2,127.64152526855469
30.0,2,6,1,76759.0,3,0,142.4691619873047
40.0,2,4,1,70250.0,2,1,148.59695434570312
52.0,1,4,2,51044.0,3,0,155.82643127441406
25.0,2,12,2,136921.0,2,0,158.32546997070312
27.0,1,4,2,60354.0,2,1,154.46043395996094
57.0,1,10,1,110307.0,2,1,131.35154724121094
77.0,1,3,1,49646.0,3,1,172.961669921875
86.0,1,5,2,76489.0,2,0,132.12442016601562
78.0,1,8,1,93197.0,3,0,165.30784606933594
84.0,2,4,2,54641.0,2,2,128.43751525878906
43.0,1,5,2,79528.0,1,2,108.8359375
61.0,2,1,2,26212.0,2,1,122.20809173583984
34.0,1,11,1,129083.0,2,1,127.04078674316406
82.0,2,2,2,32598.0,1,0,120.97637176513672
80.0,1,11,1,127168.0,2,1,144.48910522460938
45.0,1,9,2,109225.0,1,0,123.32316589355469
49.0,2,1,1,34696.0,2,0,147.0181121826172
56.0,2,5,2,75010.0,1,0,128.56629943847656
52.0,1,2,1,38484.0,1,1,131.36911010742188
40.0,1,4,2,60656.0,2,0,136.1318359375
40.0,2,4,1,55896.0,1,1,110.81584167480469
95.0,1,9,1,108426.0,2,0,135.19483947753906
23.0,1,9,2,114837.0,3,0,175.67112731933594
31.0,2,1,2,27528.0,2,0,121.96846008300781
72.0,2,3,1,59201.0,1,2,124.56436157226562
61.0,2,11,2,130952.0,1,1,132.2501983642578
70.0,2,7,1,91680.0,2,1,133.9803466796875
21.0,1,8,1,103211.0,1,1,116.5975341796875
88.0,1,9,1,112937.0,3,2,168.40089416503906
18.0,1,10,2,119493.0,1,0,135.69602966308594
65.0,2,1,2,28977.0,3,2,155.57994079589844
21.0,2,6,2,75936.0,1,0,108.46239471435547
71.0,1,12,1,139819.0,2,0,163.79299926757812
17.0,2,9,2,115383.0,3,2,179.52325439453125
83.0,1,6,2,74476.0,2,0,154.51148986816406
70.0,2,5,1,82200.0,2,2,151.8703155517578
65.0,1,1,1,33967.0,2,0,137.03182983398438
57.0,1,4,1,66375.0,2,0,131.70175170898438
44.0,2,3,1,40390.0,2,0,132.87576293945312
39.0,2,8,1,94795.0,2,2,127.95985412597656
82.0,2,8,1,104516.0,1,0,123.95524597167969
28.0,1,5,2,73498.0,2,0,144.35044860839844
43.0,2,2,2,38828.0,1,0,133.22555541992188
19.0,1,2,2,35763.0,1,0,107.48568725585938
50.0,2,6,2,84021.0,1,0,105.08292388916016
39.0,2,3,1,55185.0,1,0,109.9726791381836
51.0,1,3,1,54515.0,1,0,121.61689758300781
74.0,1,4,2,61109.0,3,2,164.843994140625
85.0,1,7,1,84702.0,2,0,149.54469299316406
56.0,2,6,2,70501.0,1,0,116.30365753173828
82.0,2,2,1,29489.0,1,1,116.07974243164062
93.0,2,11,1,122264.0,3,1,158.38754272460938
84.0,2,6,2,83086.0,1,2,133.68775939941406
75.0,2,12,1,139657.0,2,1,138.91485595703125
73.0,2,9,2,99331.0,2,0,133.95106506347656
64.0,2,12,1,136055.0,1,0,126.84574890136719
68.0,1,11,2,136977.0,3,1,145.11947631835938
59.0,1,11,2,126542.0,3,2,172.0970458984375
29.0,1,5,2,65332.0,1,1,128.5246124267578
58.0,2,9,1,102429.0,2,0,123.81913757324219
85.0,1,4,2,60486.0,2,2,130.2572021484375
61.0,1,2,2,44227.0,1,0,120.45775604248047
23.0,1,4,1,59930.0,3,2,154.69515991210938
75.0,1,12,1,144335.0,2,2,152.759521484375
28.0,1,2,2,39794.0,2,1,131.03956604003906
26.0,1,3,2,52517.0,2,2,125.4762191772461
31.0,2,11,2,126458.0,1,0,116.85913848876953
20.0,1,12,2,144087.0,1,1,125.95054626464844
56.0,2,10,2,117756.0,3,0,172.45216369628906
93.0,1,3,1,46203.0,3,0,154.71002197265625
65.0,2,8,2,100805.0,2,2,147.09107971191406
38.0,2,12,2,138612.0,2,2,127.7664794921875
38.0,1,12,2,140204.0,1,0,118.12628936767578
84.0,2,9,1,113056.0,2,0,144.25021362304688
64.0,2,2,2,36718.0,2,2,147.86216735839844
90.0,2,11,2,123466.0,1,1,105.84038543701172
81.0,2,4,2,61554.0,3,1,155.70233154296875
49.0,1,4,2,64340.0,2,0,138.64659118652344
42.0,2,1,1,23518.0,3,0,150.67916870117188
40.0,2,5,2,75485.0,2,0,142.5240478515625
64.0,1,3,1,45752.0,3,1,164.4274444580078
60.0,1,9,1,104679.0,3,0,149.22691345214844
39.0,2,10,2,120767.0,2,2,139.3019561767578
91.0,1,2,2,38936.0,2,2,131.88650512695312
32.0,1,8,1,96901.0,2,0,143.64779663085938
90.0,2,9,1,102820.0,3,0,167.67727661132812
60.0,1,3,2,54814.0,3,1,139.7523956298828
53.0,2,8,1,98331.0,1,2,155.39576721191406
94.0,1,3,1,53877.0,2,0,141.40687561035156
89.0,1,7,2,82922.0,2,1,133.42518615722656
75.0,1,6,1,75969.0,1,0,146.4711456298828
48.0,2,8,2,107612.0,2,1,131.85000610351562
72.0,2,8,1,91173.0,2,0,126.18412017822266
59.0,2,2,1,41882.0,1,2,125.72716522216797
43.0,2,12,2,138648.0,2,1,132.63360595703125
68.0,2,9,2,110598.0,3,0,154.06422424316406
19.0,1,2,2,48023.0,3,2,170.33934020996094
21.0,2,8,1,97639.0,2,1,128.52395629882812
57.0,2,3,1,50171.0,2,0,136.76962280273438
94.0,2,9,2,110472.0,2,0,146.61959838867188
22.0,1,4,1,61867.0,2,2,137.24070739746094
54.0,2,1,1,29382.0,3,1,171.7496337890625
50.0,2,4,1,51322.0,3,0,173.0018310546875
37.0,2,5,1,62989.0,2,0,131.8526153564453
51.0,1,8,2,107012.0,2,2,143.91082763671875
74.0,1,11,1,126971.0,2,0,159.25689697265625
89.0,2,9,2,109188.0,3,1,157.87327575683594
37.0,2,1,1,38795.0,3,2,159.630126953125
91.0,2,8,1,102906.0,1,1,122.06404113769531
88.0,1,9,2,114180.0,2,0,152.927978515625
67.0,2,6,1,86096.0,1,2,107.68156433105469
61.0,1,10,2,122952.0,3,0,155.20361328125
82.0,1,4,1,59360.0,2,2,162.1503448486328
78.0,1,10,2,127497.0,2,2,143.51187133789062
32.0,1,7,1,88758.0,1,0,130.15675354003906
59.0,1,6,1,87066.0,3,1,169.41310119628906
84.0,1,3,2,37980.0,1,1,117.10835266113281
41.0,2,1,1,38937.0,2,1,121.04878997802734
75.0,1,11,2,133654.0,1,0,117.16287994384766
90.0,1,8,1,101924.0,1,0,105.32072448730469
58.0,1,6,2,78354.0,3,0,150.5481719970703
23.0,1,2,2,42934.0,1,2,121.78267669677734
38.0,1,9,2,112971.0,2,0,129.17713928222656
23.0,1,9,1,113009.0,2,1,119.38377380371094
74.0,1,3,1,58896.0,1,0,122.60688018798828
27.0,2,1,2,31333.0,2,0,146.8646697998047
23.0,1,9,1,114885.0,2,0,137.6623077392578
76.0,2,10,1,118316.0,1,0,130.9542236328125
57.0,2,7,2,95747.0,3,0,156.96200561523438
68.0,1,2,1,29321.0,2,0,150.72216796875
36.0,1,4,1,54959.0,2,0,141.62274169921875
82.0,2,8,1,98034.0,3,1,148.6397247314453
81.0,2,5,2,72995.0,3,2,178.19488525390625
66.0,1,9,2,106427.0,2,2,143.55545043945312
29.0,2,9,2,111060.0,3,1,162.4962921142578
49.0,1,3,1,41966.0,1,2,107.36736297607422
39.0,2,2,1,33065.0,3,0,168.9938507080078
83.0,1,12,2,136624.0,2,0,136.5748291015625
39.0,2,3,1,45978.0,2,1,126.84925842285156
40.0,1,3,1,57367.0,1,0,117.77185821533203
93.0,2,9,2,102674.0,2,2,152.4522705078125
17.0,2,8,2,95100.0,3,1,180.4345703125
45.0,2,7,1,84788.0,3,2,174.7578887939453
85.0,1,6,2,74768.0,2,2,133.9689178466797
66.0,1,2,1,36824.0,1,1,116.61217498779297
45.0,2,10,2,117567.0,3,2,169.4230499267578
46.0,2,8,2,102187.0,3,1,144.09788513183594
32.0,1,10,1,125501.0,3,2,156.35623168945312
83.0,2,12,2,138913.0,1,0,114.47144317626953
53.0,1,6,1,82553.0,2,1,155.4683837890625
60.0,2,8,2,103704.0,1,1,117.31697082519531
54.0,1,7,1,91282.0,2,0,149.01010131835938
25.0,2,6,1,78913.0,3,0,171.01437377929688
20.0,1,2,1,39202.0,3,1,154.95843505859375
31.0,2,11,2,133934.0,3,0,170.64788818359375
46.0,1,2,1,36936.0,2,1,145.47683715820312
55.0,2,12,1,138901.0,1,0,112.59996032714844
61.0,2,4,2,64801.0,2,0,125.39863586425781
93.0,1,4,2,61056.0,1,0,126.16375732421875
49.0,1,8,2,100071.0,1,0,127.57791900634766
61.0,2,9,2,108521.0,1,1,106.86470794677734
48.0,1,2,2,45076.0,1,1,112.62784576416016
70.0,2,9,1,111473.0,1,0,135.53875732421875
23.0,2,10,1,114939.0,2,0,155.72344970703125
74.0,2,9,2,107735.0,1,0,118.89352416992188
69.0,1,7,1,91343.0,2,0,144.9116668701172
89.0,2,5,2,72984.0,2,0,131.58956909179688
77.0,1,3,2,50402.0,2,0,129.96707153320312
27.0,2,11,1,130502.0,1,0,126.53048706054688
76.0,2,8,1,99344.0,2,0,121.08355712890625
90.0,1,3,2,53204.0,3,0,160.59075927734375
52.0,1,10,1,120954.0,3,0,164.6787567138672
69.0,2,5,2,77174.0,1,2,117.87391662597656
24.0,2,6,1,79740.0,2,2,149.31019592285156
45.0,2,6,1,83079.0,1,1,126.45756530761719
79.0,1,10,1,116539.0,2,1,134.89849853515625
48.0,1,11,1,136933.0,3,2,169.19677734375
41.0,1,5,1,70861.0,3,0,158.76678466796875
22.0,1,7,1,92212.0,1,1,139.11502075195312
61.0,2,1,1,38439.0,2,1,138.06625366210938
62.0,2,9,2,111830.0,2,0,132.5240478515625
80.0,2,12,2,139706.0,3,2,167.11721801757812
79.0,1,3,1,54479.0,3,0,138.15821838378906
47.0,2,6,1,75667.0,1,2,110.4552230834961
23.0,1,10,2,118508.0,1,2,132.21841430664062
28.0,1,7,2,89884.0,3,1,163.75411987304688
16.0,2,7,2,84303.0,2,0,139.64126586914062
29.0,2,12,1,140984.0,2,1,120.36917877197266
64.0,2,1,2,31446.0,1,1,121.59038543701172
48.0,1,4,1,68548.0,3,1,157.32723999023438
90.0,1,9,2,101818.0,1,1,125.63692474365234
37.0,1,8,2,92936.0,2,0,136.40093994140625
43.0,2,11,1,125010.0,2,0,136.2959747314453
62.0,1,5,1,71312.0,2,0,127.40848541259766
47.0,1,11,2,128207.0,3,1,171.81866455078125
73.0,2,5,1,76326.0,2,1,129.78350830078125
31.0,2,1,2,24517.0,2,0,145.45660400390625
74.0,1,12,1,142493.0,1,0,138.11351013183594
20.0,1,1,1,30220.0,1,1,111.48150634765625
95.0,2,1,2,19491.0,2,0,132.3677215576172
45.0,1,7,2,88485.0,2,1,151.73728942871094
78.0,1,9,2,113712.0,2,0,131.92190551757812
86.0,2,6,2,76717.0,1,0,120.7225112915039
93.0,1,9,2,113332.0,2,1,114.66251373291016
83.0,2,11,1,131842.0,1,2,122.83424377441406
93.0,1,4,2,44691.0,2,1,131.3812713623047
88.0,2,11,2,125759.0,2,1,137.0960235595703
30.0,2,6,1,78176.0,1,2,119.63957214355469
45.0,2,5,2,70448.0,2,2,156.50430297851562
27.0,1,1,1,27945.0,1,2,126.81402587890625
31.0,2,4,2,54442.0,2,1,143.4679412841797
94.0,1,4,1,61091.0,3,2,162.1617431640625
92.0,2,1,1,19146.0,1,0,121.8072280883789
64.0,2,1,1,27034.0,3,0,167.9900360107422
19.0,2,9,1,109824.0,3,2,155.76290893554688
60.0,1,6,1,76402.0,2,1,159.30807495117188
71.0,1,8,1,111253.0,2,0,149.17703247070312
31.0,1,5,1,64296.0,3,2,166.61355590820312
52.0,1,3,2,50344.0,3,2,165.69512939453125
94.0,2,6,2,73819.0,1,0,130.9336700439453
68.0,1,5,2,68070.0,2,1,140.08016967773438
61.0,2,11,1,132717.0,1,0,109.1388168334961
77.0,2,4,2,57803.0,2,0,143.89324951171875
89.0,1,1,1,32562.0,1,0,121.66756439208984
79.0,2,7,2,87446.0,2,2,147.67201232910156
61.0,2,5,2,71474.0,2,0,126.76626586914062
38.0,2,10,2,126314.0,2,0,143.3838653564453
39.0,1,8,2,104173.0,3,1,180.2197723388672
53.0,1,10,1,122550.0,2,1,134.87017822265625
59.0,1,2,1,37978.0,2,0,143.80101013183594
63.0,2,12,1,127952.0,1,1,111.55694580078125
40.0,2,1,2,34986.0,2,1,151.071533203125
92.0,2,3,2,41980.0,1,1,117.11370849609375
77.0,1,8,1,94751.0,3,2,136.45249938964844
92.0,1,4,2,57315.0,2,2,140.7395782470703
75.0,1,8,2,94706.0,2,0,144.02297973632812
80.0,2,9,1,103747.0,2,1,156.44618225097656
95.0,1,8,1,100984.0,2,1,140.80606079101562
87.0,2,12,2,134114.0,1,2,140.6119842529297
23.0,1,4,1,63439.0,1,0,115.67578887939453
78.0,2,11,2,132473.0,2,1,112.4635238647461
17.0,2,7,2,91191.0,3,1,170.00936889648438
34.0,1,11,2,126373.0,3,1,159.41397094726562
45.0,2,2,2,38568.0,2,2,143.77545166015625
87.0,1,8,2,97154.0,1,0,106.76920318603516
61.0,1,10,1,119202.0,3,2,137.51136779785156
26.0,1,6,2,74734.0,3,2,175.7029571533203
59.0,1,3,1,46809.0,2,0,135.503173828125
63.0,2,2,1,37306.0,2,1,132.0330810546875
77.0,2,6,1,81719.0,2,0,152.1094970703125
34.0,1,3,1,53137.0,2,0,155.92843627929688
52.0,1,12,2,132412.0,3,1,154.57408142089844
52.0,2,1,1,30680.0,2,2,154.07281494140625
88.0,1,9,2,106462.0,3,1,156.6270751953125
56.0,2,5,2,73697.0,2,0,135.4825439453125
77.0,2,8,1,102078.0,2,0,128.0658721923828
22.0,2,11,1,124921.0,2,1,159.09947204589844
63.0,2,7,2,94283.0,3,1,162.93203735351562
25.0,1,11,1,133450.0,3,0,155.78903198242188
48.0,1,1,1,32452.0,2,2,136.91915893554688
58.0,1,12,2,137655.0,1,2,134.1414031982422
87.0,2,9,2,110023.0,1,0,119.45330047607422
24.0,2,12,1,133943.0,3,2,151.2638397216797
59.0,2,10,2,118584.0,1,0,109.66578674316406
92.0,2,7,1,93880.0,1,0,125.03582763671875
25.0,2,4,1,57290.0,3,0,152.748779296875
24.0,2,2,1,38477.0,2,0,142.06576538085938
20.0,2,11,1,124145.0,3,1,165.1365509033203
26.0,1,11,1,132772.0,1,2,123.34873962402344
74.0,1,12,2,138052.0,2,1,140.1151885986328
80.0,2,6,1,94436.0,1,2,119.45878601074219
75.0,2,5,1,69080.0,3,0,161.02818298339844
36.0,1,9,2,109094.0,1,0,125.91895294189453
84.0,2,2,2,43346.0,2,1,152.613525390625
63.0,2,4,1,73158.0,2,2,144.8772735595703
48.0,1,4,2,57948.0,1,0,124.56748962402344
26.0,1,12,1,139388.0,1,0,134.82061767578125
41.0,1,7,2,90435.0,3,0,146.4745635986328
60.0,2,8,1,94339.0,2,1,140.79354858398438
94.0,2,5,1,62774.0,1,0,114.07628631591797
79.0,1,6,1,73749.0,1,2,119.56925201416016
46.0,1,5,1,64723.0,3,1,171.15135192871094
59.0,2,11,1,135570.0,2,0,118.10493469238281
48.0,2,2,2,44903.0,1,0,110.41108703613281
32.0,1,4,2,60377.0,2,0,149.06094360351562
62.0,2,7,1,83355.0,2,1,125.70633697509766
44.0,1,2,2,42702.0,3,0,149.257080078125
69.0,1,2,1,35449.0,3,1,154.3099365234375
40.0,1,3,1,53571.0,1,2,105.95646667480469
83.0,1,6,2,76365.0,2,2,156.83279418945312
63.0,1,5,2,73449.0,3,2,154.7982177734375
68.0,2,2,1,39656.0,3,2,135.9732208251953
46.0,1,9,2,117945.0,2,0,150.35897827148438
61.0,1,9,1,106660.0,2,0,148.61671447753906
31.0,1,1,1,30826.0,2,2,141.46633911132812
78.0,1,3,2,49371.0,3,1,167.96107482910156
74.0,2,9,1,106495.0,2,1,137.9242401123047
58.0,1,8,2,101000.0,3,0,156.3995819091797
33.0,2,8,1,93154.0,1,2,118.93343353271484
48.0,2,12,2,142105.0,3,0,143.8479766845703
41.0,2,7,1,96700.0,3,0,161.51953125
79.0,1,5,1,61935.0,2,0,131.8883819580078
29.0,2,8,2,100252.0,3,0,160.8973388671875
27.0,1,4,2,69552.0,1,1,125.7254867553711
92.0,1,12,1,144835.0,2,2,138.36842346191406
