,CCAA,SEXO,EDAD,NACIO,ECIVIL,ESTUDIO,D_1,VISI_2_1,MOVI_21_1,MOVI_22_1,MOVI_25_1
115,7,1,2,2,5,4,5,1,1,1,1
116,7,1,1,1,5,4,1,1,1,1,1
117,8,2,4,3,5,4,1,1,1,1,1
118,8,1,2,1,5,4,1,1,1,1,1
119,7,1,3,1,5,4,1,1,1,1,1
120,5,1,5,3,5,4,5,1,1,1,1
121,17,1,2,1,5,4,2,1,1,1,1
122,7,1,1,2,5,5,2,1,1,1,1
123,15,2,4,3,5,5,1,1,1,1,1
124,18,1,1,3,5,5,1,1,1,1,1
125,17,1,6,1,1,4,1,1,1,1,1
126,18,1,4,3,4,7,5,1,1,1,1
127,18,1,6,3,5,5,1,1,1,1,1
128,16,2,3,3,5,7,1,2,1,1,1
129,4,2,4,3,5,4,5,1,1,1,1
130,7,1,3,3,5,5,1,1,1,1,1
131,17,1,6,2,5,4,1,1,1,1,1
132,7,2,5,3,4,4,1,1,1,1,1
133,4,2,2,3,5,3,5,1,1,1,1
134,2,1,2,3,1,8,1,1,1,1,1
135,9,2,5,2,5,3,1,1,1,1,1
136,9,2,1,2,5,4,1,1,1,1,1
137,7,1,6,2,5,4,1,1,1,1,1
138,17,1,3,3,1,8,2,1,1,1,1
139,14,1,4,3,5,3,2,1,1,1,1
140,7,1,6,3,5,5,1,1,1,1,1
141,14,2,3,3,5,6,1,1,1,1,1
142,8,1,1,2,5,3,1,1,1,1,1
143,17,2,4,3,4,3,1,1,1,1,1
144,7,2,1,1,5,8,1,1,1,1,1
145,8,1,4,3,5,2,1,1,1,1,1
146,3,1,2,3,5,3,1,1,1,1,1
147,7,1,1,2,5,5,1,1,1,1,2
148,15,2,1,3,5,5,1,2,1,1,1
149,7,1,2,3,5,4,2,1,1,1,2
150,17,1,6,2,5,3,5,1,1,1,1
151,8,2,1,1,1,5,2,1,1,1,1
152,8,1,4,1,4,5,1,1,1,1,1
153,7,1,1,3,5,7,1,1,1,1,1
154,7,2,1,3,1,5,1,1,1,1,1
155,7,1,4,1,5,3,5,1,1,1,1
156,17,2,4,1,5,5,1,1,1,1,1
157,7,1,6,3,5,3,5,1,1,1,1
158,16,2,2,3,4,7,1,1,1,1,1
159,8,1,4,3,1,7,1,1,1,1,1
160,17,2,6,3,1,7,4,1,1,1,1
161,18,2,2,3,5,5,2,1,1,1,1
162,7,1,1,3,1,5,2,1,1,1,1
163,18,1,3,3,1,7,1,1,1,1,1
164,17,1,1,3,5,4,2,2,1,1,1
165,15,2,2,1,1,7,2,1,1,1,1
166,5,1,3,3,5,4,1,1,1,1,1
167,17,2,6,3,5,3,1,1,1,1,1
168,7,1,6,3,5,3,1,1,1,1,1
169,13,1,1,1,5,5,5,1,1,1,1
170,7,2,6,1,5,7,1,1,1,1,1
171,7,2,6,1,5,4,1,1,1,1,1
172,8,2,5,3,1,5,5,1,1,1,1
173,18,1,6,2,5,7,5,1,1,1,1
174,7,2,3,3,1,3,5,1,1,1,1
175,7,2,1,1,4,5,1,1,1,1,1
176,7,1,1,1,5,1,5,1,1,1,1
177,17,2,6,3,5,3,5,1,1,1,1
178,14,1,1,3,5,3,1,1,2,1,1
179,8,1,2,2,5,3,2,1,1,1,1
180,18,1,6,1,5,8,2,1,1,1,1
181,18,1,2,3,5,4,1,2,1,1,1
182,4,1,3,2,4,3,1,1,1,1,1
183,8,1,2,3,5,3,1,1,1,1,1
184,16,2,6,3,1,4,1,1,1,1,1
185,17,2,4,2,5,5,1,1,1,2,1
186,17,1,4,3,5,8,1,1,1,1,1
187,18,1,2,1,4,4,5,2,1,1,1
188,18,1,3,3,5,3,1,1,1,1,1
189,8,2,6,3,5,3,1,1,1,1,1
190,17,1,1,3,5,3,1,1,1,1,1
191,17,1,4,2,5,8,1,1,1,1,1
192,18,1,1,3,4,5,5,1,1,1,1
193,7,1,4,3,4,3,1,1,1,1,1
194,8,1,1,3,5,1,1,1,1,1,1
195,8,1,2,1,5,3,5,1,1,1,1
196,17,1,2,3,5,5,1,1,1,1,1
197,13,2,6,3,5,7,1,1,1,1,1
198,17,2,1,2,5,4,1,1,1,1,1
199,17,1,1,3,5,1,1,1,1,1,1
200,17,2,3,1,1,1,1,1,1,1,1
201,17,2,1,3,4,4,1,1,1,1,1
202,14,1,1,2,5,4,5,1,1,1,1
203,7,2,5,1,4,7,5,1,1,1,1
204,4,1,1,3,4,8,5,1,1,1,1
205,14,1,1,3,5,8,2,1,1,1,2
206,8,1,3,1,5,8,1,1,1,1,1
207,8,1,2,3,5,5,5,1,1,1,2
208,8,2,6,3,5,5,1,1,1,1,1
209,4,2,6,3,1,3,1,2,1,1,1
210,8,2,4,3,3,3,1,1,1,1,1
211,3,2,6,1,5,7,1,1,1,1,1
212,16,1,4,3,5,4,1,1,1,1,1
213,6,1,2,1,1,4,5,1,1,1,1
214,14,2,1,3,5,4,2,1,1,1,1
215,4,1,5,3,4,5,2,1,1,1,1
216,7,2,3,3,1,8,5,1,1,1,1
217,17,1,1,3,5,3,2,1,1,1,1
218,8,1,2,3,4,3,1,1,1,1,1
219,14,1,4,2,4,3,5,1,1,1,1
220,8,1,2,2,1,7,5,1,1,1,1
221,17,1,2,2,5,3,1,1,1,1,1
222,2,2,4,3,1,5,1,1,1,1,1
223,18,2,4,1,5,8,5,1,1,1,1
224,8,1,1,2,1,7,5,1,1,1,1
225,17,1,2,3,1,4,1,1,1,1,1
226,8,1,2,3,1,6,5,1,1,1,1
227,7,1,1,3,1,4,1,1,1,1,1
228,14,2,1,1,5,4,1,1,1,1,1
229,9,1,4,3,4,3,2,1,1,1,1
230,16,2,6,1,5,4,2,1,1,1,2
231,14,1,3,3,5,7,1,1,1,1,1
232,10,1,1,3,5,5,1,1,1,1,1
233,17,1,4,3,5,3,1,1,1,1,2
234,17,1,6,2,5,4,1,1,1,1,1
235,16,2,1,1,1,4,1,1,1,1,1
236,8,2,4,3,3,5,1,1,1,1,1
237,4,2,1,2,5,3,4,1,1,1,1
238,17,2,6,1,3,3,1,1,1,1,1
239,18,2,3,1,5,4,1,1,1,2,1
240,14,1,6,1,5,3,1,1,1,1,1
241,4,2,6,3,5,3,1,1,1,1,1
242,7,2,1,1,1,5,1,1,1,1,1
243,11,2,4,1,5,4,2,1,2,1,1
244,14,2,3,2,1,4,5,1,1,1,1
245,15,1,1,1,5,5,1,1,1,1,1
246,7,2,1,2,1,1,1,1,1,1,1
247,8,1,1,1,1,3,1,1,1,1,1
248,8,2,5,3,5,4,1,1,1,1,1
249,7,1,1,2,5,3,5,1,1,1,1
250,17,1,4,3,5,8,1,1,1,1,1
251,7,1,4,2,5,4,2,1,1,1,1
252,7,1,1,1,5,8,5,1,1,1,1
253,8,2,1,1,5,3,1,1,1,1,1
254,4,1,5,1,5,7,1,1,1,1,1
255,8,1,6,3,2,4,1,1,1,1,1
256,4,1,4,2,5,5,1,1,1,1,1
257,18,2,2,1,1,3,1,1,1,1,1
258,8,2,1,2,5,4,1,1,1,1,1
259,14,1,6,3,5,5,1,1,1,1,1
260,7,1,2,3,5,8,2,1,1,1,1
261,17,1,1,3,1,3,5,1,1,1,1
262,18,1,6,1,3,3,1,1,1,1,1
263,18,1,1,1,5,5,1,1,1,1,1
264,3,1,4,1,5,7,1,1,1,1,1
265,18,1,2,3,5,3,1,1,1,1,1
266,8,1,4,3,1,2,5,1,1,1,1
267,8,1,5,2,1,5,1,1,1,1,1
268,18,1,4,3,4,5,2,1,1,1,1
269,6,2,2,3,5,3,5,1,1,1,1
270,8,1,5,1,5,7,1,1,1,2,1
271,7,1,5,3,4,5,5,1,1,1,1
272,4,1,1,1,4,4,1,1,1,1,1
273,9,1,2,3,5,4,5,1,1,1,1
274,7,2,6,3,4,3,1,1,1,1,1
275,9,1,4,3,5,3,1,2,1,1,1
276,8,2,3,1,2,7,1,1,1,1,1
277,7,1,3,1,5,3,1,1,1,1,1
278,18,1,5,3,5,1,1,2,1,1,1
279,17,1,2,2,1,5,5,1,1,1,1
280,18,1,6,1,4,3,5,1,1,1,1
281,8,1,5,1,3,4,2,1,1,1,1
282,8,1,2,3,4,5,1,1,1,1,1
283,7,1,1,1,5,4,1,1,1,1,1
284,8,1,1,1,5,5,2,1,1,1,2
285,14,2,4,1,4,5,1,1,1,1,1
286,7,1,4,2,1,3,1,1,1,1,1
287,16,1,2,1,1,8,1,2,1,1,1
288,8,2,5,3,5,3,1,1,1,1,1
289,8,2,5,2,5,7,1,1,1,1,1
290,14,1,3,3,1,8,1,1,1,1,1
291,15,2,4,3,5,3,5,1,1,1,1
292,17,1,3,1,5,5,1,1,1,1,1
293,17,2,2,3,1,5,2,1,1,1,1
294,17,2,5,1,5,3,1,1,1,1,1
295,18,2,3,1,5,3,1,1,1,1,1
296,18,1,5,2,4,3,1,1,1,1,1
297,17,1,2,1,5,8,2,1,1,1,1
298,8,2,2,1,5,5,5,1,1,1,1
299,14,1,3,1,2,5,1,2,1,1,1
300,2,2,1,3,1,1,5,1,1,1,1
301,19,2,5,3,1,3,1,1,1,1,1
302,6,2,3,1,1,4,1,1,1,1,1
303,14,2,2,3,5,7,1,1,1,1,1
304,7,1,2,3,1,3,5,1,1,1,1
305,18,1,4,3,5,3,4,1,1,1,1
306,17,2,1,3,5,3,1,1,1,1,1
307,7,1,6,3,5,7,1,1,1,1,1
308,16,1,4,3,5,4,1,1,1,1,1
309,8,1,2,3,5,4,5,1,1,1,1
310,17,1,6,2,5,5,1,1,1,1,1
311,7,1,1,1,3,5,5,1,1,1,1
312,18,2,1,3,5,5,5,1,1,1,1
313,8,2,5,1,1,8,5,2,1,1,1
314,15,2,4,3,5,3,1,1,1,1,1
315,3,1,3,3,4,4,1,2,1,1,2
316,2,1,2,3,4,4,1,1,1,1,1
317,7,1,1,3,5,3,5,1,1,1,1
318,17,1,5,1,5,5,1,1,1,1,1
319,8,1,4,3,5,4,1,1,1,1,1
320,3,1,2,3,4,8,5,1,1,1,2
321,8,1,5,2,1,5,1,1,1,1,1
322,9,1,4,3,5,5,1,1,1,1,1
323,7,1,1,1,5,7,1,1,1,1,1
324,18,1,4,3,5,1,1,1,1,1,1
325,8,2,2,1,1,7,1,1,1,1,1
326,18,2,1,1,5,3,2,1,1,1,1
327,8,1,2,3,5,5,1,1,1,1,1
328,7,1,5,1,5,4,1,1,1,1,1
329,6,2,4,3,2,8,2,1,1,1,1
330,17,2,6,3,3,8,1,1,1,1,1
331,17,1,2,3,5,4,1,1,1,1,1
332,8,2,1,1,5,3,5,1,1,1,1
333,8,1,3,1,5,3,2,1,1,1,1
334,6,1,5,3,4,3,1,1,1,1,1
335,14,1,4,3,1,4,1,1,1,1,1
336,7,1,6,3,1,7,2,1,1,1,1
337,16,1,6,1,4,3,1,2,1,1,1
338,8,2,2,3,5,5,2,1,1,1,1
339,2,1,4,3,5,3,2,1,1,1,1
340,8,1,5,1,5,1,1,1,1,1,1
341,14,1,6,2,5,5,1,1,1,1,1
342,19,1,1,3,5,4,1,1,1,1,1
343,8,1,4,3,5,5,2,1,1,1,1
344,17,2,1,3,3,3,5,1,1,1,1
345,7,1,4,3,5,8,1,1,1,1,1
346,3,1,1,3,4,5,1,2,1,1,1
347,8,1,4,1,2,3,1,1,1,1,1
348,18,1,1,2,5,4,4,1,1,1,1
349,14,2,1,2,5,4,1,1,1,1,1
350,8,1,3,1,1,4,1,2,1,1,1
351,7,2,5,2,5,3,1,1,1,1,1
352,7,2,6,1,4,7,4,1,1,2,1
353,18,2,2,3,5,1,1,1,1,1,1
354,4,1,3,1,5,7,1,1,1,1,1
355,8,1,2,1,5,5,1,1,1,1,1
356,17,1,1,1,5,5,5,1,1,1,1
357,18,1,6,3,4,7,1,1,1,1,1
358,16,2,5,2,5,7,2,1,1,1,1
359,8,2,1,1,1,7,1,1,1,1,1
360,4,2,2,1,5,4,1,1,1,2,1
361,8,1,2,3,4,6,1,1,1,1,1
362,8,1,3,3,5,5,5,1,1,1,1
363,14,2,3,3,5,7,1,1,1,1,1
364,17,1,1,3,5,5,1,1,1,1,1
365,17,1,1,3,5,1,2,1,1,1,1
366,8,1,1,3,5,3,1,1,1,1,1
367,4,2,4,3,5,3,1,1,1,1,1
368,17,2,6,1,5,7,1,1,1,1,1
369,2,2,1,1,5,8,2,1,1,1,1
370,16,2,6,3,5,4,1,2,1,1,1
371,7,1,1,1,5,8,1,1,1,1,1
372,18,1,1,2,5,5,5,1,1,1,1
373,16,1,6,1,5,5,5,1,1,1,1
374,3,1,3,3,1,3,1,1,1,1,1
375,18,1,3,3,5,7,5,1,1,1,1
376,8,2,1,3,5,4,4,1,1,1,1
377,14,1,4,3,5,7,1,1,2,1,1
378,17,1,1,3,5,7,1,1,1,1,1
379,7,1,4,3,5,5,2,1,1,1,1
380,18,1,6,3,5,7,5,1,1,1,1
381,7,1,5,1,4,4,2,1,1,1,1
382,7,2,6,3,5,5,1,1,1,1,1
383,15,1,1,1,1,4,1,1,1,1,1
384,18,1,6,3,4,5,4,1,1,1,1
385,17,1,2,3,5,8,1,1,1,1,1
386,8,2,2,1,5,1,1,1,1,1,1
387,18,1,6,2,5,3,1,1,1,1,1
388,17,1,2,3,5,3,1,1,1,1,1
389,8,1,1,3,5,4,1,1,1,1,1
390,7,1,5,3,5,3,1,1,1,1,1
391,3,2,3,2,1,1,2,1,1,1,1
392,18,1,3,3,5,3,1,1,1,2,1
393,17,1,2,3,5,3,1,1,1,1,1
394,8,2,6,3,5,7,5,1,1,1,1
395,17,2,6,1,5,3,1,1,1,1,1
396,17,1,1,1,5,3,1,1,1,1,1
397,17,2,6,3,5,3,1,1,1,1,1
398,8,1,6,1,5,4,1,1,1,1,1
399,8,2,6,3,5,4,4,1,1,1,1
400,2,1,4,1,5,5,1,1,1,1,1
401,2,2,6,1,5,4,3,1,1,1,1
402,18,1,5,2,1,4,1,1,1,1,1
403,18,1,2,3,5,3,1,1,1,1,1
404,8,1,5,3,5,1,2,1,1,1,1
405,14,1,1,2,5,3,1,1,1,1,1
406,7,1,2,3,5,3,1,1,1,1,1
407,17,1,2,1,5,4,5,1,1,1,1
408,4,1,2,3,5,7,1,1,1,1,1
409,7,2,5,1,1,7,5,1,1,1,1
410,8,1,3,3,1,4,2,1,1,1,1
411,7,2,4,1,5,5,1,1,1,1,1
412,17,1,3,1,1,3,1,1,1,1,1
413,17,1,5,3,1,8,2,1,1,1,1
414,15,2,2,3,5,3,1,1,1,1,1
415,7,1,2,1,4,4,5,1,1,1,1
416,17,2,5,3,5,4,1,2,1,1,1
417,8,2,4,1,3,3,5,1,1,1,1
418,7,2,4,3,3,1,1,1,1,1,1
419,8,1,3,1,5,3,1,1,1,1,1
420,7,2,5,1,5,4,2,1,1,1,1
421,8,2,6,1,5,5,1,1,1,1,1
422,2,2,1,3,5,5,1,1,1,1,1
423,17,1,6,3,5,4,1,1,1,1,1
424,18,2,4,1,5,5,2,1,1,1,1
425,8,1,6,3,5,7,1,1,1,1,1
426,5,1,2,1,5,5,4,1,1,1,1
427,14,2,4,1,3,5,1,2,1,1,1
428,7,1,6,3,1,5,1,1,1,1,1
429,7,1,1,2,2,6,1,1,1,1,1
430,16,2,3,3,4,3,1,1,1,1,1
431,17,1,6,3,5,8,1,1,1,1,1
432,18,1,1,1,5,8,1,1,1,2,1
433,14,1,5,2,5,7,1,1,1,1,1
434,17,2,4,1,5,5,1,1,1,2,1
435,8,2,2,1,5,7,1,1,1,2,1
436,18,1,4,3,5,3,1,1,1,1,1
437,17,1,5,3,5,4,1,1,1,1,1
438,4,1,1,1,5,7,2,1,1,1,1
439,14,2,3,2,1,1,5,1,1,1,1
440,8,2,1,3,1,5,1,1,1,1,1
441,8,1,6,3,4,7,1,1,1,1,1
442,4,2,4,1,1,8,1,1,1,1,1
443,2,2,1,3,5,1,5,1,1,1,1
444,17,1,4,1,5,3,1,1,2,1,1
445,8,1,1,1,5,7,1,1,1,1,1
446,18,1,6,1,4,8,5,1,1,1,1
447,14,2,3,3,5,4,1,1,1,1,1
448,16,1,6,1,3,5,1,1,1,1,1
449,14,1,1,3,2,5,1,2,1,1,1
450,8,2,4,1,1,5,1,1,1,1,1
451,4,2,4,2,4,7,5,1,1,1,1
452,4,1,4,3,5,5,1,1,1,1,1
453,7,1,3,1,5,3,1,1,1,1,1
454,17,1,3,3,5,3,1,1,1,1,1
455,3,2,2,3,5,1,1,1,1,1,1
456,17,1,6,1,5,7,1,1,1,1,1
457,4,1,5,3,1,3,2,1,1,1,1
458,8,2,3,2,5,7,1,1,1,1,1
459,2,1,2,3,5,5,4,1,1,1,1
460,8,1,3,3,5,7,1,1,1,1,1
461,7,2,4,1,5,8,1,1,1,1,1
462,2,2,5,1,5,7,1,2,1,1,1
463,17,1,1,3,5,8,1,1,1,2,1
464,4,2,3,3,5,3,2,1,1,1,1
465,14,1,3,1,5,4,2,1,1,1,1
466,2,1,3,3,5,5,1,1,1,1,1
467,18,1,2,3,5,4,2,1,1,1,1
468,8,1,1,3,5,3,4,1,1,1,1
469,15,1,1,1,1,7,1,1,1,1,1
470,4,1,5,3,5,3,2,1,1,1,1
471,16,2,2,1,5,3,1,1,1,1,1
472,18,1,3,3,5,4,1,2,1,1,1
473,8,1,2,3,4,4,1,2,1,1,1
474,8,1,3,1,4,4,1,1,1,1,1
475,8,1,4,3,2,5,1,1,1,1,1
476,7,2,2,1,5,3,1,1,1,1,1
477,17,2,6,3,5,5,1,1,1,1,1
478,18,2,1,3,5,3,2,1,1,1,1
479,3,2,1,3,5,4,1,1,1,1,1
480,8,1,1,1,1,1,1,1,1,1,1
481,17,1,6,3,5,3,1,1,1,1,1
482,17,2,1,3,1,7,2,1,1,1,1
483,4,2,1,3,4,3,1,1,1,1,1
484,14,1,5,3,5,5,5,1,1,1,1
485,15,1,4,2,5,3,1,1,1,1,1
486,18,2,6,3,1,7,1,1,1,1,1
487,17,1,1,1,4,4,1,1,1,1,1
488,17,1,1,3,5,1,1,1,1,1,1
489,18,1,5,3,5,3,1,1,1,1,1
490,13,1,2,1,5,5,2,1,1,1,1
491,5,2,1,3,1,5,4,1,1,1,1
492,14,1,6,3,5,3,1,1,1,1,1
493,2,1,2,3,5,3,1,1,1,1,1
494,17,2,1,3,5,4,1,1,1,1,1
495,7,1,2,3,5,3,1,1,1,1,1
496,6,2,1,1,5,3,5,1,1,1,1
497,8,1,1,1,4,7,1,1,1,1,1
498,17,2,3,3,5,4,2,1,1,1,1
499,8,1,6,2,5,1,1,1,1,1,1
500,7,2,5,3,2,1,1,1,1,1,1
501,18,2,2,3,5,5,1,1,1,1,1
502,7,1,6,3,5,7,1,1,1,1,1
503,14,2,6,3,5,3,1,1,1,1,1
504,8,2,6,3,1,3,1,1,1,1,1
505,17,1,2,3,5,5,1,1,1,1,1
506,17,1,2,3,5,1,5,1,1,1,1
507,8,1,1,1,5,1,1,1,1,1,1
508,7,1,1,2,5,8,4,1,1,2,1
509,14,1,3,1,5,3,1,1,1,1,1
510,14,1,6,3,2,4,1,1,1,1,1
511,14,1,2,3,1,3,1,1,1,1,1
512,4,2,1,3,5,5,1,1,1,1,1
513,7,2,2,3,5,3,1,1,1,1,1
514,8,2,6,3,4,7,2,2,1,1,1
515,4,2,3,1,5,4,4,1,1,1,1
516,15,1,4,1,5,7,1,1,2,1,1
517,13,2,1,3,5,7,2,1,1,1,1
518,18,1,6,1,5,5,1,1,1,1,1
519,14,2,2,3,4,8,1,1,1,1,1
520,17,1,1,1,5,4,1,1,1,1,1
521,19,2,3,3,1,3,5,1,1,1,1
522,14,1,5,3,4,5,1,1,2,1,1
523,7,2,5,3,5,7,5,1,1,1,1
524,7,2,2,3,5,4,1,1,1,1,1
525,7,1,4,2,2,8,1,1,1,1,1
526,7,1,5,2,5,3,5,1,1,1,1
527,17,1,2,3,3,7,2,1,1,1,1
528,14,2,6,3,5,8,1,1,1,1,1
529,15,1,4,1,5,4,1,2,1,1,1
530,16,2,4,3,5,4,1,1,1,1,1
531,16,2,4,3,5,4,1,1,1,1,1
532,4,2,2,2,1,7,5,1,1,1,1
533,17,1,6,2,5,3,1,1,1,1,1
534,8,2,5,2,1,5,1,1,1,1,1
535,18,1,4,3,5,7,5,1,1,1,1
536,8,1,4,1,5,3,5,1,1,1,1
537,8,1,1,1,5,4,1,1,1,1,1
538,17,2,5,3,5,8,2,1,1,1,1
539,7,1,1,2,2,8,2,1,1,1,1
540,7,2,4,3,4,4,1,1,1,1,1
541,7,2,1,3,3,8,1,1,1,1,1
542,17,1,2,3,5,5,1,2,1,1,1
543,15,2,4,1,5,5,1,2,1,1,1
544,7,2,1,1,5,5,1,1,1,1,1
545,15,2,4,3,2,5,2,1,1,1,1
546,18,1,1,3,5,4,5,1,1,1,1
547,8,2,2,3,5,5,1,1,1,1,1
548,8,1,1,3,5,3,1,2,1,1,1
549,2,2,3,2,1,4,5,1,1,1,1
550,2,1,6,1,5,7,2,1,1,1,1
551,18,2,2,1,5,5,1,1,1,1,1
552,15,2,2,2,5,5,1,1,1,1,1
553,6,2,4,1,4,5,1,1,1,1,1
554,14,1,1,2,5,1,1,1,1,1,1
555,14,2,1,1,5,4,2,1,1,1,1
556,4,1,6,1,2,8,1,1,1,1,1
557,17,1,4,3,5,5,2,1,1,2,1
558,7,1,3,1,5,3,5,1,1,1,1
559,8,1,5,1,1,3,1,1,1,1,1
560,18,1,1,1,1,5,1,1,1,1,1
561,9,2,3,3,5,5,1,1,1,1,1
562,17,1,2,3,4,4,2,1,1,1,1
563,14,1,5,3,2,7,1,1,1,1,1
564,14,1,6,3,1,3,1,1,1,1,1
565,7,1,1,1,1,4,1,1,1,1,1
566,18,2,6,3,5,4,1,1,1,1,2
567,4,1,2,3,5,7,1,1,1,1,1
568,17,1,6,3,5,3,1,1,1,1,1
569,16,2,1,3,5,4,1,1,1,1,1
570,17,1,1,3,5,1,1,1,1,1,1
571,18,1,2,3,5,7,1,1,1,1,1
572,7,1,3,2,1,4,2,1,1,1,1
573,4,2,1,2,4,5,5,1,1,1,1
574,8,2,1,1,2,4,1,1,1,1,1
575,18,1,5,3,5,3,1,1,1,2,1
576,2,1,1,3,4,5,5,1,1,1,1
