,RAC1P,SEX,EDU,PINCP_DECILE,MSP,OWN_RENT,HOUSING_TYPE
192,2,1,9,2,1,0,3
193,1,2,3,6,1,0,1
194,2,1,3,2,4,2,1
195,2,1,3,7,5,1,3
196,1,1,5,1,4,0,2
197,1,2,8,1,3,1,1
198,1,2,5,6,1,2,1
199,1,2,7,6,1,2,1
200,2,2,7,3,3,0,1
201,9,1,9,1,1,0,3
202,2,1,7,6,1,0,1
203,6,1,8,6,2,2,1
204,1,2,6,6,6,0,1
205,2,2,1,9,1,0,3
206,7,2,5,7,6,1,3
207,1,1,4,0,1,2,1
208,1,2,5,9,6,1,1
209,9,2,7,0,5,2,3
210,9,2,9,7,4,1,1
211,1,2,5,7,1,0,1
212,6,2,1,0,5,0,1
213,9,2,7,2,2,0,3
214,1,1,7,0,1,2,1
215,9,2,11,3,5,0,1
216,1,1,8,1,3,1,1
217,1,2,9,1,1,0,3
218,8,2,2,7,4,1,2
219,1,1,4,2,6,0,2
220,1,1,4,1,2,1,1
221,1,2,5,2,1,1,1
222,1,2,5,4,2,1,1
223,1,1,5,0,4,0,1
224,9,1,8,6,3,0,1
225,1,1,5,3,1,0,3
226,1,1,2,0,3,2,1
227,8,1,7,6,2,2,3
228,1,1,5,3,6,1,1
229,1,1,1,9,1,0,3
230,1,2,10,7,1,0,1
231,2,2,5,1,1,1,1
232,9,1,10,1,1,0,3
233,1,2,5,5,4,0,1
234,1,2,8,3,4,0,1
235,1,2,5,4,1,2,3
236,9,1,11,3,1,2,1
237,9,2,9,6,1,1,1
238,1,1,4,3,4,0,1
239,8,2,1,8,5,1,1
240,1,2,11,2,3,0,1
241,9,2,7,2,4,0,3
242,1,2,3,6,1,1,1
243,1,2,11,4,5,1,1
244,9,2,1,8,1,0,3
245,1,1,5,2,4,0,2
246,2,1,5,1,1,2,1
247,1,1,9,0,1,2,1
248,2,1,6,2,6,0,1
249,8,2,2,1,6,2,1
250,1,1,3,5,1,1,1
251,5,2,2,0,3,1,1
252,1,2,5,8,3,0,3
253,1,2,11,2,2,2,1
254,1,1,4,1,1,2,1
255,2,1,12,7,6,0,2
256,1,2,1,9,1,0,3
257,1,1,9,1,1,0,3
258,9,1,9,2,1,0,3
259,9,1,1,0,2,2,2
260,1,2,12,4,3,0,1
261,2,2,3,7,3,0,1
262,1,1,1,8,1,0,1
263,2,1,1,4,4,2,1
264,1,1,8,1,5,0,2
265,9,1,3,6,2,0,2
266,1,2,7,1,1,1,1
267,9,2,4,3,4,0,2
268,2,2,5,4,2,2,1
269,2,1,1,0,3,2,1
270,2,2,6,9,4,1,1
271,2,2,2,0,5,2,3
272,9,1,7,2,3,0,3
273,1,1,4,3,1,1,3
274,1,2,4,0,1,0,1
275,9,2,10,7,6,1,1
276,1,2,5,4,1,2,1
277,1,2,4,9,1,1,1
278,1,2,9,2,1,0,3
279,1,1,6,0,6,0,1
280,1,2,9,2,1,0,3
281,2,1,3,0,5,0,3
282,1,2,9,1,1,0,3
283,5,1,3,0,4,2,1
284,1,2,5,5,1,1,3
285,2,1,7,3,5,1,1
286,1,1,5,5,2,0,2
287,1,2,9,3,1,1,1
288,1,1,7,7,6,0,2
289,1,1,10,1,2,0,1
290,1,1,6,2,1,0,1
291,1,2,5,0,4,0,1
292,1,1,4,4,1,0,1
293,2,1,1,4,5,0,1
294,2,2,10,2,6,0,2
295,1,2,4,4,1,0,3
296,1,1,5,2,1,0,1
297,1,1,2,6,4,2,1
298,1,1,2,8,1,0,1
299,2,1,10,7,4,0,1
300,1,1,9,4,1,2,1
301,1,2,9,6,4,1,1
302,1,2,1,8,1,2,1
303,1,1,8,2,6,1,1
304,1,2,5,8,5,0,2
305,1,1,12,6,1,0,1
306,1,2,9,4,1,0,1
307,1,2,4,8,1,2,1
308,1,2,3,3,1,1,1
309,1,1,10,1,1,0,3
310,1,2,1,8,4,0,2
311,1,2,5,3,4,1,1
312,1,1,9,2,1,0,3
313,1,2,3,7,1,0,1
314,1,1,9,2,1,0,1
315,1,1,7,3,1,0,1
316,8,2,11,5,1,1,1
317,1,2,6,9,1,0,1
318,1,2,3,0,5,0,1
319,1,2,7,6,6,1,1
320,1,1,5,3,3,1,1
321,1,1,7,5,1,2,1
322,1,2,5,4,4,0,1
323,1,1,7,3,3,2,1
324,2,1,8,1,6,2,1
325,7,2,9,5,4,0,1
326,1,1,5,5,2,0,1
327,1,2,5,4,1,2,1
328,1,1,12,4,6,0,2
329,6,2,4,1,6,0,1
330,1,2,10,6,6,1,1
331,7,1,7,7,4,0,1
332,1,1,5,4,2,1,1
333,1,1,5,1,1,1,1
334,1,1,9,2,5,0,3
335,1,2,5,9,5,0,1
336,1,1,8,9,5,1,1
337,1,2,3,4,6,0,1
338,2,2,8,4,2,1,1
339,1,1,6,4,6,0,1
340,1,2,3,2,6,0,1
341,1,2,2,1,1,0,3
342,1,1,9,1,1,0,3
343,2,1,4,2,4,0,1
344,2,1,10,5,1,2,3
345,9,2,9,2,5,0,2
346,1,1,5,5,2,0,2
347,1,2,5,2,5,0,1
348,1,1,8,8,1,2,1
349,1,1,7,8,6,0,1
350,1,2,4,1,1,0,3
351,2,1,8,5,1,2,1
352,1,2,5,4,3,1,1
353,2,1,4,3,6,0,1
354,1,1,5,6,1,2,1
355,1,1,9,6,4,0,2
356,1,1,7,2,6,1,1
357,1,2,7,0,3,0,1
358,1,2,3,3,1,0,1
359,2,1,2,1,6,0,1
360,1,2,10,3,1,0,1
361,2,2,9,2,1,0,3
362,2,1,4,0,5,0,3
363,1,1,9,2,1,0,3
364,9,1,12,4,3,0,2
365,1,1,5,7,1,2,1
366,2,2,4,1,4,1,1
367,1,2,10,3,3,0,1
368,1,1,5,6,2,1,2
369,1,1,5,1,3,2,1
370,1,1,5,0,1,1,1
371,1,2,7,2,6,0,2
372,1,2,10,2,1,1,1
373,1,1,8,5,4,1,1
374,1,2,5,2,3,0,1
375,1,1,9,6,6,2,1
376,2,1,5,8,1,2,1
377,1,2,2,2,1,0,1
378,1,1,12,1,6,0,2
379,1,2,3,1,1,1,1
380,1,2,5,5,5,0,1
381,4,1,2,8,2,1,2
382,1,2,5,1,1,2,1
383,1,2,12,9,1,2,1
384,9,2,4,4,4,0,1
385,1,1,8,5,4,1,1
386,1,1,5,2,3,2,1
387,2,2,8,3,1,2,1
388,1,2,5,3,4,0,1
389,1,2,9,1,1,0,3
390,1,2,4,2,1,2,1
391,1,1,2,4,1,0,3
392,1,2,3,5,1,1,1
393,1,2,8,6,3,2,1
394,9,2,6,7,1,2,1
395,2,2,12,8,5,0,2
396,1,2,9,2,1,0,3
397,3,2,6,9,4,1,1
398,1,2,9,2,1,0,3
399,4,2,7,4,2,2,1
400,1,2,8,7,2,0,1
401,1,2,5,8,1,1,1
402,6,2,1,4,3,0,1
403,1,1,9,6,6,0,1
404,2,1,3,3,3,0,3
405,5,1,9,9,4,0,1
406,1,1,4,2,2,2,1
407,9,2,10,0,1,0,3
408,1,2,6,0,6,1,1
409,7,1,5,9,4,2,1
410,1,1,3,0,1,0,2
411,9,1,2,7,6,1,1
412,1,1,6,3,1,1,1
413,2,2,5,7,1,0,1
414,6,1,7,5,5,2,2
415,1,1,7,1,4,1,1
416,2,2,8,9,1,0,3
417,1,2,10,1,1,0,3
418,1,2,3,5,4,1,1
419,1,2,3,9,1,2,1
420,6,2,4,4,1,1,3
421,1,1,2,2,5,0,1
422,1,2,7,7,3,0,2
423,1,1,9,0,1,0,3
424,1,2,7,9,1,0,1
425,9,1,5,5,1,0,1
426,1,1,8,4,1,0,1
427,1,2,12,3,3,0,1
428,1,1,10,4,1,0,3
429,1,2,8,1,2,1,1
430,1,1,8,4,5,1,1
431,2,2,1,9,1,0,3
432,8,2,5,5,1,2,2
433,1,1,2,3,6,1,1
434,9,1,3,4,1,2,1
435,1,2,8,3,6,0,2
436,8,1,5,0,5,0,3
437,2,1,10,1,1,1,1
438,1,1,5,6,1,0,1
439,3,2,11,5,1,1,1
440,1,2,4,0,4,0,3
441,5,2,5,5,1,2,1
442,4,1,4,3,6,2,1
443,4,1,9,0,1,0,3
444,1,2,9,1,1,0,3
445,7,1,7,5,6,1,1
446,1,2,7,0,6,1,1
447,1,2,9,5,4,0,1
448,9,1,2,3,5,0,2
449,1,1,2,0,1,0,1
450,1,2,9,7,5,1,1
451,1,2,5,7,2,0,1
452,1,1,1,4,4,0,1
453,9,2,8,0,4,0,3
454,2,2,7,0,5,1,3
455,2,2,7,4,3,2,3
456,1,1,10,6,4,0,2
457,1,2,3,3,1,2,1
458,6,2,11,0,1,0,3
459,1,2,9,0,1,0,3
460,1,2,1,5,1,0,3
461,1,2,7,5,4,0,1
462,1,1,6,3,3,2,3
463,1,2,5,3,1,1,1
464,1,2,1,8,4,1,1
465,2,1,4,1,2,0,2
466,9,2,2,7,5,1,1
467,1,1,5,4,4,0,1
468,8,2,2,0,6,1,1
469,1,1,2,1,1,1,1
470,9,2,6,5,4,1,1
471,1,2,12,3,2,2,1
472,1,2,5,3,1,1,1
473,1,1,9,0,1,0,3
474,2,1,8,3,5,2,2
475,1,1,6,2,1,0,2
476,1,2,8,5,4,1,1
477,2,2,9,1,1,0,3
478,9,1,11,1,2,1,1
479,1,1,7,7,3,0,2
480,1,1,7,2,5,1,1
481,7,2,3,2,4,2,1
482,1,2,8,1,3,0,3
483,1,1,1,9,5,0,1
484,1,2,5,7,1,1,3
485,1,1,7,9,6,0,1
486,1,2,5,7,1,2,1
487,1,1,4,2,6,0,1
488,6,1,9,0,1,0,3
489,2,2,6,9,2,0,1
490,9,2,6,1,6,0,1
491,1,2,7,7,3,1,1
492,1,2,3,1,3,0,2
493,1,2,7,4,5,2,2
494,6,2,6,0,6,0,1
495,1,2,6,2,6,1,1
496,9,1,1,0,6,0,1
497,1,2,8,4,2,0,3
498,1,2,7,4,3,1,1
499,1,1,7,3,3,0,2
500,9,2,6,4,3,1,1
501,9,1,2,4,1,1,1
502,1,2,11,3,1,2,1
503,1,1,5,2,3,2,1
504,1,1,9,1,1,0,3
505,9,1,1,9,1,0,3
506,1,1,9,0,1,0,3
507,5,1,6,5,1,2,1
508,1,1,5,5,5,0,2
509,9,2,4,3,2,0,2
510,1,1,4,3,3,0,1
511,1,2,6,4,1,2,1
512,1,1,6,5,1,1,1
513,2,2,1,0,3,2,1
514,2,2,8,4,3,0,1
515,1,1,6,2,5,1,1
516,9,2,9,2,1,0,3
517,1,2,5,7,1,1,3
518,1,2,6,6,5,0,2
519,2,2,5,1,6,0,1
520,2,2,3,1,6,1,1
521,1,1,9,6,1,1,1
522,2,2,7,7,1,0,1
523,1,1,7,3,4,0,1
524,1,1,3,4,2,2,3
525,1,2,6,1,6,0,3
526,1,2,3,2,5,0,1
527,1,1,10,0,1,0,3
528,1,1,9,0,3,0,1
529,1,2,10,2,1,0,3
530,6,1,3,9,3,1,1
531,2,1,10,9,1,1,1
532,1,1,3,2,4,1,1
533,1,1,4,3,4,0,1
534,1,1,2,9,6,1,1
535,9,1,8,1,6,1,3
536,1,1,6,3,1,0,2
537,1,1,7,4,5,2,1
538,1,1,1,5,6,0,2
539,8,2,11,0,1,0,1
540,8,2,7,4,1,1,1
541,1,2,9,1,1,0,3
542,1,2,7,1,2,2,1
543,2,1,5,4,5,0,2
544,1,1,10,0,1,0,3
545,1,1,4,7,2,1,1
546,2,1,4,1,1,2,1
547,8,1,3,5,4,0,1
548,1,1,5,3,5,0,1
549,2,1,4,2,1,2,1
550,1,1,9,1,1,0,3
551,1,2,4,3,1,2,1
552,1,1,4,0,1,1,1
553,1,1,9,1,4,0,1
554,1,2,2,0,1,1,3
555,1,2,8,5,4,0,1
556,4,2,2,0,3,0,1
557,1,1,9,2,3,1,1
558,1,2,9,0,1,0,3
559,1,2,6,0,2,0,1
560,2,2,3,4,3,0,2
561,9,2,4,2,6,0,3
562,1,2,3,2,3,2,1
563,5,2,5,4,4,1,1
564,9,1,4,0,6,1,1
565,1,1,6,7,4,0,3
566,2,1,4,3,6,1,1
567,1,1,12,1,1,0,3
568,1,1,4,0,1,0,1
569,1,1,2,2,4,0,2
570,1,1,8,0,5,2,1
571,1,2,8,1,1,0,1
572,1,2,3,7,4,1,1
573,1,2,8,1,4,1,1
574,2,1,2,9,3,1,3
575,1,1,7,4,5,0,1
576,1,1,7,3,2,0,1
577,2,2,2,2,2,0,3
578,1,2,9,0,1,0,3
579,1,1,7,2,1,0,3
580,1,2,2,5,1,1,1
581,1,1,7,3,1,1,1
582,9,2,5,5,1,2,1
583,2,1,2,7,2,1,3
584,8,2,3,1,2,0,1
585,2,1,9,1,1,0,3
586,4,2,3,2,4,1,1
587,7,1,5,3,3,0,3
588,4,2,11,2,5,1,1
589,1,1,5,6,5,1,2
590,1,2,9,8,1,1,1
591,9,2,8,5,5,0,2
592,2,2,2,2,6,0,3
593,1,2,4,6,3,1,1
594,1,2,5,3,1,1,1
595,2,2,5,1,4,2,2
596,9,1,10,0,1,0,3
597,1,2,5,4,5,0,3
598,7,1,8,3,2,0,3
599,1,1,3,7,6,0,1
600,1,2,5,0,1,0,1
601,1,2,2,8,4,0,1
602,1,2,9,0,1,0,3
603,1,2,7,6,4,0,1
604,9,1,3,1,3,1,3
605,1,2,8,1,1,2,1
606,1,2,9,2,1,0,3
607,1,1,4,6,5,1,1
608,1,2,7,4,3,1,1
609,1,2,7,2,4,1,1
610,1,2,4,6,1,1,1
611,1,2,7,4,1,1,1
612,1,2,5,1,5,1,1
613,2,2,9,2,1,0,3
614,1,1,2,6,3,0,1
615,8,1,2,5,6,0,2
616,1,2,7,3,1,2,1
617,6,1,9,2,1,0,3
618,1,1,7,5,1,1,1
619,2,2,1,8,4,0,1
620,1,2,8,5,1,1,1
621,1,2,6,7,3,0,2
622,1,1,3,2,1,1,1
623,1,2,6,7,1,1,1
624,1,2,5,5,1,1,1
625,1,2,10,0,1,0,3
626,2,2,9,0,5,0,3
627,1,2,1,4,1,2,3
628,1,2,1,5,1,0,3
629,2,2,6,7,2,0,2
630,1,2,4,4,1,2,3
631,9,2,9,2,1,0,3
632,2,2,11,0,1,0,3
633,1,1,4,2,6,0,1
634,1,2,3,1,5,2,1
635,1,2,7,8,4,1,1
636,2,1,12,5,3,0,1
637,1,2,5,5,5,0,3
638,1,1,8,4,6,0,1
639,6,1,10,1,1,0,3
640,1,1,7,2,1,0,1
641,1,1,3,3,4,2,1
642,2,1,10,2,1,0,3
643,1,1,2,4,6,0,3
644,1,1,3,3,2,1,1
645,8,2,9,9,6,0,3
646,7,2,9,1,1,0,3
647,1,2,2,9,6,0,1
648,1,2,5,3,1,2,1
649,1,2,3,1,1,0,1
650,1,2,7,0,3,2,1
651,1,2,4,4,2,0,1
652,1,2,1,2,5,1,1
653,1,1,6,2,1,1,1
654,8,1,11,4,1,2,1
655,5,1,11,0,1,0,3
656,6,2,8,6,1,0,1
657,1,1,5,6,1,2,1
658,2,2,6,8,3,1,1
659,6,1,6,3,4,1,1
660,1,2,1,6,1,0,3
661,2,2,8,8,1,2,1
662,1,1,9,0,1,0,3
663,2,1,9,9,6,1,1
664,9,1,4,5,6,0,1
665,2,1,9,3,2,0,2
666,1,2,5,9,4,0,1
667,1,2,10,0,1,0,3
668,5,2,2,5,3,2,3
669,1,1,2,5,4,1,1
670,1,2,6,2,6,1,1
671,1,2,11,1,4,0,1
672,3,2,7,2,3,2,1
673,6,1,9,1,1,0,3
674,6,2,8,3,1,1,1
675,1,2,12,2,1,0,3
676,1,1,5,9,1,1,1
677,9,1,8,7,1,1,1
678,4,2,1,0,4,1,1
679,1,1,8,8,3,0,1
680,1,1,2,3,2,0,3
681,1,2,2,3,4,1,1
682,6,1,4,3,2,0,3
683,9,1,8,7,1,1,1
684,1,1,3,3,1,2,1
685,1,1,8,3,6,1,1
686,1,1,5,1,6,0,1
687,2,1,5,0,1,0,1
688,1,1,6,0,6,0,1
689,1,1,5,1,6,1,1
690,1,1,4,9,1,0,1
691,1,1,5,6,6,1,2
692,4,2,6,8,1,1,1
693,1,2,8,4,3,2,1
694,8,1,7,4,1,0,3
695,1,2,5,2,5,0,1
696,6,2,5,9,1,1,1
697,2,2,9,2,1,0,3
698,1,2,8,7,1,2,1
699,1,2,5,9,4,1,1
700,2,2,5,7,4,1,1
701,2,1,2,3,3,2,1
702,1,1,5,7,1,0,1
703,1,2,5,3,4,0,1
704,2,1,9,0,1,0,3
705,1,2,3,4,1,1,3
706,1,2,5,2,6,1,1
707,1,2,4,5,1,2,1
708,7,2,6,6,4,1,3
709,1,1,6,7,1,2,1
710,3,2,3,9,1,0,1
711,1,1,5,2,3,0,3
712,2,1,5,4,5,1,3
713,9,1,11,6,1,1,1
714,1,2,4,1,5,2,1
715,9,2,6,4,6,0,1
716,1,1,8,4,2,2,1
717,1,1,5,4,1,2,1
718,1,2,12,2,6,0,1
719,8,2,2,6,4,1,1
720,6,2,5,3,2,1,1
721,1,2,5,8,3,2,1
722,9,2,2,8,4,0,2
723,1,2,5,6,6,0,1
724,1,2,9,0,1,0,3
725,1,2,4,1,5,0,3
726,1,1,6,5,1,0,1
727,6,2,4,1,4,2,3
728,2,2,5,5,1,2,1
729,1,1,7,4,3,1,1
730,1,1,10,8,2,0,1
731,1,2,5,6,1,1,1
732,3,1,10,6,6,0,3
733,7,2,9,2,5,0,1
734,1,1,4,2,3,0,3
735,1,2,3,0,6,1,1
736,2,1,3,0,4,1,1
737,8,2,8,2,2,1,2
738,1,1,10,0,1,0,3
739,9,1,3,1,3,0,3
740,1,2,11,6,1,2,1
741,1,2,6,4,1,1,1
742,1,2,3,6,6,0,2
743,1,1,9,2,1,0,3
744,9,1,12,9,1,0,2
745,4,1,5,4,1,1,1
746,1,2,8,1,4,1,1
747,9,1,9,1,1,0,3
748,1,2,5,9,4,1,1
749,2,2,4,8,2,1,1
750,1,1,5,0,2,0,1
751,1,1,9,7,1,0,1
752,6,2,11,1,1,0,1
753,9,1,6,2,3,1,1
754,1,1,9,0,1,0,3
755,1,1,5,3,6,2,3
756,1,1,6,7,4,0,2
757,9,2,10,6,5,0,1
758,1,1,5,5,4,1,1
759,1,1,6,1,2,0,1
760,9,1,2,1,4,2,1
761,9,2,11,4,4,2,1
762,3,1,4,8,4,1,1
763,1,2,10,6,6,0,2
764,1,2,7,4,1,2,1
765,2,1,5,7,2,1,1
766,1,1,3,7,1,1,1
767,1,2,3,1,2,2,1
768,1,2,2,9,6,0,1
769,1,1,9,5,5,1,1
770,3,1,3,9,1,2,1
771,1,2,8,4,5,2,1
772,9,2,4,6,1,2,3
773,1,1,6,0,4,0,2
774,1,2,4,3,2,0,3
775,1,2,4,2,3,1,1
776,1,1,10,1,1,0,3
777,4,1,5,7,6,0,2
778,1,1,7,9,5,0,1
779,9,2,9,4,1,0,1
780,9,2,1,2,5,1,1
781,9,2,8,3,1,1,1
782,1,1,1,1,5,2,1
783,9,1,3,7,1,1,1
784,2,2,4,9,5,0,2
785,1,2,4,2,1,1,1
786,1,1,5,1,4,2,1
787,2,1,1,0,6,0,1
788,1,1,9,2,1,0,3
789,1,1,6,5,3,1,1
790,2,1,9,6,6,0,2
791,9,2,2,7,1,2,1
792,9,1,1,9,3,0,1
793,9,2,3,0,1,2,1
794,1,2,5,9,4,2,1
795,7,2,8,4,2,0,1
796,1,1,2,4,2,1,1
797,1,2,5,2,1,2,1
798,2,2,7,0,3,1,1
799,2,2,8,4,6,0,1
800,1,2,5,6,6,1,1
801,1,2,2,9,1,1,1
802,6,1,5,9,6,1,1
803,9,1,8,1,6,2,3
804,1,1,4,8,2,1,1
805,1,1,9,5,3,0,1
806,1,1,9,9,1,2,1
807,1,1,3,2,3,0,2
808,1,1,3,7,4,0,2
809,1,2,7,4,6,2,1
810,1,2,6,1,6,0,3
811,1,2,6,8,2,0,3
812,1,2,2,3,3,0,1
813,1,1,11,2,1,0,3
814,2,2,10,1,1,0,3
815,2,1,3,7,6,1,1
816,9,1,9,2,1,0,1
817,1,2,5,1,1,0,1
818,1,1,7,0,4,0,1
819,1,1,5,8,5,0,1
820,1,1,4,3,2,0,2
821,1,1,9,0,1,0,3
822,4,1,6,1,5,1,1
823,1,1,5,4,1,0,1
824,1,1,5,4,4,1,1
825,8,1,6,0,1,1,1
826,1,2,7,0,3,0,2
827,9,2,5,3,5,2,1
828,1,1,8,1,1,0,3
829,1,2,1,3,6,0,1
830,7,2,5,6,2,1,1
831,1,2,8,8,5,0,2
832,1,2,6,8,3,1,1
833,2,1,2,4,4,0,3
834,1,2,10,2,1,0,3
835,1,2,4,3,6,0,1
836,1,1,5,9,5,1,1
837,1,2,5,2,3,1,1
838,2,2,7,9,4,1,1
839,1,2,9,0,1,0,3
840,2,1,9,2,1,0,3
841,1,1,1,9,1,0,3
842,1,1,4,4,5,0,2
843,2,1,9,1,1,0,3
844,1,2,6,0,1,1,3
845,1,2,4,0,6,0,1
846,2,2,5,6,6,1,1
847,1,1,8,2,1,0,2
848,1,1,9,6,3,0,1
849,1,1,6,3,6,0,2
850,1,1,5,3,1,0,1
851,1,2,1,2,4,0,2
852,1,1,5,8,2,2,1
853,1,2,6,7,6,1,3
854,1,1,6,2,4,0,1
855,2,1,10,5,1,0,1
856,9,2,1,0,1,0,1
857,9,2,11,5,3,0,1
858,1,1,6,2,3,0,3
859,2,1,12,5,5,0,1
860,1,2,12,3,6,2,1
861,9,1,10,8,2,0,1
862,1,1,8,2,1,1,1
863,1,2,4,0,1,0,1
864,1,2,10,4,4,1,1
865,2,1,3,7,1,2,1
866,6,1,10,7,5,0,2
867,1,1,4,5,5,2,1
868,2,1,9,2,1,0,3
