Unnamed: 0,SEX,RAC1P,MSP,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE
856,1,9,2,3,2,6,1
838,1,2,2,3,1,4,0
520,2,5,2,1,1,2,1
343,2,8,2,1,1,6,1
128,2,8,2,1,1,6,4
647,2,8,1,1,1,4,3
471,2,5,2,1,2,6,1
62,1,4,1,1,2,2,6
138,1,5,1,1,1,4,8
498,2,2,2,1,1,4,0
592,1,8,2,2,1,6,4
391,2,9,1,1,1,7,1
674,1,5,1,1,2,4,8
418,1,8,2,1,1,7,1
288,2,2,1,2,2,6,2
378,2,9,2,1,1,6,9
772,2,7,2,3,1,7,1
489,2,8,1,1,2,6,2
230,1,2,1,3,1,4,5
40,2,5,1,1,2,5,4
27,1,3,2,1,2,6,1
134,1,8,2,3,1,12,8
200,1,9,1,1,2,6,4
839,2,5,2,1,2,6,4
779,2,5,2,1,1,6,0
929,1,5,1,1,2,6,5
32,2,2,1,1,2,2,4
47,1,5,2,1,2,6,1
502,1,2,1,1,1,6,0
406,1,2,2,1,2,6,4
573,2,8,1,1,1,4,1
727,2,8,1,3,2,6,0
804,1,5,2,1,1,4,1
98,2,5,2,2,2,7,0
683,1,5,1,1,2,6,6
871,2,5,1,2,1,3,5
725,2,1,2,1,1,6,2
986,2,2,2,1,1,4,0
546,1,5,2,1,1,3,1
960,2,8,1,1,2,3,1
738,1,5,2,1,1,4,9
612,1,5,2,1,1,6,0
942,1,5,2,1,2,6,0
461,2,9,2,1,1,5,7
642,1,3,2,3,2,6,3
768,1,8,1,1,2,4,5
4,2,2,1,3,1,6,8
217,2,8,1,3,1,4,2
502,1,2,1,1,1,6,0
766,1,6,2,1,2,6,3
397,1,8,2,3,1,6,1
870,1,5,2,2,2,2,7
794,2,7,2,2,2,6,9
392,2,5,2,1,2,4,2
206,1,5,1,1,2,4,3
14,1,1,2,2,2,4,7
857,1,2,1,1,1,9,1
553,2,5,2,1,1,4,2
891,1,3,2,1,2,2,5
460,2,5,2,2,2,6,7
690,2,3,1,1,1,2,1
574,1,5,2,1,1,6,7
863,2,2,2,1,1,6,7
742,2,4,1,3,1,6,1
240,2,9,2,1,2,6,8
563,2,5,2,1,1,4,9
95,2,5,2,1,1,2,2
899,1,6,1,3,1,6,5
733,2,2,1,3,2,6,8
484,2,7,2,1,0,4,9
406,1,2,2,1,2,6,4
230,1,2,1,3,1,4,5
748,1,8,1,1,1,9,8
654,1,5,1,1,1,4,2
170,2,1,1,1,2,4,5
540,2,5,2,1,1,4,1
35,1,8,2,1,1,6,4
524,1,9,1,1,1,4,2
159,2,5,2,1,1,6,2
838,1,2,2,3,1,4,0
698,1,2,2,1,1,7,3
242,2,4,1,3,2,6,0
85,2,3,2,3,1,3,8
795,2,4,2,3,2,6,3
577,2,9,2,1,1,6,7
681,1,2,2,1,2,1,3
556,1,5,2,1,1,2,4
573,2,8,1,1,1,4,1
952,2,9,1,1,1,7,3
645,2,2,1,3,1,7,3
795,2,4,2,3,2,6,3
27,1,3,2,1,2,6,1
619,2,5,1,1,2,4,4
555,2,5,2,3,1,6,7
339,1,8,1,1,1,3,3
797,1,7,1,1,2,6,1
957,1,5,2,1,1,6,0
330,2,8,2,1,1,6,3
639,1,5,2,1,2,7,1
505,1,9,1,1,2,3,5
347,2,2,2,1,2,4,4
472,1,5,2,3,2,10,2
230,1,2,1,3,1,4,5
189,1,7,2,2,2,4,0
224,1,4,2,1,1,6,0
384,2,2,2,1,1,6,0
376,2,5,2,3,2,6,3
282,1,6,2,1,2,2,0
957,1,5,2,1,1,6,0
632,2,9,2,1,1,3,8
627,1,5,1,3,1,3,0
972,1,4,1,1,1,6,0
744,1,1,2,1,1,4,1
258,2,3,1,3,1,4,4
358,2,1,2,1,1,2,2
709,2,9,2,1,2,4,2
455,1,5,2,3,0,11,8
410,2,8,1,3,2,7,1
648,1,5,2,3,1,2,4
317,1,5,1,1,1,7,3
676,2,5,1,1,1,6,0
224,1,4,2,1,1,6,0
818,2,8,2,1,2,6,8
233,1,3,2,3,1,7,1
683,1,5,1,1,2,6,6
663,1,3,2,1,1,6,4
974,2,1,2,1,1,4,4
826,1,8,2,1,2,7,4
373,1,5,2,1,2,7,6
671,1,1,2,1,1,6,3
607,1,6,2,1,2,4,5
471,2,5,2,1,2,6,1
232,1,7,2,1,2,5,4
691,2,9,1,1,1,4,4
112,2,7,1,1,1,6,4
829,1,5,2,1,1,1,5
496,2,7,1,3,1,4,5
441,1,1,1,1,2,5,9
563,2,5,2,1,1,4,9
267,1,5,2,1,1,6,9
509,2,2,2,3,2,5,1
806,1,2,2,3,2,6,0
385,1,5,1,1,1,2,9
386,1,6,1,1,1,6,2
112,2,7,1,1,1,6,4
612,1,5,2,1,1,6,0
624,1,2,1,3,2,4,7
951,1,7,2,1,1,7,5
80,1,2,2,1,1,6,1
698,1,2,2,1,1,7,3
112,2,7,1,1,1,6,4
1,1,7,1,2,1,3,1
641,2,5,2,1,1,12,4
219,1,5,2,1,1,7,1
565,1,8,2,3,0,2,5
854,1,8,2,1,1,7,7
996,1,2,2,1,1,6,0
735,1,9,1,2,1,6,4
224,1,4,2,1,1,6,0
384,2,2,2,1,1,6,0
402,1,2,1,2,1,7,1
637,2,3,1,1,1,6,0
129,2,5,1,1,2,6,1
52,1,5,2,3,1,5,2
683,1,5,1,1,2,6,6
729,2,1,1,1,2,4,7
671,1,1,2,1,1,6,3
709,2,9,2,1,2,4,2
415,1,9,2,1,1,6,2
246,2,2,2,3,1,7,5
835,2,2,2,1,1,5,1
438,1,8,2,1,1,6,1
202,1,2,2,1,2,6,1
183,2,6,2,1,1,7,4
122,2,2,2,3,1,4,8
400,2,2,1,3,1,7,2
766,1,6,2,1,2,6,3
293,1,7,1,1,2,4,5
279,1,7,2,2,1,7,5
836,2,5,2,1,2,6,4
883,2,1,1,1,1,6,0
609,1,9,1,3,2,6,2
197,2,2,2,2,1,6,7
981,2,9,2,3,2,2,5
906,2,4,1,2,1,6,2
510,1,2,2,1,1,6,5
751,2,5,2,3,2,6,5
143,1,8,1,1,2,7,6
608,1,5,1,3,1,3,2
200,1,9,1,1,2,6,4
123,2,6,2,1,1,4,3
186,1,5,2,3,1,6,2
325,2,9,1,1,2,6,2
463,2,3,2,1,1,6,4
348,1,6,2,3,1,6,6
770,1,8,1,1,1,4,1
659,1,5,2,1,1,6,0
763,1,6,2,2,2,9,8
954,1,6,2,2,1,6,2
931,1,1,2,2,2,9,8
402,1,2,1,2,1,7,1
345,2,9,2,2,1,4,6
962,1,7,2,2,1,3,1
510,1,2,2,1,1,6,5
146,2,9,2,1,2,4,7
147,1,5,2,1,2,6,4
863,2,2,2,1,1,6,7
710,2,5,2,1,1,4,1
819,2,3,2,1,2,4,3
488,1,9,2,1,1,2,3
928,2,1,2,3,2,6,8
935,2,9,2,3,2,7,0
639,1,5,2,1,2,7,1
550,2,5,2,1,1,7,2
337,2,2,2,1,1,6,2
871,2,5,1,2,1,3,5
640,1,2,2,1,2,6,5
778,1,3,2,3,1,7,6
987,2,5,2,1,2,6,0
952,2,9,1,1,1,7,3
472,1,5,2,3,2,10,2
945,1,5,2,2,2,6,0
150,2,5,1,1,2,6,3
414,1,5,2,1,1,6,9
989,1,2,2,1,2,4,4
297,1,8,1,1,1,7,4
610,1,9,2,3,1,2,5
262,2,5,2,1,1,2,4
763,1,6,2,2,2,9,8
143,1,8,1,1,2,7,6
345,2,9,2,2,1,4,6
623,2,1,2,1,1,7,0
571,1,1,2,2,2,4,1
880,2,9,2,3,1,6,9
1,1,7,1,2,1,3,1
896,1,7,2,1,1,6,6
303,1,5,2,1,2,6,6
253,2,8,4,2,1,6,0
651,2,2,2,1,1,6,0
452,1,6,1,1,2,6,1
36,1,9,2,1,1,6,0
159,2,5,2,1,1,6,2
8,1,5,2,1,1,6,1
232,1,7,2,1,2,5,4
98,2,5,2,2,2,7,0
658,1,9,2,1,1,7,5
815,2,8,2,1,1,6,4
207,1,8,2,1,1,6,1
130,1,2,2,1,2,6,2
403,2,2,1,3,2,6,2
151,2,2,2,2,1,6,4
53,2,5,2,1,2,3,7
119,2,2,2,1,0,2,8
672,1,5,2,1,2,3,1
919,1,4,1,3,1,4,5
627,1,5,1,3,1,3,0
586,1,2,2,1,1,2,9
624,1,2,1,3,2,4,7
967,1,3,1,1,1,6,1
419,2,6,2,3,1,6,5
421,2,5,2,1,1,3,1
103,1,3,2,1,2,4,8
851,1,5,2,3,2,4,0
253,2,8,4,2,1,6,0
226,2,7,2,2,1,2,6
111,1,3,2,1,2,3,0
509,2,2,2,3,2,5,1
472,1,5,2,3,2,10,2
98,2,5,2,2,2,7,0
152,1,5,2,1,1,7,3
860,1,9,1,1,1,7,0
913,1,5,1,1,1,6,5
895,1,5,2,1,1,5,2
877,2,8,2,1,2,6,0
337,2,2,2,1,1,6,2
705,1,5,2,1,2,6,2
821,1,9,2,1,1,4,8
162,2,5,2,1,2,9,1
719,1,5,1,1,1,4,8
956,2,9,1,1,2,4,1
680,1,7,2,2,1,4,0
995,2,8,2,1,1,6,7
160,2,9,2,2,1,4,7
579,1,6,2,1,2,7,4
800,1,8,1,2,1,4,4
397,1,8,2,3,1,6,1
276,2,9,4,1,1,6,1
815,2,8,2,1,1,6,4
915,1,5,2,1,1,6,2
503,1,6,2,1,2,6,6
895,1,5,2,1,1,5,2
391,2,9,1,1,1,7,1
134,1,8,2,3,1,12,8
194,1,2,1,1,2,2,1
400,2,2,1,3,1,7,2
639,1,5,2,1,2,7,1
32,2,2,1,1,2,2,4
687,1,7,1,2,1,7,1
459,1,5,2,1,2,2,0
954,1,6,2,2,1,6,2
882,2,5,2,1,1,7,5
469,1,1,2,1,2,6,0
374,2,8,2,2,1,2,2
21,2,5,2,1,1,12,5
749,2,5,2,1,1,7,1
669,2,3,1,2,1,4,0
37,2,4,2,1,1,7,6
229,1,5,2,1,1,6,1
364,2,5,2,1,2,3,1
562,2,5,1,1,2,7,0
437,1,9,1,1,2,6,2
775,1,2,2,1,0,4,9
282,1,6,2,1,2,2,0
26,2,2,2,1,1,2,7
225,2,1,2,1,1,6,8
276,2,9,4,1,1,6,1
797,1,7,1,1,2,6,1
608,1,5,1,3,1,3,2
283,2,8,1,3,1,4,9
878,1,4,2,1,2,6,4
959,1,5,1,1,2,6,2
480,2,5,2,1,2,2,1
452,1,6,1,1,2,6,1
828,1,9,2,1,1,4,8
815,2,8,2,1,1,6,4
658,1,9,2,1,1,7,5
515,1,3,2,1,2,6,0
546,1,5,2,1,1,3,1
191,1,5,2,1,0,7,2
48,1,8,1,1,1,6,1
511,1,5,2,1,2,4,1
16,2,6,2,1,2,4,1
171,2,5,2,3,1,6,3
219,1,5,2,1,1,7,1
157,2,5,2,1,1,6,1
476,1,8,2,1,2,6,1
45,1,7,2,1,1,4,0
372,1,2,2,3,2,6,9
517,1,8,1,1,1,7,0
98,2,5,2,2,2,7,0
891,1,3,2,1,2,2,5
744,1,1,2,1,1,4,1
36,1,9,2,1,1,6,0
279,1,7,2,2,1,7,5
348,1,6,2,3,1,6,6
496,2,7,1,3,1,4,5
301,1,3,2,3,1,6,8
180,2,9,2,1,1,6,0
606,2,6,2,1,2,6,7
98,2,5,2,2,2,7,0
699,1,2,2,1,2,4,0
992,1,3,1,1,2,4,2
115,2,7,1,1,1,4,5
190,2,6,1,1,1,3,1
252,1,5,1,1,1,3,3
980,1,3,2,1,1,4,2
927,1,2,2,3,2,4,5
982,1,5,1,3,1,4,0
160,2,9,2,2,1,4,7
255,1,2,2,1,1,6,5
322,1,4,2,3,1,3,8
127,1,3,2,2,1,6,1
17,1,8,2,1,2,4,2
792,1,8,1,1,1,11,6
734,1,7,1,3,1,1,1
565,1,8,2,3,0,2,5
569,1,5,2,1,2,6,9
322,1,4,2,3,1,3,8
871,2,5,1,2,1,3,5
685,1,7,2,1,2,6,2
791,1,5,2,1,1,6,5
625,1,5,2,2,2,2,8
287,2,8,2,1,1,6,0
942,1,5,2,1,2,6,0
853,1,2,2,2,2,6,4
662,2,5,2,1,1,3,3
961,1,5,2,1,1,7,4
638,1,9,1,3,1,4,2
154,2,5,2,3,2,2,8
489,2,8,1,1,2,6,2
385,1,5,1,1,1,2,9
985,2,8,1,1,2,6,0
784,2,9,2,2,2,6,2
103,1,3,2,1,2,4,8
928,2,1,2,3,2,6,8
392,2,5,2,1,2,4,2
810,2,8,2,3,2,7,0
245,2,2,2,1,1,6,5
175,2,8,1,2,2,7,5
38,2,7,2,1,1,4,2
476,1,8,2,1,2,6,1
681,1,2,2,1,2,1,3
758,1,5,2,1,2,7,0
537,1,5,2,2,2,6,0
866,1,6,2,1,2,6,5
817,1,5,1,1,2,4,2
920,2,2,2,3,1,6,1
407,2,5,2,1,2,6,2
524,1,9,1,1,1,4,2
827,1,6,2,1,2,9,5
505,1,9,1,1,2,3,5
902,2,1,1,1,2,7,5
824,1,5,2,1,2,6,8
35,1,8,2,1,1,6,4
684,1,2,2,1,1,6,2
19,1,2,1,1,2,3,4
320,1,2,2,1,1,6,6
775,1,2,2,1,0,4,9
511,1,5,2,1,2,4,1
399,1,1,1,1,2,3,2
653,2,1,6,3,1,4,9
971,2,5,2,1,2,3,7
882,2,5,2,1,1,7,5
470,2,5,1,3,1,10,4
142,2,3,2,1,1,6,1
91,1,5,2,1,2,9,0
353,2,3,2,2,2,6,1
833,1,2,1,1,2,6,7
799,1,2,2,2,2,6,5
726,1,1,2,3,2,6,1
958,1,5,2,1,2,4,4
853,1,2,2,2,2,6,4
50,2,2,1,1,2,4,8
664,2,3,2,1,1,3,5
697,1,5,2,1,2,4,1
574,1,5,2,1,1,6,7
189,1,7,2,2,2,4,0
124,2,5,2,2,1,6,4
149,1,9,2,1,2,6,4
313,2,3,2,3,1,2,7
569,1,5,2,1,2,6,9
341,1,3,2,1,1,2,0
304,2,4,2,3,2,4,3
691,2,9,1,1,1,4,4
681,1,2,2,1,2,1,3
837,1,2,1,3,1,7,6
782,1,2,1,1,1,6,3
53,2,5,2,1,2,3,7
443,2,2,2,1,1,6,5
612,1,5,2,1,1,6,0
992,1,3,1,1,2,4,2
263,2,8,2,1,2,2,1
52,1,5,2,3,1,5,2
571,1,1,2,2,2,4,1
619,2,5,1,1,2,4,4
4,2,2,1,3,1,6,8
102,1,8,2,1,1,4,7
195,1,5,2,1,2,4,7
773,2,8,6,3,1,2,9
876,1,4,2,1,2,6,0
991,2,2,2,2,2,9,2
883,2,1,1,1,1,6,0
349,1,8,1,1,2,6,4
46,2,8,2,1,1,6,0
866,1,6,2,1,2,6,5
822,1,5,2,3,2,2,0
935,2,9,2,3,2,7,0
819,2,3,2,1,2,4,3
655,1,8,2,1,1,6,2
268,2,8,2,1,1,7,3
369,2,2,2,3,1,6,5
635,2,2,2,1,2,6,7
105,1,7,2,1,1,4,4
669,2,3,1,2,1,4,0
658,1,9,2,1,1,7,5
656,2,3,1,3,1,3,2
119,2,2,2,1,0,2,8
830,2,4,2,1,1,7,3
786,1,8,2,1,2,7,7
603,1,1,2,1,2,6,0
57,2,5,2,2,2,6,1
950,1,4,2,1,2,6,5
345,2,9,2,2,1,4,6
740,2,5,2,1,1,2,3
473,1,9,2,1,1,3,3
116,2,7,2,1,2,6,9
829,1,5,2,1,1,1,5
790,1,5,2,1,1,3,6
126,2,5,1,1,2,7,9
392,2,5,2,1,2,4,2
907,1,5,1,1,1,6,1
640,1,2,2,1,2,6,5
57,2,5,2,2,2,6,1
633,1,6,2,1,0,6,1
512,2,4,2,1,1,6,0
750,1,7,1,1,1,6,5
801,1,5,2,3,1,6,4
95,2,5,2,1,1,2,2
637,2,3,1,1,1,6,0
117,1,5,1,1,2,7,7
559,1,5,2,1,0,7,1
600,1,5,1,1,2,6,1
487,2,5,1,2,2,9,1
236,2,2,2,1,2,6,2
884,2,5,2,1,2,6,3
896,1,7,2,1,1,6,6
271,1,5,1,1,2,6,0
188,2,5,2,1,1,7,0
998,1,8,2,3,1,2,2
703,1,2,1,1,2,3,5
446,2,5,2,2,2,6,1
580,2,5,1,1,2,3,6
789,1,9,1,1,1,4,5
860,1,9,1,1,1,7,0
246,2,2,2,3,1,7,5
962,1,7,2,2,1,3,1
75,2,5,2,1,2,6,0
153,1,9,1,1,2,6,8
655,1,8,2,1,1,6,2
434,1,8,2,1,1,6,2
996,1,2,2,1,1,6,0
85,2,3,2,3,1,3,8
696,1,1,2,3,1,7,4
284,1,5,2,1,1,7,7
973,1,9,1,1,1,4,0
219,1,5,2,1,1,7,1
68,1,7,2,1,1,7,2
46,2,8,2,1,1,6,0
93,2,3,2,1,2,4,2
749,2,5,2,1,1,7,1
957,1,5,2,1,1,6,0
452,1,6,1,1,2,6,1
203,1,8,2,3,1,6,1
911,1,3,1,3,2,6,5
217,2,8,1,3,1,4,2
473,1,9,2,1,1,3,3
431,2,9,1,2,1,6,2
340,1,2,2,1,1,4,1
550,2,5,2,1,1,7,2
611,1,3,2,3,1,2,9
288,2,2,1,2,2,6,2
253,2,8,4,2,1,6,0
733,2,2,1,3,2,6,8
356,2,9,2,3,1,6,0
22,2,5,2,1,2,6,1
761,1,1,1,2,2,7,5
521,1,5,1,1,1,6,0
757,2,9,1,1,2,7,0
836,2,5,2,1,2,6,4
99,1,6,2,1,1,6,0
801,1,5,2,3,1,6,4
179,1,5,2,1,2,7,5
222,1,3,2,1,2,3,6
905,1,5,2,1,2,6,3
761,1,1,1,2,2,7,5
658,1,9,2,1,1,7,5
441,1,1,1,1,2,5,9
607,1,6,2,1,2,4,5
768,1,8,1,1,2,4,5
324,1,5,2,1,2,6,1
515,1,3,2,1,2,6,0
15,2,8,2,1,1,6,7
791,1,5,2,1,1,6,5
335,1,5,2,1,1,6,2
758,1,5,2,1,2,7,0
257,2,8,1,2,2,6,2
496,2,7,1,3,1,4,5
987,2,5,2,1,2,6,0
895,1,5,2,1,1,5,2
159,2,5,2,1,1,6,2
474,1,6,2,1,1,4,0
851,1,5,2,3,2,4,0
663,1,3,2,1,1,6,4
907,1,5,1,1,1,6,1
689,1,1,2,3,1,6,9
674,1,5,1,1,2,4,8
379,2,8,2,2,2,2,1
544,2,5,2,2,2,7,6
928,2,1,2,3,2,6,8
956,2,9,1,1,2,4,1
690,2,3,1,1,1,2,1
426,1,6,2,1,1,7,2
612,1,5,2,1,1,6,0
267,1,5,2,1,1,6,9
834,2,5,2,1,1,9,0
576,2,5,2,3,2,7,7
416,2,5,2,1,2,4,0
167,2,7,1,1,2,6,1
841,2,5,1,1,1,6,9
42,1,5,2,1,2,4,5
555,2,5,2,3,1,6,7
284,1,5,2,1,1,7,7
396,1,5,2,2,2,6,1
11,2,8,2,3,2,1,9
606,2,6,2,1,2,6,7
301,1,3,2,3,1,6,8
897,1,2,1,3,1,6,0
252,1,5,1,1,1,3,3
498,2,2,2,1,1,4,0
753,1,5,1,1,1,2,4
34,1,5,2,1,1,6,6
726,1,1,2,3,2,6,1
848,1,9,1,3,2,4,2
89,1,8,1,1,2,6,0
775,1,2,2,1,0,4,9
604,1,8,2,1,1,4,9
921,2,5,1,2,1,6,1
969,1,5,2,3,1,3,3
601,1,3,2,2,1,2,0
417,1,5,2,1,2,3,0
114,2,5,1,1,1,6,7
616,1,3,1,2,1,7,3
902,2,1,1,1,2,7,5
195,1,5,2,1,2,4,7
825,1,2,2,1,1,4,5
500,2,1,2,1,2,6,2
625,1,5,2,2,2,2,8
492,2,5,2,2,0,3,4
74,2,8,1,1,1,6,4
412,2,5,1,3,1,7,1
375,2,1,2,3,2,7,1
419,2,6,2,3,1,6,5
728,1,9,2,3,1,3,1
276,2,9,4,1,1,6,1
760,1,5,2,1,1,6,9
675,1,7,2,3,1,4,8
393,1,1,2,2,2,4,8
868,2,7,1,2,1,6,8
456,2,9,1,1,2,4,5
919,1,4,1,3,1,4,5
191,1,5,2,1,0,7,2
738,1,5,2,1,1,4,9
688,2,2,1,1,1,6,1
98,2,5,2,2,2,7,0
547,1,3,2,1,2,6,3
977,1,9,2,2,1,6,3
998,1,8,2,3,1,2,2
95,2,5,2,1,1,2,2
663,1,3,2,1,1,6,4
662,2,5,2,1,1,3,3
189,1,7,2,2,2,4,0
735,1,9,1,2,1,6,4
36,1,9,2,1,1,6,0
779,2,5,2,1,1,6,0
368,2,3,1,1,2,4,3
694,2,5,2,1,2,7,6
524,1,9,1,1,1,4,2
278,1,5,2,2,2,7,6
216,1,8,1,1,1,4,5
866,1,6,2,1,2,6,5
872,2,5,2,1,1,6,1
797,1,7,1,1,2,6,1
272,2,4,2,3,2,5,3
880,2,9,2,3,1,6,9
61,2,2,1,2,2,6,0
595,1,8,2,2,1,7,2
879,1,3,2,1,2,6,4
728,1,9,2,3,1,3,1
341,1,3,2,1,1,2,0
396,1,5,2,2,2,6,1
698,1,2,2,1,1,7,3
18,2,6,2,1,2,6,0
176,1,6,2,2,1,2,0
611,1,3,2,3,1,2,9
395,2,8,2,1,2,7,0
444,2,5,2,1,2,3,1
232,1,7,2,1,2,5,4
914,2,3,2,1,2,7,8
75,2,5,2,1,2,6,0
264,1,5,2,2,1,6,0
454,2,9,2,1,2,7,1
795,2,4,2,3,2,6,3
717,2,6,1,1,1,6,5
734,1,7,1,3,1,1,1
383,1,5,2,3,2,4,2
563,2,5,2,1,1,4,9
850,1,2,2,1,1,6,0
505,1,9,1,1,2,3,5
366,1,2,2,1,1,10,1
143,1,8,1,1,2,7,6
884,2,5,2,1,2,6,3
68,1,7,2,1,1,7,2
98,2,5,2,2,2,7,0
395,2,8,2,1,2,7,0
24,1,2,1,1,1,6,0
947,1,5,1,1,1,6,4
890,2,4,2,2,0,6,0
468,1,5,1,1,1,3,4
483,1,9,2,1,1,6,1
564,1,5,2,3,1,6,0
150,2,5,1,1,2,6,3
143,1,8,1,1,2,7,6
568,1,3,2,1,2,6,0
38,2,7,2,1,1,4,2
108,1,1,2,1,2,4,0
692,2,2,2,1,2,4,4
41,1,5,2,1,1,4,7
185,1,2,1,1,2,6,7
934,2,5,1,1,1,6,2
397,1,8,2,3,1,6,1
222,1,3,2,1,2,3,6
633,1,6,2,1,0,6,1
132,2,5,2,1,1,2,0
162,2,5,2,1,2,9,1
214,2,5,2,1,1,3,0
732,1,9,2,1,1,7,1
234,1,5,2,1,1,3,3
842,2,3,2,1,1,4,0
657,1,4,2,1,2,7,8
750,1,7,1,1,1,6,5
587,2,5,2,1,1,11,9
8,1,5,2,1,1,6,1
73,1,5,2,2,2,7,9
953,1,2,1,3,1,6,7
491,1,2,2,1,2,7,2
912,2,7,2,1,2,6,1
252,1,5,1,1,1,3,3
229,1,5,2,1,1,6,1
518,1,2,2,2,1,6,0
173,1,5,2,1,1,5,5
652,2,4,2,1,1,6,1
167,2,7,1,1,2,6,1
169,1,2,1,1,2,2,4
392,2,5,2,1,2,4,2
945,1,5,2,2,2,6,0
794,2,7,2,2,2,6,9
633,1,6,2,1,0,6,1
193,1,8,1,1,1,6,8
516,2,9,1,1,2,4,0
28,2,2,2,1,1,4,6
164,2,9,2,1,1,6,0
421,2,5,2,1,1,3,1
338,1,9,2,2,1,6,5
647,2,8,1,1,1,4,3
495,1,5,2,1,1,6,4
364,2,5,2,1,2,3,1
832,1,2,2,1,0,4,1
341,1,3,2,1,1,2,0
499,1,7,2,3,1,7,2
656,2,3,1,3,1,3,2
510,1,2,2,1,1,6,5
326,2,3,2,1,2,6,1
216,1,8,1,1,1,4,5
300,1,1,2,3,2,4,0
131,2,6,2,1,1,6,0
