,RAC1P,SEX,EDU,PINCP_DECILE,HOUSING_TYPE,MSP,OWN_RENT
96,1,1,3,2,1,1,2
97,1,1,4,1,1,1,0
98,1,1,2,0,2,5,0
99,7,1,4,4,1,6,2
100,3,1,11,3,2,5,0
101,9,1,10,9,1,1,0
102,2,1,4,6,1,1,1
103,2,2,9,0,1,1,1
104,1,2,6,2,1,1,1
105,1,2,3,6,3,1,0
106,1,1,9,7,2,4,0
107,1,2,10,8,1,5,0
108,1,2,5,1,1,3,2
109,1,1,3,9,2,4,1
110,2,2,7,3,2,1,0
111,1,1,1,1,1,2,1
112,4,1,5,1,1,4,1
113,8,1,7,1,1,1,1
114,1,1,5,4,1,1,0
115,3,2,5,5,1,1,0
116,1,1,6,1,1,1,1
117,1,2,2,1,2,4,0
118,9,1,7,1,1,3,0
119,2,1,8,1,1,6,0
120,1,2,11,7,1,2,0
121,5,2,4,0,2,4,1
122,3,1,7,5,1,3,0
123,9,2,10,1,3,3,2
124,1,2,3,6,1,2,1
125,1,1,1,1,1,6,2
126,1,1,4,2,1,3,1
127,1,2,2,6,1,6,2
128,1,2,1,2,2,3,0
129,1,1,5,2,1,5,2
130,3,1,7,2,1,1,0
131,5,1,12,2,2,5,0
132,1,2,2,6,1,2,2
133,8,1,4,3,2,4,0
134,1,1,4,4,2,5,1
135,2,2,5,5,1,1,1
136,1,2,7,1,1,3,1
137,1,1,7,2,1,1,1
138,1,2,2,3,1,6,0
139,1,2,5,5,1,2,0
140,1,1,4,0,1,6,1
141,1,2,5,3,1,2,2
142,1,1,4,0,1,3,1
143,1,1,6,8,1,1,1
144,1,2,1,4,2,3,0
145,8,2,7,1,1,4,1
146,3,2,9,0,1,6,1
147,8,1,9,8,1,6,2
148,9,2,10,7,1,1,2
149,1,2,3,3,2,3,0
150,1,1,5,8,1,1,1
151,1,2,7,5,1,1,1
152,2,1,3,2,2,1,1
153,1,1,7,5,1,4,1
154,1,1,3,0,1,1,1
155,1,1,7,1,3,4,0
156,8,1,4,0,2,1,2
157,1,2,4,5,1,4,0
158,1,1,1,1,1,4,0
159,5,1,7,4,1,1,1
160,1,1,10,6,1,1,1
161,1,2,5,2,2,6,2
162,1,2,3,1,2,5,1
163,8,2,2,2,1,6,1
164,1,1,8,1,1,4,0
165,1,1,7,4,1,1,0
166,6,1,5,4,2,2,0
167,1,2,2,2,1,5,0
168,1,1,6,6,1,2,2
169,1,1,2,9,1,5,0
170,1,1,1,6,3,1,0
171,9,1,5,7,1,5,1
172,1,2,2,1,3,3,0
173,6,2,4,0,2,1,0
174,9,2,2,3,1,1,0
175,1,1,3,2,1,2,1
176,7,1,3,8,3,1,1
177,1,2,6,7,1,3,2
178,6,2,12,2,1,4,0
179,4,1,4,6,3,4,0
180,1,2,2,2,1,2,1
181,6,1,3,2,2,4,0
182,5,1,2,7,1,6,2
183,1,2,4,1,2,5,0
184,1,2,1,8,1,2,0
185,1,1,5,4,3,5,0
186,8,1,6,6,1,1,2
187,6,1,7,3,3,5,0
188,1,2,5,1,2,1,0
189,2,1,1,0,1,2,1
190,9,1,9,3,1,3,0
191,1,1,5,6,1,1,0
192,7,1,2,1,1,1,1
193,1,1,4,0,1,3,0
194,1,2,1,0,1,1,0
195,1,2,3,1,1,2,1
196,1,1,3,7,1,2,0
197,5,1,9,1,3,1,0
198,9,2,7,5,1,4,0
199,9,1,3,3,1,6,2
200,1,2,2,0,1,4,1
201,6,2,7,0,1,3,0
202,9,2,10,2,1,4,1
203,1,2,5,5,3,4,1
204,1,1,8,0,1,1,1
205,1,1,10,4,1,2,2
206,7,1,6,4,1,6,0
207,6,1,5,5,2,1,0
208,2,2,2,3,1,3,0
209,1,2,4,0,1,5,0
210,2,2,1,5,1,1,1
211,1,1,4,4,1,4,1
212,1,2,6,0,2,2,2
213,9,2,10,2,1,1,2
214,1,1,2,5,2,5,1
215,1,2,7,2,3,5,0
216,2,2,4,3,1,4,2
217,1,1,7,2,1,3,1
218,1,1,5,3,2,6,2
219,1,1,5,7,1,1,1
220,6,1,4,3,1,2,1
221,1,1,11,4,1,5,2
222,1,2,4,9,1,6,2
223,1,1,5,1,3,2,0
224,1,2,1,0,1,1,1
225,1,1,5,1,1,1,2
226,2,2,4,6,2,1,1
227,4,2,5,7,3,1,1
228,1,2,1,0,1,6,1
229,9,1,10,6,1,1,1
230,1,1,7,7,1,3,2
231,1,1,10,0,1,1,1
232,1,2,7,3,1,1,0
233,4,2,4,1,1,3,1
234,1,2,5,4,1,1,1
235,1,1,2,0,1,1,0
236,6,1,9,8,2,3,1
237,8,2,11,9,1,1,1
238,1,1,3,2,1,6,0
239,1,1,4,7,1,6,0
240,2,2,5,5,2,5,0
241,1,1,1,0,2,1,1
242,1,2,4,0,2,5,0
243,3,1,6,5,1,2,2
244,1,2,5,3,3,4,0
245,1,1,8,4,1,1,1
246,8,1,10,1,1,6,1
247,1,1,1,0,2,2,0
248,1,1,1,1,1,1,1
249,1,1,2,1,1,5,2
250,1,1,4,4,2,4,1
251,1,1,9,0,3,1,0
252,1,2,5,2,1,6,0
253,1,1,5,7,1,1,1
254,2,2,7,1,1,2,2
255,1,1,5,3,1,1,1
256,7,2,7,4,3,4,2
257,1,2,3,0,1,1,0
258,8,2,5,2,1,1,0
259,2,2,7,1,2,1,0
260,1,1,5,3,1,4,1
261,1,2,9,4,2,1,1
262,1,2,8,1,1,1,1
263,2,2,2,0,1,5,0
264,1,2,8,4,1,5,0
265,5,1,2,3,1,2,1
266,1,1,7,7,3,3,0
267,1,1,3,0,2,3,0
268,1,2,5,6,2,1,1
269,7,1,2,0,1,2,1
270,9,1,9,2,1,4,0
271,2,2,6,9,1,1,2
272,1,1,2,4,2,5,1
273,1,2,11,2,1,3,2
274,9,2,7,1,1,1,0
275,1,2,1,0,1,1,1
276,9,2,4,0,1,3,1
277,1,1,6,6,1,1,1
278,3,2,3,6,1,1,0
279,8,2,1,8,1,5,1
280,1,1,7,7,1,1,2
281,1,1,4,6,1,3,1
282,1,1,3,0,3,1,1
283,2,2,6,0,1,5,2
284,1,1,3,5,1,5,1
285,1,1,2,9,1,1,1
286,9,2,6,7,1,5,0
287,8,2,11,6,3,2,0
288,2,2,6,3,1,2,1
289,1,2,3,1,2,3,0
290,2,2,1,7,1,1,1
291,2,1,3,4,1,6,0
292,1,2,5,4,1,5,1
293,9,2,12,4,1,3,2
294,1,1,10,7,1,1,1
295,1,1,5,4,1,4,1
296,1,1,9,6,2,1,0
297,7,1,9,3,1,1,1
298,1,1,6,2,1,1,0
299,1,2,1,0,1,1,0
300,1,1,5,2,1,6,2
301,1,1,5,0,1,5,2
302,1,1,5,3,1,6,1
303,8,2,5,0,1,1,0
304,2,1,3,3,1,2,1
305,1,2,1,3,1,4,1
306,8,1,4,6,1,5,1
307,1,1,9,0,3,1,0
308,3,1,2,2,2,6,0
309,1,2,3,2,1,1,1
310,1,1,9,4,1,4,0
311,9,2,5,1,1,6,0
312,2,1,5,4,1,6,2
313,2,2,3,5,1,3,1
314,9,1,4,4,1,6,1
315,2,2,1,1,1,3,1
316,1,1,3,3,1,1,1
317,2,1,6,5,1,1,1
318,1,2,3,9,1,5,1
319,9,2,7,3,2,2,0
320,3,1,2,1,2,6,1
321,7,1,8,8,1,6,1
322,1,1,9,8,1,1,1
323,1,1,5,3,1,1,1
324,1,1,7,8,1,5,1
325,1,1,2,0,3,3,1
326,1,1,5,2,3,1,2
327,1,2,2,8,2,5,1
328,1,1,2,2,1,1,1
329,1,1,3,4,1,3,1
330,1,1,3,2,1,5,1
331,5,2,1,0,1,1,0
332,1,1,4,8,1,4,2
333,1,1,7,0,1,1,1
334,1,2,10,3,1,5,0
335,2,2,7,1,3,1,2
336,7,2,5,6,1,2,1
337,1,2,8,3,1,2,0
338,4,2,5,7,1,1,2
339,1,2,6,2,1,2,0
340,8,1,6,0,1,1,1
341,6,1,2,3,1,6,1
342,1,2,7,3,3,3,1
343,2,1,2,3,1,2,1
344,1,2,9,3,2,5,0
345,1,2,9,1,1,4,0
346,8,2,3,0,2,4,2
347,1,2,5,5,1,1,1
348,1,1,6,4,1,1,1
349,9,1,1,2,3,1,2
350,1,2,1,2,1,1,1
351,1,1,8,1,1,3,1
352,6,1,10,6,2,4,0
353,1,2,2,0,3,1,0
354,1,2,4,7,1,3,1
355,1,1,5,4,1,1,2
356,1,2,1,0,1,1,2
357,1,2,6,9,3,2,0
358,1,1,6,3,1,3,1
359,1,1,5,0,1,4,1
360,1,1,6,3,1,1,1
361,1,1,10,1,1,1,2
362,1,2,4,1,1,6,0
363,2,2,8,7,3,5,2
364,2,1,1,1,1,3,1
365,1,2,4,2,1,4,2
366,9,1,2,0,1,3,2
367,5,2,8,3,1,1,1
368,2,2,3,8,1,4,1
369,1,1,2,4,1,1,1
370,1,2,7,4,1,1,1
371,1,1,6,3,3,1,1
372,4,2,6,5,1,5,2
373,4,2,8,8,3,1,0
374,1,1,2,5,1,1,0
375,1,1,5,3,1,5,0
376,1,2,6,7,3,4,0
377,1,1,9,8,1,1,1
378,1,2,1,1,1,1,0
379,6,2,6,2,2,3,0
380,1,1,9,6,1,1,2
381,2,2,5,1,1,5,0
382,1,1,5,6,1,5,1
383,1,2,3,5,1,1,0
384,1,1,10,8,1,1,1
385,1,1,4,0,3,1,0
386,8,2,7,3,1,6,1
387,1,1,2,1,1,4,1
388,1,1,4,0,2,2,0
389,5,1,5,0,1,2,1
390,1,2,5,5,1,1,2
391,1,2,5,1,1,1,1
392,1,1,6,2,1,1,1
393,2,1,2,1,2,1,0
394,3,2,7,3,3,1,0
395,1,2,7,0,1,1,1
396,1,1,5,5,3,5,0
397,3,1,5,4,3,1,1
398,1,2,5,3,3,1,0
399,1,1,4,5,1,3,0
400,1,1,6,7,1,2,0
401,1,1,9,3,1,1,0
402,2,1,5,2,1,1,1
403,1,1,6,0,1,2,0
404,1,1,7,2,2,5,1
405,1,1,5,3,1,6,1
406,1,2,7,5,1,5,1
407,7,2,7,5,1,4,1
408,6,1,1,3,1,4,2
409,5,2,12,1,1,2,2
410,6,2,3,2,2,1,0
411,1,1,9,2,1,4,0
412,1,1,2,1,1,4,1
413,2,1,3,2,2,1,0
414,9,1,9,9,1,2,1
415,1,2,4,3,1,1,0
416,1,1,2,1,1,1,0
417,1,2,1,9,3,6,1
418,1,2,5,2,2,6,1
419,1,2,9,2,1,4,0
420,2,2,4,4,1,6,0
421,2,2,12,7,1,1,1
422,4,2,12,8,1,6,1
423,1,1,5,6,1,3,2
424,1,1,5,9,1,1,1
425,1,2,7,4,1,1,0
426,1,2,10,1,3,1,1
427,1,2,2,3,1,2,1
428,1,2,2,6,1,1,1
429,8,2,6,0,2,3,0
430,9,1,4,4,1,4,0
431,1,2,8,9,1,6,0
432,2,2,7,3,1,6,1
433,8,1,4,2,2,2,2
434,1,2,3,3,1,2,1
435,1,2,1,0,1,1,0
436,1,2,6,5,1,2,0
437,1,1,10,2,1,1,1
438,1,1,9,7,1,1,1
439,1,1,6,2,1,2,1
440,2,2,5,4,3,1,1
441,1,2,3,1,1,1,1
442,1,2,12,3,1,1,2
443,9,2,3,1,2,3,0
444,8,2,3,7,1,5,0
445,9,1,2,4,1,6,1
446,1,1,6,3,1,6,0
447,1,1,2,2,1,1,1
448,1,2,2,4,3,3,0
449,1,2,8,8,1,1,1
450,6,2,5,0,2,5,1
451,1,2,10,4,1,1,1
452,1,2,9,3,1,1,2
453,1,1,9,5,1,1,0
454,1,2,7,3,3,4,1
455,5,2,3,4,1,2,1
456,1,1,3,0,1,1,1
457,1,2,5,1,1,3,2
458,1,1,5,2,2,1,2
459,1,1,9,2,3,1,0
460,1,2,5,0,1,3,0
461,1,2,8,3,2,5,2
462,9,2,2,3,1,3,1
463,1,1,2,0,2,1,1
464,1,1,6,9,1,1,2
465,7,1,5,9,1,1,1
466,2,1,12,6,1,1,1
467,5,2,7,3,1,1,1
468,1,1,6,6,1,1,2
469,1,1,3,4,3,6,1
470,1,2,10,2,1,6,0
471,1,2,6,3,2,3,0
472,1,2,2,1,1,6,1
473,6,1,12,5,1,4,0
474,1,2,4,4,1,1,1
475,2,2,5,0,1,1,0
476,8,1,2,8,1,5,1
477,1,1,9,7,1,5,1
478,1,2,10,3,1,1,2
479,1,2,2,2,1,1,1
480,6,2,3,5,1,1,0
481,1,2,3,1,2,1,0
482,7,2,5,6,1,5,1
483,1,1,5,0,1,1,1
484,2,1,2,1,1,5,1
485,6,1,7,0,1,2,1
486,2,1,8,2,1,1,1
487,2,1,1,6,3,1,0
488,2,1,8,1,1,3,1
489,1,2,5,0,1,2,2
490,1,2,3,7,1,3,1
491,1,2,2,2,3,5,1
492,9,2,5,2,2,1,2
493,1,1,7,3,2,4,1
494,1,1,8,3,1,2,1
495,1,1,3,1,1,1,1
496,1,1,3,4,1,5,0
497,8,2,7,6,1,4,2
498,1,2,2,5,2,6,0
499,1,2,9,1,1,6,0
500,6,1,6,2,1,1,2
501,1,1,4,3,1,2,1
502,1,1,4,1,1,4,1
503,1,2,3,7,3,6,1
504,1,1,7,5,1,6,1
505,1,2,9,1,3,2,0
506,1,2,1,0,2,1,0
507,1,1,5,3,1,1,1
508,7,1,5,4,1,1,0
509,5,1,7,0,1,1,1
510,1,2,5,2,1,5,1
511,6,2,1,0,2,2,0
512,1,2,3,5,1,1,1
513,2,2,7,3,1,1,0
514,1,2,3,2,1,2,2
515,1,2,1,0,1,1,0
516,1,1,8,8,2,1,0
517,9,2,2,1,1,4,0
518,2,2,7,4,2,5,2
519,1,2,3,3,1,2,0
520,1,2,2,5,1,4,1
521,1,2,7,0,1,6,0
522,1,1,1,0,1,2,1
523,2,1,4,4,1,1,1
524,1,1,2,1,1,1,1
525,9,1,2,2,1,1,1
526,8,1,11,1,1,2,2
527,1,2,2,0,1,1,0
528,1,2,6,3,1,5,1
529,6,1,1,3,1,6,2
530,1,2,2,5,1,1,1
531,1,2,10,6,2,4,0
532,1,2,5,2,1,1,1
533,1,1,4,4,1,6,1
534,5,1,5,2,2,1,2
535,1,2,11,3,1,5,0
536,2,1,8,6,3,1,0
537,1,1,5,0,1,6,0
538,6,2,7,7,1,3,2
539,1,2,3,1,2,1,0
540,5,1,1,9,1,6,2
541,1,1,7,0,1,1,0
542,1,2,4,2,2,5,1
543,1,2,5,6,1,6,2
544,1,1,10,4,1,3,0
545,1,2,8,2,1,1,0
546,1,1,1,3,1,4,0
547,1,2,1,0,1,2,0
548,2,2,5,3,1,4,0
549,1,1,8,5,2,6,2
550,1,2,9,6,1,1,0
551,3,2,3,2,1,3,2
552,1,1,5,3,2,4,0
553,1,2,2,0,3,1,1
554,8,1,2,1,1,2,0
555,4,2,7,5,2,1,1
556,1,2,4,2,1,6,1
557,1,2,1,1,1,3,1
558,1,2,7,2,1,1,2
559,1,2,8,1,1,6,0
560,9,1,9,1,3,1,0
561,8,1,4,7,3,4,1
562,1,1,5,3,1,6,0
563,1,2,3,1,1,2,1
564,2,1,3,4,1,6,0
565,1,1,4,5,1,1,1
566,1,2,8,0,1,5,2
567,1,2,5,3,1,1,1
568,6,2,4,0,2,5,1
569,2,1,5,6,1,3,1
570,1,2,8,2,1,2,2
571,1,1,7,5,1,2,1
572,1,1,5,9,1,1,0
573,1,1,5,1,1,4,0
574,1,2,3,2,1,6,0
575,1,2,5,7,1,2,1
576,2,1,4,3,1,3,1
577,1,2,5,0,2,6,0
578,9,2,1,9,3,1,0
579,1,1,3,1,1,5,1
580,1,2,6,2,2,2,0
581,1,2,8,0,1,3,1
582,1,2,4,1,3,1,0
583,2,1,9,6,1,1,1
584,1,1,3,5,3,1,2
585,1,2,2,4,3,1,1
586,2,2,7,6,1,3,1
587,1,2,8,6,2,3,1
588,6,2,1,0,1,1,0
589,8,2,8,4,1,5,2
590,1,2,12,5,1,1,2
591,1,1,2,2,2,3,0
592,1,2,2,1,3,1,0
593,1,2,5,3,1,1,0
594,2,2,1,0,1,2,0
595,1,1,7,1,1,5,2
596,1,1,5,3,1,1,2
597,1,1,8,2,1,3,1
598,1,2,3,3,1,2,1
599,5,1,10,8,1,4,1
600,1,1,10,0,1,1,1
601,1,1,2,1,2,1,1
602,5,1,3,1,2,3,0
603,9,1,6,4,1,4,0
604,1,1,3,1,1,2,0
605,4,1,7,5,1,6,1
606,2,1,3,4,1,6,1
607,1,1,3,0,3,2,0
608,1,2,5,5,2,4,0
609,9,1,9,2,3,5,0
610,9,2,10,8,1,6,0
611,2,1,2,5,1,1,0
612,1,1,5,3,1,1,0
613,1,1,8,2,1,5,1
614,2,2,11,2,2,1,1
615,2,1,6,7,1,6,0
616,1,2,6,2,3,4,0
617,2,2,3,2,1,6,2
618,1,2,5,1,2,2,1
619,1,1,5,5,1,1,1
620,9,1,3,5,1,3,2
621,1,2,5,5,1,4,0
622,4,2,3,2,1,4,1
623,7,1,1,1,1,2,0
624,1,2,4,3,2,3,0
625,1,2,7,3,3,5,0
626,1,1,5,7,3,5,0
627,9,1,9,1,1,4,0
628,1,2,7,2,1,1,1
629,1,2,1,3,1,1,0
630,1,2,10,3,1,1,1
631,8,2,4,0,2,2,1
632,1,2,5,8,1,6,1
633,4,2,3,3,2,4,1
634,1,2,5,5,1,2,0
635,1,2,7,3,1,3,1
636,1,2,5,1,2,6,2
637,5,2,10,1,3,5,1
638,1,1,3,3,3,1,1
639,2,1,5,2,1,1,1
640,1,1,5,2,1,1,0
641,6,1,7,0,1,1,0
642,2,1,6,6,1,1,0
643,1,2,5,7,1,1,1
644,1,2,1,0,1,5,0
645,1,1,7,6,1,1,1
646,1,2,1,0,1,1,0
647,1,1,5,6,1,1,0
648,2,1,5,1,1,1,0
649,1,1,1,7,1,1,0
650,1,2,6,2,1,1,0
651,5,2,12,7,3,6,0
652,1,2,7,5,2,5,2
653,2,1,3,3,1,5,1
654,1,1,2,2,1,2,1
655,1,1,8,8,1,2,2
656,1,1,7,0,1,1,0
657,8,2,6,0,1,4,1
658,1,1,10,8,1,2,0
659,1,2,7,1,2,3,0
660,1,1,7,5,1,5,1
661,1,1,5,9,1,5,0
662,1,2,7,3,1,5,2
663,1,2,5,3,1,5,0
664,9,1,2,4,1,3,0
665,1,2,1,0,1,3,0
666,6,1,7,1,2,1,0
667,1,2,3,1,2,1,0
668,1,1,7,4,1,1,2
669,1,2,3,1,2,1,0
670,1,2,6,0,1,3,2
671,2,2,3,3,2,2,0
672,9,2,3,0,1,1,0
673,1,1,8,2,1,1,2
674,1,2,11,9,3,5,1
675,1,2,9,4,1,1,0
676,1,1,9,2,1,1,1
677,2,1,1,4,1,1,1
678,1,1,5,5,1,4,1
679,2,2,3,7,1,6,2
680,9,1,4,5,2,5,1
681,1,2,2,2,1,1,1
682,1,2,3,3,1,6,1
683,9,1,2,3,1,6,2
684,1,1,4,1,1,5,1
685,1,2,5,7,1,1,0
686,4,2,4,2,1,1,0
687,8,2,9,3,1,4,0
688,1,2,1,1,1,2,0
689,6,2,11,9,3,6,1
690,1,1,9,8,1,1,1
691,4,2,5,4,1,1,1
692,4,1,6,2,1,1,1
693,2,2,7,9,1,4,0
694,8,2,8,2,1,4,0
695,4,2,3,6,1,5,2
696,1,2,2,4,3,6,2
697,1,2,5,1,1,1,0
698,5,2,6,2,1,3,1
699,5,1,9,9,1,4,0
700,1,2,7,4,1,6,0
701,1,2,1,3,1,2,0
702,9,1,10,1,2,1,0
703,1,1,5,3,1,6,1
704,1,1,10,8,1,6,2
705,1,1,2,1,1,1,0
706,5,2,1,9,1,3,0
707,2,1,3,3,2,1,0
708,8,2,3,0,2,4,0
709,1,1,2,0,1,6,1
710,1,1,1,1,1,2,1
711,2,1,9,2,1,2,1
712,1,1,4,8,1,3,1
713,8,1,2,4,2,5,0
714,3,1,2,6,1,6,0
715,1,1,5,4,1,1,0
716,1,1,4,0,1,5,1
717,1,1,3,1,1,1,1
718,1,1,6,4,2,1,1
719,1,2,4,0,2,3,0
720,5,1,4,1,1,1,1
721,1,2,4,9,1,1,1
722,2,2,7,6,1,6,1
723,1,2,1,6,1,6,1
724,9,1,2,6,3,6,0
725,1,1,3,4,2,1,1
726,8,2,6,3,1,1,1
727,1,2,9,5,2,2,0
728,1,2,8,4,1,6,2
729,1,2,4,2,1,2,1
730,1,1,8,6,2,3,0
731,2,1,4,0,1,4,1
732,1,1,2,1,3,5,0
733,8,1,4,0,1,5,2
734,1,2,6,9,1,1,2
735,6,1,2,4,2,2,0
736,1,1,9,7,1,3,1
737,2,2,5,6,1,1,0
738,5,2,3,6,1,4,0
739,1,1,9,0,3,1,0
740,1,2,3,3,1,6,1
741,1,2,1,0,1,1,1
742,1,2,5,0,3,3,0
743,1,2,5,5,1,2,0
744,4,1,1,1,1,5,1
745,1,2,4,1,1,2,0
746,1,2,5,2,1,3,0
747,2,2,6,2,1,2,1
748,5,2,2,6,1,6,1
749,1,2,4,6,3,2,2
750,1,1,2,3,1,6,1
751,1,1,8,4,1,4,1
752,1,2,5,1,2,4,1
753,1,2,8,4,1,4,0
754,9,2,8,4,1,4,1
755,2,2,3,9,1,3,2
756,1,2,2,2,1,4,0
757,1,1,8,2,2,2,2
758,6,1,12,6,1,6,1
759,1,2,5,5,1,1,1
760,9,1,9,8,1,5,0
761,1,1,7,1,3,1,0
762,1,2,7,4,1,1,1
763,8,1,6,0,1,3,2
764,4,1,3,0,2,5,2
765,5,1,3,9,3,4,0
766,3,2,3,1,1,1,1
767,2,1,4,4,2,3,1
768,1,2,6,0,2,3,0
769,1,2,4,4,1,1,1
770,5,1,4,3,1,4,0
771,2,1,5,3,1,1,0
772,1,1,8,3,2,1,1
773,8,1,8,0,1,1,0
774,1,1,11,2,1,1,2
775,2,1,5,0,1,1,0
776,1,1,5,5,1,2,1
777,1,1,5,4,2,4,1
778,1,1,7,4,1,2,1
779,2,2,6,7,2,6,1
780,1,2,4,5,1,3,0
781,1,1,5,4,1,3,0
782,1,1,4,4,1,5,1
783,1,2,3,0,1,4,2
784,2,2,1,0,1,1,1
785,1,2,2,3,1,5,1
786,4,2,2,3,1,1,1
787,5,2,2,2,1,2,1
788,1,1,8,2,1,3,1
789,1,1,3,1,1,1,1
790,1,2,6,3,1,1,2
791,2,1,4,4,2,5,1
792,1,2,6,2,2,2,0
793,2,1,8,5,3,1,2
794,9,1,3,8,1,5,0
795,1,1,4,7,1,6,1
796,1,1,4,8,3,5,1
797,1,2,1,4,2,1,0
798,1,1,8,1,3,1,2
799,1,2,1,3,1,5,1
800,1,2,2,2,1,2,1
801,1,1,8,8,1,1,2
802,3,1,8,3,2,4,1
803,1,1,6,8,1,5,1
804,1,1,6,4,2,4,0
805,2,1,1,1,3,1,1
806,1,2,8,0,3,6,0
807,2,1,8,9,3,6,0
808,1,2,1,0,1,1,1
809,1,2,5,3,1,1,0
810,1,2,1,0,2,4,1
811,5,2,6,2,1,5,1
812,1,2,5,3,2,4,1
813,1,2,2,8,1,3,0
814,1,1,7,6,2,1,1
815,1,1,1,1,1,1,1
816,1,1,5,2,1,1,0
817,1,2,11,0,1,6,1
818,1,2,5,0,2,1,0
819,1,2,3,0,2,3,2
820,1,1,3,3,3,4,0
821,2,2,5,1,2,3,0
822,1,1,4,5,1,2,1
823,1,1,2,4,1,5,2
824,1,1,9,3,1,2,2
825,1,1,5,5,1,6,0
826,1,1,7,5,1,1,1
827,1,2,5,6,3,3,2
828,2,2,9,2,1,1,1
829,1,1,2,2,1,1,0
830,1,2,2,0,1,1,1
831,1,1,7,5,1,4,1
832,1,2,7,9,1,3,2
833,5,2,8,3,1,1,2
834,7,1,12,3,1,4,1
835,6,1,1,8,3,1,0
836,1,2,3,2,2,1,0
837,1,1,7,7,1,3,1
838,1,2,7,6,3,6,0
839,1,1,8,3,1,1,1
840,1,1,5,2,2,1,0
841,7,1,7,7,1,6,0
842,6,2,10,5,1,3,0
843,3,2,3,0,1,2,1
844,1,1,5,7,1,4,2
845,1,1,5,5,1,2,1
846,2,1,5,1,1,6,2
847,1,1,4,1,1,2,1
848,1,2,8,5,2,6,1
849,1,1,7,4,1,5,2
850,5,1,4,2,1,5,1
851,1,1,8,4,1,6,2
852,1,1,3,3,3,2,1
853,1,1,5,4,2,3,0
854,9,1,9,2,1,2,1
855,1,2,5,2,2,6,0
856,1,2,5,5,1,2,1
857,1,2,1,3,1,2,1
858,1,2,5,0,1,5,0
859,2,1,3,4,3,6,1
860,1,1,8,6,1,2,1
861,8,2,3,7,3,2,1
862,9,2,8,2,1,3,0
863,1,1,2,5,1,3,1
864,2,1,1,1,1,1,0
865,1,1,10,1,1,5,2
866,2,2,2,1,3,5,1
867,2,2,5,0,1,1,0
868,1,1,7,1,1,1,0
