,SEX,RAC1P,MSP,EDU,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
329,2,2,1,5,0,1,0
330,2,1,1,10,4,1,2
331,1,1,1,6,5,1,1
332,2,1,3,5,4,3,1
333,1,1,4,4,1,1,2
334,1,6,2,5,6,3,1
335,2,7,6,7,4,1,0
336,2,1,1,3,3,1,0
337,2,1,4,6,4,1,1
338,1,1,2,6,3,1,0
339,2,6,1,5,0,1,0
340,2,1,1,7,2,1,1
341,2,2,1,12,1,3,2
342,1,8,4,4,4,2,1
343,1,2,1,7,0,1,0
344,2,8,4,3,4,1,1
345,1,2,3,2,0,1,2
346,2,2,6,4,4,1,0
347,2,1,1,3,0,2,0
348,1,7,5,6,3,1,0
349,1,1,1,8,2,3,1
350,1,4,5,6,2,2,1
351,1,5,3,7,2,1,0
352,1,2,3,3,1,2,0
353,1,1,1,5,4,3,1
354,2,2,5,5,6,1,0
355,2,3,6,8,4,1,0
356,1,7,6,8,0,1,0
357,1,5,6,11,6,1,1
358,2,2,1,8,3,1,2
359,1,1,1,5,2,1,1
360,1,1,2,5,1,1,2
361,1,2,3,2,2,1,0
362,1,2,3,6,1,1,1
363,2,5,5,4,2,3,1
364,1,1,6,7,5,3,1
365,2,2,6,8,8,1,0
366,1,7,1,6,0,1,0
367,1,1,1,6,4,1,1
368,2,1,4,2,2,1,0
369,1,1,3,2,4,1,0
370,2,2,5,4,0,1,1
371,2,1,1,7,3,1,0
372,1,1,1,3,0,1,1
373,2,1,1,3,4,1,1
374,1,1,4,5,5,1,0
375,1,1,6,2,4,1,1
376,1,8,6,7,7,1,0
377,1,1,1,6,3,1,1
378,2,1,1,3,3,1,1
379,2,8,1,7,0,1,0
380,1,2,3,8,2,3,2
381,1,1,1,3,4,2,1
382,2,1,6,8,3,2,0
383,2,2,1,9,3,1,2
384,2,2,1,5,0,1,0
385,2,1,4,7,4,1,2
386,1,1,2,7,0,2,0
387,2,1,1,3,0,1,1
388,2,1,1,4,1,2,0
389,2,1,1,4,3,2,1
390,2,1,1,7,2,1,0
391,2,1,3,7,3,1,1
392,1,1,3,7,3,1,0
393,2,1,3,7,7,2,1
394,2,7,1,8,7,1,1
395,2,5,5,2,0,1,2
396,1,5,1,4,6,1,1
397,1,1,1,7,4,1,0
398,1,1,4,1,1,1,0
399,2,1,2,7,4,2,0
400,1,1,1,6,2,1,2
401,1,1,6,7,8,2,0
402,2,1,4,4,1,1,0
403,2,1,5,3,0,1,0
404,2,3,4,7,3,1,1
405,1,1,5,5,3,2,2
406,1,3,4,5,8,2,0
407,1,5,6,3,2,1,0
408,1,1,3,3,3,1,1
409,1,2,5,6,0,1,2
410,2,7,5,7,2,1,1
411,2,1,4,10,2,3,2
412,2,1,4,7,1,1,1
413,1,5,5,11,3,1,1
414,1,6,3,6,3,1,1
415,1,1,3,4,2,2,0
416,1,1,4,6,3,1,2
417,2,1,1,5,4,3,1
418,1,1,4,7,3,3,1
419,2,1,6,7,4,3,1
420,1,1,3,5,1,1,1
421,1,6,2,5,0,1,0
422,1,2,4,3,2,1,1
423,1,8,1,3,0,3,1
424,1,7,6,7,7,1,0
425,1,6,1,5,0,1,0
426,2,1,2,3,0,2,0
427,2,1,1,3,0,3,1
428,2,1,4,11,1,3,2
429,2,2,4,2,4,2,0
430,1,1,5,3,2,2,2
431,2,1,1,4,5,2,0
432,1,1,6,3,2,1,1
433,1,2,1,5,0,1,0
434,1,2,1,7,2,1,1
435,1,1,4,6,4,1,1
436,2,1,3,7,3,3,0
437,1,1,6,4,4,1,0
438,1,1,2,9,1,1,2
439,2,1,1,8,0,1,1
440,1,2,3,3,3,2,0
441,1,1,3,1,6,2,0
442,2,9,1,6,4,1,0
443,2,1,3,2,0,3,1
444,2,7,2,2,2,1,0
445,2,6,5,5,8,1,1
446,1,1,2,4,3,2,0
447,2,2,1,5,3,3,1
448,1,1,2,5,1,1,1
449,2,2,1,5,0,1,0
450,2,1,4,6,3,1,2
451,2,8,1,2,4,1,1
452,2,2,1,5,2,3,1
453,2,1,1,6,2,1,1
454,1,1,3,7,1,2,0
455,2,8,1,2,5,1,0
456,2,5,4,4,4,1,1
457,2,1,1,11,1,1,0
458,1,5,3,1,2,1,0
459,2,8,4,4,1,1,1
460,1,8,4,1,0,1,0
461,2,2,1,5,4,3,0
462,1,4,3,2,3,2,0
463,2,1,6,1,5,2,0
464,1,2,4,3,5,1,1
465,2,1,3,6,2,2,1
466,1,2,4,8,6,3,1
467,2,1,1,6,4,1,0
468,2,8,4,7,1,1,1
469,2,1,1,8,1,1,1
470,2,2,5,1,1,2,1
471,2,1,3,2,0,1,0
472,1,2,5,6,3,2,1
473,1,2,1,3,0,3,1
474,1,6,4,3,3,3,0
475,2,1,3,3,9,2,0
476,1,1,3,1,6,2,0
477,2,1,3,4,3,2,1
478,2,1,1,6,4,1,1
479,2,1,4,3,2,1,0
480,2,1,4,7,1,1,1
481,2,6,3,5,1,2,0
482,1,9,2,5,3,2,1
483,1,1,1,5,3,1,1
484,1,1,5,7,1,1,1
485,1,6,1,5,0,1,0
486,2,2,3,9,2,1,0
487,1,1,4,2,4,1,1
488,2,2,1,4,2,3,1
489,2,2,4,1,2,1,2
490,2,2,2,5,0,1,0
491,2,1,4,3,1,1,2
492,2,2,5,3,0,2,2
493,2,1,1,2,5,1,0
494,1,8,1,5,0,1,0
495,2,8,1,6,8,1,1
496,2,1,5,3,2,1,0
497,1,2,3,2,3,2,1
498,1,9,4,1,2,2,1
499,1,6,6,3,2,1,1
500,2,8,2,5,0,1,0
501,1,2,6,6,3,1,1
502,2,1,1,12,0,1,1
503,1,1,4,5,4,2,0
504,2,8,3,4,2,1,1
505,2,1,4,3,2,1,1
506,2,1,2,3,3,2,1
507,1,1,4,7,4,1,1
508,2,1,2,6,2,1,0
509,1,1,6,7,7,1,1
510,2,1,1,5,3,1,0
511,2,1,3,7,1,1,1
512,2,2,6,7,3,1,0
513,2,9,1,8,4,2,1
514,1,1,1,4,4,1,1
515,1,1,3,3,4,2,0
516,2,2,2,3,1,1,0
517,1,1,4,7,1,2,0
518,1,1,3,2,4,2,2
519,1,1,2,3,5,1,1
520,1,1,1,3,6,1,1
521,2,9,4,1,6,1,1
522,1,2,1,12,0,1,1
523,2,2,2,3,2,3,0
524,1,6,4,7,4,1,1
525,2,1,1,1,6,1,1
526,1,1,2,8,2,1,1
527,2,1,1,5,3,2,1
528,2,1,1,7,1,2,0
529,2,2,3,2,5,3,1
530,2,1,1,2,1,1,1
531,1,3,6,8,4,1,0
532,2,2,5,2,6,1,1
533,2,1,4,6,2,1,2
534,2,2,2,4,0,3,0
535,1,1,4,3,3,3,0
536,1,1,5,5,6,1,1
537,1,1,1,2,4,1,1
538,1,5,2,5,5,1,0
539,2,1,1,6,2,1,1
540,1,1,3,2,9,2,1
541,1,1,2,5,2,3,1
542,2,9,5,5,8,1,1
543,2,2,2,6,5,1,1
544,2,2,1,3,2,1,0
545,2,1,1,5,6,1,0
546,1,1,5,3,9,1,1
547,2,1,3,2,4,1,1
548,2,2,1,6,0,1,0
549,1,9,3,6,2,3,0
550,1,7,2,4,1,2,1
551,2,9,3,9,3,2,0
552,1,2,1,6,0,1,0
553,1,1,1,6,4,1,1
554,2,1,3,5,0,2,1
555,2,1,1,4,1,3,1
556,1,2,3,2,1,1,1
557,2,1,1,2,3,2,1
558,2,1,1,2,2,3,1
559,2,2,6,4,5,1,1
560,1,2,1,6,5,2,2
561,2,6,4,6,0,1,0
562,2,1,1,6,2,2,1
563,1,1,1,3,3,2,0
564,2,8,1,5,0,1,1
565,1,1,4,6,2,1,1
566,1,1,1,6,1,1,0
567,2,1,2,3,0,1,0
568,2,6,1,5,0,1,0
569,1,4,1,7,5,1,0
570,2,1,6,3,3,1,0
571,2,1,2,11,4,1,1
572,2,2,1,8,0,1,0
573,2,1,1,4,5,1,0
574,2,1,1,2,5,1,0
575,1,1,5,4,2,1,1
576,1,3,6,9,5,1,0
577,1,2,6,5,4,1,0
578,1,3,1,1,3,2,1
579,1,1,3,7,5,1,1
580,2,1,4,7,2,3,1
581,2,1,3,6,2,3,0
582,1,2,6,3,2,1,0
583,2,1,2,7,1,1,1
584,1,1,1,3,4,1,1
585,1,1,2,4,2,1,1
586,2,3,5,7,7,2,0
587,2,1,4,4,2,2,2
588,1,2,5,4,1,1,2
589,1,1,3,2,4,2,0
590,1,1,3,8,4,1,1
591,2,2,6,7,4,1,0
592,1,8,1,8,0,1,0
593,2,6,3,7,6,2,0
594,2,1,2,3,1,2,0
595,1,1,3,4,3,1,1
596,1,1,6,3,2,2,1
597,2,1,1,7,3,1,1
598,1,1,3,2,0,1,2
599,1,1,1,3,1,3,1
600,2,8,2,5,0,1,1
601,2,1,1,4,4,1,1
602,1,1,4,2,1,3,0
603,1,1,4,9,4,3,0
604,2,1,4,7,4,3,1
605,2,1,1,3,1,1,1
606,1,3,2,5,4,1,1
607,1,1,4,3,5,3,2
608,1,1,4,2,4,1,1
609,2,2,4,5,1,3,1
610,1,6,4,7,4,1,1
611,1,1,1,12,4,1,1
612,2,1,4,10,2,2,0
613,1,1,1,3,0,1,0
614,2,1,2,5,8,1,1
615,2,1,1,5,5,1,0
616,1,1,5,2,4,1,1
617,1,1,4,3,1,1,0
618,1,1,4,5,5,1,0
619,2,1,1,6,5,2,0
620,2,4,6,3,4,3,1
621,2,1,1,5,4,3,1
622,2,1,5,5,4,2,1
623,2,4,4,11,2,1,1
624,2,2,6,3,5,1,1
625,2,1,1,3,3,2,1
626,1,1,6,1,3,1,0
627,2,1,3,7,2,1,1
628,1,1,2,1,0,1,0
629,2,6,3,2,1,2,0
630,1,2,1,3,4,2,1
631,2,2,2,4,2,2,1
632,2,1,1,6,5,3,1
633,2,8,2,8,0,1,0
634,1,1,1,5,5,1,0
635,1,2,3,6,2,1,0
636,2,1,1,2,5,1,1
637,2,5,6,2,1,1,1
638,2,2,1,6,0,1,0
639,1,1,4,2,1,1,1
640,1,1,6,2,1,1,1
641,2,8,2,5,3,1,0
642,2,8,1,5,3,3,1
643,2,1,1,2,2,2,1
644,2,1,1,7,6,1,1
645,1,9,5,3,5,1,1
646,2,2,3,1,3,3,1
647,1,8,2,5,0,1,1
648,2,1,3,4,4,2,0
649,1,1,1,8,3,1,1
650,1,1,1,3,0,1,0
651,1,2,3,3,0,2,2
652,1,1,2,6,0,1,0
653,2,4,1,5,0,2,0
654,1,1,3,1,0,3,2
655,2,1,3,5,2,1,1
656,1,1,2,6,6,1,0
657,1,1,1,7,2,1,0
658,2,1,1,5,5,1,1
659,2,9,3,5,5,1,1
660,2,8,5,3,1,2,1
661,1,2,1,6,4,2,1
662,2,2,1,1,3,3,0
663,1,2,2,6,0,1,0
664,2,3,5,2,0,1,2
665,2,1,2,5,1,2,0
666,1,6,1,5,0,1,0
667,1,8,1,2,2,2,1
668,2,1,1,6,2,1,1
669,1,2,1,6,0,1,0
670,2,1,4,9,1,2,2
671,2,6,2,8,0,2,2
672,2,1,4,8,8,1,1
673,1,1,1,5,0,1,1
674,1,1,1,8,6,1,1
675,1,1,1,3,1,1,0
676,1,1,6,4,0,1,0
677,2,2,1,5,0,1,0
678,1,2,1,7,1,1,0
679,1,1,1,8,3,1,2
680,1,2,6,8,1,1,0
681,1,2,6,2,1,2,1
682,1,1,4,7,4,2,1
683,2,1,1,6,1,1,1
684,2,2,3,5,2,2,1
685,1,1,1,5,1,1,1
686,2,6,1,5,0,1,0
687,1,1,1,8,1,3,0
688,1,5,3,5,0,1,0
689,2,1,1,5,4,1,1
690,2,2,4,5,0,1,0
691,1,1,1,3,3,1,1
692,1,1,1,6,1,1,2
693,2,1,6,3,3,2,0
694,2,1,3,7,3,2,0
695,2,1,1,9,6,3,0
696,1,1,2,3,2,3,0
697,2,7,3,3,3,2,1
698,2,3,6,4,0,1,0
699,2,2,6,7,2,2,0
700,1,1,1,6,3,1,2
701,1,1,2,1,2,2,0
702,1,2,2,8,0,1,0
703,1,8,2,5,0,1,0
704,2,1,4,5,3,1,1
705,2,2,4,6,1,2,1
706,2,1,1,8,5,1,1
707,1,8,1,10,4,1,1
708,2,1,5,6,1,3,1
709,1,1,4,3,0,2,0
710,1,6,1,5,0,1,0
711,2,5,6,1,4,3,1
712,1,5,4,5,3,1,1
713,1,1,5,5,9,3,0
714,2,8,5,5,3,3,0
715,2,1,1,6,2,1,1
716,1,1,1,6,6,2,1
717,2,1,1,2,4,1,1
718,1,1,1,9,2,3,2
719,1,2,3,4,2,1,0
720,2,2,2,5,2,2,0
721,1,5,6,4,3,3,0
722,2,2,6,8,3,1,1
723,2,2,2,5,0,1,1
724,1,1,1,5,2,3,1
725,1,1,3,5,2,1,1
726,2,1,1,5,4,1,1
727,2,5,3,7,2,2,0
728,2,7,1,9,2,1,1
729,2,1,4,1,6,1,1
730,1,1,4,5,3,1,1
731,2,1,1,2,0,1,1
732,2,1,1,6,1,1,2
733,2,6,1,5,4,3,1
734,2,1,5,5,2,3,1
735,1,8,1,5,0,1,1
736,1,1,3,7,0,3,0
737,2,1,4,5,1,2,1
738,1,1,4,3,5,1,0
739,2,2,3,5,0,1,1
740,2,8,1,6,7,1,1
741,1,1,1,3,4,1,1
742,1,2,6,7,3,1,0
743,1,7,4,2,2,1,1
744,1,1,5,6,2,1,2
745,2,9,3,1,0,1,1
746,1,9,4,11,8,1,1
747,1,1,2,2,5,1,1
748,1,1,1,3,4,1,1
749,2,2,4,2,0,1,2
750,1,5,1,8,2,1,2
751,1,2,1,2,3,2,0
752,1,2,4,2,5,1,1
753,2,5,1,6,5,1,1
754,1,1,2,2,1,1,0
755,1,1,5,7,2,1,1
756,2,1,3,2,1,1,1
757,2,1,2,9,4,1,1
758,2,2,6,6,0,1,0
759,1,6,1,5,0,1,1
760,2,2,3,5,3,1,1
761,1,2,1,2,3,2,0
762,2,1,5,4,3,2,1
763,1,1,1,4,5,1,0
764,1,1,1,3,2,1,1
765,2,5,4,5,0,1,1
766,2,1,1,11,1,1,1
767,2,1,1,7,7,1,0
768,2,1,4,5,5,3,1
769,1,1,3,5,0,3,1
770,1,2,1,7,2,1,0
771,1,9,2,5,4,3,1
772,1,2,4,7,3,2,0
773,1,1,4,5,4,3,2
774,2,6,3,7,4,1,0
775,1,6,1,6,3,1,1
776,2,5,2,3,1,1,0
777,1,2,6,6,2,2,0
778,1,2,1,5,0,1,0
779,1,1,6,5,5,2,0
780,1,1,3,2,1,2,1
781,2,1,1,6,2,1,1
782,2,9,4,5,6,1,0
783,2,2,1,8,2,1,1
784,2,3,6,6,4,1,0
785,1,1,2,3,8,2,0
786,1,1,4,4,3,1,1
787,1,1,5,2,0,2,2
788,1,1,1,3,1,1,0
789,2,9,3,5,6,2,0
790,2,8,3,1,0,1,1
791,1,7,1,6,2,1,1
792,1,1,6,2,3,1,1
793,2,1,1,8,2,1,1
794,2,3,6,7,1,1,0
795,2,1,4,11,1,1,1
796,1,5,1,6,2,1,2
797,2,1,1,3,3,1,0
798,2,5,6,4,5,1,0
799,2,8,1,5,0,1,0
800,2,6,1,5,0,1,0
801,1,1,1,2,5,1,0
802,1,1,3,8,3,1,1
803,2,1,2,7,2,1,1
804,2,1,4,6,0,1,2
805,2,1,1,5,2,3,0
806,1,1,1,6,1,1,2
807,2,1,1,2,1,2,0
808,1,2,5,1,0,1,1
809,2,1,3,1,6,1,1
810,2,1,2,5,4,1,1
811,1,1,6,3,9,1,1
812,2,1,1,3,0,2,0
813,2,1,2,5,1,1,1
814,1,1,4,4,0,1,0
815,2,3,1,8,0,1,0
816,1,1,1,6,6,1,0
817,2,2,1,8,0,1,0
818,2,1,2,5,3,1,2
819,2,1,1,5,3,1,1
820,2,1,5,8,5,2,0
821,2,8,4,4,1,3,1
822,2,1,3,7,0,2,0
823,2,1,1,7,2,1,1
824,2,1,1,3,5,1,0
825,1,2,1,7,3,1,2
826,1,1,5,3,1,1,1
827,2,1,3,5,3,1,1
828,2,7,5,5,3,2,1
829,1,1,3,5,5,2,1
830,1,2,2,2,8,2,0
831,1,2,4,4,5,3,2
832,1,2,6,7,2,2,0
833,1,2,1,3,9,1,1
834,1,1,3,4,1,3,1
835,1,1,4,12,4,1,1
836,1,1,2,7,1,2,0
837,1,2,2,5,0,1,0
838,1,5,4,2,0,1,1
839,1,1,6,4,0,2,1
840,1,2,2,1,2,2,1
841,1,2,4,4,2,3,1
842,2,1,1,5,4,1,0
843,2,1,3,4,0,3,1
844,1,1,5,7,3,1,1
845,2,6,2,5,0,1,0
846,2,1,4,1,4,1,1
847,2,1,1,3,3,2,1
848,2,8,2,7,0,3,2
849,1,2,1,5,3,1,0
850,2,1,1,7,4,1,1
851,2,2,3,6,4,2,2
852,1,8,1,6,6,1,1
853,2,4,4,7,1,2,1
854,1,3,6,8,1,1,0
855,2,4,1,3,0,2,0
856,2,5,6,7,2,1,0
857,1,4,1,5,3,1,0
858,1,2,1,1,3,1,1
859,1,8,6,7,0,1,0
860,1,1,1,10,0,1,2
861,2,1,5,3,0,2,2
862,1,1,6,3,9,3,1
863,1,2,1,5,6,1,0
864,1,2,1,9,4,2,0
865,2,1,1,9,4,1,1
866,2,1,1,6,4,1,0
867,2,2,6,5,5,1,1
868,1,8,2,1,0,2,0
