,RAC1P,SEX,EDU,PINCP_DECILE,MSP,HOUSING_TYPE,OWN_RENT
138,8,2,3,0,4,1,0
139,9,1,3,0,1,3,1
140,1,1,1,0,2,1,0
141,1,2,3,3,5,2,1
142,1,2,5,0,3,1,1
143,2,1,2,7,4,1,1
144,1,2,5,3,5,1,0
145,2,2,2,0,3,2,1
146,1,1,3,3,2,1,0
147,9,1,1,0,5,2,0
148,1,1,2,1,1,2,0
149,2,1,2,5,3,1,1
150,1,2,4,1,1,2,0
151,1,1,2,3,5,2,1
152,3,2,6,0,3,2,0
153,2,2,2,0,1,1,1
154,2,1,4,1,4,3,0
155,1,1,1,3,1,3,1
156,1,1,6,8,2,1,1
157,5,2,1,4,1,1,0
158,1,1,3,5,6,1,1
159,1,1,4,0,3,2,0
160,1,2,7,4,1,2,1
161,7,1,5,3,3,1,1
162,2,2,3,5,1,1,1
163,1,2,3,3,5,1,1
164,1,2,5,1,2,1,0
165,1,2,4,0,2,1,1
166,1,1,1,6,1,1,1
167,3,2,5,1,3,2,1
168,7,2,5,3,2,1,1
169,8,1,10,8,3,2,1
170,1,2,2,3,1,1,0
171,4,2,4,3,1,2,1
172,1,1,6,0,2,1,1
173,1,1,6,1,1,3,0
174,2,2,11,2,1,3,1
175,6,1,7,7,6,2,0
176,4,2,6,5,3,1,1
177,1,2,6,3,6,1,1
178,1,1,4,4,3,2,0
179,1,1,2,2,1,2,0
180,1,1,7,0,1,1,1
181,6,2,2,0,2,1,1
182,5,1,4,3,2,1,1
183,1,2,4,0,4,1,1
184,1,2,3,2,1,1,0
185,1,1,7,3,1,1,0
186,1,1,1,1,1,2,0
187,9,2,4,3,2,1,0
188,5,2,8,5,3,1,0
189,9,1,3,4,3,1,0
190,1,2,4,2,4,2,1
191,1,1,2,4,1,3,1
192,1,1,2,7,1,1,0
193,1,1,4,0,1,3,1
194,1,2,6,0,2,1,1
195,1,2,5,0,1,3,1
196,1,1,1,3,3,2,0
197,2,1,3,4,2,1,1
198,1,2,5,2,3,2,0
199,1,1,4,3,5,2,0
200,1,1,8,2,1,1,1
201,1,2,12,3,1,1,1
202,1,1,1,2,5,2,1
203,1,1,4,0,3,2,0
204,1,1,1,4,1,1,0
205,5,1,4,1,3,2,1
206,2,1,4,1,1,1,0
207,6,1,3,2,1,3,0
208,1,2,5,3,1,1,1
209,1,1,4,0,1,3,0
210,6,1,3,0,6,3,0
211,2,2,1,0,1,1,1
212,1,2,1,4,5,2,1
213,1,1,6,4,3,1,1
214,4,1,3,0,1,1,1
215,2,1,5,0,4,1,0
216,1,2,3,7,5,1,1
217,2,1,8,1,1,3,0
218,1,2,1,2,3,2,1
219,1,2,4,1,3,1,0
220,2,1,3,4,1,3,1
221,7,2,5,8,1,1,1
222,8,2,2,0,1,1,1
223,2,2,8,5,5,1,1
224,1,2,3,4,4,2,0
225,2,1,10,6,4,1,1
226,1,1,3,3,5,2,1
227,6,2,3,5,2,2,1
228,1,1,6,0,3,1,1
229,1,2,2,1,2,1,1
230,1,2,5,0,2,1,1
231,1,2,8,5,1,1,1
232,1,2,4,3,3,2,1
233,1,1,4,3,4,2,0
234,2,2,1,2,3,2,0
235,1,1,3,0,3,2,1
236,1,1,3,1,1,1,1
237,6,1,3,0,1,1,1
238,1,1,3,3,1,2,0
239,1,2,4,2,3,2,0
240,1,2,3,6,1,1,1
241,2,1,2,6,2,1,0
242,1,2,1,2,1,1,0
243,2,2,2,4,1,3,1
244,1,2,3,0,1,1,1
245,3,2,5,6,6,1,1
246,1,2,1,3,1,2,0
247,3,2,3,3,4,2,1
248,1,2,3,0,1,1,0
249,1,1,2,4,2,2,0
250,1,2,3,2,3,2,1
251,7,2,2,7,3,1,0
252,1,2,4,1,1,1,1
253,3,2,5,1,6,2,0
254,1,1,3,9,2,3,1
255,2,2,3,5,1,1,1
256,1,1,5,4,1,1,1
257,1,2,3,4,1,1,1
258,1,1,3,4,5,2,1
259,8,2,1,2,3,1,1
260,9,2,5,0,1,1,0
261,2,2,3,4,1,1,1
262,1,2,6,4,1,1,1
263,3,1,5,2,5,3,1
264,1,2,4,1,5,2,1
265,1,2,4,1,1,2,1
266,2,2,4,3,1,1,1
267,1,1,1,4,5,1,1
268,2,1,12,2,1,3,0
269,1,1,3,6,3,1,1
270,2,2,2,4,4,2,1
271,1,2,7,1,2,3,0
272,1,1,4,2,3,2,0
273,1,1,2,3,1,3,1
274,1,2,3,3,1,1,1
275,5,1,6,0,1,1,1
276,1,1,3,3,1,1,1
277,1,1,5,1,2,1,0
278,1,1,1,0,1,1,0
279,1,2,6,0,4,1,1
280,2,2,5,2,3,2,0
281,3,1,7,5,6,1,0
282,3,2,1,5,2,1,1
283,1,1,3,2,3,2,0
284,1,2,6,1,1,1,1
285,6,2,2,3,1,2,0
286,8,2,4,0,1,1,1
287,7,1,4,9,1,1,0
288,5,1,1,5,1,3,1
289,6,2,2,6,1,2,1
290,2,1,4,1,1,2,0
291,1,2,4,2,3,2,1
292,6,1,9,6,5,1,1
293,1,2,4,3,1,2,1
294,1,2,4,3,3,2,0
295,1,1,9,7,4,1,1
296,4,2,4,1,4,2,0
297,2,2,4,2,2,1,0
298,1,1,5,0,2,1,0
299,6,1,4,3,5,2,1
300,5,1,3,1,4,2,0
301,1,1,4,0,1,1,1
302,2,2,4,4,1,2,1
303,4,1,5,5,2,1,0
304,1,1,7,1,1,1,1
305,4,2,6,0,1,1,1
306,1,2,2,7,1,1,1
307,6,2,3,2,1,1,0
308,2,1,6,2,3,1,0
309,1,1,1,0,1,1,1
310,1,2,3,3,5,2,1
311,1,2,2,2,5,2,0
312,1,2,4,3,1,2,0
313,1,2,6,2,1,1,1
314,1,2,5,4,1,1,0
315,1,1,1,3,2,1,1
316,2,2,2,7,5,3,1
317,1,1,5,0,2,3,0
318,1,2,2,4,2,1,1
319,1,1,3,0,1,1,1
320,3,1,3,2,6,2,1
321,1,1,3,4,1,2,0
322,8,2,3,4,2,2,0
323,1,2,3,4,1,2,0
324,1,1,3,1,1,1,0
325,1,2,1,1,2,1,1
326,3,2,5,3,1,1,0
327,1,2,3,2,1,3,1
328,2,2,2,1,2,2,0
329,1,1,3,4,1,1,1
330,1,2,7,3,2,3,0
331,2,2,1,0,1,1,1
332,1,2,2,0,1,1,1
333,2,2,2,2,2,1,0
334,1,1,5,2,2,1,1
335,2,1,5,1,1,3,1
336,5,1,6,1,6,2,1
337,1,1,4,3,5,2,0
338,1,1,1,0,1,2,1
339,1,2,5,1,2,1,0
340,1,2,3,3,3,2,1
341,1,1,7,2,1,1,1
342,2,1,4,5,2,1,0
343,2,1,4,6,1,1,0
344,1,2,8,1,1,1,1
345,2,1,4,6,4,1,1
346,6,2,3,1,3,2,0
347,1,2,7,1,5,1,1
348,4,1,5,0,1,3,1
349,1,2,5,4,3,1,1
350,4,1,2,0,6,1,0
351,1,2,6,3,1,2,0
352,1,2,6,2,2,1,0
353,1,2,6,0,2,2,0
354,9,2,1,0,4,1,1
355,1,1,6,1,5,1,1
356,1,1,3,2,3,2,1
357,2,2,7,6,3,2,0
358,1,1,2,2,2,1,0
359,9,1,4,2,5,2,1
360,6,2,3,1,3,1,1
361,1,1,5,2,1,1,0
362,1,1,8,1,2,1,1
363,1,2,4,4,1,2,0
364,2,2,2,3,1,2,1
365,1,1,4,0,5,2,1
366,1,2,6,1,2,1,0
367,1,1,4,1,1,1,0
368,2,1,3,3,5,2,0
369,3,1,6,6,3,1,0
370,1,1,4,1,4,1,1
371,1,2,4,3,3,2,0
372,2,2,4,2,1,3,1
373,1,2,7,0,1,1,1
374,2,2,2,2,1,1,1
375,1,1,3,2,1,1,0
376,2,1,2,7,2,2,0
377,1,1,4,2,1,1,0
378,3,2,2,1,1,2,1
379,1,2,2,4,3,2,1
380,4,1,10,4,5,3,0
381,1,1,3,1,3,1,1
382,6,1,3,2,1,2,0
383,1,1,7,8,2,1,0
384,4,2,8,7,2,1,0
385,2,2,9,2,1,3,0
386,1,1,4,0,3,2,1
387,9,2,7,3,1,1,0
388,9,2,4,3,2,1,0
389,1,1,7,1,4,1,1
390,1,2,2,3,2,2,1
391,3,2,2,0,1,1,1
392,1,2,5,3,1,3,1
393,2,1,2,2,5,3,1
394,1,2,5,0,1,1,1
395,1,2,3,3,3,2,0
396,9,1,4,1,3,2,1
397,1,2,10,2,1,3,1
398,1,2,1,5,3,1,1
399,9,2,2,1,1,1,0
400,1,1,1,0,3,2,0
401,1,2,3,3,1,1,0
402,1,2,3,6,5,1,1
403,2,2,7,0,1,1,0
404,1,2,5,7,2,1,1
405,1,1,1,0,2,1,0
406,2,1,6,5,4,1,0
407,1,2,2,6,3,1,1
408,5,2,8,5,2,1,1
409,2,2,6,3,1,3,1
410,1,2,5,0,4,1,1
411,2,1,3,5,1,1,1
412,1,1,1,0,4,1,0
413,2,2,3,2,2,1,0
414,1,2,5,7,1,1,0
415,1,2,4,4,5,2,1
416,1,2,4,4,3,2,1
417,1,1,3,2,1,1,0
418,1,1,3,3,1,2,0
419,2,1,3,1,1,1,1
420,1,1,4,1,1,1,0
421,1,2,10,2,1,1,1
422,2,1,2,2,1,1,0
423,1,1,2,0,5,3,1
424,1,1,3,0,3,3,0
425,1,2,2,3,3,2,0
426,1,2,5,2,3,1,1
427,1,2,5,0,1,2,1
428,1,2,4,0,1,2,0
429,1,2,5,0,1,1,0
430,1,1,12,2,1,1,1
431,2,2,2,2,2,1,1
432,1,1,2,3,1,2,0
433,1,1,5,3,1,1,1
434,1,1,2,5,1,1,1
435,1,2,7,2,3,3,1
436,1,2,2,2,1,3,1
437,1,1,3,4,1,2,0
438,1,1,8,1,1,1,1
439,2,1,7,2,1,1,1
440,1,1,9,1,1,1,1
441,1,1,4,4,5,2,0
442,1,2,1,4,1,1,1
443,1,2,3,0,3,3,0
444,7,2,5,5,3,1,0
445,1,2,7,5,1,1,0
446,2,2,9,8,1,3,0
447,1,2,4,1,3,1,1
448,1,1,1,4,2,1,0
449,1,2,1,0,1,1,0
450,2,1,7,5,1,2,1
451,1,2,2,1,2,1,0
452,1,1,1,1,2,1,1
453,8,1,6,8,3,3,1
454,2,1,7,1,5,1,0
455,2,1,4,1,5,2,1
456,2,1,10,8,3,1,1
457,1,1,6,2,1,3,0
458,1,2,6,2,4,1,1
459,1,1,3,3,5,2,1
460,1,1,2,1,3,1,0
461,1,2,1,0,1,2,1
462,2,2,4,2,1,2,0
463,4,2,3,3,5,2,1
464,1,1,1,0,1,1,1
465,1,2,5,1,1,1,0
466,1,1,3,0,3,1,1
467,1,1,5,2,1,1,1
468,1,1,4,3,3,2,1
469,1,2,2,2,1,2,0
470,3,1,8,7,4,1,0
471,4,1,6,5,6,1,1
472,1,1,2,2,2,1,1
473,2,1,2,5,3,1,0
474,2,1,5,2,2,1,0
475,6,2,9,4,5,2,1
476,6,2,5,0,3,3,0
477,2,1,2,2,5,2,0
478,2,1,6,3,1,1,1
479,1,1,1,1,1,1,0
480,1,2,4,0,4,2,0
481,1,1,5,2,1,3,0
482,1,2,5,1,1,1,0
483,5,2,4,2,2,1,0
484,1,1,5,1,1,1,0
485,1,1,4,1,3,1,0
486,1,1,1,1,1,1,0
487,1,2,1,0,1,2,0
488,5,1,1,3,2,1,1
489,1,1,7,0,1,1,1
490,8,2,3,5,3,1,0
491,1,1,3,3,3,2,0
492,1,2,5,2,1,2,1
493,1,2,2,1,4,1,0
494,1,1,5,4,1,3,0
495,4,2,2,6,2,3,1
496,1,2,3,0,4,1,0
497,7,1,4,2,4,3,1
498,1,2,4,1,5,2,0
499,1,1,6,0,1,3,1
500,2,1,5,0,3,1,1
501,4,2,3,1,5,1,0
502,2,2,12,3,1,1,1
503,1,2,1,7,3,3,1
504,1,2,5,4,1,3,0
505,2,2,9,6,2,3,1
506,1,2,3,4,3,2,0
507,1,2,3,3,3,2,0
508,8,1,3,4,3,1,0
509,1,2,7,2,3,1,0
510,3,2,3,5,1,1,1
511,6,2,3,3,5,2,0
512,1,2,5,1,1,1,1
513,1,2,3,6,1,1,1
514,8,1,1,0,2,3,0
515,2,2,5,2,1,3,0
516,1,1,4,7,4,3,0
517,2,2,3,5,1,1,1
518,1,1,7,2,1,2,1
519,1,1,9,5,1,1,1
520,1,2,4,2,3,2,0
521,1,2,3,7,1,2,1
522,2,2,11,2,1,1,1
523,1,1,6,3,3,2,1
524,1,1,1,2,2,1,0
525,1,1,5,0,1,2,0
526,1,2,3,0,1,3,0
527,1,2,6,3,1,1,1
528,1,1,1,3,5,2,1
529,1,1,3,4,4,1,0
530,1,2,2,3,4,1,0
531,9,2,2,4,1,1,0
532,1,1,4,6,1,1,0
533,2,2,2,3,1,1,0
534,2,1,10,2,1,2,1
535,1,1,12,3,1,1,1
536,1,1,3,3,1,1,0
537,2,1,2,0,3,1,0
538,5,1,1,2,1,1,0
539,6,2,4,3,5,2,0
540,2,1,3,0,2,1,1
541,4,2,7,0,2,2,1
542,7,2,2,0,1,1,1
543,1,1,1,0,1,1,1
544,1,2,2,3,4,1,1
545,6,2,4,2,5,2,1
546,9,2,3,2,4,1,0
547,1,2,4,7,4,3,1
548,3,1,1,0,5,1,1
549,6,2,3,3,1,2,0
550,1,2,6,2,1,1,1
551,8,2,2,2,1,1,1
552,2,2,3,3,1,2,0
553,1,1,7,1,2,1,1
554,2,1,4,3,3,2,0
555,1,2,6,5,1,3,1
556,1,2,1,4,3,1,1
557,1,1,7,0,2,1,1
558,1,1,11,2,1,1,1
559,2,1,4,1,1,2,0
560,1,1,4,0,5,2,1
561,1,2,4,2,1,1,0
562,1,2,1,3,2,3,1
563,2,1,3,1,3,1,0
564,2,2,3,5,1,1,0
565,1,2,12,2,1,3,0
566,2,1,5,3,2,1,0
567,1,2,5,3,1,1,0
568,4,1,3,2,3,3,0
569,2,2,3,4,3,1,0
570,1,2,2,3,5,2,0
571,1,2,4,0,5,2,1
572,1,2,4,6,1,1,0
573,1,2,4,4,3,2,0
574,1,1,3,2,5,2,0
575,2,2,2,3,1,1,1
576,6,2,5,4,2,1,0
577,1,1,12,5,1,3,1
578,1,1,2,5,1,3,1
579,1,1,1,5,1,1,1
580,3,2,4,3,5,2,0
581,3,1,9,2,1,1,1
582,9,2,1,1,3,1,0
583,2,1,7,3,1,1,1
584,1,2,4,3,2,1,0
585,1,1,3,0,1,1,1
586,5,1,1,4,3,1,1
587,1,1,4,5,3,1,1
588,2,1,2,4,1,3,1
589,1,2,4,4,2,1,0
590,1,1,2,3,3,2,0
591,1,2,4,1,1,2,0
592,1,2,4,6,2,1,1
593,2,2,3,3,3,2,1
594,2,2,1,3,4,2,1
595,4,1,5,2,3,1,1
596,3,2,4,5,4,2,1
597,2,1,2,5,1,1,1
598,2,2,6,3,5,2,1
599,6,1,5,3,3,2,0
600,2,1,5,2,4,1,1
601,8,1,5,3,3,3,1
602,9,1,1,0,5,2,1
603,1,1,2,2,2,1,0
604,3,1,9,4,1,2,1
605,1,1,4,3,2,1,0
606,2,2,11,1,1,1,1
607,1,1,4,4,2,1,0
608,1,2,3,7,2,1,1
609,1,2,3,3,1,2,0
610,6,2,3,4,1,1,0
611,1,2,1,0,3,1,1
612,2,1,2,0,2,3,0
613,8,2,4,0,1,1,0
614,5,1,7,2,2,1,1
615,3,1,4,2,3,1,0
616,7,1,1,3,1,1,0
617,1,2,3,3,3,2,1
618,2,1,4,2,5,2,1
619,1,1,3,2,1,1,0
620,1,1,4,3,5,2,1
621,1,2,3,2,1,2,0
622,1,1,3,3,4,1,0
623,2,2,3,5,1,2,0
624,1,1,2,3,1,1,0
625,1,1,1,9,1,1,0
626,1,2,7,0,2,1,1
627,1,2,10,2,1,1,1
628,2,2,4,1,5,2,0
629,2,1,4,1,5,1,0
630,1,2,2,0,3,2,1
631,5,2,2,1,1,1,1
632,1,1,2,4,5,2,0
633,2,2,5,2,2,1,1
634,1,2,3,7,2,1,1
635,7,2,5,5,2,1,1
636,1,2,7,0,1,1,1
637,1,1,2,2,1,1,0
638,1,1,4,5,1,2,0
639,2,1,2,5,2,1,0
640,2,2,2,0,2,1,1
641,7,1,9,7,3,2,1
642,3,1,4,7,4,2,1
643,3,2,9,5,1,1,1
644,1,2,6,2,1,1,0
645,1,1,1,2,3,3,1
646,1,1,9,3,1,1,1
647,2,1,8,1,2,3,0
648,1,2,6,9,1,1,1
649,3,2,10,9,6,2,0
650,1,2,1,2,2,1,0
651,1,1,1,3,5,2,1
652,4,1,4,2,1,1,0
653,1,1,7,2,3,1,1
654,5,1,4,2,1,1,1
655,4,1,5,1,2,1,1
656,1,1,2,2,1,3,1
657,6,2,2,0,1,1,1
658,1,1,3,4,1,2,0
659,1,1,6,1,2,1,0
660,2,2,2,1,5,1,0
661,1,1,3,0,1,2,0
662,9,2,7,4,5,1,0
663,1,2,3,4,5,2,1
664,5,2,5,0,3,3,1
665,1,1,12,2,1,1,1
666,1,2,2,1,3,1,0
667,9,2,3,3,2,2,0
668,9,1,6,2,2,1,0
669,4,2,6,2,6,3,1
670,1,2,1,0,2,1,1
671,1,1,2,1,3,1,0
672,1,1,3,2,1,3,0
673,1,1,4,3,2,1,0
674,1,2,4,1,1,3,1
675,9,2,3,0,5,1,1
676,5,1,3,0,1,1,0
677,8,1,5,0,1,2,0
678,1,2,4,2,4,2,1
679,1,1,3,1,1,1,0
680,1,2,5,0,1,3,0
681,3,2,1,1,3,1,0
682,1,2,4,2,3,2,0
683,1,1,11,2,1,1,1
684,1,1,1,4,1,1,0
685,2,1,4,4,1,2,1
686,6,1,8,4,5,1,1
687,2,1,7,4,1,1,0
688,1,2,4,2,1,2,1
689,2,2,1,0,2,1,1
690,2,2,2,6,5,1,1
691,1,1,2,1,1,2,0
692,1,1,3,3,1,2,0
693,2,2,2,0,1,1,1
694,1,1,3,6,1,1,0
695,4,2,3,4,1,1,0
696,9,1,1,7,5,2,0
697,1,2,1,3,1,1,0
698,2,1,3,5,1,1,1
699,2,2,2,7,1,1,0
700,1,2,2,0,2,1,1
701,1,1,9,2,1,1,1
702,7,2,1,2,2,1,0
703,1,1,7,0,2,1,1
704,1,2,5,0,5,1,1
705,1,2,2,6,3,1,0
706,2,2,1,0,3,3,1
707,3,2,5,0,2,3,1
708,6,2,3,1,1,2,0
709,7,1,4,2,2,1,0
710,1,2,7,1,3,1,1
711,1,1,3,0,2,1,1
712,1,1,7,1,2,3,1
713,1,1,4,3,1,2,0
714,1,1,3,4,4,1,0
715,1,1,1,0,1,1,1
716,2,1,6,1,2,1,1
717,2,1,2,1,1,2,0
718,2,1,1,0,2,1,0
719,2,1,11,2,1,1,1
720,1,1,4,5,3,2,1
721,1,1,4,2,1,2,0
722,9,1,4,7,3,1,1
723,2,1,4,3,2,2,1
724,1,2,1,0,1,1,1
725,1,1,3,0,5,2,0
726,6,1,4,2,1,2,0
727,1,1,3,3,1,1,0
728,1,1,2,1,1,3,0
729,1,1,3,2,5,1,1
730,2,2,4,0,2,3,1
731,1,1,3,4,1,1,0
732,1,2,4,3,5,2,1
733,1,1,1,1,1,1,0
734,1,2,6,0,1,3,0
735,8,1,3,4,1,1,1
736,2,1,2,3,1,1,1
737,1,2,3,0,3,2,0
738,1,2,1,2,2,1,0
739,2,1,5,2,4,1,1
740,8,2,3,0,4,1,1
741,1,1,3,5,4,1,0
742,2,2,1,4,2,2,1
743,1,2,1,1,2,1,0
744,1,2,3,3,4,2,0
745,1,2,3,1,2,2,0
746,1,2,4,1,3,2,1
747,6,1,3,0,5,2,0
748,1,2,5,0,3,1,0
749,1,2,3,1,2,1,0
750,5,1,2,4,1,2,1
751,4,2,2,5,1,3,1
752,5,2,1,3,1,1,0
753,1,2,4,1,3,3,1
754,1,2,2,2,1,1,0
755,6,2,4,3,1,2,0
756,2,1,9,2,3,1,1
757,6,2,9,4,5,1,0
758,1,1,3,5,3,1,1
759,2,2,2,4,2,1,1
760,2,2,10,4,1,1,1
761,6,2,8,8,4,2,0
762,1,2,3,3,1,2,1
763,1,2,10,4,2,1,0
764,1,2,9,2,1,1,1
765,4,1,8,3,3,1,1
766,1,2,6,0,2,1,1
767,1,1,1,1,1,1,0
768,2,2,3,5,1,1,1
769,1,1,6,2,4,1,1
770,2,2,5,4,5,1,0
771,2,2,8,1,3,1,1
772,6,2,10,5,1,1,1
773,1,2,3,4,4,2,1
774,1,1,2,0,1,2,1
775,1,2,1,5,2,2,0
776,1,2,3,5,2,2,0
777,4,2,9,7,6,1,0
778,2,2,4,5,4,1,1
779,6,2,4,2,2,1,0
780,3,2,2,0,2,1,1
781,2,1,2,2,2,2,0
782,1,1,4,3,5,2,1
783,5,2,9,8,2,2,0
784,1,2,1,3,5,2,1
785,8,1,3,2,2,1,0
786,1,2,2,5,2,1,1
787,1,2,4,3,3,2,0
788,2,1,4,7,4,1,1
789,6,2,7,0,1,2,1
790,1,1,4,0,1,2,0
791,5,1,3,3,4,1,0
792,1,1,3,3,3,2,1
793,2,1,6,2,3,1,1
794,1,2,4,3,1,1,0
795,1,2,4,1,1,1,0
796,1,1,5,4,4,1,0
797,1,1,12,2,1,1,1
798,1,2,4,1,1,2,1
799,1,2,4,6,1,2,1
800,1,1,7,2,1,1,1
801,1,1,5,2,2,1,0
802,1,2,1,1,1,1,1
803,1,2,4,4,3,2,0
804,1,2,3,1,1,1,0
805,1,2,2,1,5,1,0
806,4,2,10,8,1,2,1
807,1,2,2,2,3,2,1
808,1,1,9,4,2,1,0
809,6,1,3,7,3,1,1
810,1,2,1,1,1,2,0
811,1,1,5,2,2,1,0
812,1,2,7,0,1,1,1
813,1,1,2,0,4,3,0
814,3,2,4,3,3,1,0
815,1,2,4,4,5,2,1
816,2,2,7,2,2,1,0
817,8,1,6,5,2,1,0
818,7,1,6,3,4,1,1
819,1,2,8,2,3,1,1
820,1,2,2,3,5,1,1
821,1,2,2,6,4,2,0
822,1,1,2,0,2,1,0
823,1,2,2,4,1,3,0
824,2,2,5,5,3,2,0
825,2,1,6,4,2,1,1
826,2,2,4,2,1,3,1
827,4,2,6,7,3,1,0
828,6,1,4,1,5,2,1
829,1,2,3,0,5,1,1
830,7,2,3,0,6,1,1
831,1,2,6,7,2,1,0
832,7,2,1,3,1,1,0
833,1,2,3,2,1,1,0
834,2,2,4,0,2,1,1
835,1,1,2,2,1,1,0
836,1,1,2,2,5,2,1
837,1,2,2,2,5,2,1
838,1,2,4,1,1,1,0
839,1,1,3,1,1,1,0
840,1,2,2,4,1,1,0
841,1,2,2,2,1,2,0
842,2,2,2,5,1,1,1
843,1,2,4,1,1,2,0
844,1,2,7,2,2,3,0
845,7,1,5,2,1,1,0
846,1,2,3,3,5,2,1
847,6,2,5,4,1,1,1
848,1,2,4,3,1,1,0
849,2,2,4,4,1,1,1
850,2,1,10,6,1,2,0
851,6,1,5,3,2,2,0
852,1,2,2,2,1,1,0
853,1,2,5,1,1,1,0
854,1,2,3,0,4,1,1
855,1,1,6,5,1,1,0
856,1,1,6,0,2,1,1
857,9,1,3,7,1,2,0
858,6,1,6,4,4,1,0
859,2,1,1,2,1,3,1
860,5,2,4,1,4,2,0
861,2,2,2,5,1,3,0
862,1,2,3,2,1,2,0
863,1,1,1,2,3,2,1
864,6,1,6,2,2,3,0
865,3,2,5,4,3,1,0
866,1,1,4,4,2,3,0
867,2,1,2,5,2,1,0
868,1,1,4,2,3,2,1
