,RAC1P,SEX,EDU,PINCP_DECILE,HOUSING_TYPE,MSP,OWN_RENT
297,8,2,1,0,1,5,1
298,2,1,2,0,1,5,1
299,1,2,8,3,1,6,2
300,1,1,5,2,1,2,2
301,1,2,7,2,3,6,0
302,1,2,4,4,1,3,1
303,9,1,9,6,3,5,2
304,1,2,5,5,1,5,2
305,9,1,5,9,1,6,2
306,1,1,7,0,3,4,2
307,1,2,5,7,1,5,1
308,1,2,7,5,1,4,1
309,1,1,6,9,1,1,1
310,1,2,5,2,2,4,2
311,5,1,4,5,1,2,1
312,2,2,6,9,1,5,2
313,1,1,7,0,1,6,1
314,1,1,5,6,1,6,1
315,1,2,8,9,2,3,0
316,9,1,12,6,1,6,1
317,1,1,8,0,3,1,0
318,9,1,7,5,1,6,1
319,1,1,4,6,1,3,2
320,3,1,3,6,3,2,0
321,1,2,9,5,1,2,2
322,3,1,8,7,1,4,0
323,1,1,2,3,2,2,0
324,1,2,8,1,3,1,0
325,6,1,5,2,2,6,0
326,1,2,7,6,2,4,2
327,1,2,7,8,1,3,1
328,1,2,6,0,1,2,1
329,6,2,9,9,1,3,1
330,9,2,7,6,2,5,2
331,1,2,7,2,1,1,2
332,1,2,7,0,1,2,2
333,1,1,5,1,1,1,1
334,1,1,5,3,3,4,2
335,9,2,9,4,1,6,1
336,1,2,3,2,1,2,0
337,1,1,8,9,1,6,1
338,1,2,4,1,2,2,0
339,1,1,8,0,1,3,1
340,6,2,8,8,1,4,1
341,1,2,7,9,1,1,1
342,2,2,3,9,1,1,2
343,1,2,5,8,1,3,1
344,1,2,4,0,2,2,1
345,9,1,5,4,3,4,2
346,1,1,3,9,1,2,0
347,1,2,7,0,1,1,2
348,8,1,4,6,1,2,1
349,2,2,5,3,2,1,0
350,1,1,3,2,1,3,2
351,1,1,3,9,1,6,1
352,9,2,9,3,1,1,2
353,1,2,6,6,1,3,1
354,8,2,7,1,1,5,2
355,1,1,2,4,1,6,0
356,2,1,3,1,1,6,0
357,9,1,12,5,1,1,2
358,1,2,5,4,3,5,0
359,2,2,5,3,1,5,1
360,1,1,7,2,3,1,2
361,1,1,7,1,1,6,0
362,2,2,9,0,1,1,1
363,2,2,6,0,1,5,1
364,1,1,4,7,1,5,1
365,2,1,12,6,1,5,0
366,5,2,8,6,1,1,1
367,9,2,5,3,1,1,1
368,1,2,5,2,1,2,0
369,1,1,4,4,1,1,0
370,9,1,7,5,2,4,0
371,1,2,5,3,1,2,0
372,9,2,4,3,2,2,1
373,2,2,5,3,1,1,2
374,1,2,8,6,2,4,1
375,1,2,4,2,1,5,2
376,2,1,4,9,1,1,1
377,2,1,5,8,1,1,1
378,1,2,7,1,1,4,1
379,1,2,8,1,1,2,2
380,1,2,9,2,1,1,1
381,9,2,1,0,1,4,2
382,1,1,5,3,3,4,0
383,1,2,9,8,3,1,0
384,2,1,4,2,1,5,2
385,1,1,5,3,3,2,0
386,1,2,5,0,1,1,0
387,1,1,5,1,3,6,0
388,8,2,8,4,1,4,1
389,9,1,4,8,1,4,1
390,1,2,8,2,1,1,2
391,1,1,6,6,1,3,1
392,2,1,6,5,1,6,1
393,1,2,5,2,1,1,2
394,1,1,5,2,2,6,1
395,1,2,7,4,1,6,0
396,1,1,7,4,1,6,2
397,6,2,4,9,1,4,1
398,2,1,6,2,1,6,0
399,1,2,2,3,1,6,2
400,1,1,6,3,1,6,1
401,2,2,7,2,1,4,1
402,1,2,6,8,3,1,2
403,2,1,5,2,1,1,0
404,1,1,9,6,1,2,1
405,1,1,5,1,1,1,1
406,1,2,8,1,1,6,0
407,1,1,2,7,1,1,2
408,9,2,3,4,1,3,0
409,1,1,2,7,1,1,1
410,2,2,3,5,2,3,1
411,6,2,3,0,2,1,0
412,1,1,5,4,1,2,1
413,1,1,8,3,2,2,1
414,9,2,7,0,1,4,2
415,2,1,4,3,1,3,2
416,1,1,7,1,1,1,1
417,1,1,5,2,1,2,2
418,1,2,7,5,1,1,1
419,5,1,6,3,1,4,0
420,1,1,5,4,1,4,1
421,1,2,5,8,1,5,1
422,1,1,1,0,1,4,0
423,6,2,12,9,3,6,1
424,1,1,8,5,3,1,0
425,1,1,5,4,1,3,2
426,8,2,7,4,3,6,1
427,8,1,9,4,2,4,2
428,1,1,8,3,2,1,1
429,1,1,5,5,1,3,2
430,1,2,10,3,2,1,1
431,8,2,12,6,1,4,2
432,7,1,4,5,1,3,1
433,9,2,5,3,1,4,2
434,1,1,3,0,2,1,1
435,1,2,7,6,2,3,1
436,1,2,5,3,1,1,1
437,1,2,2,9,1,6,1
438,2,2,5,6,1,4,2
439,1,2,5,5,1,4,1
440,1,1,11,7,1,1,2
441,1,1,5,5,1,1,0
442,1,2,3,4,1,6,2
443,1,1,5,9,1,6,1
444,1,1,11,6,1,1,1
445,5,2,2,2,1,2,0
446,8,2,7,9,1,4,1
447,1,1,5,0,2,1,1
448,9,1,10,3,1,1,2
449,2,1,4,3,1,4,2
450,1,1,7,6,2,1,0
451,9,2,3,1,1,5,1
452,8,1,10,4,2,1,2
453,1,1,5,1,1,1,2
454,4,1,2,0,1,6,2
455,1,2,6,0,1,6,1
456,1,1,6,2,2,6,2
457,1,1,8,3,1,3,0
458,1,1,5,8,1,1,2
459,8,2,6,1,3,3,0
460,6,1,9,8,3,5,2
461,1,1,7,7,1,1,1
462,1,1,5,3,1,3,2
463,2,1,1,3,1,2,2
464,1,1,3,2,3,2,1
465,2,1,5,3,1,3,2
466,1,1,6,8,1,3,2
467,2,1,9,9,3,3,2
468,1,2,7,9,1,4,2
469,1,2,8,2,3,1,1
470,1,2,7,7,2,4,0
471,1,2,5,4,1,1,1
472,9,2,4,3,1,3,2
473,1,2,4,9,1,6,2
474,1,1,11,4,1,4,1
475,1,1,5,2,1,4,0
476,1,2,5,6,2,5,0
477,1,1,4,2,1,4,0
478,8,2,8,3,1,1,1
479,1,1,5,4,2,6,0
480,1,2,9,3,1,6,2
481,1,2,5,2,1,1,2
482,8,2,7,7,2,1,1
483,1,1,5,2,1,6,2
484,1,1,7,4,1,1,1
485,1,1,12,3,1,6,2
486,1,1,5,2,1,2,1
487,1,2,6,5,1,6,0
488,2,1,6,1,2,3,0
489,9,2,6,3,3,1,1
490,9,2,7,1,1,5,2
491,1,2,6,6,1,1,0
492,1,1,10,7,1,3,0
493,1,1,4,2,1,3,2
494,1,2,7,5,1,4,1
495,9,2,7,4,2,1,0
496,6,2,8,6,1,1,0
497,8,1,9,4,2,5,0
498,1,1,6,7,1,2,1
499,1,2,10,1,1,6,2
500,2,2,3,1,1,4,1
501,8,2,3,2,1,1,1
502,2,1,4,7,1,3,1
503,1,1,5,4,1,3,1
504,1,2,6,9,3,6,0
505,3,1,7,6,2,5,0
506,2,1,1,1,2,3,0
507,1,2,6,6,1,5,1
508,1,1,5,1,1,1,0
509,8,1,1,0,1,4,0
510,2,2,5,1,1,1,2
511,1,1,5,2,1,1,2
512,9,1,5,4,1,2,0
513,1,2,3,5,1,6,1
514,5,2,1,0,1,5,1
515,1,2,7,9,1,5,2
516,1,2,8,5,2,4,0
517,1,2,8,7,1,1,1
518,6,1,9,7,1,6,0
519,1,1,4,0,1,4,2
520,1,2,5,1,3,1,0
521,1,1,10,9,1,4,0
522,1,2,4,5,2,4,2
523,1,2,7,3,1,3,1
524,1,1,9,9,1,4,1
525,8,2,7,7,1,5,0
526,1,1,6,0,1,4,1
527,2,2,3,2,1,5,0
528,1,2,9,8,1,3,1
529,1,2,3,9,1,5,0
530,1,2,4,5,1,1,1
531,2,1,5,6,1,2,2
532,1,1,5,4,3,3,0
533,1,2,9,6,1,1,2
534,1,2,3,6,1,5,1
535,9,1,4,8,1,5,1
536,1,2,5,2,2,4,0
537,1,1,5,1,1,3,1
538,1,2,9,3,3,1,2
539,1,2,10,5,1,2,1
540,2,1,11,9,1,3,1
541,1,2,6,4,1,6,1
542,1,1,4,1,1,6,0
543,1,1,7,2,2,1,2
544,1,1,6,7,1,1,2
545,1,2,5,0,1,6,2
546,9,1,10,0,1,1,2
547,2,1,1,0,3,5,0
548,1,2,10,1,1,4,2
549,2,1,5,0,1,3,1
550,1,2,5,3,3,2,2
551,8,1,4,8,1,2,1
552,9,1,12,4,1,4,2
553,1,1,7,3,1,1,1
554,1,2,6,5,1,4,1
555,1,2,8,3,3,4,2
556,9,2,5,6,3,4,1
557,2,1,8,8,1,1,1
558,9,1,1,0,1,1,2
559,6,1,9,4,1,4,1
560,9,2,5,4,1,4,0
561,1,1,7,4,1,4,1
562,2,2,2,9,1,5,2
563,1,2,5,3,1,1,2
564,1,1,7,8,1,1,1
565,8,1,8,2,1,5,1
566,7,2,7,4,1,3,1
567,8,2,3,7,3,6,1
568,1,1,8,4,1,4,1
569,1,1,9,7,2,5,1
570,1,2,4,6,1,6,0
571,1,2,5,3,1,3,2
572,9,1,10,5,1,1,1
573,1,2,5,4,1,2,2
574,6,1,3,4,1,5,2
575,2,2,5,7,1,1,1
576,1,2,10,6,1,6,2
577,2,1,9,2,3,1,0
578,1,1,4,0,1,1,1
579,1,1,5,8,1,3,1
580,1,1,6,1,1,3,1
581,1,2,5,1,1,1,2
582,1,1,10,6,1,2,1
583,1,2,5,6,1,6,1
584,2,1,2,2,2,2,2
585,8,2,9,5,3,3,1
586,8,2,4,3,1,2,0
587,1,2,8,1,1,1,1
588,1,1,9,7,3,5,2
589,9,1,2,1,3,2,2
590,8,1,4,2,1,2,0
591,9,1,8,2,1,4,0
592,9,1,8,0,1,6,2
593,1,1,8,8,1,3,1
594,1,1,5,0,1,1,1
595,1,2,4,3,3,3,2
596,8,2,5,8,3,3,2
597,1,2,10,4,1,1,1
598,9,2,5,3,1,4,2
599,1,2,5,2,1,1,2
600,1,1,7,2,1,3,2
601,3,1,1,0,2,4,2
602,9,1,3,5,3,4,0
603,1,1,4,3,1,1,1
604,2,1,5,3,1,1,2
605,1,1,8,5,1,1,2
606,1,1,5,1,1,4,1
607,1,1,3,1,2,1,2
608,1,2,3,1,1,3,2
609,9,2,7,1,3,6,1
610,9,2,4,3,1,3,1
611,1,1,4,0,2,1,0
612,1,1,3,3,3,4,2
613,1,1,9,7,1,1,1
614,2,2,5,9,1,1,1
615,1,1,9,7,3,4,1
616,1,2,3,7,1,2,0
617,1,1,5,6,1,1,1
618,1,1,7,5,1,1,0
619,3,1,11,5,1,6,1
620,9,2,11,7,1,6,0
621,6,1,7,6,2,6,1
622,1,1,5,3,1,5,2
623,1,2,2,1,3,3,0
624,1,2,10,1,1,1,1
625,1,1,8,9,1,4,2
626,1,1,11,7,1,4,0
627,2,1,7,4,1,5,1
628,1,2,4,0,1,3,2
629,5,2,7,5,1,1,2
630,1,1,6,5,1,1,1
631,2,2,7,2,1,3,0
632,2,1,4,2,2,4,0
633,1,1,5,3,1,4,2
634,5,1,3,4,1,6,2
635,1,1,5,1,1,3,1
636,1,2,4,6,1,1,0
637,1,1,11,9,1,6,1
638,1,1,5,2,1,4,2
639,1,2,7,1,3,3,2
640,9,1,4,1,1,2,2
641,1,2,4,1,1,2,0
642,8,1,8,6,1,4,2
643,6,1,5,2,1,2,1
644,8,2,5,4,1,1,1
645,2,1,1,0,2,5,2
646,1,1,4,0,1,2,2
647,9,1,8,5,1,1,1
648,2,2,6,8,2,6,0
649,1,1,8,0,1,3,2
650,1,2,4,3,1,5,0
651,8,1,5,2,2,1,2
652,8,2,7,8,1,3,1
653,1,1,10,6,1,4,1
654,1,1,7,0,2,3,0
655,4,2,6,8,2,4,0
656,1,2,7,4,2,4,2
657,1,1,5,0,1,5,1
658,6,1,5,2,2,1,1
659,2,1,11,8,1,4,2
660,1,1,5,9,1,4,1
661,4,1,5,9,3,6,0
662,1,1,5,2,2,5,0
663,1,2,6,6,1,1,1
664,1,2,5,8,2,2,1
665,8,2,9,2,1,1,2
666,2,2,5,1,1,3,2
667,4,2,4,0,1,2,0
668,1,1,4,2,1,3,2
669,1,1,5,5,1,4,1
670,1,2,2,5,3,5,0
671,1,1,9,6,1,5,1
672,1,2,5,0,1,6,1
673,1,1,6,1,1,1,2
674,1,1,4,4,1,4,1
675,1,2,1,8,3,6,1
676,9,1,11,5,3,3,0
677,1,1,3,3,1,5,1
678,1,2,5,1,1,2,2
679,1,2,6,8,3,2,0
680,1,2,5,7,1,4,0
681,6,1,7,4,1,3,0
682,6,2,8,6,1,2,2
683,1,1,2,7,2,5,0
684,2,1,7,2,1,1,2
685,9,1,6,0,3,4,0
686,2,2,5,0,1,4,2
687,2,1,5,1,1,1,2
688,2,2,5,2,1,6,2
689,1,2,8,4,1,3,1
690,6,1,5,3,1,3,1
691,1,1,6,4,3,3,0
692,1,2,7,3,1,6,2
693,1,2,5,1,2,6,0
694,1,1,7,8,1,3,1
695,8,1,12,5,1,1,1
696,1,1,5,2,1,6,1
697,6,1,3,7,1,5,1
698,1,1,7,7,1,6,0
699,1,1,3,2,1,4,0
700,2,2,2,5,1,1,1
701,9,1,7,2,3,4,0
702,1,2,11,6,1,1,1
703,2,2,5,3,1,5,2
704,2,1,11,5,3,4,2
705,1,2,5,5,1,6,1
706,1,1,4,4,1,3,1
707,9,1,4,7,1,3,1
708,1,2,5,6,1,1,1
709,1,2,7,2,1,1,2
710,1,2,5,6,1,1,1
711,2,2,9,1,1,2,0
712,1,2,3,3,1,4,2
713,1,1,5,4,3,2,0
714,1,1,6,4,1,3,0
715,9,1,12,6,1,1,1
716,3,1,8,1,1,3,1
717,2,1,4,5,1,2,2
718,6,2,6,4,1,5,2
719,2,1,5,4,2,1,1
720,1,1,8,4,2,3,0
721,1,1,10,6,1,6,1
722,1,2,7,5,1,4,1
723,6,1,6,3,1,4,2
724,1,2,8,6,3,1,1
725,1,2,7,5,1,1,1
726,1,1,7,7,1,1,2
727,1,2,7,4,1,1,1
728,1,1,8,3,1,5,2
729,2,1,12,2,3,5,0
730,1,2,7,5,3,1,1
731,1,1,4,4,1,5,1
732,5,1,4,5,3,6,1
733,1,1,5,2,1,1,1
734,1,1,9,8,1,1,1
735,9,1,3,1,1,4,1
736,2,1,8,2,1,3,1
737,1,2,7,5,1,2,1
738,1,2,7,1,1,4,1
739,1,2,8,0,1,4,2
740,1,1,3,1,3,6,1
741,1,2,7,4,3,5,0
742,1,2,10,2,1,4,0
743,8,1,6,8,3,2,0
744,2,1,8,6,1,2,1
745,1,1,8,3,2,3,0
746,1,1,7,0,1,5,1
747,2,1,6,9,3,4,0
748,5,2,1,2,2,2,0
749,1,1,5,2,2,1,1
750,9,1,3,2,1,1,1
751,9,2,2,0,1,5,2
752,1,2,3,1,1,5,2
753,1,2,6,4,2,2,1
754,8,2,3,6,3,1,1
755,1,2,7,6,1,6,2
756,1,2,5,2,2,5,0
757,1,2,8,2,1,6,2
758,1,2,5,9,1,6,0
759,1,1,7,6,1,1,1
760,1,2,5,5,1,1,1
761,1,1,7,6,1,6,0
762,2,2,5,6,1,1,0
763,2,1,7,5,1,5,0
764,1,2,5,2,2,3,0
765,1,2,3,4,1,6,1
766,1,1,5,8,1,3,1
767,5,1,2,0,1,2,1
768,9,2,5,3,1,3,0
769,1,2,10,6,1,6,1
770,2,2,4,1,1,2,1
771,1,1,6,5,1,2,1
772,1,1,5,2,1,6,2
773,1,2,8,6,3,2,1
774,1,2,5,0,1,3,1
775,9,1,5,2,1,6,2
776,1,1,5,0,3,6,0
777,1,2,2,4,1,6,0
778,2,1,7,1,1,4,2
779,1,2,3,4,2,6,0
780,4,2,7,5,2,1,2
781,1,2,6,9,1,3,2
782,1,1,7,3,1,2,0
783,1,2,3,4,3,6,0
784,1,1,5,1,1,3,0
785,1,1,9,7,2,6,0
786,1,1,5,4,2,5,0
787,1,2,6,3,1,4,0
788,1,1,9,8,1,4,0
789,8,1,5,0,1,3,0
790,1,2,9,6,2,6,1
791,2,1,5,8,3,1,0
792,9,2,4,4,1,6,2
793,2,1,10,7,2,5,1
794,1,2,1,2,1,1,0
795,1,2,5,2,1,1,2
796,1,2,9,6,2,2,0
797,9,2,3,1,1,2,2
798,9,2,3,4,1,4,0
799,9,1,1,0,1,4,2
800,1,2,9,3,1,6,2
801,2,1,4,6,1,1,0
802,4,2,5,1,1,4,1
803,1,2,6,6,1,2,1
804,1,1,3,7,1,1,1
805,1,2,5,3,1,6,1
806,9,2,5,1,1,1,1
807,2,1,5,5,1,2,0
808,6,2,9,3,1,1,0
809,1,1,8,7,1,2,2
810,1,2,8,3,1,5,2
811,1,2,2,5,1,1,0
812,1,2,8,5,1,6,1
813,1,2,2,6,3,5,0
814,1,2,11,6,1,3,0
815,1,2,7,0,1,5,2
816,1,1,11,4,3,3,1
817,1,1,5,6,1,3,1
818,1,2,8,2,3,2,1
819,1,2,5,0,1,5,2
820,1,2,5,0,1,4,2
821,1,2,8,2,3,4,2
822,8,1,6,4,1,3,1
823,8,2,9,3,1,1,2
824,4,2,6,4,1,1,1
825,2,1,2,8,1,1,1
826,6,1,9,2,2,1,0
827,1,1,9,4,1,1,1
828,1,1,5,4,1,1,2
829,2,2,6,1,3,6,1
830,2,2,3,6,1,6,1
831,2,1,7,4,1,1,0
832,1,1,12,5,1,6,0
833,1,2,5,1,2,5,0
834,1,2,2,5,1,4,1
835,1,2,5,3,1,5,2
836,8,1,3,2,1,6,0
837,9,1,5,6,1,1,1
838,1,2,8,6,1,1,0
839,1,2,1,6,1,5,1
840,2,1,2,1,2,6,0
841,1,2,3,2,3,5,2
842,5,1,6,3,1,5,0
843,1,1,5,3,1,1,2
844,1,2,9,6,1,1,1
845,9,1,5,3,1,3,2
846,2,2,8,5,1,1,1
847,1,2,5,1,1,3,2
848,1,2,7,4,1,6,2
849,1,2,7,1,1,5,0
850,1,2,5,4,2,1,0
851,1,2,6,4,2,4,1
852,1,1,2,1,1,6,2
853,1,2,5,2,1,4,2
854,1,2,4,7,1,1,1
855,1,2,7,0,3,1,1
856,1,1,1,2,2,2,0
857,1,1,8,6,3,4,1
858,1,2,10,9,3,6,0
859,2,2,6,8,1,4,1
860,1,1,6,2,2,1,1
861,2,1,6,4,1,1,0
862,1,2,6,6,1,3,1
863,9,2,9,4,3,1,2
864,8,1,9,5,2,1,1
865,5,1,4,4,3,6,2
866,1,2,5,6,3,3,1
867,1,1,3,1,1,6,1
868,6,1,4,2,2,2,0
