,SEX,RAC1P,EDU,PINCP_DECILE,MSP,OWN_RENT,HOUSING_TYPE
76,2,1,5,8,1,2,2
77,2,1,5,6,4,2,1
78,1,9,5,3,4,1,2
79,1,1,4,3,1,2,1
80,1,1,5,3,1,2,1
81,2,6,4,1,4,0,1
82,1,9,1,7,6,2,1
83,2,1,9,4,4,2,1
84,1,1,5,5,5,2,1
85,1,1,2,2,6,0,1
86,1,1,1,1,6,2,1
87,2,9,4,1,5,0,3
88,2,1,3,2,6,0,1
89,1,1,3,2,1,2,1
90,2,1,3,5,5,2,1
91,2,1,1,3,2,1,1
92,1,2,5,9,6,1,1
93,1,1,4,0,5,1,3
94,1,1,4,3,1,1,3
95,1,6,2,0,5,1,1
96,1,6,10,4,1,1,1
97,2,4,5,4,5,2,1
98,2,1,1,0,3,2,1
99,1,1,4,5,3,2,2
100,2,9,10,8,4,2,1
101,1,1,5,6,4,2,1
102,1,1,7,7,3,1,1
103,2,6,3,6,1,1,1
104,1,1,9,5,1,0,1
105,1,8,4,3,3,1,1
106,2,1,7,1,2,2,1
107,2,9,4,2,1,2,1
108,1,1,3,5,3,2,3
109,1,8,7,6,5,1,1
110,1,1,6,1,5,1,1
111,2,9,5,5,3,1,3
112,2,1,2,3,3,2,3
113,1,2,5,5,2,2,2
114,1,1,2,5,6,2,1
115,2,1,9,8,6,1,1
116,2,1,3,3,2,2,1
117,1,1,5,5,4,2,1
118,1,1,5,5,4,0,1
119,1,1,3,7,4,1,1
120,1,1,5,5,4,2,1
121,2,1,3,4,1,1,1
122,1,1,3,4,1,2,1
123,1,1,2,0,2,2,1
124,2,1,5,3,4,1,1
125,2,1,1,4,2,2,1
126,1,1,7,6,2,1,1
127,2,1,6,4,1,1,1
128,1,2,8,6,4,0,1
129,1,9,6,1,6,1,1
130,2,1,6,3,6,0,1
131,2,1,1,1,6,1,1
132,1,2,8,5,2,2,2
133,1,9,6,9,5,1,1
134,2,1,4,1,1,2,1
135,1,1,4,4,3,2,1
136,2,1,5,2,4,2,1
137,1,1,5,3,4,2,1
138,2,1,3,5,2,1,1
139,2,2,7,6,1,1,1
140,1,1,4,2,3,0,1
141,1,1,3,3,6,2,2
142,2,2,8,6,4,2,1
143,2,1,6,3,4,1,3
144,2,9,1,5,2,2,3
145,1,1,5,6,1,1,3
146,1,1,4,2,4,1,1
147,2,1,4,2,1,1,3
148,2,1,7,2,4,1,3
149,2,1,5,3,1,2,3
150,1,1,8,0,2,1,2
151,2,1,5,3,1,1,1
152,1,9,2,5,5,1,3
153,2,1,3,0,6,0,1
154,2,6,7,6,1,2,1
155,1,1,7,1,3,2,1
156,1,1,4,4,4,2,1
157,2,9,7,5,2,2,1
158,2,1,1,5,1,1,1
159,1,1,5,1,1,2,1
160,2,9,4,5,1,1,1
161,1,9,7,1,5,2,1
162,2,2,4,1,1,2,3
163,1,1,8,6,1,1,1
164,2,9,7,4,2,2,1
165,1,2,4,3,1,2,1
166,2,2,6,6,4,2,1
167,1,1,8,6,1,2,1
168,2,1,4,5,4,2,1
169,1,1,6,5,4,0,1
170,1,1,3,2,6,2,1
171,1,1,4,2,3,2,1
172,2,1,8,4,1,1,1
173,1,1,1,1,1,2,1
174,2,1,4,5,5,1,1
175,1,1,5,5,1,1,1
176,1,6,1,1,3,1,1
177,2,1,4,8,1,1,1
178,2,1,5,6,5,1,1
179,2,3,3,6,6,0,1
180,2,1,6,2,1,1,1
181,2,1,7,8,4,1,1
182,1,1,10,6,6,2,1
183,2,1,8,6,4,2,2
184,2,1,4,5,4,1,1
185,1,7,1,2,1,2,1
186,1,1,9,2,6,0,1
187,1,2,4,4,2,2,3
188,1,1,5,5,1,1,1
189,2,1,5,5,5,2,2
190,2,1,5,2,1,1,1
191,2,2,7,5,4,2,1
192,1,6,4,5,3,1,1
193,2,1,3,3,5,2,1
194,2,5,4,6,1,1,1
195,2,2,6,4,6,1,1
196,2,1,5,2,4,2,1
197,1,1,2,6,5,1,1
198,1,1,4,1,2,2,3
199,2,1,5,2,1,1,1
200,1,1,5,6,6,2,1
201,1,1,5,4,1,2,1
202,1,6,2,3,1,2,2
203,2,1,4,4,6,2,1
204,1,1,5,0,3,2,1
205,2,1,5,0,1,2,1
206,2,1,2,0,4,2,1
207,1,1,2,0,5,1,1
208,2,1,5,2,4,2,1
209,2,1,2,4,5,2,1
210,2,1,5,6,4,1,1
211,1,1,4,4,1,1,3
212,1,1,7,2,6,2,1
213,1,1,4,7,4,1,1
214,2,6,4,7,1,2,1
215,1,1,5,4,1,1,1
216,1,1,4,3,5,1,2
217,2,1,6,3,1,2,1
218,2,1,6,1,1,2,1
219,2,1,10,9,4,1,1
220,2,1,2,3,1,1,1
221,1,1,1,0,4,1,3
222,1,1,1,6,4,1,1
223,2,9,5,5,6,0,1
224,2,1,4,3,6,2,1
225,1,6,7,3,1,2,1
226,1,1,9,3,6,2,1
227,2,2,5,5,6,1,1
228,2,1,5,0,6,2,3
229,2,1,6,0,1,2,1
230,1,4,3,3,4,1,1
231,2,1,5,3,4,1,1
232,2,3,7,5,1,1,1
233,2,1,1,4,2,0,3
234,2,1,9,1,4,1,1
235,2,9,5,4,1,2,1
236,1,1,9,3,4,1,1
237,1,1,4,2,6,2,1
238,1,1,5,2,4,1,2
239,1,1,5,4,6,0,3
240,1,1,1,1,1,0,1
241,1,1,4,4,1,1,1
242,1,1,4,3,4,1,1
243,2,1,4,1,1,1,3
244,2,1,5,2,4,1,1
245,1,6,3,4,1,2,1
246,2,1,5,8,1,1,1
247,1,1,4,2,6,0,3
248,1,7,7,5,3,2,1
249,2,1,1,4,1,1,2
250,2,1,3,1,6,1,3
251,1,3,12,4,4,2,1
252,1,2,7,2,1,1,1
253,1,1,2,6,5,2,1
254,2,9,7,7,4,2,1
255,2,1,2,5,1,1,1
256,1,1,5,5,4,2,1
257,2,2,3,2,1,1,3
258,1,1,5,3,4,2,1
259,2,1,8,0,1,2,1
260,2,9,3,5,2,2,1
261,1,1,8,2,5,0,3
262,1,1,8,4,4,1,1
263,1,6,2,3,1,2,1
264,1,1,8,7,2,1,1
265,2,1,4,5,3,1,3
266,2,9,3,5,5,1,1
267,2,1,12,8,4,2,1
268,2,1,1,4,6,2,1
269,2,1,2,3,6,2,2
270,1,1,3,2,6,0,3
271,2,1,5,3,2,1,1
272,1,1,5,0,6,2,1
273,2,1,5,6,1,1,1
274,1,2,2,3,2,1,3
275,1,2,4,6,1,2,1
276,2,1,2,4,1,2,3
277,2,1,2,0,2,2,3
278,2,9,6,5,1,0,3
279,1,1,3,3,5,1,1
280,1,1,5,5,5,1,2
281,1,1,4,3,2,1,1
282,2,6,8,3,6,1,1
283,2,5,6,1,1,2,1
284,2,1,4,5,1,2,1
285,2,2,6,0,1,0,1
286,2,1,5,7,1,2,1
287,1,2,3,1,6,2,1
288,2,1,10,8,6,2,1
289,1,1,7,1,1,0,1
290,1,6,5,2,3,1,3
291,1,1,5,2,1,2,1
292,1,1,3,1,6,0,1
293,1,6,6,0,4,1,1
294,1,1,4,5,6,2,1
295,2,1,4,2,1,0,1
296,2,1,3,0,1,1,3
297,1,5,5,4,6,2,3
298,1,1,5,7,1,1,1
299,1,1,4,7,6,1,1
300,2,1,9,7,6,1,1
301,1,1,4,0,4,2,1
302,1,1,5,3,4,1,3
303,2,1,5,5,1,2,1
304,1,1,5,3,1,2,1
305,2,1,5,2,1,1,1
306,1,1,7,5,2,2,1
307,1,6,4,3,6,2,3
308,1,1,10,3,5,2,1
309,2,1,7,5,1,1,2
310,1,2,4,0,6,2,1
311,1,1,6,5,6,2,1
312,1,1,9,9,1,1,1
313,1,5,5,1,1,1,1
314,1,1,5,7,4,2,1
315,2,1,2,9,6,2,1
316,1,9,4,4,5,1,2
317,2,2,5,4,3,2,3
318,1,1,3,8,4,1,1
319,1,1,5,6,5,1,1
320,1,6,7,3,4,2,3
321,2,2,5,5,4,2,1
322,2,2,5,3,5,1,3
323,2,1,4,3,4,1,1
324,1,1,2,5,3,2,1
325,2,1,6,4,3,2,1
326,1,1,2,2,4,0,1
327,1,1,6,9,5,2,1
328,2,2,4,1,3,1,1
329,1,1,9,4,6,2,1
330,2,7,7,6,4,2,1
331,2,1,8,1,1,1,1
332,2,1,5,8,5,2,1
333,2,7,3,4,4,1,1
334,1,9,5,5,1,2,3
335,1,2,10,6,6,2,1
336,2,1,5,7,5,2,1
337,2,1,7,5,1,2,1
338,2,6,4,1,4,2,1
339,2,1,4,4,2,1,2
340,2,1,4,5,6,2,1
341,1,1,9,6,1,1,1
342,1,9,4,4,6,2,1
343,2,2,1,4,1,2,3
344,2,8,6,6,4,1,1
345,1,8,7,7,4,2,1
346,2,1,1,2,5,2,3
347,2,1,7,3,1,1,1
348,1,2,4,6,2,1,1
349,1,6,4,5,3,1,2
350,2,2,3,3,1,0,1
351,1,1,4,5,2,0,2
352,2,1,12,9,1,1,1
353,2,6,1,4,2,1,2
354,2,1,1,7,1,0,1
355,2,8,7,7,1,2,1
356,1,1,7,3,4,1,1
357,2,2,3,3,1,1,1
358,1,1,7,2,5,2,1
359,2,6,4,5,2,1,2
360,2,8,9,3,1,2,1
361,1,3,12,3,6,2,1
362,1,7,8,1,4,1,1
363,1,1,2,2,6,0,1
364,2,1,5,3,1,2,1
365,2,1,5,4,1,2,1
366,1,1,3,6,4,2,1
367,2,1,10,8,1,2,1
368,1,1,1,4,6,1,1
369,2,1,3,1,1,2,1
370,2,1,4,3,2,2,1
371,1,1,5,5,6,2,1
372,2,9,6,6,2,2,1
373,1,1,7,6,1,1,1
374,2,9,3,7,1,1,3
375,2,2,5,2,2,0,1
376,2,9,1,5,1,1,1
377,1,1,7,7,3,1,1
378,1,1,7,3,1,1,1
379,2,1,4,3,5,1,3
380,2,1,5,4,1,2,1
381,2,1,4,2,1,1,1
382,2,2,5,3,1,1,1
383,2,1,4,3,1,1,1
384,1,1,4,6,1,0,1
385,1,6,8,5,1,1,1
386,1,8,4,3,6,2,1
387,1,1,3,4,2,2,3
388,1,8,3,2,3,0,2
389,1,1,1,2,1,1,1
390,1,9,3,8,1,1,1
391,1,2,9,3,1,2,1
392,1,8,7,5,4,2,1
393,2,1,4,2,4,1,1
394,2,2,8,6,1,1,1
395,1,1,5,3,1,2,1
396,1,1,2,3,4,2,2
397,1,1,7,4,1,2,3
398,2,1,2,7,4,2,1
399,1,1,3,1,5,2,3
400,1,1,9,6,1,2,1
401,1,1,4,5,6,1,1
402,1,6,2,0,1,1,3
403,2,1,1,2,2,2,3
404,1,1,7,2,1,1,1
405,1,1,5,5,4,1,1
406,1,1,4,5,1,1,1
407,1,1,6,7,4,2,1
408,1,1,4,5,1,1,1
409,2,1,4,3,1,1,1
410,2,1,9,6,4,2,1
411,2,1,3,8,1,1,1
412,2,7,11,9,4,2,1
413,2,6,5,3,2,2,2
414,2,6,1,3,1,2,3
415,2,1,12,5,5,0,3
416,1,1,10,3,1,1,1
417,2,7,2,4,3,0,1
418,1,9,4,5,2,2,1
419,1,1,5,4,5,2,1
420,2,2,2,8,4,2,1
421,2,6,5,6,1,2,1
422,2,1,5,1,1,2,1
423,2,7,5,4,1,1,1
424,1,8,2,1,3,2,3
425,1,1,5,1,6,1,1
426,2,1,2,5,3,2,1
427,1,9,3,6,6,2,1
428,2,2,5,3,2,2,3
429,2,1,2,4,1,2,3
430,1,8,3,5,1,1,1
431,1,2,4,6,4,2,1
432,2,2,3,2,6,2,1
433,2,2,4,2,4,2,1
434,1,9,2,5,5,1,1
435,2,4,4,4,1,1,1
436,1,9,4,5,4,0,2
437,1,1,10,9,1,1,1
438,1,1,4,6,1,2,1
439,2,2,7,4,1,1,1
440,2,1,7,5,1,2,1
441,1,2,11,5,1,2,1
442,1,1,3,5,4,2,1
443,2,1,2,0,4,2,1
444,1,1,6,5,1,2,1
445,2,1,2,4,2,1,3
446,1,2,4,4,5,1,1
447,2,1,12,8,1,2,1
448,1,2,7,7,6,2,1
449,1,1,8,9,4,1,1
450,2,1,6,3,1,1,3
451,1,1,5,4,5,2,1
452,1,1,5,7,5,2,1
453,2,2,8,6,3,2,1
454,1,8,5,4,4,1,2
455,2,1,5,2,4,0,1
456,2,1,3,5,4,1,1
457,1,1,8,5,1,2,1
458,1,1,4,5,1,1,1
459,1,8,6,3,1,2,1
460,2,1,2,4,5,2,3
461,2,1,5,3,1,2,1
462,2,1,5,3,4,2,1
463,1,1,9,4,1,0,1
464,1,2,5,4,6,2,1
465,1,1,5,5,5,1,1
466,1,1,5,5,4,2,1
467,2,1,2,7,4,2,1
468,1,1,5,5,5,2,1
469,1,1,5,4,3,2,3
470,2,1,2,6,1,1,1
471,1,1,6,6,4,2,1
472,2,1,4,3,4,0,2
473,1,1,6,2,1,1,1
474,2,1,3,5,6,2,1
475,2,1,3,5,1,2,1
476,2,1,3,5,4,1,2
477,2,1,5,4,1,1,1
478,1,8,5,6,4,2,1
479,2,1,6,9,1,1,1
480,2,6,5,6,1,1,1
481,1,1,6,9,4,1,1
482,1,9,10,8,1,2,1
483,2,1,10,9,6,2,1
484,1,9,6,9,5,2,1
485,1,1,7,8,1,2,1
486,2,1,5,1,2,2,1
487,2,1,7,2,1,2,1
488,1,9,2,6,6,1,1
489,2,2,9,7,2,2,1
490,2,1,1,2,2,1,2
491,2,1,3,2,6,2,1
492,1,1,3,4,5,1,3
493,1,9,3,7,4,1,1
494,1,2,8,7,2,2,3
495,1,1,5,8,2,2,1
496,2,1,1,1,2,2,1
497,1,9,12,5,1,2,1
498,1,1,3,2,6,2,1
499,1,9,6,7,4,2,1
500,1,1,8,6,5,2,1
501,2,1,3,2,1,2,1
502,2,1,6,1,1,1,1
503,1,1,9,9,4,2,1
504,1,2,5,2,4,2,3
505,1,6,3,1,4,1,3
506,1,9,5,5,4,0,1
507,1,1,1,4,6,2,1
508,1,1,7,4,1,2,1
509,2,2,5,5,4,1,1
510,1,2,4,3,1,2,3
511,1,2,9,6,3,2,1
512,2,1,6,9,1,1,1
513,2,1,5,0,6,0,3
514,2,7,6,5,1,1,1
515,2,6,8,2,1,1,1
516,2,6,3,4,2,1,2
517,2,9,3,5,1,1,1
518,2,1,7,2,2,2,1
519,1,1,2,5,1,2,3
520,1,1,5,5,1,2,1
521,1,1,4,3,1,1,1
522,2,1,5,1,3,0,1
523,1,1,5,5,3,2,2
524,2,1,7,9,4,2,1
525,1,1,4,4,6,1,1
526,2,6,7,6,2,1,1
527,2,1,5,6,1,2,1
528,1,9,5,2,6,2,1
529,2,1,4,5,3,1,1
530,1,1,8,8,2,2,1
531,2,1,1,3,3,1,2
532,2,1,2,0,1,2,2
533,1,1,9,8,3,2,1
534,2,6,7,7,1,1,1
535,2,1,9,3,1,1,1
536,2,1,1,0,2,0,2
537,1,2,4,3,3,2,3
538,2,1,8,8,1,1,1
539,1,9,10,5,3,1,1
540,2,1,4,6,5,1,1
541,1,2,5,7,6,2,1
542,1,1,9,4,4,2,1
543,2,1,7,2,3,2,2
544,2,6,1,1,2,1,3
545,2,1,9,6,6,1,1
546,2,1,1,5,2,1,3
547,2,1,3,8,6,2,1
548,1,2,9,6,5,2,1
549,1,1,5,2,6,0,1
550,2,1,4,4,1,1,1
551,2,9,5,6,5,2,1
552,1,4,4,0,6,2,1
553,2,1,5,2,1,2,1
554,1,1,10,3,5,2,2
555,1,8,5,4,2,2,1
556,1,1,5,6,4,2,1
557,1,8,7,0,1,1,1
558,2,2,10,2,1,1,1
559,2,9,5,9,6,1,3
560,1,2,3,4,6,2,2
561,2,9,3,5,6,2,1
562,2,1,8,7,6,2,1
563,1,6,5,5,3,2,1
564,1,6,2,1,6,0,1
565,1,8,8,3,1,1,1
566,2,1,2,3,4,2,1
567,1,9,3,3,6,0,1
568,2,1,4,5,6,0,1
569,2,2,3,2,6,0,3
570,1,6,5,2,1,1,1
571,2,5,10,1,2,0,1
572,2,1,3,4,1,1,1
573,1,1,9,0,1,0,1
574,1,1,6,2,3,2,2
575,1,9,5,8,1,1,1
576,2,1,1,3,2,2,2
577,2,2,1,4,1,1,1
578,1,2,10,8,2,2,1
579,2,6,5,8,6,2,1
580,1,1,7,8,5,1,1
581,1,2,5,5,1,1,1
582,1,1,4,3,2,1,1
583,1,1,8,7,1,2,3
584,1,1,5,7,1,2,1
585,1,1,3,4,2,1,1
586,1,3,9,5,1,2,1
587,2,2,7,3,1,2,1
588,1,2,3,8,1,1,3
589,1,1,5,5,4,2,1
590,2,1,8,7,6,1,1
591,1,1,8,4,1,1,1
592,2,1,5,4,6,1,3
593,2,9,4,3,6,2,2
594,1,1,5,1,1,0,1
595,1,2,4,2,2,0,3
596,2,1,5,0,6,0,1
597,1,3,1,1,1,1,3
598,1,1,5,5,3,1,1
599,2,7,4,3,2,2,2
600,2,1,5,1,1,2,1
601,1,9,12,7,1,2,1
602,2,7,3,4,6,0,1
603,1,9,11,8,1,2,1
604,2,6,4,3,6,0,1
605,1,1,9,7,2,2,1
606,1,1,5,4,1,1,1
607,2,2,4,2,1,1,1
608,2,1,7,4,4,1,1
609,2,1,5,4,6,2,2
610,2,1,3,1,2,2,2
611,2,1,7,1,4,1,1
612,1,1,5,6,2,2,2
613,2,1,3,3,6,2,2
614,1,3,4,4,1,1,1
615,1,1,6,7,1,2,1
616,2,2,11,8,3,2,1
617,1,8,4,3,5,1,2
618,1,1,5,1,1,2,1
619,1,1,3,0,6,0,3
620,1,1,3,4,6,2,2
621,2,1,1,2,5,1,1
622,1,1,4,1,1,1,1
623,1,8,4,5,5,1,3
624,1,2,3,1,2,2,1
625,1,9,6,5,5,2,1
626,1,1,7,3,1,2,1
627,2,2,5,0,4,1,1
628,1,1,5,5,6,2,2
629,2,5,10,8,3,1,1
630,1,1,5,2,2,1,3
631,2,1,10,5,1,2,1
632,1,1,4,6,6,1,1
633,1,1,5,5,1,1,1
634,1,1,4,3,2,1,2
635,2,1,2,5,6,1,3
636,1,1,3,7,1,1,1
637,1,1,5,6,5,2,1
638,2,2,1,4,4,2,2
639,2,1,5,4,3,1,1
640,2,1,5,1,1,1,1
641,2,1,2,7,1,2,1
642,1,1,6,6,1,1,1
643,2,2,5,6,1,2,2
644,1,3,12,8,3,2,1
645,2,6,10,9,5,1,1
646,2,1,5,4,2,1,1
647,1,2,8,4,3,2,1
648,1,2,8,6,3,2,1
649,1,1,1,0,1,1,3
650,1,1,4,2,6,2,2
651,2,1,4,4,6,2,1
652,2,2,7,2,2,2,1
653,1,4,4,2,6,1,1
654,2,2,6,8,2,2,1
655,2,6,6,4,1,1,1
656,1,1,9,4,4,2,1
657,2,1,9,6,1,1,1
658,2,1,5,0,4,0,2
659,1,2,1,3,4,2,1
660,2,1,4,8,4,2,1
661,1,5,9,7,4,1,1
662,1,1,2,5,6,1,2
663,2,1,4,2,6,2,1
664,1,2,7,6,4,1,1
665,1,1,5,8,1,2,1
666,1,9,11,9,6,2,1
667,2,1,4,4,2,1,1
668,1,6,5,5,6,2,1
669,1,6,3,2,2,1,1
670,1,1,9,4,3,0,2
671,2,1,5,8,1,1,1
672,1,1,2,5,1,2,2
673,1,2,2,3,1,2,2
674,2,1,5,9,1,1,1
675,1,1,6,4,1,1,1
676,1,1,5,5,6,2,1
677,2,9,2,5,6,0,3
678,1,1,10,4,4,0,3
679,2,1,1,4,1,2,2
680,1,1,5,4,6,1,1
681,2,9,6,6,4,2,1
682,2,6,7,0,6,1,3
683,1,8,3,5,1,2,1
684,1,9,3,4,6,1,3
685,2,1,7,6,1,0,1
686,1,1,3,6,1,1,1
687,1,9,6,2,1,2,1
688,1,1,5,5,1,2,1
689,2,1,2,5,1,2,1
690,1,9,6,3,1,1,1
691,1,9,5,5,5,2,2
692,1,1,5,8,3,1,1
693,2,1,8,8,5,2,1
694,2,1,3,2,6,0,1
695,1,4,4,3,5,2,3
696,1,1,4,4,4,1,1
697,1,1,6,6,3,2,1
698,2,1,5,3,1,1,1
699,2,2,4,6,4,1,1
700,1,1,8,0,4,2,1
701,2,1,4,6,1,1,1
702,2,1,11,4,5,1,1
703,2,1,7,7,1,2,1
704,1,8,3,2,1,2,1
705,2,9,7,8,6,2,1
706,2,9,12,4,6,1,1
707,1,1,8,3,4,2,1
708,1,8,7,5,1,1,1
709,1,1,11,7,3,2,1
710,1,2,5,3,1,2,3
711,1,1,5,2,1,2,1
712,2,9,8,2,2,2,1
713,1,9,1,4,6,0,3
714,2,7,1,2,1,1,1
715,1,6,7,4,3,2,1
716,1,1,6,1,5,1,3
717,1,1,11,6,1,1,1
718,1,1,5,7,5,2,1
719,2,9,5,3,2,1,2
720,2,1,6,0,1,1,1
721,1,1,6,7,1,1,1
722,1,1,4,3,2,1,1
723,2,5,3,4,2,2,3
724,2,2,5,6,1,2,1
725,1,1,5,3,1,2,1
726,1,9,5,1,1,2,1
727,1,1,5,5,2,1,2
728,2,1,7,1,1,2,1
729,1,6,8,6,4,1,1
730,1,1,8,6,1,1,1
731,1,1,8,1,5,2,1
732,2,1,5,6,5,1,1
733,1,1,4,1,6,2,2
734,2,1,5,6,1,2,1
735,1,2,10,6,2,2,1
736,1,5,3,9,6,2,1
737,1,9,5,1,6,2,1
738,2,1,4,1,6,2,1
739,1,1,8,3,3,1,1
740,1,6,3,3,1,2,1
741,1,1,5,1,1,2,1
742,1,1,5,4,1,2,1
743,1,1,5,5,6,1,2
744,1,1,6,2,6,2,1
745,1,1,2,0,1,1,2
746,2,1,5,6,6,2,1
747,2,9,1,2,6,1,1
748,2,1,4,1,4,2,1
749,2,9,4,2,3,2,3
750,2,1,5,4,5,2,1
751,2,6,2,1,1,1,1
752,2,2,9,9,5,1,1
753,1,1,9,2,1,2,1
754,1,5,6,8,4,2,1
755,1,1,6,1,4,2,3
756,1,8,4,4,4,2,1
757,1,2,5,4,4,2,1
758,1,6,3,3,4,2,3
759,2,1,6,3,5,1,3
760,1,9,4,5,1,1,1
761,2,2,6,5,1,1,1
762,2,1,12,6,1,2,1
763,1,1,6,4,1,1,1
764,1,1,1,7,4,1,1
765,2,1,6,7,2,1,1
766,2,1,8,3,1,1,1
767,2,1,8,3,4,2,1
768,2,6,6,5,4,1,1
769,1,1,5,4,2,2,1
770,2,2,4,4,6,1,1
771,2,1,1,5,1,1,1
772,1,2,7,0,6,1,1
773,2,1,6,4,4,1,1
774,2,1,4,6,6,1,3
775,1,7,1,0,1,2,1
776,1,1,2,5,1,0,1
777,2,2,4,2,1,2,1
778,2,1,5,1,1,2,1
779,2,6,2,3,3,0,2
780,2,1,5,3,1,2,1
781,1,1,4,4,4,1,2
782,1,9,7,2,1,2,1
783,1,2,4,3,1,0,3
784,1,1,10,5,4,0,3
785,2,2,4,5,3,2,1
786,2,1,6,8,3,2,1
787,2,1,2,4,6,2,3
788,2,9,4,3,1,2,1
789,2,1,5,2,1,2,1
790,2,2,5,1,6,0,1
791,2,1,4,7,1,1,1
792,2,1,5,2,4,2,1
793,1,1,7,2,5,2,1
794,1,1,5,9,4,2,1
795,2,8,2,4,2,1,1
796,1,1,5,5,2,0,1
797,1,1,4,5,4,2,1
798,2,8,6,3,1,2,1
799,2,1,5,1,4,1,1
800,1,1,5,4,4,2,1
801,2,6,8,8,6,2,1
802,1,1,9,9,5,2,1
803,1,1,7,2,6,0,2
804,2,6,1,3,6,1,1
805,2,1,4,3,1,2,1
806,2,2,6,4,1,0,1
807,2,8,4,2,6,1,2
808,1,1,1,4,1,0,1
809,1,2,5,5,3,2,1
810,2,1,5,5,1,2,1
811,2,9,3,0,2,1,3
812,1,7,5,5,1,2,1
813,2,1,8,9,3,1,1
814,2,9,4,3,6,2,1
815,2,1,10,3,2,1,2
816,1,1,1,5,1,1,3
817,2,1,11,7,1,2,1
818,2,9,11,5,2,2,1
819,2,1,4,6,2,1,1
820,2,1,4,4,5,1,1
821,2,1,1,1,1,1,1
822,2,2,3,3,3,0,3
823,1,1,6,6,1,1,1
824,1,1,3,3,5,1,1
825,1,9,5,3,4,2,1
826,1,2,9,4,4,2,1
827,2,1,5,4,1,1,1
828,2,1,7,0,3,1,1
829,1,2,3,2,1,1,1
830,1,8,5,0,2,1,1
831,1,2,9,8,1,2,1
832,2,5,5,0,2,2,1
833,2,1,2,1,1,1,1
834,1,6,5,1,4,0,1
835,1,1,4,3,3,2,2
836,2,1,7,2,4,2,1
837,1,1,1,4,6,0,2
838,1,1,5,3,5,2,1
839,2,1,4,3,3,1,3
840,1,9,8,1,1,2,1
841,1,9,5,7,1,1,1
842,1,1,4,3,1,0,1
843,2,9,5,3,1,1,1
844,2,7,8,3,4,2,1
845,1,1,9,8,1,2,1
846,1,1,7,2,6,0,2
847,1,1,7,7,3,1,1
848,2,1,8,9,6,1,1
849,1,1,7,2,3,2,1
850,1,1,5,1,1,1,1
851,2,1,3,5,4,2,3
852,1,1,11,9,5,1,1
853,1,1,1,2,5,2,3
854,1,9,3,2,6,1,1
855,2,1,3,4,1,2,1
856,2,6,7,8,1,1,1
857,2,1,6,3,4,1,1
858,1,1,4,5,2,1,1
859,2,1,8,7,6,2,1
860,1,1,9,5,3,0,1
861,1,1,6,2,1,1,1
862,1,1,2,6,6,2,1
863,1,3,5,1,1,2,1
864,1,1,5,1,3,0,2
865,2,1,2,4,3,1,1
866,1,3,8,1,1,1,1
867,1,1,4,2,5,2,1
868,2,9,9,6,1,2,1
