,SEX,RAC1P,MSP,PINCP_DECILE,EDU,OWN_RENT,HOUSING_TYPE
105,1,6,4,1,3,1,1
106,2,2,1,3,1,0,2
107,2,1,1,2,9,0,1
108,1,2,2,2,5,0,1
109,1,1,1,1,10,1,1
110,1,1,2,0,2,0,1
111,1,1,1,1,9,0,1
112,1,1,2,3,3,0,2
113,1,2,5,9,4,0,2
114,2,1,3,5,7,1,1
115,2,1,6,0,3,1,1
116,1,1,3,1,4,0,2
117,2,8,5,1,10,1,1
118,1,1,2,2,5,1,1
119,1,8,2,4,9,1,1
120,2,1,3,4,4,1,1
121,1,1,5,3,3,1,2
122,1,1,1,2,4,0,2
123,1,1,1,1,5,0,2
124,1,1,1,3,3,1,1
125,2,3,5,9,10,1,3
126,2,1,3,1,3,1,2
127,1,8,1,0,1,0,2
128,2,2,1,1,8,1,1
129,2,1,1,6,1,1,1
130,1,1,3,0,3,1,1
131,1,1,1,4,3,0,1
132,2,1,3,0,2,1,2
133,1,1,1,1,1,0,1
134,1,5,1,0,4,0,1
135,2,1,5,0,4,0,2
136,2,1,1,3,2,1,1
137,2,6,1,2,9,1,1
138,2,1,1,0,1,0,1
139,1,1,1,2,2,0,2
140,1,1,3,1,3,0,2
141,1,1,1,1,8,1,1
142,2,2,1,1,9,1,1
143,1,1,3,3,4,1,2
144,2,8,1,6,5,0,2
145,1,1,1,2,3,1,1
146,1,1,4,1,4,1,2
147,1,1,2,0,3,0,2
148,1,1,1,5,6,1,1
149,2,1,1,5,4,0,1
150,2,1,1,4,5,1,1
151,1,5,2,0,5,0,1
152,2,9,2,3,4,1,2
153,2,1,1,2,2,1,3
154,1,1,2,4,1,0,1
155,2,1,3,2,2,1,1
156,2,1,3,5,1,0,1
157,1,1,6,1,4,1,1
158,1,1,5,3,5,1,1
159,2,2,2,1,2,1,1
160,1,1,5,3,5,1,1
161,2,1,1,0,1,0,1
162,2,1,1,0,8,0,1
163,2,1,2,1,6,0,1
164,2,1,1,1,2,1,1
165,1,1,4,4,6,0,2
166,2,1,2,1,2,1,1
167,2,1,1,0,2,1,3
168,1,3,2,7,5,0,1
169,1,1,1,5,9,0,2
170,1,1,2,5,5,1,1
171,2,1,5,1,4,1,2
172,2,6,1,0,7,0,3
173,1,2,3,1,2,0,2
174,1,1,6,5,4,0,1
175,1,1,2,0,7,1,1
176,2,1,1,0,3,1,1
177,2,6,1,2,1,1,1
178,1,1,1,5,5,0,1
179,1,5,1,6,11,0,1
180,2,7,1,7,9,0,1
181,1,1,1,1,6,0,1
182,1,1,1,1,5,0,2
183,2,1,3,1,5,1,3
184,2,4,1,1,5,1,1
185,1,1,3,5,3,0,2
186,1,1,3,1,1,1,1
187,2,1,2,1,2,0,1
188,1,1,2,2,9,0,2
189,1,1,5,3,3,0,2
190,1,6,1,3,2,0,2
191,1,3,2,3,6,0,1
192,1,2,1,5,10,1,1
193,2,1,2,3,3,1,1
194,2,9,2,4,4,0,1
195,1,2,1,1,2,1,1
196,1,7,1,3,2,1,1
197,1,1,1,2,4,1,2
198,2,1,5,3,3,1,2
199,1,5,4,2,4,0,2
200,1,1,4,2,9,0,2
201,1,2,2,6,4,1,2
202,2,1,1,2,3,0,1
203,1,3,3,3,4,0,2
204,1,1,2,2,4,1,1
205,2,3,3,7,4,1,1
206,1,2,5,3,2,0,2
207,2,9,1,4,3,1,1
208,2,9,2,2,5,0,1
209,1,1,3,2,4,0,2
210,2,1,1,2,2,0,2
211,1,1,5,0,5,1,1
212,2,1,5,3,1,1,1
213,1,1,3,0,6,1,1
214,2,1,5,2,2,0,2
215,2,1,3,3,4,0,2
216,1,1,1,2,2,0,1
217,1,2,3,7,2,1,2
218,1,1,1,3,1,1,2
219,1,2,1,4,3,1,3
220,2,1,1,2,2,1,1
221,1,6,1,0,1,0,1
222,2,6,1,0,5,0,1
223,1,1,1,5,5,0,1
224,2,1,1,0,1,0,1
225,2,1,2,0,1,1,1
226,1,1,3,5,8,0,1
227,2,1,3,4,4,1,2
228,1,1,5,0,1,0,2
229,2,4,5,1,5,1,1
230,1,1,2,0,1,1,1
231,1,1,1,2,1,0,2
232,1,1,4,2,3,0,1
233,2,1,3,1,4,0,2
234,2,1,2,0,1,1,1
235,1,2,1,3,2,1,1
236,2,1,4,3,11,0,3
237,1,1,4,5,6,1,1
238,2,1,1,3,10,0,1
239,1,1,4,1,5,1,1
240,2,2,5,4,3,0,1
241,2,5,1,0,1,0,1
242,2,1,1,2,3,0,1
243,1,1,3,1,10,1,1
244,2,5,4,5,2,0,3
245,1,1,1,1,5,0,2
246,1,6,1,2,5,0,3
247,2,1,5,0,1,1,1
248,1,1,3,8,4,1,1
249,1,1,5,3,3,1,2
250,1,3,3,3,5,0,1
251,2,1,3,0,2,1,2
252,1,2,5,4,5,0,2
253,1,1,2,2,5,1,1
254,1,1,3,2,8,1,1
255,2,1,1,2,2,0,1
256,2,2,1,3,3,0,1
257,1,1,2,7,2,0,1
258,1,1,2,7,2,0,2
259,2,1,5,1,3,1,2
260,2,1,1,3,3,0,2
261,1,1,4,4,4,1,2
262,1,1,5,2,3,1,2
263,2,1,4,1,5,0,2
264,2,1,1,3,3,0,2
265,2,1,4,2,2,0,3
266,2,1,1,1,4,0,1
267,2,1,1,4,5,0,2
268,1,1,3,4,2,0,3
269,1,2,2,2,9,1,1
270,2,5,1,5,1,0,1
271,1,1,1,5,5,1,1
272,2,5,3,2,1,0,1
273,1,9,4,4,3,1,1
274,2,1,1,1,3,1,1
275,2,1,3,2,3,1,1
276,1,1,1,2,5,0,2
277,1,1,4,8,4,0,2
278,2,1,1,6,5,1,1
279,2,1,2,1,3,1,1
280,2,2,1,5,9,1,2
281,2,9,3,2,4,0,2
282,2,1,5,0,1,0,1
283,1,1,3,4,5,1,3
284,1,1,1,0,4,1,1
285,2,1,1,0,1,0,2
286,2,1,5,0,2,0,2
287,2,7,2,5,11,0,2
288,2,1,1,2,5,0,1
289,1,1,2,2,5,0,1
290,2,7,1,3,9,0,1
291,1,1,2,2,4,1,1
292,2,1,1,5,3,0,3
293,1,6,2,0,5,1,1
294,2,4,5,2,5,0,3
295,1,1,1,1,5,1,1
296,2,1,1,5,9,0,1
297,2,6,4,1,4,1,2
298,2,1,2,3,2,1,1
299,2,3,1,3,7,0,1
300,1,1,4,6,10,0,1
301,1,6,1,0,1,1,1
302,1,1,5,3,3,1,2
303,2,1,1,2,7,0,1
304,1,1,5,1,10,0,1
305,2,3,2,1,9,1,1
306,1,1,5,1,7,1,1
307,1,2,5,3,6,1,1
308,1,1,1,0,1,1,1
309,2,2,1,4,2,1,1
310,2,1,1,3,1,0,1
311,1,1,2,5,6,0,1
312,2,2,2,3,5,0,1
313,2,3,3,2,8,1,1
314,1,1,1,3,2,0,1
315,1,1,1,4,1,1,3
316,1,1,1,4,2,1,1
317,1,1,4,0,4,0,3
318,1,1,1,3,3,1,1
319,2,1,1,0,1,0,2
320,2,1,1,3,9,0,3
321,2,2,4,3,2,0,2
322,1,1,1,5,5,0,3
323,2,1,3,2,3,1,2
324,1,1,2,1,7,1,1
325,2,8,5,1,4,0,1
326,2,2,2,5,4,0,1
327,1,1,2,0,3,0,1
328,2,1,5,0,4,1,1
329,1,1,2,3,2,1,1
330,2,1,1,3,8,1,1
331,2,3,1,2,9,0,1
332,2,1,1,0,1,0,1
333,2,1,1,0,1,0,2
334,1,1,3,2,2,0,1
335,2,3,1,5,5,0,2
336,1,1,5,2,3,1,2
337,1,1,5,0,3,1,1
338,2,1,5,0,3,0,2
339,2,1,2,4,2,1,1
340,1,1,2,1,3,1,1
341,2,7,1,3,11,1,2
342,1,6,5,6,7,0,3
343,2,1,2,2,6,1,1
344,1,1,4,3,4,0,2
345,1,1,2,2,5,1,1
346,2,5,1,2,5,0,2
347,1,2,5,3,5,1,1
348,1,1,1,3,3,0,1
349,1,7,3,0,5,1,1
350,2,1,1,2,3,1,1
351,1,1,2,4,4,1,1
352,2,1,2,3,7,1,1
353,1,2,2,1,6,0,1
354,2,9,5,3,2,0,1
355,2,1,1,1,5,0,2
356,1,1,3,3,4,0,2
357,2,1,2,0,3,0,2
358,1,1,2,0,3,1,1
359,1,1,2,1,6,1,1
360,1,1,1,2,9,0,1
361,1,2,2,6,7,1,2
362,2,1,6,1,1,1,1
363,2,1,1,4,3,1,1
364,2,1,4,0,3,0,3
365,1,4,3,5,5,0,2
366,2,1,5,1,4,0,1
367,2,1,1,1,5,0,1
368,2,1,3,4,4,1,2
369,2,1,5,2,3,1,2
370,1,1,1,1,4,0,1
371,2,1,1,8,7,1,1
372,2,1,1,1,4,0,2
373,2,5,2,2,9,0,1
374,1,2,2,5,2,0,1
375,2,1,3,2,4,1,2
376,2,1,4,0,3,0,2
377,1,1,1,2,9,1,1
378,1,1,5,1,3,1,2
379,1,1,3,4,1,1,1
380,2,5,1,3,5,0,1
381,2,2,3,1,4,0,2
382,2,1,4,1,4,0,2
383,2,1,1,2,12,0,3
384,2,1,3,2,2,1,1
385,1,1,1,0,6,1,1
386,1,8,1,3,4,0,1
387,2,1,4,0,1,0,1
388,2,1,2,3,7,1,1
389,2,1,3,3,2,1,2
390,2,1,4,4,1,0,1
391,1,1,5,3,2,1,1
392,1,1,3,5,5,0,1
393,1,7,1,0,1,1,1
394,2,1,1,1,8,1,2
395,1,1,1,2,1,0,1
396,2,1,3,5,6,1,2
397,1,1,1,1,7,0,1
398,1,3,1,6,6,1,1
399,1,9,3,4,1,0,1
400,2,1,1,2,8,1,1
401,1,1,3,0,5,0,2
402,2,1,1,5,1,1,1
403,1,1,2,0,5,1,1
404,2,2,5,2,1,0,2
405,1,1,1,0,4,0,1
406,1,1,2,4,7,0,1
407,2,1,3,5,2,1,1
408,2,1,4,3,3,0,2
409,1,1,1,0,3,1,1
410,1,1,1,1,11,1,1
411,2,1,1,1,4,1,1
412,2,9,4,1,4,1,1
413,1,3,1,3,9,1,1
414,1,1,1,2,4,1,1
415,2,9,5,1,5,0,2
416,1,2,3,0,1,0,3
417,1,4,2,8,9,1,1
418,1,2,6,3,1,1,1
419,1,1,1,1,4,0,2
420,1,1,4,2,5,1,1
421,1,1,1,3,3,1,1
422,2,1,4,2,3,0,2
423,1,1,1,3,4,1,1
424,2,1,1,4,3,0,2
425,2,1,4,3,2,1,1
426,1,1,3,1,3,1,1
427,2,8,1,0,6,1,1
428,1,2,3,2,7,1,1
429,2,1,3,0,1,1,1
430,2,1,1,3,4,0,1
431,2,2,1,5,4,1,1
432,2,2,3,3,2,0,2
433,1,1,1,4,5,1,1
434,1,1,1,2,5,1,1
435,1,1,1,5,1,1,2
436,1,1,1,5,1,1,1
437,1,1,5,3,2,0,2
438,1,1,1,1,4,0,2
439,1,1,1,2,5,1,1
440,2,1,4,1,6,0,2
441,2,1,1,0,1,0,1
442,2,1,2,3,1,0,2
443,1,3,6,6,6,1,3
444,2,2,1,6,2,1,3
445,1,1,2,3,5,0,1
446,2,1,1,3,3,0,1
447,2,5,5,7,7,0,1
448,2,1,1,2,4,1,1
449,2,1,1,1,2,1,1
450,2,1,2,0,4,1,1
451,2,1,3,3,4,0,2
452,2,1,3,2,5,0,2
453,1,2,6,3,4,1,1
454,1,1,1,0,2,1,1
455,1,1,5,2,4,0,2
456,1,1,1,4,1,0,1
457,1,1,1,4,3,0,1
458,1,1,1,4,6,1,1
459,2,2,1,2,6,1,1
460,1,2,1,4,4,1,1
461,2,8,1,4,7,0,2
462,1,2,3,3,3,0,2
463,2,1,2,7,5,0,1
464,2,1,4,4,4,0,2
465,1,1,1,0,4,1,1
466,2,1,1,0,5,1,1
467,2,7,1,3,2,0,1
468,1,5,2,2,6,1,1
469,1,1,1,0,7,1,1
470,2,1,5,0,1,0,1
471,2,1,4,1,4,0,2
472,1,1,4,1,2,1,1
473,2,8,6,3,6,1,2
474,2,6,4,1,4,0,2
475,1,1,1,5,7,1,1
476,1,1,1,6,5,0,1
477,1,1,1,5,2,1,1
478,2,1,2,0,2,1,1
479,1,1,2,3,6,1,3
480,1,1,5,4,2,0,2
481,1,6,1,3,3,1,1
482,1,1,3,2,2,1,1
483,1,2,2,3,5,1,1
484,1,6,1,1,4,1,1
485,2,2,1,2,3,1,1
486,2,1,1,1,5,0,1
487,2,1,5,1,1,1,2
488,2,1,1,4,9,1,1
489,2,1,1,6,6,1,3
490,2,1,4,3,4,1,1
491,2,1,1,3,6,0,1
492,1,1,3,2,1,1,3
493,1,1,1,2,2,0,2
494,1,2,5,3,2,1,1
495,1,1,1,0,3,1,3
496,2,7,1,1,3,0,1
497,2,1,5,0,1,0,1
498,1,2,2,2,5,1,1
499,1,1,4,4,1,0,2
500,2,1,2,3,6,1,1
501,1,1,1,7,2,0,2
502,2,1,1,0,5,1,1
503,2,1,3,4,5,1,1
504,2,1,1,3,4,1,2
505,2,1,4,1,4,1,1
506,1,6,2,4,4,1,2
507,1,2,4,2,4,1,1
508,1,1,3,1,3,0,1
509,2,2,5,4,5,1,3
510,1,1,2,5,4,0,1
511,2,1,4,4,5,1,1
512,1,6,1,2,4,0,2
513,2,6,1,6,4,0,1
514,1,1,5,3,3,0,2
515,2,1,1,0,1,1,1
516,2,2,1,5,8,1,2
517,1,1,3,2,4,0,2
518,1,1,1,0,3,0,1
519,2,7,1,3,5,0,1
520,2,2,1,0,1,0,1
521,1,1,4,6,10,0,1
522,2,1,1,1,3,1,3
523,2,1,3,7,2,1,1
524,1,2,5,2,3,0,2
525,1,1,4,2,2,1,1
526,1,1,2,2,5,1,1
527,2,2,2,5,2,1,2
528,1,1,1,1,4,0,2
529,1,2,3,4,8,1,1
530,2,1,4,0,1,0,1
531,2,1,1,1,3,0,2
532,1,1,1,4,5,1,1
533,1,2,1,2,7,0,1
534,2,8,2,5,9,0,2
535,2,1,1,3,2,1,1
536,1,3,3,6,8,0,1
537,2,1,3,1,4,1,2
538,2,7,1,0,2,1,3
539,2,4,1,5,9,0,3
540,1,1,1,8,6,1,1
541,2,2,1,2,2,1,1
542,1,1,1,2,2,1,1
543,2,5,2,1,1,0,1
544,1,2,1,5,2,0,1
545,1,9,1,5,4,1,2
546,2,1,5,0,1,1,1
547,2,1,1,3,2,0,2
548,1,1,5,3,1,1,1
549,1,1,2,5,2,0,1
550,2,4,2,2,3,0,2
551,1,1,3,4,2,0,1
552,2,1,2,2,1,1,1
553,1,1,3,1,8,1,1
554,1,1,3,2,1,1,1
555,1,1,1,0,7,0,1
556,2,1,1,2,2,1,1
557,1,1,1,9,6,1,1
558,1,4,2,7,9,0,1
559,2,1,1,1,3,0,2
560,1,1,2,3,4,0,1
561,2,1,1,1,3,1,1
562,2,1,3,0,5,1,1
563,2,1,5,3,9,0,2
564,2,1,2,3,1,1,1
565,2,4,1,3,3,1,1
566,1,1,1,3,4,0,1
567,2,3,3,3,6,0,1
568,2,1,2,1,5,1,1
569,1,2,2,0,1,0,1
570,1,1,5,2,4,1,2
571,1,1,1,2,4,1,1
572,2,3,4,3,4,1,1
573,2,1,1,4,4,0,2
574,2,2,3,2,2,0,2
575,1,1,1,4,9,0,1
576,2,1,3,4,3,0,2
577,2,2,3,2,2,0,2
578,2,2,2,7,2,0,1
579,1,1,1,1,5,0,1
580,1,1,3,0,4,0,2
581,2,1,1,3,7,0,1
582,2,1,1,1,3,0,2
583,1,7,1,0,5,1,1
584,1,6,5,3,3,1,2
585,2,2,1,5,5,1,2
586,1,1,3,0,3,0,1
587,2,1,1,5,4,0,3
588,2,1,2,6,4,1,1
589,1,1,3,0,2,0,2
590,2,2,1,0,1,0,1
591,1,2,1,4,3,0,2
592,2,1,2,3,1,1,1
593,1,8,2,2,3,0,1
594,1,5,1,1,9,0,1
595,1,1,5,1,4,1,2
596,2,1,2,2,6,1,2
597,1,2,2,4,2,1,1
598,1,1,1,6,3,0,2
599,2,1,1,2,3,0,1
600,1,1,2,3,4,1,1
601,1,2,3,3,4,0,2
602,2,6,5,1,5,0,2
603,2,8,1,3,6,0,1
604,2,8,1,2,6,1,1
605,1,1,1,5,3,1,1
606,2,1,1,3,2,1,1
607,1,5,1,5,9,0,1
608,1,1,3,3,2,1,2
609,1,7,1,5,5,0,2
610,2,1,3,1,5,0,2
611,2,2,1,1,2,1,1
612,1,8,1,4,8,1,1
613,1,3,1,1,6,1,2
614,2,1,4,1,4,1,1
615,1,5,4,0,3,0,1
616,2,1,2,0,1,1,1
617,2,1,3,5,4,1,1
618,2,2,1,4,5,0,1
619,2,2,2,0,7,1,1
620,1,1,1,2,5,0,2
621,1,1,1,5,3,1,3
622,1,7,3,2,1,0,1
623,1,1,3,1,8,1,1
624,2,1,1,1,1,0,2
625,2,1,1,7,8,0,2
626,1,1,1,4,3,0,2
627,1,4,4,0,2,0,2
628,1,1,2,4,6,0,2
629,2,1,4,0,4,1,1
630,2,1,5,1,4,1,2
631,1,3,4,5,2,0,2
632,1,2,3,3,2,0,1
633,1,1,2,1,6,1,1
634,1,1,1,2,5,0,3
635,2,1,4,3,1,0,1
636,2,1,4,3,2,1,2
637,2,1,2,0,2,0,2
638,2,1,3,2,4,1,1
639,2,1,1,3,5,0,2
640,1,2,3,4,4,0,2
641,1,1,2,2,1,1,1
642,1,5,6,5,7,1,2
643,1,1,1,8,1,0,1
644,2,1,1,2,5,0,1
645,2,1,3,4,4,0,2
646,1,1,2,5,2,1,3
647,1,1,1,3,3,1,1
648,2,1,4,0,1,0,1
649,2,2,2,4,5,1,1
650,1,9,5,3,6,0,3
651,2,7,1,2,4,1,3
652,1,2,2,5,1,0,1
653,1,1,5,0,4,1,1
654,1,1,4,1,5,1,1
655,2,6,5,7,4,0,1
656,1,1,2,2,3,1,1
657,1,6,1,3,5,0,1
658,2,1,1,2,4,0,1
659,2,5,1,0,1,0,1
660,2,3,3,8,7,0,3
661,2,3,2,2,12,1,1
662,1,1,2,1,2,1,1
663,1,3,3,1,3,1,1
664,1,1,1,4,2,0,1
665,2,8,4,3,7,1,1
666,1,1,2,3,3,1,1
667,1,4,4,8,10,1,2
668,2,1,4,5,5,1,1
669,2,1,2,2,4,1,1
670,2,1,4,2,6,1,1
671,1,1,3,1,5,1,1
672,2,3,1,0,5,1,2
673,2,1,1,7,2,0,1
674,2,3,4,0,2,1,1
675,1,1,1,5,4,0,1
676,1,1,2,0,4,0,3
677,2,1,3,2,6,1,1
678,1,1,1,2,4,0,1
679,2,2,1,3,5,1,1
680,2,1,1,0,3,0,2
681,2,1,5,2,3,0,2
682,2,1,6,4,6,1,1
683,1,1,1,3,7,1,1
684,2,1,4,2,6,1,1
685,2,1,1,2,7,0,1
686,2,1,2,1,4,1,1
687,2,2,1,3,7,0,1
688,2,1,2,0,2,1,1
689,2,1,1,5,1,1,1
690,1,1,3,3,3,1,1
691,1,1,1,4,4,0,2
692,1,1,3,0,2,0,3
693,1,1,5,4,3,1,2
694,1,1,2,4,3,1,1
695,2,1,3,2,2,0,2
696,2,2,4,0,9,0,2
697,2,8,1,5,8,1,3
698,1,1,1,3,3,0,2
699,1,1,1,2,3,0,2
700,1,1,4,0,5,1,1
701,1,1,1,5,8,0,2
702,1,1,2,1,5,1,1
703,1,1,1,1,2,1,1
704,1,1,5,3,2,0,1
705,2,2,6,0,5,1,1
706,1,1,1,0,3,1,1
707,1,7,2,0,2,1,1
708,1,1,1,2,2,1,1
709,1,2,3,3,4,0,2
710,2,4,1,0,4,1,1
711,2,1,1,1,1,0,2
712,2,4,4,2,6,0,2
713,1,1,1,2,6,1,1
714,1,9,1,4,4,0,1
715,2,1,2,1,4,1,1
716,1,1,5,0,7,1,1
717,1,1,3,4,1,0,2
718,2,1,5,1,5,1,1
719,1,5,1,2,3,1,1
720,2,2,2,3,11,1,1
721,2,1,1,1,4,0,2
722,2,1,1,1,5,0,2
723,2,1,4,2,1,1,1
724,1,2,3,4,2,1,1
725,1,1,5,2,3,1,1
726,2,7,1,0,7,1,1
727,2,9,4,3,6,1,1
728,1,3,1,0,2,1,1
729,1,1,4,5,4,0,1
730,1,1,1,3,4,0,1
731,2,1,3,4,3,0,2
732,1,1,1,1,2,1,1
733,2,1,1,3,9,0,1
734,2,2,4,0,2,0,2
735,2,1,4,0,5,1,1
736,2,1,1,2,7,0,3
737,1,1,1,3,3,1,1
738,1,1,1,4,2,1,1
739,1,9,3,1,5,1,1
740,1,3,4,0,5,1,1
741,2,1,4,0,1,1,1
742,1,1,1,0,5,1,3
743,1,4,6,7,7,0,1
744,1,1,2,1,3,1,1
745,1,5,3,6,5,1,1
746,1,8,4,0,1,0,1
747,2,1,1,2,4,1,1
748,1,1,5,0,9,0,1
749,1,5,1,0,3,0,1
750,2,1,1,0,2,1,2
751,2,2,5,2,1,0,2
752,2,1,3,3,4,1,2
753,2,1,1,2,1,0,1
754,2,2,1,5,4,0,2
755,2,1,4,1,2,0,2
756,1,5,1,3,3,1,2
757,1,1,1,4,1,1,1
758,1,1,1,1,5,0,2
759,1,2,2,2,4,1,1
760,2,9,1,4,2,1,1
761,2,1,1,4,3,0,2
762,2,1,4,2,1,0,1
763,1,3,5,1,2,1,2
764,1,1,2,2,12,1,1
765,2,1,5,0,5,1,1
766,2,5,3,1,3,1,1
767,1,1,3,3,4,0,1
768,1,1,2,9,4,0,1
769,2,1,3,2,6,1,1
770,1,1,4,2,1,0,1
771,1,1,1,0,2,0,1
772,1,1,1,2,4,1,1
773,1,1,3,1,1,0,1
774,1,1,2,8,3,1,2
775,2,8,1,3,9,1,1
776,1,4,1,6,5,0,1
777,1,1,1,3,4,0,2
778,2,1,1,1,2,1,1
779,2,1,1,1,4,0,2
780,1,1,1,2,2,0,1
781,2,2,5,2,10,0,3
782,2,6,1,0,1,1,1
783,2,2,2,0,4,1,1
784,1,1,1,3,4,0,2
785,1,1,1,7,5,1,1
786,1,1,2,3,2,0,2
787,2,8,2,2,2,1,1
788,2,2,1,6,8,0,1
789,2,1,1,0,1,1,1
790,1,5,1,5,1,0,1
791,2,1,1,0,7,1,1
792,1,1,1,3,4,0,2
793,1,1,1,2,11,1,1
794,1,1,1,3,3,0,2
795,1,8,1,2,7,0,2
796,1,1,5,2,11,0,3
797,1,1,5,0,4,1,2
798,1,4,1,6,5,0,2
799,1,1,2,0,5,1,1
800,2,1,4,2,2,1,1
801,2,6,3,0,2,0,2
802,2,1,2,3,1,1,1
803,1,1,4,1,5,0,2
804,2,1,3,0,5,1,1
805,2,1,1,7,3,0,1
806,2,2,1,0,6,1,1
807,1,1,3,4,4,1,2
808,1,1,1,2,2,1,3
809,2,1,1,0,1,1,1
810,2,1,2,0,4,1,1
811,1,6,2,4,3,0,2
812,2,8,3,4,6,0,1
813,1,5,4,0,6,0,1
814,2,2,1,3,2,1,3
815,2,1,2,3,3,1,1
816,1,1,1,6,1,0,1
817,2,1,5,4,3,1,1
818,2,1,3,6,1,1,1
819,2,3,3,2,5,1,1
820,2,1,2,3,2,0,2
821,2,6,3,5,7,0,1
822,1,1,2,4,5,0,1
823,2,7,1,4,5,0,2
824,2,1,3,2,4,0,2
825,1,1,6,0,3,1,2
826,1,2,1,3,4,1,3
827,2,1,4,1,5,1,1
828,1,4,4,0,4,1,1
829,1,1,4,5,1,1,3
830,1,1,2,2,3,0,1
831,2,1,3,1,6,0,1
832,1,2,1,2,2,0,3
833,2,1,5,0,1,0,1
834,2,2,6,5,2,1,1
835,1,1,1,1,6,1,1
836,1,2,3,3,4,0,1
837,1,1,1,4,3,1,1
838,1,5,1,0,4,0,1
839,2,1,1,1,2,1,1
840,2,1,4,3,4,1,1
841,1,1,1,5,3,1,1
842,1,1,1,3,5,0,2
843,1,1,1,2,4,1,1
844,1,1,3,2,3,0,2
845,1,1,2,1,1,1,1
846,2,1,1,0,1,0,3
847,2,1,5,3,2,0,2
848,1,2,1,2,5,0,2
849,2,1,1,2,3,0,1
850,1,1,1,1,4,0,1
851,2,1,2,3,1,0,1
852,1,1,3,0,2,1,1
853,2,1,5,4,5,0,2
854,2,4,3,3,5,0,2
855,1,2,5,0,5,0,1
856,2,1,1,2,5,0,2
857,1,2,3,0,2,1,1
858,1,1,2,6,8,0,1
859,1,1,3,4,5,1,1
860,2,6,4,0,6,1,1
861,2,1,1,4,2,0,1
862,2,1,1,4,3,0,2
863,1,1,1,0,1,0,1
864,1,1,1,3,7,0,1
865,1,1,5,0,4,1,1
866,2,1,3,6,5,0,1
867,1,1,2,2,3,0,2
868,1,3,5,6,7,0,1
