AGEP,SEX,MSP,EDU,PINCP,HOUSING_TYPE,DENSITY,OWN_RENT
5,1,0,1,-5973,1,3744.51806640625,2
5,2,0,2,13844,1,6060.1943359375,1
4,2,0,3,19497,1,5600.41650390625,1
5,1,4,4,13762,1,9221.0830078125,1
0,2,3,4,21186,2,5453.50341796875,1
2,1,4,1,2339,1,5502.775390625,2
5,2,1,3,19620,1,6749.1923828125,1
4,1,0,4,19625,1,5361.6689453125,1
1,2,3,4,7280,2,319.32562255859375,0
1,2,1,6,25497,1,4255.61669921875,1
1,2,3,5,-6178,1,3860.71435546875,1
2,1,4,1,38298,1,3641.49365234375,2
3,1,1,1,23763,1,6481.58544921875,2
0,2,3,1,11828,1,3195.888671875,2
2,2,5,8,22693,1,3360.2783203125,1
0,2,5,1,16086,1,6566.02880859375,2
1,1,1,3,32504,1,4672.9716796875,1
3,2,0,4,-9000,1,16.0,1
2,1,2,3,43358,2,2216.20068359375,1
2,1,2,4,36032,1,5511.2724609375,0
1,2,1,3,-4495,2,1271.148193359375,1
4,2,3,3,43760,2,16.0,2
1,1,1,3,46834,1,6856.884765625,0
0,2,2,10,19161,1,4936.55126953125,1
4,1,1,5,18369,1,4985.1865234375,2
1,1,0,3,38895,1,4946.17626953125,1
0,2,0,4,18523,2,1872.8280029296875,2
1,2,3,4,36970,1,6429.7958984375,0
3,2,1,1,-9000,1,3997.958740234375,1
1,2,1,4,39531,2,16.0,2
5,2,2,2,25534,1,4115.18701171875,0
2,2,1,5,16318,2,16.0,1
5,2,1,1,-1841,1,4753.69970703125,1
2,1,0,2,36436,1,7013.9677734375,1
1,1,3,3,18272,1,5391.32080078125,1
0,2,1,2,15062,1,5316.3447265625,1
0,1,2,5,18150,1,1859.933837890625,2
1,1,1,2,2100,1,4100.1572265625,0
4,2,2,4,42203,1,1661.831787109375,1
2,2,1,5,29199,1,6126.54248046875,1
4,1,5,1,44574,2,3759.359130859375,0
3,1,1,5,14701,1,3807.5947265625,2
4,1,0,5,20785,1,4725.14453125,1
4,2,4,4,23218,2,849.7600708007812,2
5,2,2,1,15419,1,3026.5869140625,2
4,1,4,4,24074,1,4870.326171875,1
1,2,5,5,31408,1,1234.404296875,2
3,2,2,0,7179,1,4225.806640625,1
4,1,0,1,35981,1,7720.9541015625,1
5,1,5,1,31062,1,2237.959228515625,2
1,1,1,11,34924,1,7393.8408203125,2
5,1,4,1,42645,2,16.0,2
2,1,1,6,-3397,1,5463.423828125,1
5,2,4,2,30021,1,2786.28369140625,0
0,2,4,3,7965,1,1784.8828125,1
2,2,5,5,12416,1,3065.80908203125,2
4,1,3,0,11239,1,4472.2763671875,0
4,2,3,1,11243,1,4258.97265625,2
2,1,1,4,1197,1,4186.98681640625,1
4,2,0,2,39839,2,2407.50390625,2
2,1,0,5,31859,1,3134.205078125,1
2,2,1,2,29365,1,3311.999755859375,1
5,1,2,5,32198,2,16.0,1
2,2,0,0,28462,1,4156.63671875,0
1,2,2,4,24674,1,1779.666748046875,0
0,2,2,2,26236,1,6152.64892578125,2
5,2,1,5,21384,2,16.0,0
1,1,1,4,31586,2,222.79669189453125,2
4,1,5,4,19830,1,5551.318359375,0
3,1,0,4,-4923,2,1041.65869140625,1
4,1,1,3,24527,1,4175.470703125,1
3,1,1,10,13699,1,4499.4306640625,2
3,1,0,2,26798,1,5958.59912109375,0
1,2,2,4,20207,2,1993.733642578125,2
4,2,0,4,15075,1,4171.974609375,2
5,1,2,4,-540,1,2208.686279296875,2
4,1,3,5,29883,1,3780.48681640625,1
3,1,2,2,-9000,1,3203.4033203125,2
1,1,3,5,9036,1,7273.50634765625,1
5,1,4,3,43822,1,7285.96484375,0
5,2,3,1,45243,1,5343.05517578125,1
1,2,0,7,32204,2,1397.317138671875,1
2,1,2,9,-467,2,3600.793212890625,1
5,2,2,4,-6041,1,5729.6904296875,1
0,1,4,4,-4362,1,5956.11865234375,1
3,2,2,1,27443,1,2237.123291015625,2
3,2,1,6,6481,2,16.0,0
5,1,1,4,8851,2,2393.588623046875,1
1,1,2,3,29458,1,4072.133056640625,1
1,2,2,3,16747,1,7092.111328125,1
3,2,1,3,11236,2,3435.36376953125,1
3,2,3,1,6087,1,3813.98681640625,1
1,1,3,0,44770,1,5286.177734375,0
3,1,2,0,5865,1,4580.82568359375,1
4,1,1,5,18494,1,3896.67431640625,0
3,1,4,5,5280,1,6352.11865234375,2
1,2,5,1,14577,1,6297.23046875,1
0,2,3,1,22759,2,523.9169921875,2
1,1,3,2,23510,1,5241.29541015625,0
3,1,4,2,30534,1,4523.92626953125,1
2,2,0,5,21069,2,5836.36767578125,1
1,2,2,4,38683,2,126.35693359375,2
5,1,1,5,12436,2,1535.557373046875,1
3,1,1,3,27048,1,7014.6845703125,1
5,1,2,3,24055,1,5059.0126953125,1
4,2,4,10,6343,1,4705.14697265625,0
2,1,3,3,23511,1,2164.9013671875,2
4,1,3,4,23074,1,1995.126220703125,1
0,1,4,4,6108,1,6970.845703125,1
5,1,2,3,12691,1,5336.3330078125,1
5,2,4,1,46782,1,3372.15380859375,0
2,2,3,2,31281,1,6064.43310546875,0
1,2,1,4,33753,2,16.0,0
4,1,2,9,39409,1,7480.62890625,1
5,1,3,5,24628,1,6725.03125,1
3,1,5,2,22939,2,1406.72314453125,2
2,1,2,2,-9000,1,4460.21484375,2
2,2,1,1,25837,1,3551.8369140625,1
5,1,3,2,-9000,1,6255.20751953125,2
5,1,3,2,31028,2,364.29736328125,0
3,1,3,4,42541,2,56.86676025390625,1
3,1,2,3,21748,1,141.9970703125,2
1,2,1,5,32946,1,5210.50048828125,1
2,2,5,5,41317,2,384.204833984375,1
4,1,1,10,6171,1,5720.20556640625,1
5,2,2,4,47754,1,5419.47509765625,2
5,2,1,1,24573,2,3520.869384765625,1
3,1,1,4,23005,1,7977.81640625,1
3,1,1,3,5444,1,3895.85498046875,2
4,2,5,5,8390,1,6348.2421875,0
1,1,5,4,15419,1,4499.80859375,1
5,1,1,4,23881,1,7446.28466796875,1
3,1,2,5,-9000,1,5433.966796875,0
4,2,1,4,11433,1,5368.1396484375,1
0,1,3,4,10726,1,5702.119140625,2
1,2,0,2,9,1,4698.13427734375,2
2,2,4,10,-8842,1,5958.5732421875,0
1,2,5,8,5559,1,6514.607421875,1
2,2,3,3,25356,1,4338.6328125,1
5,2,3,4,20222,1,2208.342041015625,2
5,2,0,4,9867,1,1296.035400390625,0
4,1,0,4,38754,1,6541.9130859375,0
4,1,0,11,46800,2,1396.32958984375,0
4,2,0,3,-3654,1,5911.85498046875,1
2,2,3,0,7112,2,16.0,2
5,2,5,1,37518,1,5037.63134765625,1
3,1,0,6,34984,1,5571.65673828125,1
3,1,1,5,23523,1,6740.59130859375,1
4,2,2,4,32977,2,3128.53173828125,0
2,2,2,4,42908,1,6916.17626953125,2
3,2,3,4,18133,2,2122.810546875,1
1,1,0,1,30730,1,2618.583740234375,2
3,2,5,5,23893,1,6036.716796875,0
0,1,3,7,19695,1,2222.529541015625,2
2,1,3,3,14268,1,4416.37939453125,0
0,1,0,3,30608,2,2784.1455078125,2
4,2,3,3,28518,1,4207.65576171875,0
0,2,3,2,-9000,1,7336.4736328125,1
1,2,2,0,42652,1,5598.89013671875,0
0,2,1,1,29589,1,5986.0810546875,1
2,2,3,1,47703,1,7017.486328125,2
1,2,1,7,24535,1,3788.6611328125,2
0,2,3,3,36668,1,2643.602294921875,0
5,1,3,4,7244,1,7629.8662109375,2
3,1,5,8,19302,2,2315.56787109375,2
2,2,1,2,14217,1,3745.5712890625,2
1,1,3,4,11959,2,16.0,1
3,2,1,9,37594,1,6546.0595703125,2
5,1,2,1,22894,1,5742.78564453125,2
3,2,3,1,20473,1,3602.464111328125,1
2,2,1,4,-1734,1,7209.845703125,2
4,1,2,0,23879,2,68.44024658203125,2
1,2,3,7,22832,1,5600.55126953125,1
3,1,3,4,10416,2,2210.72119140625,1
5,2,1,5,11404,2,3809.007080078125,1
1,2,5,7,16575,1,2574.113525390625,0
3,2,4,4,37629,1,4355.9970703125,2
1,1,4,4,10959,2,1420.6397705078125,2
3,2,0,2,36483,1,5185.6962890625,1
4,1,5,3,9900,1,7051.60888671875,2
2,1,3,3,36726,1,1401.5048828125,1
0,2,5,3,19970,1,7433.2353515625,1
4,1,5,4,5168,1,4948.7763671875,1
4,2,2,1,14973,2,2022.342529296875,0
3,2,5,4,32991,1,5911.87109375,1
5,2,1,4,13232,1,5671.40576171875,1
4,2,0,4,24049,1,6421.84814453125,1
3,2,3,2,34849,1,6176.357421875,1
3,2,3,9,45427,1,8061.5810546875,1
1,1,3,4,9619,2,1291.745361328125,1
4,1,2,4,33315,1,4825.28662109375,1
4,2,3,5,33819,1,2774.458251953125,2
3,1,4,1,32754,1,2431.373291015625,1
5,2,2,2,39365,2,16.0,0
5,1,3,3,27132,1,5899.96923828125,0
5,2,5,5,14649,1,4542.7314453125,1
5,1,3,4,362,2,16.0,1
2,1,3,4,31903,1,8588.689453125,2
1,1,4,5,21034,1,7101.40576171875,1
5,1,1,4,28448,1,4632.46435546875,0
5,2,0,5,32405,1,1421.92041015625,0
4,1,1,2,16869,1,8799.494140625,1
4,1,0,6,9945,1,6768.6669921875,0
5,1,2,4,26247,1,3228.84033203125,1
3,1,5,1,-6848,2,2424.0595703125,1
1,2,5,4,9990,1,3539.13525390625,0
5,2,1,3,15062,1,10361.34375,2
4,1,2,3,20384,1,6146.2294921875,1
2,1,5,3,8741,1,7573.853515625,1
3,1,4,5,-43,1,4209.04833984375,2
5,2,2,4,29549,1,6545.35400390625,1
2,1,3,3,15874,1,7258.82958984375,2
5,2,3,3,33245,1,4724.83203125,2
1,2,5,4,-9000,1,3464.64306640625,1
5,2,1,3,39403,1,4767.14306640625,2
4,2,4,8,30324,1,5163.69921875,0
4,2,4,6,19908,1,620.1484375,2
2,1,4,4,27235,1,4425.15283203125,2
1,2,2,2,6888,2,16.0,1
5,2,0,3,34959,1,7851.49951171875,0
1,2,1,5,12918,1,6271.1337890625,2
2,1,2,4,10702,1,4939.63525390625,2
3,1,3,4,-9000,1,4285.701171875,2
3,1,3,2,7637,1,8375.611328125,2
1,2,2,4,-7176,1,5088.7177734375,1
3,2,1,7,21574,1,5243.40380859375,2
2,1,4,2,10387,1,7746.86328125,0
5,2,1,3,-9000,1,5717.53173828125,0
5,2,0,4,15511,1,4827.21337890625,1
5,1,5,1,36275,1,3243.42626953125,0
4,2,3,5,32327,1,5298.13525390625,1
1,2,3,3,20230,1,4203.40673828125,0
3,2,2,4,-1762,1,5359.52490234375,1
5,2,2,4,44037,1,3419.6875,1
1,2,3,4,-76,2,16.0,1
2,1,3,3,20263,2,1005.4969482421875,1
5,1,5,3,34851,2,7638.470703125,1
5,2,4,3,14604,1,4308.7099609375,1
1,1,0,4,21155,1,3818.2646484375,2
4,1,1,2,13740,1,1564.6171875,2
0,2,1,5,2989,1,4796.13525390625,0
1,1,1,6,5776,1,4951.0849609375,2
2,1,2,9,23795,1,928.617919921875,0
1,2,3,3,48101,1,5327.658203125,1
5,1,3,8,26333,1,3294.77197265625,1
0,2,3,3,11350,2,1487.4273681640625,1
4,2,1,5,31424,1,5750.380859375,1
4,1,3,3,19878,1,6802.150390625,0
3,1,1,5,30503,1,6356.45947265625,1
4,1,1,3,33888,1,5488.54248046875,1
4,2,5,1,17879,1,7787.7529296875,0
2,1,3,2,19586,1,7286.8916015625,1
4,1,3,4,9940,1,3887.983642578125,1
5,1,5,3,39149,1,5563.900390625,2
4,2,1,2,9414,1,6931.51220703125,1
5,2,2,0,20995,2,2284.615478515625,1
0,2,1,4,42220,2,709.9156494140625,0
4,1,4,1,5264,1,5167.31005859375,2
3,1,1,4,12499,1,5367.02734375,1
5,2,1,6,18770,1,5139.0498046875,2
5,1,0,2,20839,1,3731.34228515625,0
1,1,2,5,18718,1,7662.80419921875,2
4,2,0,5,32140,1,3702.6484375,2
1,1,2,2,31900,2,3362.42236328125,0
4,2,0,5,24708,1,5839.7275390625,2
0,1,2,5,28774,1,4136.5986328125,0
1,1,1,1,39793,1,5742.81298828125,1
5,1,1,5,41879,1,4417.7158203125,1
0,2,1,6,33770,2,3054.74853515625,0
0,1,1,2,7794,1,7082.99951171875,2
0,1,4,2,6957,1,3741.57470703125,1
3,1,0,3,37269,1,8955.0205078125,2
2,1,4,1,35386,1,6110.8115234375,0
0,2,1,5,39293,1,4962.20849609375,2
2,1,3,4,13076,1,5465.34033203125,1
4,2,4,3,20067,2,1287.29443359375,0
1,2,0,5,15996,1,2672.9423828125,0
1,1,3,5,7033,1,5110.7197265625,2
3,2,0,3,8806,1,7042.59375,1
3,1,3,8,16461,2,16.0,2
0,2,2,3,33390,1,3095.005859375,1
1,1,1,5,19915,1,6082.31689453125,1
3,1,1,3,8712,2,16.0,1
2,2,2,2,10294,1,3491.02587890625,0
3,2,5,4,21792,1,7166.01220703125,1
1,2,1,4,1359,1,5947.20751953125,2
5,1,1,4,41336,1,6302.7978515625,1
1,2,3,3,42547,1,4099.0380859375,1
3,1,5,2,14596,1,4838.0078125,2
3,1,1,4,17642,1,2858.188720703125,1
0,1,3,8,34401,2,2255.67919921875,0
5,2,0,3,2031,1,3538.77490234375,2
5,1,2,5,10835,1,5314.2607421875,2
4,1,2,3,10461,2,210.94866943359375,0
5,1,3,1,31061,1,4464.25537109375,1
5,2,3,2,14018,2,3046.0244140625,1
5,1,1,1,8690,2,16.0,1
0,1,2,3,24485,2,131.971923828125,1
3,1,1,2,30457,2,2165.3916015625,1
0,1,1,3,24291,1,6464.8349609375,2
2,1,4,3,14225,1,2830.647705078125,2
0,2,2,4,38127,2,4701.27099609375,1
3,1,3,7,-4425,2,298.7222900390625,2
5,2,1,0,33394,1,7326.9873046875,2
1,1,2,4,-5323,2,3958.74365234375,1
3,2,1,5,-1035,1,6667.3671875,1
4,2,1,2,20029,1,2393.143798828125,0
3,1,3,4,30055,1,5191.79443359375,1
5,2,0,3,33016,1,2834.694580078125,2
2,2,1,4,13075,1,4737.54345703125,2
2,1,1,1,22842,1,3731.4853515625,0
5,2,4,2,2862,1,6278.521484375,1
1,1,2,4,25570,1,1997.361083984375,1
5,2,0,4,24250,1,4650.3876953125,2
3,1,1,6,15139,1,4389.90234375,1
3,1,2,4,49063,1,5849.03515625,2
5,2,1,5,35381,1,7137.1064453125,1
5,2,3,3,15333,1,5478.27001953125,1
1,2,5,4,46329,1,6150.70849609375,1
2,2,5,5,-488,2,3918.098388671875,1
4,2,5,3,-105,1,5451.38330078125,2
1,2,1,5,-9000,1,5882.20751953125,2
5,1,2,2,4182,1,4390.4736328125,1
1,1,1,1,25464,1,4854.68505859375,0
2,2,4,3,-2102,1,4724.0908203125,2
5,1,2,9,11042,1,6290.236328125,1
3,2,3,3,-9000,1,5047.091796875,1
2,1,1,2,41121,2,259.66351318359375,2
5,1,1,3,23737,1,2684.773681640625,1
5,2,0,1,45724,1,4864.54736328125,2
3,2,2,3,24450,1,4069.619140625,2
1,2,5,4,23362,1,3466.478515625,1
5,2,5,4,19492,1,6047.16162109375,1
4,1,2,0,30352,1,4317.93603515625,2
5,2,4,3,39164,1,4834.8251953125,1
1,2,4,1,22074,1,2613.504150390625,1
2,2,0,6,7300,1,4529.712890625,1
5,1,3,5,28150,1,8064.212890625,1
1,1,0,4,27239,2,16.0,1
3,2,1,2,29314,2,16.0,1
5,1,3,4,27860,1,4604.345703125,0
5,1,2,4,25598,1,8174.81591796875,1
2,2,4,8,37548,1,3215.2353515625,0
5,1,3,2,27980,1,4461.75244140625,1
4,2,2,8,9137,1,2790.378662109375,2
4,2,1,5,33534,1,4495.35693359375,2
5,1,2,5,47337,1,5080.22607421875,0
2,1,5,8,4067,2,1318.945068359375,1
3,1,3,3,29333,1,7160.8291015625,1
3,2,1,8,11218,1,5682.2412109375,1
5,1,3,4,8102,1,5142.4462890625,1
5,2,1,5,36448,1,6270.7578125,1
0,2,2,3,734,1,5359.07958984375,2
4,2,0,2,27881,1,6228.88037109375,1
5,1,1,0,22611,2,16.0,2
4,2,2,6,33033,1,6667.1826171875,1
4,1,4,7,26914,1,4455.91455078125,1
3,1,3,3,8803,1,808.06591796875,1
1,1,3,2,23451,1,5647.89306640625,0
2,2,1,5,26280,1,4445.78173828125,0
2,2,2,4,-7163,1,5303.900390625,2
4,1,0,2,25892,1,7746.72265625,2
1,2,2,10,39764,1,4115.4375,2
1,1,0,2,16406,1,3552.08447265625,0
2,2,2,2,16714,1,742.0576171875,1
2,2,0,1,17277,1,4750.0166015625,2
3,1,3,8,14136,1,5368.884765625,1
2,1,1,3,20486,1,3629.5126953125,1
3,1,0,4,8055,1,4045.67529296875,2
2,1,2,2,32690,1,2544.162109375,2
2,2,1,2,3895,1,6004.701171875,2
0,2,3,6,10365,1,6770.2763671875,1
0,2,1,0,16844,1,4002.21630859375,2
1,1,1,5,25350,1,6690.421875,2
3,2,0,5,3146,1,4006.837646484375,1
3,1,4,2,33717,1,5857.3974609375,0
0,1,0,5,48917,1,3414.71142578125,0
1,1,3,7,-9000,1,1737.431640625,1
2,2,4,3,24726,1,9398.0703125,2
5,2,2,6,-2151,2,2041.718994140625,1
3,1,0,1,49369,1,4857.724609375,2
0,1,3,1,26844,1,5991.1865234375,1
1,2,5,2,9593,1,7408.71142578125,1
1,1,4,4,27320,1,5720.201171875,1
2,2,3,5,7047,1,3988.813232421875,1
3,1,2,2,21,1,4252.625,0
1,2,4,5,6655,2,3254.890869140625,2
5,1,0,5,35372,1,5020.5,1
4,1,5,5,20903,1,7168.3037109375,1
3,1,0,4,30210,1,5906.896484375,1
4,2,1,1,-6547,1,8538.83203125,0
1,1,1,0,11652,1,8268.509765625,2
4,1,2,3,29955,1,4477.24365234375,0
4,2,1,2,35923,2,16.0,1
3,1,2,4,28657,1,5379.93798828125,1
3,1,1,2,35783,2,2242.478759765625,0
0,2,4,5,9460,1,4050.486328125,0
5,2,3,3,27843,1,7852.486328125,1
4,1,3,3,22482,1,3206.51025390625,1
2,2,3,1,10431,2,16.0,1
5,1,4,0,15159,1,6383.7509765625,0
5,2,0,6,24265,1,5739.30322265625,2
4,2,1,5,27486,1,4520.99365234375,1
5,1,3,5,38134,2,16.0,1
0,2,1,1,-784,1,6226.0,0
2,2,2,3,39477,2,16.0,0
4,1,5,1,41417,1,802.2333984375,1
1,1,1,8,9034,1,3645.072998046875,2
3,2,3,5,33936,2,1816.603759765625,1
3,1,2,3,13153,2,16.0,0
1,1,5,5,43509,1,6497.11474609375,1
4,2,3,1,-5255,1,4599.31689453125,2
5,2,5,1,17174,2,1480.596923828125,1
5,2,2,3,11568,1,7032.15234375,1
3,2,3,3,46587,1,50.79443359375,1
3,2,3,2,16211,1,6511.89501953125,0
1,2,2,3,19872,1,5120.876953125,1
2,2,5,4,34865,1,7652.5869140625,0
1,1,1,4,27058,1,4408.595703125,2
4,2,3,5,10655,1,5790.42431640625,2
5,1,1,0,22431,1,9678.466796875,2
0,2,3,2,23014,1,7574.9306640625,1
2,2,0,2,-6660,1,3918.10498046875,2
5,1,1,4,19065,1,5199.8134765625,0
4,2,1,4,11883,2,2853.531494140625,1
5,2,3,5,-1555,1,5089.5439453125,2
5,1,3,2,26011,1,4155.5126953125,2
5,2,1,5,17408,1,7481.59521484375,0
1,2,5,6,3039,1,4075.647705078125,1
5,1,4,0,18799,1,3809.364013671875,1
4,1,3,4,7442,2,2587.216064453125,0
0,2,3,5,-824,2,1550.7838134765625,1
0,1,1,2,23007,1,5013.82470703125,0
2,2,2,5,31054,1,2791.4111328125,2
4,2,1,4,13694,1,3670.7958984375,1
4,1,3,4,43654,1,5570.99755859375,0
4,1,0,5,11105,1,8027.2333984375,1
5,2,2,6,27632,1,5755.96533203125,2
4,2,5,4,33989,1,3350.84716796875,1
2,2,4,4,-9000,1,3472.390625,1
0,2,0,4,4766,1,6936.82763671875,1
3,1,5,2,3272,1,6143.302734375,0
1,2,5,5,24686,1,5021.0791015625,1
2,1,1,2,9252,2,541.013671875,1
5,2,0,5,45390,1,4450.76904296875,1
2,2,4,2,20436,1,462.01123046875,2
2,2,1,5,37062,2,1607.029541015625,1
1,1,0,4,9328,1,6426.21044921875,1
1,1,1,6,21880,1,4287.7236328125,2
4,2,4,7,11140,2,3356.2080078125,1
3,2,1,4,26668,2,16.0,1
5,1,2,5,45763,1,1793.240478515625,2
3,1,2,4,17590,1,2790.9912109375,1
2,2,1,5,3326,1,4468.37158203125,2
3,1,2,2,832,1,7922.89453125,1
4,2,1,4,97,1,3671.013427734375,2
1,1,4,2,7522,1,6989.21923828125,1
2,1,0,2,28768,1,3184.0009765625,0
4,2,2,5,-9000,1,4001.416015625,2
4,2,1,4,34281,1,2104.888916015625,1
2,1,2,2,17526,1,6043.87451171875,2
1,2,3,4,34240,1,6758.97607421875,1
3,2,1,5,30302,1,4858.85693359375,0
2,1,2,4,35593,2,711.9608154296875,1
1,1,5,2,31627,1,7311.40771484375,1
3,2,2,4,26259,2,16.0,1
3,2,2,5,9746,1,6798.865234375,1
2,2,1,7,16645,1,5027.845703125,0
2,2,3,2,8073,1,6286.513671875,0
2,1,1,2,49841,1,5700.95751953125,0
4,2,1,3,25386,1,3912.2626953125,2
0,2,0,4,-2035,1,4184.94775390625,1
1,2,5,0,36786,2,2666.001708984375,1
5,1,4,4,-8983,1,2343.118408203125,2
4,2,5,1,13030,1,5887.07177734375,0
2,2,5,7,-9000,1,6578.888671875,1
5,2,1,3,16194,2,16.0,1
5,1,2,3,15201,2,2236.21044921875,2
0,2,1,2,35170,1,9338.833984375,1
0,1,5,6,33512,1,4434.3828125,1
3,2,1,7,14672,1,7645.91015625,2
5,2,1,5,22942,1,5847.271484375,1
3,2,2,6,29768,2,533.1407470703125,1
2,2,0,2,22198,1,5848.177734375,0
5,2,0,3,14080,1,3780.990234375,1
3,2,3,5,23247,1,7567.53271484375,2
5,2,2,9,44120,1,3722.854248046875,1
1,1,4,5,11767,1,6895.46875,1
3,2,4,4,46227,1,5473.22021484375,1
1,1,1,2,16438,1,5517.35009765625,2
3,1,5,6,21351,1,3111.794677734375,1
2,1,2,8,17617,2,676.92431640625,1
4,1,1,0,41796,1,6868.556640625,1
5,1,2,3,26909,1,5031.50732421875,0
3,1,1,1,38024,1,3907.935302734375,0
3,1,4,9,20900,1,4772.923828125,0
1,2,3,3,-1095,1,5999.0673828125,1
0,1,2,4,4605,2,3313.37255859375,1
3,2,2,0,7534,1,6752.16796875,2
5,2,0,4,35955,1,6938.29638671875,1
