AGEP,SEX,MSP,EDU,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
58,2,2,6,53116,2,1,1899.559326171875
48,1,1,1,28510,1,0,797.2020263671875
42,1,1,6,56114,1,1,1028.9248046875
27,1,4,9,59225,2,1,1457.084716796875
87,1,0,5,59113,2,0,1492.7764892578125
5,2,1,0,11226,1,2,651.220703125
21,2,1,1,25792,1,1,858.2144775390625
79,2,1,3,44861,2,2,1365.6221923828125
43,1,1,7,54786,2,1,1793.2022705078125
91,2,5,0,16646,2,1,1351.067138671875
51,1,4,4,41059,1,2,860.0682983398438
67,2,2,4,44307,2,0,2188.6259765625
39,2,5,9,62282,1,1,1152.2947998046875
94,2,2,4,49747,2,0,1286.788330078125
82,2,4,1,32078,1,1,1210.0130615234375
83,1,4,2,36588,2,1,1247.06201171875
91,2,2,9,77703,1,0,726.6859741210938
33,1,3,3,37480,1,1,804.1988525390625
53,1,0,0,27832,1,0,956.9296264648438
81,1,3,7,64006,1,0,923.3685913085938
76,2,4,9,72509,2,1,1921.83544921875
37,1,4,2,40073,2,1,1059.82177734375
68,1,5,0,26615,1,1,1083.35595703125
61,2,2,3,31104,2,1,1258.5760498046875
8,2,0,1,12567,2,1,1612.844482421875
30,1,0,7,57547,2,2,1154.7752685546875
5,2,0,0,12780,1,0,944.4387817382812
3,2,4,0,10754,1,1,869.5284423828125
45,2,3,5,49841,1,1,522.2449951171875
7,2,5,1,11335,0,0,461.81182861328125
66,2,5,0,33154,1,1,889.1422119140625
72,1,1,4,48395,2,1,1326.608154296875
9,1,0,1,15495,1,1,865.2874755859375
76,1,5,8,64381,2,1,1673.139892578125
73,2,3,6,53220,1,1,848.8712158203125
81,1,3,5,44078,2,2,1575.7835693359375
23,2,0,5,33792,1,1,829.1175537109375
39,2,0,1,22587,2,1,2030.269287109375
15,2,1,2,23422,1,0,894.9417724609375
90,1,0,1,38990,2,1,1512.61328125
62,1,2,6,50345,2,0,2035.435791015625
27,2,0,0,13190,1,0,824.2677612304688
64,1,0,7,65343,2,0,2014.97607421875
28,1,3,6,43144,2,0,1273.216064453125
55,1,4,0,19449,1,1,1056.1746826171875
84,1,2,6,73529,1,2,895.0812377929688
39,2,1,4,37406,1,1,958.0450439453125
64,1,2,6,49872,1,0,675.1810913085938
57,1,1,7,63433,2,1,1541.3187255859375
8,2,1,1,22337,1,2,1193.9744873046875
73,1,3,8,67222,2,1,1505.256103515625
44,1,3,2,28346,2,1,1540.1292724609375
9,1,0,1,16247,2,1,1612.095458984375
29,2,1,7,50703,1,1,944.096923828125
14,1,1,3,24264,0,0,438.9948425292969
58,2,0,2,41747,2,2,1809.369384765625
94,2,2,6,57962,2,1,1209.540283203125
44,1,0,0,17523,1,1,558.541748046875
49,1,3,2,27709,1,1,769.9979858398438
81,1,4,1,28091,2,0,1186.5859375
91,1,3,7,58524,1,1,1452.7027587890625
72,1,3,4,49750,1,0,841.9996337890625
20,1,4,3,36420,1,2,942.7443237304688
32,1,2,5,28264,1,2,931.4638061523438
80,2,3,2,38312,2,0,1600.7750244140625
59,1,0,4,34028,2,0,1195.5244140625
32,2,1,5,35544,1,1,992.9536743164062
49,2,2,3,29222,1,1,855.227294921875
58,1,2,1,29461,2,0,1597.8782958984375
45,1,3,0,5103,2,0,1353.085693359375
33,2,1,0,17350,1,0,970.5506591796875
50,1,4,1,22977,2,1,1041.6656494140625
79,2,4,4,42729,2,1,1267.6346435546875
77,2,1,3,32469,1,1,938.93603515625
79,1,4,0,22006,2,1,1638.548095703125
83,2,5,3,37628,1,1,1106.608642578125
64,1,4,5,51921,2,1,1046.3834228515625
4,2,0,0,13766,1,0,763.8621826171875
67,1,2,0,23406,1,1,981.6046142578125
51,2,3,7,51756,1,1,1012.3906860351562
83,2,2,4,45000,2,2,1339.97216796875
36,2,1,2,29304,1,2,684.421875
12,1,2,3,35340,1,2,782.6830444335938
14,1,4,4,33438,0,1,548.8185424804688
6,1,5,1,15073,1,1,391.43072509765625
26,1,0,3,39240,2,1,1546.986328125
66,2,2,1,31333,1,2,826.3346557617188
31,2,4,3,36744,1,2,805.6451416015625
21,2,0,9,61263,2,1,2164.584716796875
77,2,5,1,33592,2,1,1081.331298828125
88,2,1,9,70521,2,1,2221.062744140625
57,2,0,9,73241,1,0,716.20556640625
37,1,2,7,57924,2,1,1314.8858642578125
26,2,4,1,23171,1,1,1055.091796875
2,2,2,0,10960,2,2,1406.863037109375
71,2,5,9,64602,2,2,1648.4605712890625
31,1,0,4,39257,1,0,867.3736572265625
93,1,0,1,35258,1,2,680.2033081054688
85,2,3,8,68232,2,2,1624.7698974609375
41,2,3,0,19415,1,1,916.222900390625
69,2,1,2,31412,1,2,935.8818969726562
29,1,2,2,26465,2,2,1427.029296875
7,2,0,0,18056,2,2,1709.6444091796875
55,2,5,6,49110,1,1,1053.5919189453125
49,1,4,4,35483,2,0,1056.62744140625
59,1,0,9,66559,1,0,647.73779296875
83,1,5,5,55142,1,0,945.3728637695312
68,2,3,9,55842,1,2,994.10205078125
60,2,5,5,43250,2,1,1705.5682373046875
17,1,1,5,45660,2,1,1346.5911865234375
54,2,1,7,60649,2,1,1564.2783203125
79,1,1,3,33975,1,1,1184.7017822265625
34,2,5,4,37326,2,1,1094.0616455078125
86,1,5,6,57230,2,0,1546.754638671875
63,1,5,7,63457,2,0,1623.3172607421875
93,2,5,1,29458,2,2,1483.4769287109375
85,2,4,3,51659,2,1,1157.27392578125
81,2,4,3,39845,1,1,1010.9793090820312
8,2,0,1,16125,1,2,896.6373291015625
65,2,2,6,61195,1,2,918.9634399414062
92,1,4,2,39437,1,0,883.40625
20,2,2,8,45447,1,1,790.0227661132812
20,1,2,6,50863,1,2,840.6537475585938
71,1,0,9,68621,1,1,920.2886352539062
57,1,2,2,43161,2,0,1511.2901611328125
91,2,1,0,29602,2,0,1289.2470703125
29,2,1,4,35673,2,2,1536.9228515625
47,2,5,8,61154,1,2,907.9310913085938
49,1,1,8,53524,2,0,1200.7530517578125
17,1,1,3,29120,1,1,1069.8736572265625
27,1,1,2,29914,1,1,957.0867309570312
64,1,2,1,24772,2,0,2001.8426513671875
32,1,1,3,34422,1,2,860.1190185546875
64,2,1,9,64837,2,1,1946.6201171875
73,1,3,7,69742,2,1,1448.999755859375
18,2,1,4,26361,2,2,1234.4146728515625
59,2,5,3,34348,2,1,1181.312255859375
56,2,0,6,55502,1,1,918.306640625
46,2,4,2,28864,2,0,1379.40234375
13,2,5,1,17632,0,0,657.0471801757812
28,2,3,7,51412,1,2,834.0106201171875
64,1,0,2,30574,1,2,800.167724609375
14,1,1,2,11978,0,0,424.27471923828125
77,1,1,4,44997,2,1,1650.4970703125
21,1,4,0,12694,1,1,1195.00146484375
56,1,5,4,44262,1,1,951.5679321289062
4,2,5,0,11037,1,1,1172.79248046875
3,2,2,0,-141,1,1,1029.4215087890625
63,1,5,8,61718,2,1,1317.855712890625
61,1,5,4,38891,2,1,1577.3634033203125
81,2,0,4,47379,1,1,973.53857421875
50,1,3,2,32565,2,2,1440.881591796875
40,1,3,2,28425,1,2,606.3819580078125
8,2,3,0,5720,1,1,971.4736938476562
21,1,2,7,49655,1,0,703.0523681640625
13,2,3,4,31447,0,0,393.518310546875
92,2,4,7,69625,2,0,1545.841552734375
25,2,0,6,40052,1,1,721.59326171875
34,1,2,4,31728,1,0,742.9625244140625
94,1,3,7,60209,1,1,927.4645385742188
79,1,4,3,52022,2,0,1520.5045166015625
68,1,1,8,61599,1,1,811.9228515625
70,1,1,3,42994,2,1,1244.927978515625
55,2,1,9,66438,2,1,1812.8140869140625
71,2,5,0,27269,2,0,1455.988037109375
61,2,5,2,26801,2,1,1285.0101318359375
25,2,5,2,13017,1,0,879.1416015625
14,1,0,0,11128,1,2,841.5697021484375
46,1,0,1,19691,1,0,769.8213500976562
73,1,1,1,38243,2,2,1721.8736572265625
13,2,1,3,22411,1,0,1056.12109375
17,2,2,1,22302,2,2,1442.377685546875
34,2,5,0,28964,1,1,542.73583984375
79,2,0,2,40630,2,2,1670.5821533203125
26,1,0,2,21871,2,1,1385.66748046875
1,2,2,0,13888,1,1,897.436279296875
10,1,0,1,16783,0,0,569.67626953125
95,1,4,5,50945,2,1,1679.6046142578125
69,1,4,3,40184,1,1,972.2533569335938
27,1,5,7,48838,1,0,999.5390625
66,1,2,1,32677,2,0,688.1802368164062
54,2,2,7,50997,2,0,1131.5594482421875
76,2,4,9,73722,2,1,1122.350830078125
74,1,3,6,51845,1,1,586.09033203125
76,1,5,4,44163,2,2,1287.0885009765625
42,1,0,9,69875,2,1,1282.614013671875
58,2,4,1,23620,1,0,681.79541015625
6,2,1,0,12075,1,1,1068.1923828125
92,2,2,8,71034,2,2,1119.8936767578125
94,1,4,8,68693,1,1,1101.7071533203125
24,1,1,7,50047,2,0,1446.5289306640625
48,1,4,5,42375,2,2,1448.995849609375
6,2,5,1,21854,2,0,1726.271728515625
64,2,5,4,46620,1,1,1194.0684814453125
59,2,3,8,67205,1,0,801.9686279296875
43,2,2,4,40772,2,2,786.6813354492188
91,1,5,7,67164,1,1,1002.8211669921875
94,2,2,2,33072,2,0,1324.1209716796875
67,1,5,9,64685,2,0,1534.0850830078125
95,1,5,3,43482,2,1,1567.2308349609375
55,2,3,7,61822,2,2,1091.15771484375
4,1,3,0,9778,2,0,2117.533935546875
2,1,0,0,14286,1,1,1323.867919921875
8,2,1,1,16657,0,2,602.9611206054688
40,1,3,8,60222,1,2,979.4647827148438
72,1,1,3,37048,1,1,926.110107421875
71,1,4,3,34882,1,1,959.6614990234375
20,1,1,7,46247,2,0,1869.296142578125
71,1,5,6,46141,1,1,853.0648803710938
73,1,3,5,53766,2,1,1834.1070556640625
72,1,1,1,21780,1,1,1292.1453857421875
43,2,1,2,25857,1,2,913.0342407226562
35,2,2,6,45304,1,1,1140.02978515625
58,2,2,6,44105,1,1,1153.34228515625
44,2,5,2,33110,2,2,1688.1890869140625
58,2,5,4,41330,2,0,1431.656982421875
66,1,5,4,40586,2,1,1232.818359375
6,1,1,0,23945,1,1,1047.1846923828125
43,2,3,8,71137,1,0,695.8485717773438
63,2,4,0,20613,2,2,1762.4296875
33,2,0,0,15400,2,1,1453.5467529296875
23,1,2,3,33542,1,1,770.4225463867188
43,1,3,1,22458,1,2,787.9130249023438
42,1,2,5,52125,1,2,894.9786987304688
54,2,5,4,34401,1,0,965.3717651367188
50,1,2,5,44974,1,1,1148.6217041015625
93,1,4,0,38692,1,0,868.8004150390625
6,2,3,0,1289,1,2,651.48828125
3,2,0,0,19618,1,1,933.8158569335938
67,1,4,8,67462,2,0,1154.8621826171875
85,1,5,6,51439,1,2,901.3623657226562
92,2,5,8,68419,1,1,947.71875
29,1,1,2,25408,2,1,1962.4815673828125
8,2,4,0,13460,2,0,1678.2353515625
15,1,0,0,8659,1,2,750.2006225585938
81,2,0,0,24078,2,0,1253.04833984375
14,2,5,3,32731,1,1,1117.348388671875
91,1,2,7,66155,2,1,1411.1600341796875
71,1,2,8,58151,1,0,807.4923095703125
9,2,2,0,9117,1,1,1131.364501953125
45,2,2,4,48807,2,0,1816.1746826171875
15,2,1,8,52134,2,1,1246.8404541015625
89,1,0,0,34842,2,2,1379.62255859375
61,2,2,9,69107,2,0,1123.321533203125
85,1,5,8,66500,1,1,568.7091064453125
91,2,1,5,53307,2,2,1126.0274658203125
78,1,3,6,52917,1,1,1242.92578125
45,2,0,9,66006,2,2,1766.5736083984375
77,1,1,9,75100,1,1,943.860595703125
91,2,4,0,27874,1,0,449.7110595703125
28,1,3,7,50912,2,1,1514.3804931640625
80,2,3,2,35088,2,1,1188.3756103515625
54,1,1,0,20267,2,2,1748.3480224609375
21,2,1,5,31399,1,1,835.5331420898438
92,2,2,6,62467,2,2,1073.04443359375
35,1,1,8,61631,2,1,1408.936767578125
33,1,0,6,45099,2,2,1447.5909423828125
74,1,1,5,50485,1,0,945.7704467773438
16,2,5,6,51523,1,1,789.11083984375
19,2,1,9,55357,2,1,2045.326904296875
36,2,4,3,25106,2,1,1908.16845703125
14,1,2,4,29274,1,1,980.6134643554688
24,1,3,1,25302,1,0,741.1446533203125
63,2,5,2,39508,2,0,1553.939208984375
87,2,5,5,48184,2,2,1611.370361328125
69,1,4,2,27978,2,2,1201.501953125
37,1,1,0,14210,2,1,1724.7899169921875
54,2,0,2,32862,1,2,824.410888671875
45,2,1,9,59889,1,1,1171.5389404296875
89,2,2,0,30467,1,2,978.0092163085938
68,2,4,6,63796,2,0,1456.5870361328125
52,1,2,6,51954,1,1,972.5693359375
43,2,0,2,23149,1,1,888.4110717773438
75,1,5,1,29003,2,2,1567.63916015625
13,2,4,2,20963,0,0,508.42498779296875
63,1,2,9,60484,2,1,1427.400390625
35,1,0,0,16452,2,0,1924.435302734375
3,2,1,0,8095,1,1,695.828369140625
3,1,0,0,13683,1,2,781.8392333984375
66,1,2,7,66189,2,0,1819.078857421875
89,1,2,7,70724,2,1,1475.1929931640625
45,1,2,3,34046,2,0,2015.69384765625
59,1,4,2,40660,2,2,1885.4996337890625
62,2,0,1,36232,1,2,985.89501953125
87,2,0,6,62020,2,2,1123.094970703125
61,2,2,2,20444,2,0,1428.335693359375
42,1,1,2,20400,1,1,988.362548828125
36,1,3,8,53722,2,1,1729.6021728515625
68,1,0,5,48150,2,2,1233.6705322265625
7,1,0,1,14784,1,1,825.9390258789062
37,2,0,8,55178,2,0,1521.1978759765625
23,2,5,1,18484,1,1,1099.736083984375
63,1,5,1,21796,2,0,1147.282470703125
36,2,4,7,49304,1,0,809.494140625
0,1,1,0,11963,1,2,988.0540161132812
19,1,4,5,31043,2,1,1668.6624755859375
65,2,5,7,54401,1,1,669.78173828125
73,2,2,8,66567,2,0,1624.9935302734375
73,2,3,8,60949,1,0,977.6652221679688
87,1,4,9,73385,1,1,1045.4185791015625
47,2,3,9,72359,2,1,1481.299560546875
84,1,1,4,53915,2,0,1174.5897216796875
13,2,3,3,28414,2,0,1875.0211181640625
95,1,3,2,32250,2,1,1670.836669921875
78,2,4,4,49918,1,0,959.2313232421875
60,1,2,0,17710,2,1,1278.1531982421875
44,2,3,8,63512,2,1,1737.0882568359375
15,1,1,4,35692,1,0,713.1944580078125
87,2,0,4,47277,2,2,1035.77978515625
63,1,5,5,46523,2,0,1658.5985107421875
90,2,2,2,40067,2,1,1529.9835205078125
67,1,3,5,56254,2,0,1760.6634521484375
93,1,1,1,35669,2,0,1984.080322265625
50,1,1,9,62872,2,1,1153.20068359375
11,2,1,0,12469,1,1,998.7896728515625
22,2,2,7,51737,1,1,1105.8836669921875
64,1,4,0,26142,1,2,840.9789428710938
45,1,4,9,68379,1,1,497.1390380859375
1,1,5,0,11476,1,2,666.635986328125
66,2,0,3,44018,2,2,1081.119873046875
65,1,4,0,25369,2,2,1391.382080078125
80,2,4,9,71202,2,0,1583.453125
67,1,0,9,70445,2,0,1407.7767333984375
10,2,1,1,20203,1,1,969.3801879882812
30,1,5,4,39824,2,1,1112.9853515625
67,1,0,5,50520,2,0,2221.968017578125
79,2,4,9,69196,2,0,1488.513427734375
69,2,4,3,35701,2,2,1278.6748046875
48,2,0,5,52220,1,1,871.427490234375
68,2,1,4,38726,2,0,1721.8739013671875
34,2,3,5,38718,2,1,1766.89990234375
64,2,4,5,49573,2,1,1471.332763671875
17,2,1,7,45707,2,2,1281.869140625
28,2,2,5,37949,1,2,809.6544799804688
48,2,3,0,23510,2,2,1637.9984130859375
89,1,2,1,43337,2,1,1465.3443603515625
71,2,2,9,68659,1,1,1025.0345458984375
82,1,1,2,39989,1,1,869.95849609375
30,2,1,3,32597,2,1,1747.931640625
19,1,3,6,55511,2,2,2016.9296875
42,2,1,8,59100,1,0,604.8992919921875
89,1,4,1,38871,2,2,1677.7220458984375
12,1,1,0,9844,1,1,1021.848388671875
37,2,5,1,30700,1,1,793.861328125
62,2,1,9,60414,2,0,1169.3018798828125
63,2,3,9,59419,1,1,1093.791015625
51,2,5,6,45224,2,2,1390.8892822265625
88,1,0,0,29489,2,0,1687.4617919921875
87,2,5,8,77521,2,2,2318.159423828125
47,1,1,4,42721,2,0,1749.984130859375
15,2,0,5,34713,1,1,873.8782958984375
39,2,3,6,49993,1,0,893.9765014648438
87,2,3,8,62146,1,1,812.4241333007812
82,1,3,0,32340,1,1,685.8427734375
0,1,0,0,12683,1,2,898.3215942382812
44,2,2,9,63689,1,0,757.6009521484375
7,1,1,0,13816,1,1,1090.4346923828125
70,1,4,6,59108,2,0,1509.4088134765625
19,1,1,0,17679,1,1,1024.412109375
8,1,0,0,20078,1,1,1045.9630126953125
81,2,5,1,46207,2,2,1425.4027099609375
69,2,5,7,57429,1,1,1047.1968994140625
16,2,3,4,37020,1,1,1019.2134399414062
73,2,1,9,71613,2,0,1570.1025390625
9,2,3,1,18973,1,2,923.94189453125
9,1,3,1,17386,0,0,482.42889404296875
61,2,3,3,40642,2,2,1569.4267578125
12,1,0,1,15630,2,0,1382.97509765625
81,2,1,4,55246,2,1,1545.4786376953125
90,1,3,9,69650,2,1,1408.8944091796875
63,2,3,5,41069,2,0,1734.349853515625
37,1,1,9,66570,2,1,1492.593994140625
66,2,1,4,45238,2,2,1983.38330078125
68,1,0,1,34886,1,1,1360.40869140625
41,2,5,5,40010,1,2,954.5189208984375
53,1,3,1,34768,1,0,990.9119873046875
8,1,2,0,14666,2,1,1362.8291015625
55,2,2,1,26284,2,1,1399.42431640625
50,1,0,0,16517,2,1,1528.454345703125
94,2,2,2,46720,1,0,792.6226196289062
13,1,2,2,30454,1,2,1152.4017333984375
40,1,5,0,16611,2,1,1773.09228515625
11,1,0,0,14082,1,2,795.809326171875
38,1,4,0,22779,1,1,756.05615234375
8,2,3,0,21094,2,0,1375.292724609375
88,2,3,4,47813,1,2,928.330810546875
40,2,0,6,40709,2,0,1511.442138671875
49,2,0,1,22740,1,2,823.1187744140625
50,2,2,1,20576,2,1,1565.724365234375
76,2,0,6,51417,2,1,1419.201171875
59,2,3,5,50241,1,1,785.442138671875
93,2,2,2,39287,2,2,1555.4295654296875
94,2,1,9,82570,2,1,1868.8675537109375
75,1,4,9,62848,1,2,805.1242065429688
18,2,5,2,19874,2,2,1564.4478759765625
3,2,5,0,14494,2,2,1006.10400390625
85,1,3,5,58973,1,1,997.8051147460938
14,2,3,2,25896,1,1,861.8218994140625
87,1,5,8,69544,1,1,1064.7432861328125
70,1,2,4,55111,2,2,1436.8673095703125
1,2,3,0,11823,2,1,1784.97998046875
32,1,0,8,58398,2,1,1090.4805908203125
77,1,2,9,73456,2,0,1599.9324951171875
63,1,3,4,49728,1,2,880.630859375
48,2,0,1,23878,1,1,1024.8350830078125
72,1,5,6,57180,2,1,2480.36279296875
45,1,3,8,56163,1,1,779.6150512695312
44,1,0,7,51736,1,2,827.7899169921875
66,2,0,7,59802,1,0,756.964599609375
92,1,5,6,54391,2,0,1698.451904296875
11,2,2,0,13221,2,0,1892.502685546875
11,1,5,0,22086,1,1,728.1085815429688
35,1,5,9,58427,1,1,892.451904296875
49,2,5,1,25905,1,0,988.566162109375
93,1,1,3,42214,1,1,962.1600341796875
94,2,2,8,63159,2,2,1558.78271484375
70,1,1,6,50972,2,0,1825.1710205078125
45,2,5,8,64733,2,1,1708.25
55,2,1,4,41109,2,2,1588.2191162109375
68,2,2,7,55358,2,2,1443.8951416015625
82,1,1,6,50422,1,1,961.1572265625
79,2,4,1,29422,2,2,1557.8944091796875
45,1,4,1,27516,2,0,1948.022216796875
86,2,2,7,69674,1,2,959.993896484375
33,1,2,5,40771,1,2,983.5769653320312
21,2,1,2,22638,1,1,978.8282470703125
77,1,2,2,41606,1,2,667.9320678710938
74,2,4,1,29980,2,1,1325.155029296875
6,1,4,0,9142,1,1,1028.639892578125
49,2,5,1,29958,1,1,777.8311157226562
5,1,2,0,11389,1,2,831.8617553710938
24,2,4,3,25238,1,1,1385.49609375
83,2,4,0,18526,2,1,1835.21240234375
22,2,2,7,51291,1,2,724.4940185546875
82,1,1,4,36362,2,0,2133.30419921875
48,1,0,5,48668,1,1,976.0165405273438
67,1,4,0,28687,1,1,1283.3619384765625
41,2,1,9,62764,2,2,1441.383544921875
80,2,5,9,74695,2,0,959.0938720703125
18,2,5,6,44539,1,1,1090.42431640625
81,1,1,9,70729,1,0,970.6610717773438
76,1,2,1,31082,1,2,654.309326171875
78,1,5,0,39639,1,1,856.03955078125
8,1,1,0,20216,1,2,801.7285766601562
10,2,5,0,13967,1,0,429.29486083984375
37,2,2,4,35264,2,1,2258.486572265625
68,1,5,4,49193,2,0,2438.269775390625
40,1,0,4,38767,2,0,1993.27392578125
51,2,4,4,39496,2,0,2022.42041015625
58,2,3,4,39506,2,0,1224.81640625
46,1,0,7,51751,2,1,1427.988037109375
13,2,0,4,23275,1,1,1249.2568359375
58,2,5,6,55994,2,1,1727.46240234375
83,2,0,0,22645,2,1,1618.830078125
61,2,2,8,61530,2,2,1408.606689453125
43,2,0,0,15849,1,0,733.585205078125
38,2,1,6,41201,2,1,1787.9586181640625
92,1,2,7,69378,1,1,1053.476318359375
37,2,2,2,29459,1,0,623.7283325195312
65,2,0,9,62593,1,1,881.3453369140625
51,2,2,2,21793,1,0,797.0603637695312
88,2,3,9,74381,2,2,1553.7703857421875
29,1,4,1,30795,1,2,966.0779418945312
43,2,1,3,27157,1,1,936.9036865234375
77,2,1,5,55943,1,1,1385.9365234375
47,2,0,1,25549,2,0,1413.80224609375
42,1,1,2,30499,2,2,1441.888916015625
63,2,3,4,40928,1,0,765.3551635742188
48,2,5,8,67553,2,1,1063.5615234375
33,2,1,3,23839,1,1,1461.145263671875
49,1,1,2,20268,2,1,1310.7935791015625
72,2,1,7,59268,2,2,1796.544677734375
55,1,4,6,50402,2,1,2090.928955078125
57,1,4,7,49451,2,0,1556.16064453125
61,1,5,7,55459,2,0,1930.5902099609375
11,1,4,0,5001,1,1,524.46728515625
33,2,2,4,33720,2,2,1072.280029296875
28,2,3,9,51933,2,2,1618.1085205078125
2,2,0,0,6535,1,0,796.333740234375
34,1,1,0,18926,2,1,1278.130126953125
83,2,3,7,58408,2,2,1591.111328125
80,2,0,7,70544,2,0,1362.1007080078125
66,2,1,2,24697,1,1,745.9745483398438
63,2,2,1,22581,1,1,877.7152099609375
14,1,4,3,21320,1,0,1069.752197265625
86,2,2,5,52998,2,0,1243.478759765625
90,2,1,5,51451,2,1,1663.0211181640625
90,1,0,6,65519,1,1,1058.24658203125
4,1,0,0,11420,1,1,1109.0213623046875
86,1,4,0,35144,2,0,1083.62646484375
67,2,5,5,52316,2,2,1785.087890625
28,1,3,8,56141,2,2,1218.708984375
82,1,4,6,56196,1,1,1152.764404296875
48,1,3,3,38198,2,1,1491.0303955078125
33,2,4,7,51198,1,1,734.4754638671875
56,2,1,0,23314,2,1,1762.5047607421875
69,1,0,2,38492,1,1,771.620849609375
95,1,0,6,62176,1,1,998.0294189453125
83,1,2,0,29193,2,1,1304.7010498046875
49,1,2,0,25646,1,1,1043.8763427734375
89,1,1,7,63609,2,1,2048.3740234375
89,2,4,4,52121,1,2,612.0137329101562
34,1,4,2,33659,2,2,1952.51611328125
67,2,0,6,59785,1,1,669.9735717773438
29,1,1,8,52635,1,1,729.0697021484375
46,1,4,4,43387,1,0,966.8798217773438
22,1,3,6,42277,2,1,1608.451904296875
9,1,2,0,9359,1,2,971.6351318359375
23,2,0,0,13248,2,2,1997.2769775390625
58,2,5,8,63603,2,0,1832.698486328125
79,1,0,5,52513,2,0,1350.941650390625
60,2,5,4,36354,2,1,1583.8641357421875
22,1,2,6,50780,2,2,1253.1795654296875
79,1,3,3,41942,2,1,1237.9697265625
85,1,0,2,43252,2,0,1555.3577880859375
57,1,2,4,41294,1,2,829.9703369140625
7,1,1,1,13143,1,0,658.636962890625
6,2,3,1,17638,2,0,1950.0355224609375
28,2,0,2,36315,2,0,1498.2615966796875
20,2,0,8,53298,1,1,913.8687133789062
87,1,0,7,68384,2,0,1478.2318115234375
14,1,3,3,17660,1,0,863.574951171875
66,1,4,7,52339,1,0,836.0082397460938
52,2,0,7,56099,2,1,1775.4093017578125
55,2,2,1,20228,2,2,1464.5382080078125
65,1,1,5,42840,2,1,1702.4407958984375
40,1,0,5,32325,1,2,970.8560791015625
87,1,5,3,44382,2,0,1623.5706787109375
54,1,1,4,43678,2,1,1643.291259765625
78,2,2,4,39305,2,1,1065.050048828125
20,1,3,3,25677,2,0,1468.2529296875
26,1,3,9,58250,2,1,1725.7025146484375
6,2,2,1,18894,2,1,1599.7159423828125
44,2,1,0,19478,1,1,1011.6572875976562
27,2,3,8,56673,1,1,882.540771484375
39,1,4,1,24996,2,1,1613.78125
18,2,5,0,12608,2,1,1756.578857421875
72,1,1,0,21095,2,1,1424.121826171875
78,2,4,6,59093,2,0,1277.4417724609375
67,1,4,7,49828,2,0,2090.199951171875
68,1,2,3,38801,2,1,1452.697265625
66,2,4,2,28609,2,1,1653.7421875
74,1,5,7,50886,1,2,944.820556640625
74,2,2,8,62055,1,0,868.9353637695312
60,1,1,4,43768,2,2,1772.4443359375
59,2,3,9,76395,1,1,747.98974609375
