SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
2,1,1,2,0,9,15,1,N,2
1,1,1,1,N,N,24,1,N,2
2,1,1,1,8,7,3,1,N,2
2,1,3,1,N,12,69,1,N,2
1,6,1,1,0,9,66,1,N,2
2,1,6,1,4,9,69,1,N,2
1,6,1,0,6,5,78,1,N,2
2,6,6,2,9,7,46,3,N,2
1,3,2,1,7,5,46,1,N,2
1,4,1,2,N,9,35,1,N,2
1,N,1,2,2,8,38,1,N,2
2,1,1,2,N,9,11,1,N,2
1,1,1,1,0,5,45,1,N,2
1,N,1,1,7,3,73,1,N,2
2,4,8,1,7,4,20,1,N,2
1,4,2,2,N,6,42,1,N,2
2,1,1,2,0,11,80,1,N,2
2,6,1,1,3,10,22,1,N,2
1,6,2,2,7,10,37,1,N,2
1,6,1,0,1,7,47,1,N,2
2,6,8,1,0,9,72,1,N,2
2,6,3,2,7,4,26,1,N,2
2,N,2,1,9,7,51,1,N,2
1,1,1,0,0,4,38,1,N,1
2,1,2,1,N,4,76,1,N,2
1,5,1,0,0,7,76,1,N,2
2,3,2,1,2,5,41,1,N,2
1,6,9,1,2,7,30,1,N,2
1,6,2,2,2,8,16,2,N,2
1,6,3,1,3,7,3,1,N,2
1,N,1,1,9,7,26,1,N,2
1,N,2,2,0,4,39,1,N,2
2,N,6,1,1,4,31,1,N,2
2,3,8,0,3,3,75,1,N,2
2,6,1,1,2,7,51,1,N,2
1,1,1,1,1,2,28,1,N,2
1,2,2,1,5,4,30,1,N,2
1,6,1,0,7,5,10,1,N,2
1,6,1,1,4,5,54,1,N,2
1,6,1,1,1,7,21,1,N,2
1,3,2,1,5,7,53,1,N,2
2,5,1,1,8,9,87,1,N,2
1,1,2,1,9,1,28,1,N,2
2,6,6,2,8,7,69,1,N,2
1,6,1,1,0,7,10,1,N,2
1,1,2,2,1,7,3,1,N,2
2,6,8,1,N,7,74,1,N,2
1,1,1,2,N,10,65,1,N,2
2,4,1,1,4,10,71,1,N,1
2,1,1,1,1,N,8,3,N,2
2,4,2,1,7,1,33,1,N,2
2,6,1,1,6,10,74,1,N,2
2,2,1,1,3,7,52,1,N,2
1,1,9,0,5,5,38,1,N,2
2,6,1,2,3,4,72,1,N,2
1,N,2,2,0,9,73,1,N,2
1,1,1,2,6,8,69,1,N,2
1,5,1,1,5,9,55,1,N,2
2,6,2,1,7,2,53,2,N,2
1,5,2,1,7,2,95,1,N,2
1,1,1,2,6,9,4,1,N,2
1,1,1,1,8,7,44,1,N,2
1,6,1,1,N,1,45,1,N,2
2,4,1,1,4,12,14,1,N,2
2,N,1,1,9,9,16,1,N,2
2,1,1,1,6,4,12,1,N,2
2,1,1,1,5,5,13,1,N,2
2,6,6,1,N,8,70,1,N,2
1,4,1,2,8,7,77,1,N,2
2,1,1,1,N,4,60,1,N,2
2,6,1,2,1,5,46,2,N,2
1,1,2,1,9,9,9,1,N,2
1,5,1,1,3,7,76,1,N,2
1,6,6,0,N,4,65,1,N,2
2,6,1,1,N,3,23,1,N,2
1,1,1,1,0,9,66,1,N,2
2,1,1,2,9,5,19,1,N,2
1,6,1,2,3,9,79,3,N,2
1,N,2,0,2,N,55,1,N,2
1,6,6,1,9,5,11,1,N,2
1,6,2,2,5,5,28,1,N,2
1,1,1,2,N,7,60,1,N,2
1,1,1,1,9,5,19,1,N,2
2,1,1,2,8,10,17,1,N,2
1,1,2,1,6,5,69,3,N,2
1,1,2,1,4,5,12,1,N,2
1,1,1,2,3,4,54,1,N,2
1,N,1,0,N,9,30,2,N,2
2,6,6,1,3,2,13,1,N,2
1,6,2,1,9,8,61,1,N,2
1,6,2,1,0,11,29,1,N,2
1,6,1,1,N,7,29,2,N,2
1,6,1,2,9,3,64,1,N,2
2,1,1,1,N,N,49,1,N,2
2,6,2,2,6,3,27,1,N,2
2,1,2,1,3,2,48,1,N,2
1,4,1,2,2,5,4,1,N,2
1,N,1,2,9,8,51,1,N,2
1,1,1,1,N,10,28,1,N,2
1,6,3,2,N,11,42,1,N,2
2,1,1,1,7,12,4,1,N,2
2,N,1,2,N,7,44,1,N,2
1,1,1,1,9,8,38,1,N,2
2,1,1,2,0,9,83,1,N,2
2,6,2,1,3,5,27,1,N,2
2,1,1,2,9,6,51,3,N,2
2,N,1,1,N,4,22,1,N,2
2,6,1,1,2,4,14,1,N,2
2,6,1,1,N,7,37,1,N,2
2,1,1,1,N,3,50,1,N,2
1,1,1,2,8,5,44,1,N,2
2,6,2,1,N,9,83,1,N,2
2,6,2,2,9,7,21,1,N,2
2,N,2,1,0,10,20,1,N,2
2,6,2,1,4,5,63,1,N,2
2,6,8,1,2,5,43,1,N,2
2,3,1,1,6,5,15,1,N,2
1,1,6,1,8,5,43,1,N,2
2,1,2,2,N,10,36,1,N,2
1,1,6,2,4,9,32,1,N,2
1,3,2,2,8,3,61,1,N,2
1,6,2,2,9,9,27,1,N,2
1,6,6,2,0,3,54,2,N,2
2,3,2,0,8,5,77,1,N,2
2,1,1,2,1,9,5,1,N,2
1,6,1,2,2,2,29,3,N,2
2,1,6,1,2,11,0,1,N,2
2,1,1,2,1,7,3,1,N,2
1,5,1,2,2,7,17,1,N,2
2,1,1,2,1,3,6,1,N,2
2,6,1,1,3,N,25,1,N,2
2,6,6,2,1,4,61,1,N,2
1,4,1,2,2,11,16,1,N,2
2,1,1,2,9,7,66,1,N,2
2,4,6,1,0,7,1,1,N,2
2,N,2,1,9,10,42,1,N,2
2,1,1,1,2,3,31,1,N,2
1,1,1,1,6,12,33,1,N,2
1,2,6,1,9,10,49,1,N,2
1,1,6,2,1,9,8,1,N,2
2,1,1,1,8,4,15,1,N,2
2,1,1,1,N,1,86,1,N,2
2,6,1,1,9,8,74,1,N,2
2,6,6,1,5,7,20,1,N,2
2,6,1,1,8,10,22,1,N,2
1,4,2,1,9,3,58,1,N,2
1,6,3,2,N,4,0,1,N,2
1,N,2,1,6,9,19,1,N,2
1,N,1,1,7,11,17,1,N,2
1,N,2,2,2,7,66,1,N,2
1,1,2,1,7,3,41,1,N,2
2,4,2,0,9,9,23,1,N,2
1,3,2,2,0,3,15,1,N,2
1,1,1,0,2,9,3,1,N,1
2,1,6,2,1,10,62,1,N,2
2,N,6,2,7,5,28,1,N,2
2,4,1,2,5,9,66,1,N,2
1,1,1,2,0,7,76,1,4,2
2,1,1,1,5,8,37,1,N,2
2,6,9,1,2,10,43,1,N,2
2,4,1,2,3,9,31,1,N,2
1,1,2,1,0,9,59,1,N,2
2,1,1,1,0,9,66,1,N,2
1,N,2,2,5,7,69,1,N,2
1,3,1,1,9,3,32,3,N,2
1,6,1,2,2,10,39,1,N,2
1,6,2,1,9,2,41,1,N,2
1,1,1,2,4,8,15,1,N,2
1,N,9,1,8,1,43,1,N,2
2,6,2,1,9,5,62,1,N,2
2,1,1,2,8,5,37,1,N,2
2,1,1,2,N,9,36,1,N,2
2,N,2,1,7,11,4,1,N,2
2,N,1,1,6,5,30,1,N,2
2,1,6,2,7,N,34,3,N,2
2,1,2,1,6,5,64,1,N,2
1,6,3,1,9,4,30,1,N,2
2,6,1,2,0,5,13,1,N,2
2,N,3,2,4,5,15,1,N,2
2,1,6,1,1,5,16,1,N,2
1,1,2,2,5,5,13,1,N,2
2,5,1,1,0,9,4,1,N,2
1,6,2,1,2,12,38,1,N,2
2,1,1,2,7,9,52,1,N,2
1,6,1,2,9,9,65,1,N,2
2,6,1,1,N,7,18,1,N,2
1,6,1,1,6,N,35,1,N,2
1,6,1,2,0,9,32,1,N,2
1,4,2,1,8,8,51,1,N,2
1,4,1,2,0,5,57,1,N,2
1,N,2,1,N,3,26,1,N,2
1,6,9,1,0,4,83,1,N,2
2,1,1,1,6,8,34,1,N,2
2,6,1,1,5,10,15,1,N,2
1,6,1,1,N,1,85,1,N,2
2,N,9,2,1,3,61,1,N,2
2,6,6,1,2,8,29,1,N,2
1,6,2,2,9,3,64,1,N,2
2,3,1,1,5,2,54,1,N,2
2,6,1,1,0,4,10,1,N,2
2,N,6,1,0,4,26,1,N,2
2,4,9,2,9,2,44,2,N,2
1,6,8,2,N,10,69,1,N,2
2,6,2,2,N,8,13,1,N,2
1,1,3,1,N,9,42,1,N,2
2,1,1,1,9,3,54,1,N,2
2,N,1,2,2,5,3,1,N,2
1,6,1,1,N,6,31,1,N,1
1,1,1,1,0,N,32,1,N,2
1,6,8,1,8,11,22,1,N,2
1,3,1,1,7,9,6,3,N,2
1,1,2,2,0,7,14,1,N,2
1,6,1,1,1,10,79,1,N,2
1,1,6,1,4,N,40,1,N,2
2,1,2,2,8,9,67,1,N,2
2,4,2,1,7,3,81,1,N,2
1,6,2,1,9,2,64,1,N,2
2,1,2,1,0,4,71,1,N,2
1,6,1,2,6,9,20,1,N,2
2,1,1,2,8,7,18,1,N,2
1,6,6,2,1,10,59,1,N,2
1,N,1,1,2,1,36,1,N,2
2,1,2,0,2,9,40,1,N,2
2,N,2,1,3,1,9,1,N,2
2,N,8,1,8,9,54,1,N,2
1,1,1,1,8,7,46,1,N,2
1,1,2,1,0,11,63,1,N,2
2,6,1,1,5,4,76,1,N,2
2,6,6,1,8,8,32,1,N,2
1,N,1,0,6,7,62,1,N,2
2,1,2,1,3,N,8,1,N,2
1,6,2,2,6,10,85,1,N,2
2,6,1,1,N,5,2,1,N,2
1,6,1,2,1,9,40,1,N,2
2,1,1,2,8,7,5,1,N,2
2,4,2,1,9,12,49,1,N,2
2,1,1,2,6,N,10,1,N,2
1,6,1,1,0,7,21,1,N,2
1,1,1,2,9,10,56,1,N,2
2,6,2,1,9,9,14,1,N,1
1,6,6,1,5,3,85,3,N,2
2,6,1,1,9,3,69,1,N,2
2,6,1,2,8,10,5,1,N,2
1,6,1,1,N,3,41,1,N,2
2,6,1,1,N,2,21,1,N,2
2,1,1,1,9,4,43,1,N,2
1,N,1,2,6,5,15,1,N,2
1,6,1,1,8,4,45,1,N,2
1,2,2,1,N,9,31,1,N,2
2,1,1,1,4,8,64,1,N,2
1,1,1,2,4,3,72,1,N,2
2,3,2,0,N,8,28,1,N,2
1,1,1,1,1,3,7,1,N,2
1,4,1,1,4,5,18,2,N,2
2,6,8,0,N,1,52,1,N,2
2,1,1,2,3,7,13,1,N,2
2,N,2,1,7,9,31,1,N,2
1,1,1,2,1,9,59,1,N,2
2,6,1,1,9,9,27,1,N,2
2,6,1,1,7,7,75,1,N,2
1,1,1,1,4,7,0,1,N,2
1,N,1,1,5,10,28,1,N,2
2,N,1,2,9,5,33,1,N,2
1,1,1,2,9,8,25,1,N,2
2,4,1,1,8,10,1,1,N,2
2,3,1,1,7,10,23,1,N,2
1,6,1,1,2,10,18,1,N,2
2,1,2,1,4,5,71,1,N,2
2,3,2,2,0,9,54,1,N,2
1,6,2,1,8,9,27,1,N,2
2,1,2,1,7,9,63,1,N,2
1,4,1,1,N,7,40,1,N,2
1,4,2,1,8,2,37,1,N,2
1,3,1,2,3,10,32,1,N,2
1,N,1,2,3,7,6,1,N,2
2,1,1,2,7,9,77,1,N,2
1,1,1,1,0,1,65,1,N,2
1,1,2,2,9,5,30,1,N,2
1,6,1,1,5,7,59,1,N,2
2,1,1,2,N,5,67,1,N,2
1,N,1,1,4,7,68,1,N,2
2,N,2,2,5,6,77,1,N,2
2,N,1,2,4,5,3,1,N,2
2,3,1,0,9,8,8,1,N,2
1,1,1,0,6,3,28,1,N,2
2,N,1,2,0,7,15,1,N,2
2,6,1,2,6,10,61,1,N,2
2,1,2,1,6,3,60,1,N,2
1,6,2,2,4,9,44,1,N,2
2,6,2,2,4,8,53,1,N,2
1,4,1,2,9,9,7,1,N,2
1,1,1,1,3,10,35,1,N,2
1,1,3,1,2,3,48,1,N,2
1,1,1,2,5,3,23,1,N,2
1,1,3,2,9,4,24,1,N,2
1,N,1,2,9,10,63,1,N,2
1,1,2,1,9,7,18,1,N,2
2,1,2,2,1,4,30,3,N,2
1,1,6,1,2,11,21,1,N,2
2,N,2,1,0,11,59,1,N,2
1,1,1,2,4,8,34,1,N,2
2,1,1,1,9,11,27,1,N,2
2,6,1,1,N,7,45,1,N,2
1,1,1,2,8,5,54,1,N,2
2,6,2,2,6,5,54,3,N,2
2,N,1,1,2,3,36,1,N,2
2,5,1,1,N,9,17,1,N,2
2,1,1,0,N,9,65,1,N,2
1,1,6,1,0,11,44,1,N,2
2,N,1,1,5,4,10,1,N,2
2,6,6,1,N,9,36,1,N,2
1,1,1,2,N,9,45,1,N,2
1,1,1,2,9,9,79,1,N,2
2,N,1,0,0,4,57,1,N,2
1,3,1,1,5,5,67,1,N,2
2,1,1,1,4,7,64,1,N,2
1,6,1,1,0,12,20,1,N,2
2,3,3,2,4,3,48,1,N,2
2,1,5,2,2,7,54,1,N,2
2,3,1,1,4,N,27,1,N,2
1,4,1,2,8,5,44,1,N,2
2,4,2,1,4,5,26,1,N,2
2,3,1,1,2,3,40,1,N,2
2,N,1,1,0,4,21,1,N,2
1,6,1,2,4,8,57,1,N,2
2,6,1,2,4,5,76,1,N,1
2,6,1,2,N,7,36,1,N,2
1,1,1,1,5,3,29,1,N,2
2,N,1,1,9,8,1,1,N,2
2,4,2,1,6,11,24,1,N,2
2,4,2,1,5,4,33,1,N,2
2,N,6,1,N,3,50,1,N,2
2,1,1,0,0,9,57,1,N,2
2,2,6,1,3,9,78,1,N,2
2,4,1,1,N,10,44,1,N,2
1,4,1,2,5,9,25,1,N,2
2,3,1,2,4,1,26,1,N,2
2,6,1,1,2,7,41,1,N,2
2,6,1,1,0,9,1,1,N,2
2,6,1,2,N,9,86,1,N,2
2,3,1,2,8,3,87,3,N,2
1,1,1,1,9,4,7,1,N,1
2,4,1,2,4,7,25,1,N,2
1,3,8,1,4,4,55,1,N,2
2,3,1,1,4,9,22,1,N,2
2,6,1,1,N,2,23,1,N,2
2,N,1,1,2,5,53,1,N,2
1,1,1,0,7,10,45,1,N,2
2,N,1,1,2,2,0,1,N,2
1,1,1,1,3,4,8,1,N,2
1,3,2,2,6,7,38,1,N,2
2,3,8,2,7,3,34,1,N,2
2,1,1,1,4,8,52,1,N,2
2,1,1,2,9,8,49,1,N,2
2,N,2,0,4,9,23,1,N,2
1,N,1,1,3,9,34,1,N,2
2,6,1,2,7,6,36,1,N,2
1,3,1,2,4,9,80,1,N,2
1,1,1,1,0,5,19,1,N,2
2,1,2,1,N,11,40,1,N,2
1,1,2,1,9,4,71,1,N,2
2,4,2,2,N,4,3,1,N,2
2,2,1,0,6,4,36,1,N,2
1,1,1,0,5,10,83,1,N,2
2,1,2,1,6,8,32,1,N,2
1,N,1,2,N,9,88,1,N,2
1,6,1,0,5,9,72,1,N,2
1,4,2,1,2,4,82,1,N,2
1,6,8,1,3,2,18,1,N,2
2,3,2,2,N,7,79,1,N,2
1,6,1,1,3,4,85,1,N,2
2,N,2,1,4,1,28,1,N,2
1,1,9,2,3,9,15,1,N,2
2,1,1,2,9,5,67,1,N,2
2,1,1,0,3,7,31,1,N,2
1,6,1,1,0,9,68,1,N,2
2,6,1,1,4,9,65,3,N,2
2,6,1,2,8,11,3,1,N,2
1,1,1,1,0,3,68,1,N,2
1,6,2,1,1,7,45,1,N,2
2,1,9,1,3,10,60,1,N,2
1,4,2,2,0,9,59,1,N,2
2,4,2,2,7,7,49,3,N,2
2,1,1,2,6,7,29,1,N,2
2,6,2,1,1,3,8,1,N,1
1,1,2,1,9,9,65,1,N,2
2,1,6,2,0,9,65,1,N,2
2,1,2,1,3,3,36,1,N,1
2,1,2,1,4,10,15,1,N,2
1,6,2,2,5,12,4,1,N,2
1,N,1,2,9,10,34,3,N,2
2,1,2,2,7,10,75,1,N,2
2,N,1,1,3,4,40,1,N,2
2,4,1,1,4,5,25,1,N,2
2,6,1,0,N,7,12,1,N,2
1,1,1,2,9,3,26,1,N,2
1,6,9,1,9,8,58,1,N,2
1,6,1,1,6,7,17,1,N,2
2,3,1,2,2,1,72,1,N,2
1,4,1,1,1,3,21,1,N,2
1,6,9,0,9,7,11,1,N,2
1,1,1,1,7,5,5,1,N,2
1,6,6,1,5,3,62,1,N,2
1,3,8,0,N,N,45,1,N,2
2,6,1,2,2,9,15,1,N,2
1,N,1,2,2,9,76,1,N,2
1,3,1,1,7,3,64,1,N,2
1,6,6,1,4,9,24,1,N,2
1,6,1,1,N,2,33,1,N,2
2,3,1,1,8,10,20,1,N,2
2,6,1,1,3,8,73,1,N,2
2,N,1,1,9,12,19,1,N,2
1,4,1,2,2,4,37,1,4,2
1,6,9,2,2,10,19,1,N,2
1,1,2,2,N,7,71,1,N,2
2,N,8,1,N,3,19,1,N,2
2,1,9,1,4,7,13,3,N,2
1,1,1,1,3,4,41,1,N,2
2,4,3,1,9,11,28,1,N,2
2,N,1,1,2,3,61,1,N,2
2,2,2,1,8,7,64,1,N,2
1,N,6,1,2,3,28,1,N,1
1,1,1,0,0,12,64,1,N,2
1,4,1,2,0,9,37,1,N,2
1,4,2,1,0,3,35,1,N,2
1,3,2,2,4,8,59,1,N,2
1,N,1,1,N,9,33,1,N,2
2,1,1,1,5,4,13,1,N,2
1,4,2,2,8,9,68,1,N,2
2,1,1,2,7,7,67,1,N,2
2,1,1,1,2,7,65,1,N,2
1,1,6,2,3,10,4,1,N,2
1,6,1,1,1,7,8,1,N,2
2,2,2,1,3,9,16,1,N,2
2,1,3,2,4,5,16,1,N,2
2,1,2,2,5,3,24,1,N,2
2,4,1,2,9,3,54,1,N,2
1,1,2,2,6,9,64,1,N,2
1,1,2,1,1,4,54,1,N,2
2,4,9,1,0,12,66,1,N,2
2,2,1,1,9,8,5,1,N,2
1,6,2,1,3,10,32,1,N,2
1,1,1,1,3,11,25,1,N,1
2,N,1,2,2,N,22,1,N,2
2,1,1,1,0,5,14,1,N,2
2,1,1,0,2,7,68,1,N,1
2,1,2,1,7,8,60,1,N,2
1,1,2,1,1,9,46,1,N,2
1,6,1,0,2,4,15,1,N,2
2,N,2,1,N,9,56,1,N,2
1,1,2,2,9,5,64,1,N,2
1,6,1,1,2,7,57,1,N,2
2,4,6,2,9,3,13,1,N,2
1,6,2,1,5,3,52,1,N,2
1,2,3,2,0,4,62,1,N,2
1,1,1,1,7,9,36,1,N,2
1,6,8,0,7,9,12,1,N,1
2,1,2,1,N,8,5,1,N,2
2,N,1,2,3,5,56,1,N,2
1,N,1,2,0,7,56,1,N,2
2,1,2,2,0,4,44,1,N,2
2,N,2,1,7,4,73,1,N,2
1,6,1,0,9,7,80,3,2,2
2,N,1,1,5,7,39,3,N,2
2,6,1,2,6,7,49,1,N,2
2,1,1,1,3,1,65,1,N,2
1,1,2,2,N,10,19,1,N,2
2,6,2,1,N,8,1,1,N,2
1,6,1,1,8,11,9,1,N,2
2,4,1,2,2,11,53,1,N,2
1,N,1,2,0,5,40,1,N,2
2,2,1,2,N,12,34,1,N,2
2,6,9,1,1,10,28,1,N,2
2,1,1,1,6,3,29,1,N,2
2,6,1,1,2,6,64,1,N,2
1,4,2,1,8,7,0,1,N,2
2,N,2,1,5,9,7,1,N,2
2,6,2,2,1,10,57,1,N,2
1,6,2,2,7,7,23,1,N,2
2,6,2,1,4,10,56,1,N,2
2,1,1,1,4,12,50,1,N,2
1,6,1,1,N,3,73,1,N,2
1,1,3,2,4,1,37,1,N,2
2,1,5,1,N,11,10,1,N,2
2,3,2,1,5,7,57,2,N,2
2,N,2,1,9,9,58,1,N,2
2,1,1,2,7,4,49,1,N,2
1,N,2,1,9,2,60,1,N,2
2,1,1,1,N,1,89,1,N,2
2,4,2,2,9,12,24,1,N,2
1,1,8,0,N,10,29,1,N,2
2,6,1,0,1,5,57,1,N,2
2,1,1,1,9,7,32,3,N,2
2,6,2,1,4,5,45,1,N,2
2,N,2,1,0,10,39,1,N,2
2,1,2,1,1,8,6,1,N,2
2,1,2,0,7,9,24,1,N,2
2,6,1,2,6,7,2,1,N,2
1,N,1,1,5,9,87,1,N,2
1,6,1,2,N,9,3,1,N,2
2,N,2,0,8,5,30,1,N,2
1,6,3,2,N,3,93,2,N,2
2,1,1,2,0,7,72,1,N,2
2,6,1,2,5,7,30,1,3,2
2,6,1,0,N,2,18,1,N,2
2,6,1,1,2,9,8,1,N,1
1,1,1,1,9,9,74,1,N,2
1,6,1,1,8,9,59,1,N,2
2,1,1,0,N,10,48,1,N,2
2,N,2,1,7,4,33,1,N,1
2,4,2,1,1,4,0,2,N,2
1,N,1,2,8,12,44,1,N,2
1,1,2,0,N,8,69,1,N,2
1,4,2,2,0,7,46,1,N,2
1,N,2,1,5,3,54,1,N,2
1,N,1,0,0,6,45,1,N,2
1,6,2,1,5,5,35,1,N,2
1,3,3,1,8,4,20,1,N,2
2,1,1,2,9,11,46,1,N,2
1,1,2,2,8,9,32,1,N,2
2,N,1,0,1,4,30,1,N,2
1,5,1,1,4,9,36,1,N,2
2,6,1,1,2,N,18,1,N,2
2,N,2,1,8,9,26,1,N,2
2,1,1,1,3,6,34,1,N,2
2,1,2,1,0,9,2,2,N,2
2,6,1,1,2,N,46,1,N,2
2,1,2,2,3,5,0,1,N,2
2,1,1,1,8,5,67,2,N,2
1,4,1,1,5,9,0,1,N,2
1,6,6,0,4,5,69,1,N,2
2,1,8,2,6,3,45,1,N,2
2,6,2,1,2,N,74,1,N,2
1,N,2,2,7,7,66,1,N,2
1,1,6,1,N,7,30,2,1,2
2,N,1,1,4,9,9,1,N,2
1,4,9,1,N,3,19,2,N,2
1,4,1,1,3,5,57,1,N,2
2,1,1,2,2,9,28,1,N,2
2,6,1,1,3,5,68,3,N,2
1,6,1,1,7,7,17,1,N,2
1,6,1,2,5,5,22,3,N,2
1,5,2,1,5,11,31,1,N,2
1,3,2,2,9,10,15,1,N,2
2,N,2,1,8,2,12,1,N,2
1,6,6,0,N,3,6,1,N,2
1,2,2,2,9,5,20,1,N,2
1,4,9,1,8,10,32,3,N,2
2,1,2,1,8,7,12,1,N,2
