,SEX,RAC1P,EDU,MSP,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
60,1,7,5,6,0,2,0
61,1,8,1,2,6,1,2
62,1,1,7,1,7,1,1
63,1,2,3,1,1,1,1
64,1,7,3,6,2,1,2
65,1,1,7,6,6,1,1
66,2,1,5,5,1,3,2
67,2,9,3,4,3,2,0
68,1,3,5,1,1,1,1
69,1,2,4,1,6,1,0
70,1,1,4,3,7,1,1
71,1,2,4,5,5,1,0
72,1,1,5,1,0,1,1
73,2,6,5,1,8,1,0
74,2,1,9,3,5,2,0
75,1,2,5,6,5,1,2
76,1,1,9,6,5,1,2
77,2,8,2,5,3,1,0
78,1,1,3,2,1,1,1
79,1,1,3,3,4,1,2
80,1,5,3,4,8,1,0
81,2,1,5,5,8,1,0
82,1,7,5,1,6,1,1
83,2,1,10,6,7,1,2
84,1,1,7,2,0,1,2
85,2,1,5,6,6,1,2
86,1,1,2,1,7,1,1
87,2,1,5,3,7,3,0
88,1,1,2,2,9,2,2
89,1,1,3,3,4,1,1
90,1,9,6,6,0,1,1
91,2,9,12,1,2,1,0
92,1,1,7,6,8,1,1
93,1,1,5,6,5,1,1
94,1,8,7,6,1,1,2
95,1,1,7,6,0,3,2
96,1,4,12,5,2,2,2
97,1,1,4,4,0,1,2
98,2,1,5,6,4,1,2
99,1,1,8,4,1,1,2
100,1,1,3,1,3,2,0
101,1,6,3,6,8,1,2
102,1,1,6,3,0,3,0
103,2,1,4,3,0,3,0
104,1,1,7,4,0,1,2
105,2,1,4,3,5,1,1
106,1,2,1,2,0,1,0
107,1,1,7,1,8,1,0
108,2,1,3,6,4,1,0
109,1,1,4,6,3,1,1
110,1,1,1,1,9,1,0
111,2,1,5,6,5,1,0
112,1,3,3,2,1,1,1
113,2,1,3,2,0,1,0
114,1,1,7,2,6,1,0
115,2,1,3,1,1,1,2
116,1,6,1,1,1,1,1
117,1,1,10,4,5,1,2
118,1,6,8,3,3,1,0
119,1,7,10,1,3,1,2
120,2,1,7,3,7,1,0
121,1,9,7,1,5,3,2
122,2,1,5,1,9,1,0
123,2,9,1,2,7,1,0
124,1,1,5,4,1,1,0
125,1,1,6,1,6,1,0
126,2,1,8,6,3,1,2
127,1,2,5,6,6,1,1
128,2,1,5,6,4,1,0
129,1,9,5,6,5,1,1
130,2,1,9,5,8,1,0
131,1,1,4,3,4,1,0
132,1,1,7,2,9,1,2
133,2,1,5,6,6,1,2
134,1,6,5,6,9,1,1
135,2,1,5,6,9,1,2
136,1,1,5,6,1,1,1
137,1,1,1,5,8,1,1
138,1,1,4,6,8,1,1
139,1,2,6,3,2,3,2
140,1,2,9,5,3,1,1
141,2,1,12,3,5,1,2
142,2,2,4,3,3,1,2
143,1,1,7,6,7,2,2
144,2,1,8,1,0,1,0
145,2,1,3,4,7,1,0
146,1,1,5,5,2,3,1
147,2,1,1,2,1,1,1
148,2,1,5,5,4,1,1
149,1,1,6,5,3,3,1
150,1,1,5,5,3,3,0
151,2,1,5,1,4,1,1
152,1,7,2,5,9,1,0
153,1,8,5,6,1,1,2
154,2,1,8,6,9,3,2
155,1,2,5,2,1,2,2
156,1,3,7,5,4,1,1
157,1,1,5,1,5,1,1
158,1,1,5,1,6,1,1
159,2,2,7,6,1,2,2
160,2,1,5,4,5,1,0
161,1,7,5,1,3,1,2
162,1,8,7,1,7,1,0
163,1,1,9,6,6,2,1
164,2,2,2,4,9,1,1
165,2,1,7,5,2,1,2
166,1,2,3,1,7,1,2
167,1,1,3,2,1,1,0
168,1,8,7,4,1,2,0
169,2,2,5,1,7,1,0
170,1,1,8,6,1,1,2
171,1,1,5,4,3,1,2
172,1,1,7,4,1,1,1
173,1,1,7,6,4,1,1
174,1,1,8,4,2,1,1
175,1,1,4,3,7,1,2
176,2,1,5,3,3,1,1
177,2,2,6,2,0,1,1
178,2,1,5,3,2,1,2
179,1,9,7,4,6,1,0
180,1,9,2,3,7,1,0
181,2,1,5,1,9,1,0
182,1,1,10,6,9,1,1
183,2,9,9,6,7,3,2
184,2,1,12,4,4,1,2
185,1,1,3,2,0,1,0
186,2,2,8,6,4,2,1
187,2,8,1,1,7,1,0
188,2,1,9,1,1,1,0
189,2,1,5,2,1,1,0
190,1,1,1,1,0,1,0
191,1,1,5,3,6,1,1
192,1,1,7,1,9,1,2
193,1,1,1,3,5,1,0
194,1,2,1,1,5,1,0
195,1,8,6,1,5,1,0
196,2,2,9,6,7,1,2
197,2,1,8,3,7,2,2
198,1,1,7,2,6,2,1
199,1,1,3,1,1,1,1
200,1,1,5,1,6,1,0
201,1,1,8,1,6,1,1
202,2,2,4,2,3,1,0
203,2,2,10,3,1,1,2
204,2,1,7,3,8,1,0
205,1,1,8,1,5,1,2
206,1,1,1,2,2,1,2
207,1,1,5,1,4,1,1
208,1,1,3,4,3,1,1
209,1,1,7,5,0,1,1
210,2,1,3,1,0,2,0
211,2,2,6,3,8,1,0
212,1,1,8,3,3,2,0
213,1,1,5,1,1,1,2
214,2,1,11,2,2,2,1
215,2,1,5,6,1,3,1
216,2,5,1,3,7,1,2
217,1,1,8,1,7,1,1
218,2,1,8,5,7,1,1
219,1,7,3,2,8,1,2
220,2,9,5,4,5,1,0
221,1,8,5,1,2,3,0
222,1,1,6,1,6,1,2
223,1,1,8,5,3,1,2
224,2,1,10,6,6,1,2
225,1,5,4,3,6,1,1
226,1,1,10,6,5,1,1
227,2,2,6,1,5,3,1
228,2,1,5,2,1,1,0
229,1,5,2,5,3,1,0
230,2,6,7,6,4,1,2
231,1,1,3,1,1,1,1
232,1,1,5,1,0,1,2
233,1,6,4,6,2,1,0
234,1,1,7,2,6,1,1
235,1,1,6,4,3,1,2
236,1,1,8,6,8,1,1
237,1,1,5,1,4,1,2
238,1,5,2,1,9,1,0
239,2,6,8,4,1,1,1
240,2,2,7,6,5,3,2
241,1,1,5,4,9,1,2
242,1,8,2,5,1,1,0
243,1,1,3,2,1,1,2
244,1,1,9,4,9,1,1
245,1,8,1,2,1,1,1
246,2,1,3,6,8,1,1
247,1,1,9,6,7,1,2
248,1,9,4,6,9,1,0
249,1,9,2,5,4,3,1
250,1,2,4,4,4,1,1
251,1,1,6,5,8,1,1
252,2,9,7,6,2,1,0
253,2,1,8,4,2,1,1
254,1,5,7,6,8,3,0
255,1,1,7,6,4,2,2
256,1,1,2,1,4,1,0
257,1,1,8,3,7,1,2
258,1,1,3,3,6,1,2
259,1,1,5,4,7,1,1
260,2,6,4,3,2,3,2
261,2,1,4,6,3,1,2
262,1,1,7,4,3,3,0
263,2,9,7,5,9,1,2
264,2,1,2,2,1,1,1
265,2,8,1,1,1,1,1
266,2,8,8,1,5,1,0
267,2,1,3,2,0,1,0
268,1,8,3,4,7,1,2
269,1,1,9,1,4,1,2
270,1,1,6,6,9,1,1
271,2,1,8,2,6,2,0
272,1,1,5,6,2,1,2
273,2,1,8,1,1,1,1
274,2,6,5,3,8,1,0
275,1,1,9,3,6,2,0
276,2,2,2,2,0,1,0
277,2,8,3,1,5,1,2
278,1,5,5,2,7,1,1
279,2,1,5,2,7,1,0
280,1,1,2,5,8,2,2
281,2,1,7,1,9,1,2
282,1,1,5,1,7,1,1
283,2,1,4,2,1,1,0
284,2,1,4,1,7,1,1
285,1,1,3,6,7,1,1
286,1,1,3,1,1,1,0
287,1,1,7,6,2,1,0
288,1,1,7,6,3,1,2
289,2,1,9,3,5,1,0
290,2,1,8,2,2,1,0
291,2,1,9,4,5,3,1
292,1,2,3,2,1,1,1
293,2,1,7,1,4,1,1
294,2,1,1,1,0,1,0
295,2,1,7,5,5,1,1
296,1,6,5,1,5,1,0
297,1,1,6,2,1,3,0
298,1,1,4,4,7,1,0
299,2,1,5,1,5,1,0
300,1,1,5,6,3,3,0
301,1,7,10,1,4,1,2
302,2,1,6,2,5,2,2
303,2,1,9,4,8,1,0
304,1,1,10,6,8,1,2
305,1,1,12,3,7,1,0
306,2,1,5,2,7,1,0
307,2,1,3,2,8,1,0
308,1,1,4,4,4,1,1
309,1,1,8,2,8,1,2
310,1,1,4,6,1,1,2
311,2,2,4,2,5,1,0
312,1,7,1,2,1,2,2
313,2,7,10,6,5,1,1
314,2,2,7,6,4,1,0
315,1,8,5,6,3,1,1
316,1,1,3,4,3,1,0
317,1,1,5,1,8,3,2
318,1,1,4,2,5,1,0
319,1,8,5,3,7,1,1
320,1,1,7,6,0,1,1
321,2,9,2,2,1,1,2
322,2,1,1,1,1,1,1
323,1,1,8,6,1,2,1
324,2,1,9,1,1,1,0
325,2,1,7,6,3,3,1
326,1,1,9,6,7,1,2
327,1,1,4,4,4,2,0
328,1,1,7,1,0,1,0
329,1,2,7,3,6,1,0
330,2,2,6,1,4,1,0
331,2,6,8,1,0,1,0
332,1,5,9,6,8,1,2
333,1,1,5,6,5,1,2
334,2,8,6,6,7,1,2
335,1,2,1,1,1,1,1
336,2,1,2,3,4,3,0
337,1,6,9,2,4,1,0
338,2,2,3,4,0,1,1
339,1,9,3,5,3,1,0
340,2,1,6,5,0,3,0
341,1,9,1,3,2,1,0
342,1,1,8,3,5,1,0
343,1,1,11,4,5,1,0
344,1,2,2,1,9,3,1
345,2,1,9,6,6,2,2
346,1,2,1,1,1,1,1
347,1,6,5,2,7,1,0
348,1,1,4,3,6,1,0
349,2,1,10,1,1,1,2
350,1,1,5,1,4,1,2
351,2,2,4,5,1,1,0
352,2,9,10,3,6,1,0
353,1,1,5,1,8,1,1
354,1,8,2,4,7,1,2
355,1,1,3,2,1,1,0
356,1,1,2,1,1,1,1
357,2,1,3,2,0,1,0
358,2,6,7,5,2,1,2
359,1,1,10,3,5,1,0
360,1,1,8,1,7,1,0
361,1,8,3,3,5,1,2
362,2,1,8,2,3,1,1
363,1,1,4,1,3,1,0
364,2,1,3,1,1,1,0
365,1,2,3,2,0,1,0
366,1,1,3,2,8,1,2
367,2,1,5,6,9,1,0
368,2,1,1,5,0,3,0
369,1,2,8,2,4,1,1
370,1,1,5,6,7,2,2
371,2,1,1,5,1,1,2
372,2,2,8,4,6,2,2
373,1,9,10,1,6,1,0
374,1,6,4,6,4,1,1
375,1,1,5,4,6,1,2
376,2,1,3,1,1,1,0
377,1,9,2,4,9,1,1
378,1,1,4,4,8,1,2
379,1,2,7,5,9,2,2
380,2,9,7,4,6,1,0
381,2,1,11,1,3,2,2
382,2,1,3,2,1,1,1
383,1,1,3,2,1,1,1
384,1,9,4,4,7,1,0
385,1,7,3,6,7,1,1
386,2,1,1,6,2,1,0
387,1,1,5,2,3,1,2
388,1,1,4,1,2,1,0
389,1,8,4,3,0,1,0
390,2,1,1,2,1,1,2
391,2,1,2,2,1,1,2
392,2,3,3,5,3,1,0
393,1,2,5,6,1,1,1
394,2,2,1,4,3,1,0
395,2,1,8,6,0,3,1
396,1,8,1,1,7,1,0
397,1,1,1,4,9,1,0
398,1,1,8,2,9,1,2
399,1,1,2,2,5,1,0
400,2,1,10,5,6,1,2
401,2,1,2,2,0,1,0
402,1,1,5,6,7,3,2
403,1,1,8,6,1,1,1
404,2,1,5,1,6,1,2
405,2,2,11,1,5,1,0
406,2,1,5,2,0,1,2
407,1,5,4,4,1,1,0
408,1,1,6,5,9,2,2
409,1,1,7,1,8,1,2
410,1,1,1,6,4,1,0
411,1,1,1,3,4,1,0
412,1,9,5,1,2,2,0
413,1,2,4,4,0,1,2
414,1,6,1,4,3,1,2
415,2,1,5,2,7,1,2
416,1,1,2,1,2,1,0
417,1,1,8,5,3,2,0
418,1,1,8,6,9,1,2
419,1,2,2,1,1,1,1
420,2,2,7,5,7,1,1
421,2,3,12,6,1,2,0
422,2,1,8,2,6,3,2
423,1,8,11,5,1,1,0
424,1,9,3,1,0,1,0
425,2,9,3,4,1,3,0
426,2,4,5,2,3,1,0
427,2,1,12,1,8,1,0
428,2,5,12,1,1,1,1
429,1,1,7,6,5,1,2
430,2,8,8,6,6,3,1
431,1,5,10,4,7,1,1
432,2,2,5,6,7,2,2
433,1,1,3,4,5,1,0
434,2,6,9,1,7,1,1
435,2,7,8,6,5,1,2
436,1,6,7,3,6,1,2
437,1,9,3,2,1,1,0
438,1,9,6,1,9,1,0
439,2,1,3,3,1,2,1
440,2,1,3,6,3,1,1
441,1,1,9,1,9,1,1
442,1,1,4,2,9,1,0
443,1,8,3,4,9,2,1
444,1,1,7,3,1,2,0
445,2,2,5,1,1,1,0
446,2,1,3,1,2,1,2
447,2,1,8,2,7,1,0
448,1,1,1,3,8,1,1
449,1,9,6,3,0,2,0
450,1,1,8,6,5,1,0
451,2,6,4,3,8,3,1
452,1,1,7,1,2,1,0
453,1,1,3,2,5,1,1
454,2,9,7,5,5,1,2
455,1,1,3,4,7,1,2
456,1,1,5,6,4,1,2
457,2,1,5,6,6,1,2
458,1,1,4,4,2,1,0
459,1,1,9,1,2,1,1
460,1,1,7,5,3,1,1
461,2,2,1,1,9,1,0
462,2,1,7,2,0,1,2
463,2,5,5,5,5,1,0
464,2,1,6,4,3,1,1
465,1,1,4,3,0,1,1
466,2,9,1,1,7,1,1
467,1,9,10,6,8,1,2
468,1,1,2,2,3,1,0
469,2,2,4,4,2,1,1
470,1,1,7,1,5,1,1
471,2,1,12,6,4,3,1
472,2,1,5,2,3,1,1
473,1,8,5,2,0,2,2
474,1,1,8,6,7,3,0
475,1,7,5,1,8,1,1
476,1,1,4,1,8,1,1
477,1,1,6,1,1,1,0
478,2,1,6,1,9,1,0
479,1,9,3,6,2,1,2
480,1,9,4,1,4,1,1
481,2,1,5,1,9,1,1
482,1,1,6,6,3,1,2
483,2,1,8,4,2,1,0
484,1,1,8,1,6,1,2
485,1,1,9,4,7,1,0
486,1,1,4,1,5,1,1
487,2,6,11,6,9,2,1
488,1,1,4,3,1,1,1
489,2,1,7,5,6,2,2
490,2,1,9,5,6,2,0
491,2,6,6,5,9,2,2
492,2,2,1,5,4,1,1
493,1,1,5,3,1,3,2
494,1,1,1,5,8,1,0
495,2,3,6,1,9,1,1
496,1,6,7,6,3,2,2
497,1,7,9,1,8,1,1
498,1,1,3,6,8,1,2
499,1,1,3,2,1,1,0
500,1,7,7,5,7,2,0
501,1,1,3,2,1,1,1
502,2,1,7,1,4,1,0
503,2,8,4,1,2,1,2
504,1,1,2,3,1,1,1
505,1,1,6,5,3,1,2
506,1,1,1,1,1,1,2
507,2,1,7,1,6,1,2
508,1,8,3,6,2,1,2
509,1,1,3,1,1,1,1
510,1,8,6,1,6,1,0
511,1,9,1,1,9,1,1
512,1,1,3,1,1,1,1
513,1,2,4,6,9,1,0
514,1,1,4,5,1,3,2
515,1,1,5,1,2,1,2
516,1,1,4,1,7,1,0
517,1,1,7,6,7,1,2
518,1,1,5,6,5,3,1
519,2,2,2,2,6,1,2
520,1,1,7,6,9,1,2
521,1,1,4,4,9,1,2
522,2,1,5,3,9,1,2
523,1,1,5,6,6,1,0
524,1,2,3,4,2,1,1
525,1,1,9,1,6,1,1
526,1,1,5,2,3,1,0
527,1,1,4,4,1,1,1
528,2,9,10,4,6,1,0
529,1,1,5,1,4,1,0
530,1,1,5,3,1,3,0
531,2,1,1,2,0,1,0
532,1,1,5,1,0,1,2
533,2,1,6,3,5,1,0
534,1,1,6,1,7,1,0
535,1,1,5,4,8,1,2
536,1,1,5,5,6,1,1
537,2,1,1,2,2,3,0
538,1,1,5,6,7,2,2
539,2,2,7,1,8,1,0
540,1,1,7,3,7,1,1
541,1,1,6,1,0,1,2
542,1,1,5,6,5,1,2
543,2,1,8,6,8,1,2
544,1,1,1,5,3,1,0
545,1,1,1,2,0,1,0
546,1,1,10,1,8,1,1
547,2,9,10,2,9,1,1
548,1,1,8,3,0,3,0
549,1,1,4,4,4,1,0
550,1,1,4,2,6,2,1
551,2,8,3,5,8,1,0
552,2,1,12,3,7,1,0
553,2,1,5,6,6,1,0
554,2,1,5,2,7,1,1
555,2,1,5,1,6,1,0
556,2,1,8,6,5,2,2
557,1,1,5,2,6,1,1
558,1,1,5,1,6,1,1
559,2,1,2,2,1,1,1
560,1,1,5,6,6,3,2
561,1,1,7,2,5,1,0
562,2,1,3,6,3,1,1
563,2,1,6,2,9,1,0
564,1,1,5,4,0,2,0
565,1,1,8,4,0,1,2
566,1,1,4,2,6,1,1
567,1,1,8,5,4,2,2
568,2,2,7,5,5,1,0
569,1,2,1,2,7,1,2
570,2,1,7,5,0,1,1
571,1,1,5,2,4,1,0
572,2,1,5,4,2,2,0
573,2,8,6,6,3,3,2
574,2,1,8,2,2,3,0
575,1,9,6,1,9,1,0
576,1,1,2,2,1,1,1
577,1,1,3,1,1,1,1
578,1,5,3,1,2,1,1
579,1,1,5,4,2,1,1
580,1,1,7,2,4,1,1
581,1,1,11,1,5,1,0
582,1,2,3,1,1,1,1
583,1,2,8,3,1,1,1
584,2,1,5,6,8,3,1
585,1,1,4,4,9,2,2
586,2,8,1,4,3,1,2
587,1,2,7,1,7,1,0
588,1,1,5,1,5,1,0
589,1,1,5,4,6,2,2
590,1,1,5,6,7,1,1
591,2,2,2,1,0,2,0
592,2,9,5,4,1,1,0
593,1,8,2,4,6,1,0
594,2,1,7,6,6,1,0
595,1,9,10,2,8,3,2
596,1,1,5,1,9,1,1
597,1,1,8,1,5,1,2
598,1,1,7,3,8,1,1
599,2,1,10,1,9,1,0
600,2,2,8,4,4,3,1
601,2,1,7,4,1,3,0
602,1,1,4,3,3,2,2
603,2,1,5,1,5,1,0
604,1,1,5,4,3,1,2
605,1,5,5,1,6,1,2
606,1,1,7,2,6,1,0
607,2,1,7,3,8,1,0
608,2,1,8,3,8,1,2
609,1,1,4,6,3,1,0
610,2,1,7,2,1,1,2
611,2,1,4,1,6,1,1
612,1,1,8,1,8,1,0
613,1,1,6,1,3,1,0
614,1,1,9,5,4,1,0
615,1,1,10,6,5,1,1
616,1,1,7,1,6,1,1
617,1,1,11,4,3,1,2
618,1,1,4,6,9,1,2
619,2,1,5,6,8,1,0
620,2,9,3,1,1,1,0
621,1,1,5,6,5,1,2
622,2,3,1,1,1,1,2
623,2,1,8,3,7,1,0
624,2,1,3,1,0,1,0
625,1,8,7,2,9,1,2
626,2,1,3,2,0,1,0
627,1,8,3,2,2,3,0
628,1,8,7,1,6,1,1
629,1,1,3,5,1,1,1
630,1,1,3,4,6,3,2
631,1,1,8,1,8,1,1
632,1,7,4,1,0,1,1
633,2,1,3,3,1,2,0
634,2,2,3,2,7,1,0
635,2,1,4,2,3,1,2
636,1,1,4,1,3,2,2
637,2,1,3,2,0,1,0
638,2,1,6,2,8,1,0
639,1,7,4,5,0,1,0
640,1,2,6,4,0,3,0
641,1,8,3,4,7,1,2
642,1,1,4,5,2,1,1
643,1,1,8,1,8,1,2
644,2,1,2,2,4,1,2
645,1,1,5,3,7,3,2
646,1,1,6,1,4,1,1
647,2,9,8,5,4,1,0
648,1,1,5,4,9,1,1
649,2,2,4,2,7,3,1
650,2,8,4,5,0,1,0
651,2,8,12,5,6,1,1
652,1,1,3,4,8,1,0
653,2,1,5,1,8,1,0
654,1,1,5,1,1,1,2
655,1,1,2,1,3,1,2
656,2,1,5,5,6,1,1
657,2,1,6,3,2,1,2
658,1,1,4,6,7,3,1
659,1,5,6,3,4,2,0
660,1,8,3,4,2,1,1
661,2,1,3,3,0,1,2
662,1,1,7,1,0,1,1
663,1,2,5,3,1,1,0
664,1,5,4,6,3,1,2
665,2,1,5,6,9,1,0
666,1,1,11,4,6,2,0
667,1,2,8,5,6,1,2
668,2,1,8,6,5,1,2
669,2,1,1,2,4,1,0
670,2,8,7,1,6,1,0
671,1,9,7,3,6,1,0
672,2,2,2,1,8,1,1
673,1,1,8,3,6,1,1
674,1,1,3,3,3,1,0
675,1,1,4,3,5,1,2
676,1,1,3,2,1,1,0
677,2,1,3,3,0,2,1
678,1,1,4,4,8,1,1
679,1,1,3,4,6,1,0
680,2,6,2,2,1,1,1
681,1,1,5,3,7,3,1
682,2,6,8,4,6,1,2
683,1,8,5,6,4,1,1
684,2,1,7,1,3,1,1
685,1,2,12,1,3,1,0
686,1,1,5,4,2,2,0
687,2,1,4,1,7,1,0
688,1,1,3,4,4,1,0
689,1,8,2,2,2,1,2
690,1,6,8,4,1,3,1
691,2,1,8,4,0,3,2
692,1,2,7,1,7,1,0
693,2,1,7,2,5,1,1
694,2,9,8,1,1,1,1
695,2,1,7,1,6,1,0
696,1,1,5,6,8,1,0
697,1,1,4,2,5,2,1
698,1,1,1,1,1,1,0
699,2,6,3,2,0,1,0
700,1,1,5,3,6,1,1
701,1,1,4,4,2,3,0
702,2,6,5,5,0,2,1
703,2,1,9,4,7,1,0
704,1,1,11,3,2,1,0
705,2,1,6,2,1,1,2
706,2,1,3,4,0,2,2
707,1,2,7,1,6,1,0
708,2,1,3,4,8,1,2
709,1,6,5,1,3,2,0
710,2,2,7,4,2,1,0
711,2,2,2,2,1,1,1
712,1,6,8,6,2,2,0
713,1,1,4,4,3,2,0
714,1,7,4,1,5,1,0
715,2,9,8,4,9,1,0
716,1,1,5,1,8,1,2
717,1,9,9,2,6,2,1
718,1,1,11,4,7,1,1
719,1,8,7,6,2,1,2
720,2,1,9,4,8,1,0
721,1,1,2,1,1,1,0
722,1,1,1,2,1,1,1
723,1,1,3,3,5,3,0
724,1,8,11,3,7,1,2
725,1,1,5,1,9,1,1
726,1,1,7,1,8,1,0
727,1,1,3,1,3,1,2
728,1,1,5,3,5,1,2
729,1,1,5,5,3,1,2
730,1,9,9,6,7,2,2
731,2,1,2,5,0,1,1
732,1,1,8,1,4,1,2
733,1,1,5,1,5,1,0
734,2,1,3,3,4,3,0
735,1,1,2,5,2,1,0
736,2,1,9,5,7,1,0
737,1,2,6,4,4,3,0
738,1,8,10,2,7,2,1
739,2,1,5,3,5,3,0
740,2,1,9,2,2,2,0
741,1,7,5,1,0,1,1
742,1,1,3,1,1,1,0
743,1,1,7,5,2,2,0
744,2,2,1,4,8,1,2
745,1,8,3,4,1,1,2
746,1,1,5,4,5,1,1
747,1,1,4,2,8,1,1
748,1,8,9,2,6,2,0
749,2,1,9,6,6,1,2
750,2,3,7,2,7,1,2
751,2,2,1,2,9,1,2
752,1,2,1,2,5,1,2
753,1,1,5,6,5,1,2
754,1,1,3,2,2,2,2
755,2,1,5,5,5,2,0
756,2,2,2,6,2,2,2
757,2,1,9,4,6,3,1
758,2,2,2,1,0,1,0
759,1,6,5,5,1,2,0
760,1,6,7,2,8,1,2
761,1,1,7,6,1,3,2
762,1,9,2,5,2,3,2
763,1,5,12,4,7,3,1
764,1,1,6,6,8,1,2
765,2,1,5,5,6,1,1
766,1,2,7,6,2,1,0
767,2,1,3,2,0,1,0
768,2,1,4,5,4,3,2
769,2,2,6,6,5,1,0
770,1,1,3,4,1,1,1
771,2,1,3,2,2,1,1
772,1,2,4,1,9,1,1
773,2,1,7,6,7,1,1
774,1,8,1,4,3,1,1
775,2,1,5,3,6,1,0
776,1,1,7,2,9,1,0
777,2,1,1,2,1,1,0
778,2,1,6,2,5,1,0
779,2,1,3,1,0,1,0
780,2,1,5,6,6,3,2
781,2,1,8,1,2,3,2
782,2,1,1,1,5,1,0
783,1,1,7,1,6,3,0
784,2,1,3,1,0,1,0
785,1,1,9,1,7,1,1
786,1,1,5,1,3,1,1
787,2,6,12,6,5,1,1
788,1,7,5,5,0,2,2
789,1,1,5,6,7,3,0
790,2,1,7,5,0,1,1
791,2,2,4,3,8,1,2
792,2,1,7,4,3,2,2
793,2,1,10,6,4,1,1
794,2,1,3,1,0,1,0
795,2,2,11,6,7,1,0
796,2,1,7,3,9,1,2
797,1,2,8,5,3,2,2
798,1,1,3,1,1,1,0
799,1,9,9,5,1,2,0
800,2,9,4,4,5,2,0
801,2,9,6,4,8,2,2
802,1,1,9,4,4,1,0
803,1,1,7,2,0,1,1
804,2,1,4,4,3,1,2
805,1,9,8,1,2,1,0
806,2,6,7,3,2,1,2
807,2,1,8,1,1,2,2
808,1,1,8,6,3,1,1
809,1,1,7,1,0,3,0
810,2,1,5,5,1,3,1
811,1,1,2,2,1,1,0
812,1,1,8,2,2,1,0
813,1,1,7,5,8,1,2
814,1,8,3,2,3,1,1
815,2,1,5,2,4,2,0
816,2,1,6,6,6,1,2
817,1,1,8,3,0,3,0
818,2,1,6,6,4,3,2
819,2,1,7,3,0,1,0
820,1,1,3,3,5,1,0
821,1,8,8,2,2,1,0
822,1,8,2,1,1,1,1
823,2,9,9,2,7,1,0
824,2,8,1,5,3,1,2
825,2,1,3,1,8,1,0
826,2,1,4,6,3,1,2
827,2,1,5,2,3,1,2
828,1,4,6,4,5,1,1
829,1,8,6,6,6,3,2
830,1,2,3,4,0,1,2
831,2,3,4,6,5,1,1
832,2,2,1,2,0,1,0
833,1,8,6,2,8,1,1
834,1,1,6,2,9,1,1
835,2,1,12,4,6,3,1
836,2,8,3,2,9,1,1
837,1,2,6,2,6,2,0
838,1,9,6,6,0,1,1
839,1,1,5,1,1,1,2
840,1,1,4,3,2,1,2
841,1,1,6,1,3,1,2
842,1,8,4,4,9,1,2
843,1,1,6,1,9,1,2
844,2,8,6,5,3,1,2
845,2,9,7,5,4,3,1
846,1,1,4,1,1,1,2
847,2,1,1,1,9,3,0
848,2,9,3,6,6,1,0
849,2,1,4,6,5,2,0
850,2,1,1,3,3,1,0
851,1,9,7,6,4,1,1
852,1,2,8,1,9,1,2
853,2,1,7,2,3,1,1
854,1,9,2,1,0,1,0
855,1,1,5,4,5,1,0
856,1,6,2,2,1,1,0
857,2,8,7,6,7,1,2
858,1,1,5,6,7,1,1
859,1,9,5,4,7,1,0
860,2,1,7,1,3,3,1
861,2,1,5,6,4,3,2
862,2,1,3,2,1,1,1
863,2,1,7,5,0,3,2
864,2,1,7,2,6,1,0
865,1,1,3,3,4,1,2
866,2,8,7,6,5,3,2
867,2,1,3,2,0,2,0
868,1,1,8,5,2,2,1
