,SEX,RAC1P,EDU,MSP,PINCP_DECILE,OWN_RENT,HOUSING_TYPE
60,1,1,4,1,2,1,2
61,1,1,5,1,5,1,2
62,2,1,5,4,8,1,2
63,1,2,5,1,1,1,2
64,1,2,10,5,5,1,2
65,1,1,3,2,3,1,2
66,1,6,5,5,7,1,2
67,2,4,5,5,5,1,2
68,1,1,3,1,2,1,2
69,1,1,9,1,2,1,1
70,2,1,9,4,2,0,1
71,2,1,3,1,3,0,2
72,1,7,4,1,7,1,1
73,2,1,5,1,4,1,1
74,1,1,5,2,1,1,3
75,2,2,4,3,2,2,1
76,1,1,9,4,2,0,3
77,2,1,9,3,2,1,1
78,1,1,7,1,3,0,2
79,2,1,5,2,1,2,3
80,2,9,9,6,3,0,1
81,2,1,5,6,2,0,1
82,2,1,7,4,5,1,2
83,2,2,8,6,4,2,2
84,2,1,5,4,0,1,1
85,1,2,4,6,3,0,3
86,2,1,1,6,1,2,2
87,2,1,4,6,2,1,1
88,2,1,7,3,0,2,3
89,1,5,5,1,2,1,1
90,2,7,3,1,0,0,1
91,2,2,3,3,6,1,1
92,2,2,6,4,6,1,2
93,2,5,5,2,1,1,1
94,2,1,6,1,1,1,2
95,2,1,5,1,3,2,2
96,2,1,3,5,5,2,2
97,1,1,9,1,2,1,1
98,2,2,3,6,4,0,3
99,2,5,8,6,4,0,1
100,1,1,8,4,2,0,2
101,1,2,5,5,6,1,2
102,1,4,3,6,9,0,3
103,1,1,9,6,0,0,1
104,2,1,7,4,5,2,2
105,1,1,5,5,0,0,1
106,1,1,6,2,6,1,2
107,2,2,5,1,1,1,1
108,2,1,9,6,7,0,2
109,2,1,9,1,3,1,1
110,2,5,7,4,2,1,1
111,1,1,2,5,3,1,2
112,2,1,6,4,1,1,1
113,1,5,7,6,4,1,2
114,1,2,4,6,0,2,2
115,1,1,3,6,4,2,2
116,1,1,5,2,1,1,1
117,1,2,5,1,6,1,1
118,2,2,2,6,2,0,1
119,1,9,9,3,6,0,1
120,1,2,5,5,7,1,2
121,2,1,7,4,2,1,1
122,1,1,1,2,0,1,1
123,1,1,5,5,2,0,2
124,2,1,2,3,0,0,1
125,2,1,8,4,2,0,2
126,1,6,9,4,4,0,1
127,1,2,5,3,1,1,1
128,2,1,5,2,2,2,2
129,1,1,6,1,6,1,1
130,2,1,12,2,0,1,1
131,1,1,4,3,3,0,1
132,2,1,7,5,3,2,2
133,1,2,6,4,4,1,2
134,2,1,5,3,1,1,1
135,2,2,6,4,1,1,2
136,2,2,5,6,0,2,2
137,1,2,2,5,6,2,2
138,2,1,6,4,2,1,1
139,1,1,9,4,6,0,1
140,1,1,7,1,0,1,1
141,2,1,5,6,4,2,2
142,2,6,9,3,2,0,1
143,2,1,5,1,1,1,1
144,2,1,2,2,5,1,1
145,1,1,5,1,1,1,1
146,1,1,5,4,3,1,1
147,2,8,5,1,1,1,1
148,1,1,5,5,4,2,2
149,1,2,5,4,1,1,2
150,2,1,3,2,5,2,2
151,1,8,5,6,3,2,2
152,1,1,5,2,3,1,2
153,1,1,9,1,0,1,1
154,2,1,9,3,0,0,1
155,1,2,3,3,3,1,2
156,1,1,6,1,6,1,2
157,1,2,8,4,3,1,2
158,1,1,4,1,2,2,2
159,1,8,5,6,1,2,2
160,1,1,2,1,0,1,1
161,2,4,7,4,5,1,2
162,2,2,7,1,1,2,2
163,1,1,10,2,7,1,1
164,1,1,5,4,2,1,2
165,1,1,9,2,4,1,1
166,1,1,9,1,4,1,1
167,2,1,5,5,2,1,1
168,2,1,5,2,6,1,1
169,2,8,8,2,2,2,1
170,1,2,8,3,3,1,2
171,2,8,6,3,1,2,1
172,1,1,9,1,2,1,1
173,1,9,9,3,4,0,1
174,1,1,9,4,1,0,1
175,2,1,5,4,0,1,2
176,2,5,5,2,3,1,2
177,2,1,8,1,5,2,2
178,1,2,10,5,0,2,2
179,2,1,5,1,2,1,1
180,2,6,9,3,4,0,1
181,1,1,9,5,3,0,1
182,1,1,4,1,5,1,2
183,1,9,9,3,9,0,1
184,2,5,2,2,2,1,1
185,1,7,2,1,2,0,1
186,2,2,8,4,3,2,2
187,1,1,2,3,4,0,1
188,1,1,9,2,4,2,1
189,1,5,2,2,4,0,1
190,2,5,7,6,4,2,2
191,1,1,1,6,2,1,2
192,1,2,2,1,1,0,1
193,1,1,9,1,2,1,1
194,1,6,9,5,0,0,1
195,2,6,9,6,0,0,1
196,2,1,3,2,0,2,2
197,2,1,3,2,1,2,2
198,1,1,6,4,2,1,1
199,1,1,4,5,0,2,2
200,1,1,9,4,0,0,1
201,2,1,9,3,1,0,1
202,1,5,2,5,0,1,1
203,1,7,7,5,2,2,2
204,1,1,5,4,1,1,2
205,1,1,3,5,1,2,2
206,1,1,10,1,2,1,1
207,2,1,5,1,7,0,2
208,1,2,1,5,6,0,3
209,2,1,9,1,4,1,1
210,1,1,5,2,0,1,2
211,1,1,9,4,3,0,1
212,2,1,3,2,4,2,2
213,2,2,5,1,3,2,2
214,2,9,9,4,8,1,1
215,1,1,8,3,3,2,2
216,2,1,2,2,5,1,1
217,2,1,9,3,3,0,1
218,1,1,4,5,2,2,2
219,2,1,4,2,8,1,2
220,2,8,2,1,4,0,1
221,1,1,3,3,4,0,1
222,2,6,9,6,4,1,1
223,2,1,7,2,3,2,1
224,2,1,8,3,6,2,2
225,2,1,10,1,1,2,1
226,1,1,5,6,2,2,2
227,1,1,5,6,2,0,1
228,2,1,2,4,1,0,2
229,2,2,3,2,1,0,3
230,2,9,9,4,4,1,1
231,1,1,8,1,1,1,1
232,2,1,8,3,2,2,2
233,2,1,2,1,1,1,1
234,2,1,3,5,0,2,2
235,1,5,2,6,6,2,2
236,2,1,3,4,7,1,2
237,2,1,5,6,2,0,1
238,2,6,5,1,0,2,2
239,2,1,4,2,0,2,2
240,2,8,8,2,2,2,1
241,2,1,5,1,3,1,1
242,1,1,2,6,6,1,2
243,2,1,11,1,3,1,1
244,1,1,9,1,6,1,1
245,1,1,8,1,0,2,2
246,2,3,3,6,1,2,2
247,2,2,2,6,2,2,2
248,2,1,4,5,2,1,2
249,2,1,5,6,2,0,1
250,1,2,2,6,6,2,2
251,2,4,9,3,6,1,2
252,2,9,9,1,3,1,1
253,2,8,11,2,0,1,1
254,2,1,5,1,5,1,1
255,2,1,5,2,2,1,2
256,2,3,2,5,6,1,1
257,2,8,5,2,1,1,1
258,2,1,5,6,1,1,2
259,1,2,4,1,6,1,2
260,1,1,4,6,2,1,1
261,2,5,4,4,0,1,2
262,1,1,9,4,7,0,1
263,2,2,9,1,0,1,1
264,2,1,7,2,5,2,2
265,1,1,7,2,3,0,1
266,2,1,5,2,3,1,2
267,2,1,7,4,4,1,2
268,2,1,9,3,2,1,1
269,1,5,2,1,3,1,1
270,2,1,9,6,1,2,2
271,2,1,9,4,3,0,1
272,1,1,4,3,0,2,2
273,2,1,4,1,1,1,3
274,2,2,4,1,0,0,1
275,1,9,9,3,3,1,1
276,1,1,4,5,2,0,1
277,1,2,4,6,1,0,1
278,1,1,7,5,1,1,2
279,2,7,9,5,3,0,1
280,2,5,7,1,1,0,1
281,2,1,10,3,3,2,1
282,2,1,6,5,1,0,2
283,2,6,5,2,4,2,2
284,1,1,9,1,5,1,1
285,2,6,3,3,3,2,2
286,2,1,9,3,2,0,1
287,2,2,5,2,5,1,2
288,2,1,4,6,0,0,2
289,1,5,5,3,0,1,1
290,1,1,7,4,5,1,1
291,1,1,8,6,1,2,2
292,1,2,5,2,0,1,1
293,2,1,12,6,1,2,2
294,1,1,12,6,5,2,2
295,2,1,3,2,1,1,1
296,1,3,6,1,1,1,1
297,2,1,5,6,2,0,1
298,1,1,1,5,5,0,3
299,1,1,5,5,4,2,2
300,1,1,5,4,0,2,2
301,2,1,5,5,1,1,2
302,1,1,7,2,2,1,2
303,2,1,5,1,6,1,1
304,1,9,9,5,4,1,1
305,2,5,9,1,4,1,1
306,2,1,3,3,6,1,1
307,2,1,2,1,1,0,1
308,2,1,6,5,5,1,2
309,2,6,9,4,2,0,1
310,2,1,9,2,5,2,2
311,2,2,3,3,1,2,2
312,2,1,4,5,2,2,2
313,2,1,9,6,3,1,1
314,1,2,9,1,4,0,2
315,2,2,1,1,7,1,2
316,2,7,9,4,4,1,1
317,2,1,9,4,1,0,1
318,1,1,5,3,2,2,1
319,2,1,9,1,0,1,1
320,2,1,9,1,1,1,1
321,1,5,5,6,5,2,2
322,2,7,7,3,2,1,1
323,2,1,5,2,1,1,1
324,2,1,4,6,4,1,1
325,2,1,5,5,2,1,2
326,2,1,11,5,2,0,1
327,1,2,7,6,8,1,2
328,2,1,5,2,2,2,1
329,2,1,3,5,4,1,2
330,2,6,9,3,0,0,1
331,2,9,9,4,1,0,1
332,1,1,10,4,7,1,2
333,1,1,3,1,2,0,1
334,2,1,9,1,3,1,1
335,2,2,11,3,2,1,2
336,1,2,5,3,1,1,1
337,1,6,3,2,6,2,2
338,1,1,5,3,4,1,2
339,1,1,2,3,4,0,1
340,1,1,8,6,2,2,2
341,2,1,9,3,0,1,1
342,1,2,5,4,1,1,1
343,2,2,9,6,3,1,1
344,2,4,9,6,1,0,1
345,2,7,6,4,6,1,2
346,2,1,7,1,0,2,2
347,2,1,9,3,2,0,1
348,2,1,9,4,5,0,1
349,1,2,5,2,4,0,1
350,2,8,9,1,0,2,1
351,1,1,7,5,2,0,2
352,1,1,7,5,6,1,1
353,1,1,5,1,3,1,1
354,1,2,5,1,2,2,1
355,2,1,9,1,5,1,1
356,1,9,5,6,3,2,2
357,2,5,4,4,0,1,2
358,2,2,2,4,1,1,2
359,2,1,5,6,2,1,1
360,2,1,9,6,6,0,1
361,1,1,6,4,6,0,3
362,1,1,9,6,4,0,1
363,1,1,1,4,4,1,2
364,2,7,5,2,2,1,1
365,1,1,7,6,1,2,2
366,1,1,2,3,3,1,2
367,1,2,2,6,3,0,2
368,2,1,5,3,2,2,2
369,2,3,5,1,0,1,1
370,2,7,9,5,1,0,1
371,1,6,3,3,2,1,2
372,2,4,3,4,1,1,2
373,1,6,9,3,0,1,1
374,2,1,6,2,3,1,2
375,2,1,5,6,4,1,1
376,1,7,6,1,1,1,1
377,1,9,7,3,1,0,3
378,2,3,10,2,3,2,2
379,2,1,10,1,1,1,3
380,1,2,5,1,0,1,2
381,1,8,6,1,2,1,2
382,2,1,7,3,3,2,2
383,1,8,4,1,2,2,2
384,2,1,5,5,1,1,1
385,1,1,9,6,1,0,1
386,1,2,5,1,2,0,2
387,1,1,10,2,2,1,1
388,2,2,2,1,1,0,1
389,2,9,9,4,3,0,1
390,2,1,9,4,6,1,2
391,2,1,9,5,1,1,1
392,2,1,9,1,4,1,1
393,1,1,12,4,3,1,1
394,2,6,9,1,2,1,1
395,2,1,4,6,6,2,2
396,1,2,3,4,3,1,1
397,1,7,9,6,2,1,1
398,2,1,1,2,6,1,2
399,2,1,2,4,5,0,3
400,2,1,4,5,5,1,2
401,1,1,7,1,4,1,1
402,2,1,10,2,4,2,1
403,1,1,5,1,5,1,1
404,2,1,12,2,1,1,1
405,2,1,2,1,3,0,1
406,1,2,7,3,2,1,2
407,2,1,1,2,8,1,1
408,2,8,7,1,1,1,1
409,2,1,5,1,3,1,1
410,2,1,9,3,3,0,1
411,2,1,10,5,1,1,2
412,1,2,5,2,4,0,2
413,2,1,2,6,1,1,1
414,1,5,4,6,0,0,1
415,1,6,8,6,3,2,2
416,1,1,7,6,0,2,2
417,2,1,8,5,2,1,1
418,2,1,3,1,3,0,1
419,1,2,3,6,4,1,2
420,1,1,1,4,1,0,3
421,2,5,9,4,3,0,1
422,2,2,8,3,2,1,1
423,2,1,9,4,1,0,1
424,1,2,7,1,4,0,3
425,1,1,5,2,2,2,2
426,1,1,2,6,2,0,1
427,1,1,5,4,6,1,2
428,1,5,4,3,2,2,2
429,2,1,7,6,1,1,1
430,1,1,9,1,0,1,1
431,2,2,5,1,1,1,3
432,1,1,3,6,2,2,2
433,2,9,9,3,4,0,1
434,2,2,10,1,3,2,2
435,2,1,9,4,1,0,1
436,2,8,10,1,1,1,1
437,2,1,7,3,0,2,2
438,2,9,9,4,0,1,1
439,1,9,9,1,7,1,1
440,1,1,9,1,0,1,1
441,1,6,7,6,3,2,2
442,1,1,5,4,1,1,2
443,2,5,9,3,4,0,1
444,1,8,9,3,6,1,2
445,1,1,5,1,0,0,3
446,2,1,9,1,1,2,2
447,2,3,7,5,5,0,2
448,2,1,5,6,7,1,2
449,2,6,3,4,6,1,2
450,2,1,5,1,1,1,1
451,1,1,8,5,4,1,2
452,2,6,3,1,6,1,2
453,2,1,6,2,2,1,2
454,2,1,7,1,2,0,2
455,2,1,4,5,4,2,2
456,1,1,5,1,2,1,1
457,1,1,9,1,1,1,1
458,2,1,5,3,1,1,1
459,2,1,3,2,1,2,2
460,2,1,7,6,1,0,1
461,2,1,5,2,4,2,2
462,1,1,8,5,6,2,2
463,1,1,5,5,1,2,2
464,2,3,7,5,0,0,2
465,2,1,2,1,1,0,1
466,2,9,9,1,3,1,1
467,1,1,2,3,1,1,2
468,1,1,3,6,4,2,2
469,2,1,9,5,5,2,2
470,2,1,5,3,0,2,2
471,2,1,5,4,3,2,1
472,2,1,9,2,3,2,3
473,2,5,7,1,0,1,2
474,2,1,4,4,2,1,1
475,1,2,5,5,1,1,1
476,1,1,3,6,4,1,1
477,2,1,5,3,2,1,2
478,1,1,9,3,4,0,1
479,1,1,4,2,5,1,2
480,1,1,5,3,1,1,1
481,1,1,9,1,1,1,1
482,2,1,4,5,6,1,2
483,2,1,8,1,6,1,2
484,2,1,6,5,6,1,2
485,1,1,5,5,6,1,1
486,1,3,2,1,2,1,2
487,2,6,5,3,2,2,2
488,2,1,7,1,2,1,1
489,2,7,9,4,5,1,1
490,1,1,7,6,7,0,1
491,1,1,9,5,2,2,2
492,1,3,5,1,1,0,2
493,1,1,3,4,3,1,2
494,2,1,9,6,2,0,1
495,1,8,6,6,5,0,3
496,2,1,4,1,3,0,1
497,1,1,10,4,4,1,2
498,1,1,7,5,5,2,2
499,1,1,9,3,3,0,1
500,2,9,9,4,3,1,1
501,2,1,5,1,2,1,2
502,1,1,9,4,5,0,1
503,2,1,6,4,4,1,2
504,1,1,5,6,4,0,3
505,1,2,12,1,5,2,1
506,1,1,6,6,1,1,1
507,2,1,5,4,6,2,2
508,1,1,10,5,3,1,2
509,1,1,4,6,3,1,1
510,1,1,4,1,2,1,3
511,2,1,5,3,2,2,2
512,2,1,4,5,8,1,2
513,1,1,5,1,3,2,2
514,1,1,9,1,3,1,1
515,2,6,9,6,3,0,1
516,1,2,3,1,2,0,1
517,2,8,5,1,0,2,3
518,2,1,9,3,7,1,1
519,1,5,6,4,1,1,1
520,2,1,3,2,0,1,2
521,2,1,9,2,4,2,2
522,2,1,9,1,6,1,1
523,1,1,4,5,1,1,1
524,1,1,1,1,5,1,1
525,1,5,3,1,1,0,1
526,1,1,9,4,3,1,1
527,1,6,7,3,7,1,2
528,2,1,5,3,1,1,2
529,1,5,5,2,2,1,1
530,2,7,8,6,6,1,2
531,1,5,2,4,1,1,1
532,2,1,3,4,3,1,1
533,1,1,5,5,4,1,2
534,1,9,9,1,1,1,1
535,1,1,9,6,3,1,1
536,1,1,2,2,0,1,1
537,1,2,8,2,1,1,1
538,2,1,5,4,0,0,3
539,1,6,6,5,1,2,2
540,2,8,7,2,0,2,1
541,1,1,9,3,5,0,1
542,1,1,7,4,2,1,2
543,1,1,9,6,5,0,1
544,1,1,8,5,5,1,2
545,2,1,8,3,3,2,2
546,1,1,2,1,0,0,1
547,2,6,6,4,6,1,1
548,1,6,9,3,3,0,1
549,2,4,3,3,0,2,2
550,1,2,5,3,0,2,2
551,1,1,3,4,7,1,2
552,2,6,7,5,4,2,2
553,1,1,9,4,3,0,1
554,1,1,4,4,5,2,2
555,2,8,9,3,3,1,1
556,2,1,7,1,1,1,1
557,2,1,9,3,2,0,1
558,2,1,9,4,4,0,1
559,2,1,8,2,2,1,2
560,2,1,5,2,4,2,2
561,1,8,5,1,5,1,2
562,2,1,2,5,5,0,3
563,2,8,5,6,3,0,1
564,1,8,5,1,1,1,2
565,1,1,9,3,3,0,1
566,2,1,5,1,3,0,2
567,1,1,2,5,5,1,1
568,1,1,3,4,1,2,1
569,2,1,2,3,2,1,1
570,2,1,10,2,3,2,2
571,1,1,9,2,2,2,2
572,1,1,5,2,3,2,1
573,1,1,2,5,4,2,2
574,2,1,5,1,5,2,2
575,1,1,10,2,1,1,1
576,1,8,5,1,5,1,1
577,2,1,9,1,2,1,1
578,1,1,4,5,1,1,2
579,1,2,3,4,6,0,3
580,1,1,5,6,3,2,2
581,2,1,9,1,1,1,1
582,2,1,2,1,2,0,1
583,1,5,9,1,0,1,1
584,2,1,3,1,3,1,2
585,2,1,2,1,3,1,1
586,2,7,5,4,4,0,2
587,1,1,4,2,5,1,2
588,1,1,5,1,2,1,1
589,2,1,3,6,6,0,3
590,1,1,10,5,0,2,2
591,1,1,9,3,1,2,2
592,2,5,5,5,0,1,1
593,1,8,3,1,5,0,1
594,1,1,3,2,3,1,2
595,1,2,6,6,0,0,1
596,1,1,5,2,2,2,3
597,1,2,5,1,3,1,2
598,1,1,9,1,1,1,1
599,1,8,2,3,1,1,1
600,2,1,9,4,3,0,1
601,2,9,8,1,4,0,3
602,1,1,3,1,1,0,1
603,1,1,4,1,6,1,1
604,2,1,5,2,3,1,2
605,2,2,3,1,7,0,2
606,2,1,9,4,3,0,1
607,1,2,5,4,3,1,1
608,1,2,7,3,0,2,1
609,1,5,5,5,5,2,2
610,2,2,3,1,6,0,1
611,1,1,9,3,0,0,1
612,2,1,9,4,1,0,1
613,2,1,11,5,2,1,3
614,2,1,9,6,4,0,1
615,1,2,5,5,6,1,1
616,2,7,3,1,2,1,2
617,2,1,2,4,3,0,1
618,1,1,4,5,4,2,2
619,1,1,8,1,2,1,1
620,1,1,3,3,3,2,2
621,1,1,3,4,0,1,1
622,2,5,5,2,1,2,3
623,2,1,5,1,3,0,2
624,1,1,4,4,5,0,2
625,2,1,3,1,7,1,1
626,1,1,9,4,3,0,1
627,1,6,9,3,3,0,1
628,2,1,2,6,0,2,2
629,1,1,6,5,2,0,2
630,2,8,5,2,2,2,2
631,1,1,3,5,1,1,2
632,2,1,4,5,3,1,2
633,1,1,9,4,1,0,1
634,1,1,12,4,3,0,1
635,2,1,4,1,1,0,1
636,1,1,9,1,1,1,1
637,1,1,8,4,3,1,2
638,1,2,7,6,1,1,1
639,2,5,5,3,0,2,2
640,1,9,9,1,3,1,1
641,1,2,1,1,0,1,1
642,1,1,5,1,2,2,2
643,1,1,9,6,4,0,1
644,2,2,1,6,7,1,2
645,1,6,5,4,1,0,3
646,1,1,9,1,4,1,1
647,1,6,9,1,2,1,1
648,2,2,6,6,5,1,2
649,2,7,9,2,0,1,1
650,2,1,6,3,3,0,1
651,2,6,7,4,5,1,1
652,1,2,4,5,3,1,2
653,1,9,9,4,4,1,1
654,1,1,5,3,3,0,2
655,1,7,9,4,2,0,1
656,1,1,3,4,5,1,2
657,2,1,9,4,3,0,1
658,2,1,5,6,5,2,2
659,1,1,3,3,9,1,1
660,1,2,4,2,8,1,2
661,2,1,7,4,6,2,2
662,1,2,8,4,7,1,1
663,1,1,9,4,6,1,2
664,2,1,9,3,0,0,1
665,1,1,9,4,1,1,1
666,1,1,7,2,1,1,2
667,1,1,7,6,1,0,1
668,1,5,3,3,1,1,1
669,1,1,4,1,2,1,1
670,2,1,10,1,8,1,1
671,2,1,8,3,5,1,2
672,1,1,7,6,1,0,2
673,2,7,7,1,7,0,1
674,2,1,8,4,5,1,2
675,2,1,9,3,2,0,1
676,1,1,3,1,4,1,1
677,2,2,5,6,1,1,1
678,1,1,5,6,1,2,2
679,1,1,6,4,2,1,1
680,2,8,5,4,4,0,1
681,1,1,5,1,5,1,1
682,1,1,6,4,2,2,2
683,2,1,9,3,6,0,1
684,1,1,5,1,5,0,1
685,2,1,5,1,1,1,1
686,2,1,7,2,1,2,3
687,2,8,11,1,3,2,3
688,2,1,3,1,3,2,2
689,1,1,9,4,2,0,1
690,1,2,3,5,2,1,2
691,2,1,7,1,5,0,3
692,2,1,7,5,0,2,2
693,1,1,9,3,1,0,1
694,2,1,5,3,3,2,3
695,2,1,5,6,0,0,3
696,1,1,4,6,5,1,1
697,1,1,3,2,9,1,2
698,1,1,5,2,0,2,2
699,2,2,4,4,2,1,2
700,1,1,9,4,3,0,1
701,1,7,9,3,2,1,1
702,1,1,3,2,5,1,2
703,2,1,9,4,3,0,1
704,2,9,9,3,0,0,1
705,2,1,11,4,6,1,2
706,2,1,5,1,5,1,2
707,2,1,9,4,4,1,1
708,1,1,7,6,1,2,2
709,2,2,1,1,8,1,1
710,2,1,9,1,2,1,1
711,1,1,9,5,2,1,1
712,2,6,9,3,3,1,1
713,2,1,4,4,3,2,2
714,2,8,2,1,2,0,1
715,1,1,8,5,3,1,2
716,2,1,5,5,3,1,1
717,1,2,12,3,4,2,2
718,2,1,3,4,6,1,2
719,2,9,9,1,1,1,1
720,2,1,5,2,0,2,2
721,2,1,3,6,2,2,2
722,1,1,5,4,2,1,1
723,2,1,6,6,0,0,2
724,1,1,9,3,0,1,1
725,1,1,7,2,1,2,2
726,2,1,3,3,3,2,2
727,1,2,2,6,1,0,1
728,1,1,9,4,0,1,1
729,2,9,9,3,1,1,1
730,2,6,9,3,1,0,1
731,1,1,5,2,2,0,2
732,2,1,8,5,2,2,2
733,1,1,4,6,0,0,2
734,2,1,9,1,2,1,1
735,1,3,3,1,8,0,2
736,2,1,6,1,5,1,2
737,2,1,7,4,2,2,2
738,1,1,3,1,5,0,1
739,2,1,9,6,0,1,1
740,1,2,2,2,0,2,2
741,2,3,10,1,5,1,2
742,1,3,10,5,2,1,2
743,2,1,2,5,3,1,1
744,2,1,5,4,1,2,2
745,1,1,2,4,3,1,1
746,1,1,4,4,3,2,2
747,2,1,3,6,1,2,2
748,1,1,2,1,2,1,1
749,2,1,5,6,8,1,1
750,2,2,5,2,2,1,2
751,2,1,4,5,1,1,2
752,1,2,5,1,5,0,2
753,1,1,7,3,6,0,3
754,2,2,8,1,6,1,2
755,1,1,8,5,4,2,2
756,1,1,9,3,7,0,1
757,1,1,4,3,2,1,1
758,1,1,5,1,2,0,1
759,2,1,7,3,1,1,1
760,2,9,9,3,5,0,1
761,1,8,1,3,0,1,1
762,1,6,3,3,5,2,2
763,2,1,5,3,3,2,3
764,1,1,9,1,4,1,1
765,2,1,9,1,3,1,1
766,2,1,9,4,1,0,1
767,1,1,7,4,5,1,2
768,2,1,5,1,2,1,3
769,1,3,3,4,6,1,2
770,2,1,3,1,3,0,1
771,1,1,9,4,4,0,1
772,2,1,9,1,3,1,1
773,2,1,4,1,3,2,2
774,2,2,2,3,3,2,2
775,1,1,5,3,1,0,1
776,1,2,2,3,3,0,1
777,2,1,8,2,4,1,1
778,1,1,3,1,0,2,2
779,1,1,5,4,6,1,1
780,2,1,9,1,3,1,1
781,2,7,5,1,0,2,2
782,1,1,5,6,5,2,2
783,2,1,3,3,0,1,3
784,2,1,5,5,2,2,2
785,1,1,2,1,4,1,1
786,1,1,3,5,9,1,2
787,1,1,4,4,0,2,2
788,2,1,9,1,2,1,1
789,1,9,9,5,1,0,1
790,2,7,9,2,0,2,2
791,2,2,6,4,1,2,1
792,2,2,8,3,5,1,2
793,2,1,2,3,2,1,2
794,2,1,5,5,9,1,2
795,1,1,5,6,3,0,2
796,2,1,8,1,1,0,1
797,1,9,9,6,3,0,1
798,2,1,7,6,1,2,2
799,2,1,5,2,3,2,3
800,1,6,9,6,1,0,1
801,1,2,5,5,6,1,2
802,1,5,1,2,7,1,2
803,2,1,5,1,4,2,2
804,2,1,11,6,7,0,2
805,2,1,8,1,0,1,1
806,2,8,5,3,2,1,2
807,1,8,5,2,6,1,2
808,2,7,9,1,6,1,1
809,1,1,7,6,3,0,1
810,2,5,8,5,5,2,2
811,2,1,5,5,5,1,1
812,1,1,9,3,5,0,1
813,2,1,9,1,4,1,1
814,2,1,5,6,5,0,1
815,2,1,5,6,3,1,2
816,2,1,2,3,2,1,2
817,2,7,7,4,5,0,3
818,2,1,1,2,6,1,2
819,1,9,9,1,2,1,1
820,2,1,9,1,3,1,1
821,2,1,9,1,5,1,1
822,2,1,5,1,1,1,1
823,2,1,8,1,2,2,2
824,2,1,2,6,6,0,2
825,1,3,7,4,6,0,3
826,1,2,9,1,3,1,2
827,1,1,6,2,3,1,3
828,1,1,2,5,1,1,2
829,2,1,9,3,5,0,1
830,1,9,9,6,4,0,1
831,1,1,2,3,4,1,2
832,1,2,5,5,7,1,2
833,2,1,2,2,4,0,1
834,1,1,9,4,4,0,1
835,2,2,6,1,0,0,2
836,2,1,4,5,6,2,2
837,1,1,6,3,1,2,2
838,1,1,11,1,3,1,1
839,2,1,2,3,2,0,3
840,1,1,5,4,4,1,2
841,2,1,3,3,3,2,2
842,2,1,7,1,1,1,1
843,1,2,5,5,3,2,2
844,2,9,9,3,2,0,3
845,2,4,5,1,1,1,2
846,2,1,8,5,2,2,2
847,1,1,7,2,2,2,2
848,2,1,8,4,5,1,2
849,2,6,2,6,5,0,3
850,1,1,11,3,6,1,3
851,1,1,3,6,0,1,1
852,1,1,4,5,5,1,2
853,2,1,2,1,0,1,1
854,2,1,9,1,4,1,1
855,1,5,5,2,1,1,3
856,1,7,5,1,2,1,2
857,2,1,5,1,0,1,1
858,2,1,7,3,3,2,1
859,2,1,1,2,5,0,2
860,1,6,3,5,4,2,2
861,1,1,10,1,1,2,2
862,2,2,12,3,5,2,2
863,2,1,7,1,0,2,2
864,2,1,2,3,4,1,1
865,1,1,4,1,1,0,1
866,1,1,9,3,3,0,1
867,1,7,9,4,2,1,3
868,2,1,5,5,4,2,2
