,SEX,RAC1P,EDU,MSP,HOUSING_TYPE,PINCP_DECILE,OWN_RENT
79,2,1,3,1,1,3,0
80,1,1,2,1,1,2,0
81,2,1,3,1,1,3,1
82,2,1,3,1,1,6,1
83,1,1,6,1,1,3,1
84,2,1,4,3,2,6,1
85,2,1,7,2,3,5,0
86,1,6,5,1,1,6,1
87,2,1,8,6,2,6,1
88,2,1,9,1,1,2,1
89,2,1,4,3,1,2,0
90,2,2,5,3,2,5,1
91,2,2,2,1,1,3,1
92,1,1,5,6,2,2,1
93,2,1,3,5,3,2,0
94,2,6,8,5,2,7,1
95,1,1,2,4,2,6,1
96,2,2,1,1,1,3,0
97,1,1,9,1,1,1,1
98,1,1,5,3,2,1,2
99,1,1,9,3,3,2,0
100,1,1,11,1,2,3,2
101,1,1,2,1,1,1,1
102,2,8,7,2,2,3,1
103,2,1,3,1,1,2,0
104,2,6,7,3,2,5,1
105,2,1,5,1,1,3,2
106,2,1,6,6,1,8,0
107,2,3,5,2,1,1,1
108,1,1,9,5,1,6,0
109,2,1,2,2,1,2,0
110,2,1,5,6,1,3,0
111,1,5,4,3,1,1,1
112,1,1,4,1,1,1,1
113,1,1,9,6,1,5,2
114,2,1,5,1,1,3,1
115,1,9,8,6,2,3,2
116,2,1,6,5,3,1,2
117,2,2,2,4,1,4,1
118,1,2,6,1,2,1,1
119,1,1,9,3,1,7,1
120,2,8,10,4,1,1,1
121,1,1,1,2,1,0,1
122,2,1,5,3,1,0,1
123,1,2,4,1,1,3,1
124,1,2,6,1,1,2,1
125,1,1,9,1,1,1,1
126,1,1,1,2,1,2,1
127,1,1,4,1,3,4,0
128,1,1,8,4,1,1,0
129,1,1,7,6,2,4,1
130,1,2,8,4,2,4,1
131,1,1,9,1,1,6,1
132,1,6,2,1,1,0,0
133,2,1,5,5,2,8,1
134,2,1,6,1,2,6,1
135,1,1,5,6,2,0,2
136,2,1,1,3,2,6,1
137,2,1,4,5,1,0,1
138,2,2,3,5,1,5,1
139,1,2,2,2,1,0,1
140,1,6,3,1,1,3,0
141,2,2,4,3,1,1,1
142,2,1,2,1,1,2,0
143,2,4,1,1,1,2,1
144,2,8,5,3,1,4,1
145,1,1,3,2,2,1,1
146,2,1,2,2,2,1,1
147,2,1,4,1,1,3,0
148,1,1,6,4,1,6,0
149,2,4,5,4,2,3,1
150,1,1,5,5,2,0,2
151,2,1,5,6,1,7,0
152,1,1,9,3,1,1,0
153,1,1,5,4,1,5,1
154,1,1,5,5,2,3,1
155,1,1,5,1,1,1,1
156,2,6,5,3,2,3,1
157,1,2,6,5,2,0,2
158,1,1,7,1,1,6,1
159,1,2,8,5,2,6,1
160,2,1,1,3,1,3,1
161,1,1,3,5,3,2,0
162,1,3,5,1,1,0,1
163,1,1,3,4,2,6,1
164,1,5,3,4,1,6,0
165,2,1,4,2,2,6,2
166,2,1,5,3,2,5,2
167,1,7,9,5,1,5,0
168,2,9,9,1,1,5,1
169,1,1,2,1,1,2,1
170,1,2,6,4,2,5,1
171,1,4,2,1,1,0,0
172,2,1,7,6,1,1,1
173,2,1,5,5,2,2,1
174,2,1,9,2,1,6,1
175,2,1,2,1,1,1,0
176,2,1,2,1,1,4,1
177,1,1,5,5,2,1,2
178,2,1,9,1,1,1,1
179,1,1,4,3,1,4,1
180,2,3,5,1,1,4,1
181,2,1,2,1,1,2,1
182,1,1,4,5,1,9,1
183,1,5,8,2,1,2,1
184,2,2,5,4,1,3,1
185,1,1,6,4,3,0,2
186,2,1,7,2,2,6,1
187,2,9,7,5,1,6,0
188,1,1,5,2,1,4,1
189,1,1,5,6,2,5,2
190,1,2,3,6,3,7,2
191,1,1,7,1,3,4,0
192,1,1,9,1,1,4,1
193,1,8,7,1,2,4,2
194,2,1,5,5,1,6,0
195,2,2,2,5,2,0,2
196,1,1,3,5,3,5,0
197,1,1,2,1,1,1,0
198,2,1,1,1,1,3,0
199,1,1,7,1,1,2,0
200,2,1,5,3,1,2,1
201,1,1,9,4,1,4,1
202,2,1,6,1,1,2,1
203,1,4,2,2,1,1,1
204,1,1,9,1,1,5,1
205,2,1,9,6,1,5,1
206,1,1,5,4,2,0,2
207,2,2,8,1,2,2,1
208,1,7,5,6,1,5,0
209,2,1,3,2,2,6,2
210,2,1,7,4,1,7,0
211,1,2,8,2,2,2,2
212,2,8,4,1,2,1,1
213,2,1,5,1,2,5,2
214,1,1,1,1,1,2,0
215,2,1,1,4,1,1,0
216,2,1,5,6,1,4,0
217,2,7,9,5,1,3,0
218,1,1,2,1,1,2,0
219,1,1,10,4,1,3,0
220,1,1,4,3,2,2,2
221,2,1,10,1,1,5,1
222,2,9,8,6,1,1,2
223,1,2,5,1,1,5,1
224,1,1,6,2,3,4,0
225,1,1,9,1,3,5,0
226,2,1,3,3,1,6,1
227,1,1,1,1,1,0,0
228,2,1,3,6,2,3,2
229,2,1,9,3,1,2,1
230,2,1,5,5,2,3,1
231,2,1,6,3,1,4,1
232,2,9,9,1,1,0,1
233,2,8,6,1,1,4,1
234,2,1,6,1,1,6,0
235,2,1,5,3,2,4,2
236,2,1,2,1,1,8,0
237,2,2,7,1,1,5,1
238,2,2,5,4,1,3,1
239,2,1,6,1,2,3,0
240,1,6,5,2,2,6,1
241,1,1,7,2,3,2,0
242,1,1,10,6,1,5,0
243,2,1,2,6,1,4,1
244,2,1,9,4,1,6,0
245,2,1,9,3,1,5,1
246,2,8,4,4,1,6,1
247,2,1,7,1,1,9,1
248,2,2,4,1,1,1,1
249,2,6,3,1,1,1,0
250,1,1,5,1,3,3,1
251,1,6,2,1,1,1,0
252,1,3,5,1,1,2,1
253,2,1,5,1,1,3,1
254,2,1,3,1,1,7,1
255,1,1,6,2,1,6,1
256,2,1,9,4,1,3,0
257,1,6,9,4,1,3,0
258,2,1,9,1,1,4,1
259,2,6,2,2,1,0,1
260,2,1,2,4,3,0,1
261,2,2,2,2,1,1,1
262,1,1,4,1,1,0,0
263,2,1,7,5,2,5,2
264,2,2,3,1,1,6,0
265,2,1,3,4,1,1,0
266,2,1,2,3,1,5,1
267,2,1,6,1,1,3,0
268,1,1,7,1,1,5,2
269,1,1,2,5,1,1,1
270,1,1,11,4,2,5,1
271,1,1,7,5,2,0,2
272,2,1,3,1,1,5,1
273,1,1,8,2,2,6,2
274,1,2,9,1,2,2,2
275,1,1,4,1,2,2,2
276,1,7,8,1,1,5,0
277,2,1,5,1,1,3,2
278,2,1,9,5,3,1,0
279,2,2,5,4,2,2,2
280,2,9,9,2,1,0,1
281,1,1,5,6,2,0,2
282,1,1,4,1,1,5,1
283,1,4,8,1,1,2,1
284,1,2,8,3,2,5,2
285,1,1,9,5,3,3,0
286,1,1,4,5,1,6,0
287,1,2,5,4,1,3,1
288,1,1,8,3,2,2,1
289,1,1,4,1,1,3,1
290,1,3,1,2,1,2,1
291,2,1,5,1,1,2,1
292,1,1,7,5,1,2,2
293,1,1,5,1,1,1,0
294,1,1,4,3,3,3,0
295,1,1,4,6,2,0,1
296,2,1,2,1,1,2,1
297,1,2,2,1,1,2,1
298,1,1,3,1,1,0,1
299,2,3,6,1,1,4,1
300,1,5,7,3,3,2,0
301,2,1,7,5,1,1,1
302,1,6,1,1,1,2,0
303,2,1,4,2,1,4,1
304,1,7,2,1,3,0,0
305,1,5,2,1,1,1,0
306,2,1,6,1,1,3,1
307,1,1,4,1,1,2,2
308,1,1,8,4,2,3,2
309,1,1,9,3,1,3,1
310,1,1,7,4,2,6,1
311,2,1,8,1,1,5,1
312,2,1,9,6,2,3,0
313,2,5,4,3,2,4,1
314,1,1,2,1,1,0,1
315,2,6,5,2,2,3,1
316,2,1,4,1,1,2,1
317,2,1,7,1,1,3,0
318,1,1,11,1,2,3,2
319,1,2,4,5,3,3,0
320,2,1,3,1,1,0,0
321,1,5,4,6,2,0,2
322,1,1,6,1,1,1,0
323,2,1,2,4,1,0,1
324,1,2,2,1,1,1,0
325,1,1,8,5,2,5,1
326,1,1,3,5,2,3,1
327,2,2,5,2,3,2,2
328,1,1,2,6,1,1,1
329,1,1,3,2,2,1,1
330,2,1,2,4,1,3,0
331,2,1,4,1,1,4,1
332,1,1,7,1,1,5,1
333,2,1,4,1,1,5,1
334,1,4,1,5,2,2,1
335,1,2,7,2,3,6,2
336,2,1,1,1,1,2,1
337,2,1,10,4,3,3,2
338,1,2,2,1,1,3,1
339,1,1,8,4,1,5,1
340,2,1,5,3,3,1,1
341,2,1,2,1,1,5,0
342,1,1,9,3,1,5,1
343,2,1,7,4,1,2,1
344,2,1,2,2,1,2,1
345,1,1,6,1,3,3,0
346,1,7,7,1,1,7,0
347,2,2,6,4,1,2,1
348,1,1,9,6,1,1,0
349,1,1,3,1,1,7,0
350,2,8,7,2,2,4,2
351,2,1,5,3,1,5,2
352,1,1,5,1,1,4,1
353,2,8,1,4,1,0,1
354,2,2,7,4,1,4,1
355,1,1,3,6,1,1,0
356,1,1,4,1,3,2,2
357,2,1,8,4,1,3,1
358,1,7,3,1,1,2,0
359,1,1,4,1,2,0,1
360,1,1,6,4,1,0,1
361,2,1,9,4,1,1,0
362,2,1,4,2,2,4,2
363,1,1,9,5,1,0,1
364,1,2,4,5,1,2,0
365,1,1,2,6,1,2,0
366,1,1,9,6,1,2,0
367,2,2,5,1,1,1,1
368,2,2,1,2,1,1,1
369,2,1,1,1,1,1,0
370,1,3,2,2,2,6,1
371,2,1,3,3,1,0,0
372,2,1,1,1,2,1,0
373,2,1,5,1,1,3,1
374,1,1,2,4,2,7,0
375,2,1,4,1,1,4,0
376,1,1,9,2,3,4,2
377,2,1,4,6,2,0,0
378,1,1,2,1,1,2,0
379,1,1,7,1,1,1,1
380,2,2,6,1,1,1,1
381,2,1,2,2,1,3,1
382,2,1,6,5,1,3,1
383,1,1,4,4,1,2,0
384,1,1,1,1,3,0,2
385,2,1,7,5,1,1,1
386,2,1,6,1,1,5,1
387,2,7,8,1,1,5,1
388,2,2,5,1,1,4,1
389,1,6,9,3,1,8,0
390,2,1,7,6,1,4,1
391,1,1,5,4,2,5,2
392,2,6,7,6,1,5,0
393,1,1,3,4,3,2,0
394,1,2,2,1,1,9,0
395,2,1,5,1,1,5,1
396,2,1,9,5,1,2,0
397,1,1,4,6,1,2,2
398,2,1,9,1,1,1,1
399,2,8,5,6,1,4,1
400,2,5,3,1,1,4,0
401,2,1,6,1,1,1,0
402,2,2,2,4,2,6,1
403,2,9,9,1,1,2,1
404,2,1,5,3,2,3,1
405,1,1,7,1,1,0,1
406,1,1,3,4,1,5,0
407,2,9,9,3,1,2,0
408,2,1,1,1,1,0,0
409,1,2,5,6,3,0,0
410,2,1,3,3,1,3,0
411,2,1,8,6,1,5,1
412,2,1,7,1,2,6,1
413,2,2,5,6,2,5,0
414,2,1,5,5,2,6,2
415,1,1,5,5,2,2,2
416,1,1,5,1,1,3,0
417,1,1,9,6,1,3,0
418,2,1,8,3,2,0,2
419,1,1,4,1,1,0,0
420,2,1,5,3,2,3,2
421,1,2,5,2,1,1,2
422,2,2,1,1,1,0,0
423,2,1,9,1,1,0,1
424,2,1,3,4,1,4,0
425,1,1,6,1,2,1,2
426,1,2,5,4,1,4,1
427,1,2,1,3,1,4,1
428,1,5,2,3,2,2,1
429,2,1,3,1,3,3,0
430,2,1,3,5,2,1,1
431,1,6,9,2,1,4,1
432,2,6,2,2,3,0,1
433,1,1,4,1,1,2,1
434,2,1,2,2,1,2,0
435,2,3,6,5,1,5,1
436,1,1,7,6,2,4,2
437,2,1,4,4,1,0,0
438,1,1,5,3,1,2,1
439,2,1,6,2,2,2,2
440,2,1,7,2,2,4,2
441,1,2,4,5,1,6,1
442,2,2,5,3,1,4,0
443,2,1,9,4,1,7,1
444,2,9,9,3,1,0,1
445,1,1,9,1,1,5,2
446,1,1,2,6,1,6,0
447,2,1,4,3,1,3,1
448,2,1,5,3,2,2,2
449,1,1,10,1,2,3,1
450,2,1,4,1,1,4,0
451,2,1,2,1,3,3,0
452,1,2,4,3,1,2,1
453,1,1,9,6,2,4,2
454,1,6,6,5,2,4,2
455,1,1,4,1,1,0,0
456,2,1,10,1,3,8,0
457,1,1,7,5,1,7,0
458,2,1,9,1,1,2,1
459,1,7,9,3,1,2,0
460,2,1,9,1,1,4,1
461,1,2,3,1,1,2,1
462,2,3,5,3,2,1,2
463,2,1,5,6,1,1,0
464,1,1,1,1,1,2,0
465,2,9,7,6,2,1,2
466,1,1,2,3,1,2,1
467,2,6,4,4,2,6,1
468,2,1,5,1,1,2,1
469,1,7,2,4,1,3,1
470,1,1,8,1,3,1,0
471,1,1,2,1,1,3,0
472,1,2,9,6,2,4,2
473,2,9,9,1,1,3,1
474,2,1,5,2,2,5,2
475,1,1,8,5,3,7,0
476,2,1,7,5,3,3,0
477,2,1,9,3,1,2,0
478,2,1,3,1,1,2,0
479,2,6,2,1,1,2,1
480,2,1,5,2,2,0,2
481,2,2,5,3,2,2,2
482,2,1,4,5,3,3,0
483,2,8,9,1,1,1,1
484,2,2,11,1,2,0,2
485,2,2,7,2,2,0,1
486,2,2,9,6,1,6,2
487,2,1,2,1,1,3,0
488,2,1,9,1,1,2,1
489,2,1,11,1,3,1,0
490,2,1,8,2,2,2,1
491,1,1,9,1,2,2,1
492,2,7,7,5,2,3,1
493,1,1,1,2,1,3,1
494,1,8,5,1,2,2,2
495,1,1,7,5,1,2,0
496,1,1,5,5,2,1,1
497,2,2,8,5,1,6,1
498,1,1,9,3,1,6,1
499,2,7,7,1,3,2,2
500,1,1,5,2,2,2,1
501,1,1,9,1,1,0,1
502,1,7,4,4,1,0,0
503,2,1,5,4,1,2,0
504,2,1,9,4,1,2,0
505,2,9,9,6,1,1,0
506,1,1,9,3,1,6,1
507,2,1,5,6,2,3,2
508,2,1,4,6,2,4,1
509,2,2,7,1,1,1,0
510,2,1,8,6,1,0,0
511,2,1,3,6,2,0,2
512,2,1,4,4,1,2,2
513,1,1,10,4,1,5,1
514,1,1,2,2,1,1,1
515,2,1,2,5,3,1,0
516,1,1,9,6,3,2,0
517,1,1,3,6,2,2,2
518,1,1,5,1,1,6,1
519,2,1,8,4,1,1,0
520,2,1,3,3,1,5,1
521,1,5,7,5,3,6,0
522,1,2,3,4,1,2,1
523,2,1,4,3,1,3,1
524,2,1,3,5,2,2,2
525,1,3,11,5,1,6,1
526,2,7,7,5,2,2,1
527,2,1,9,3,1,8,1
528,1,3,4,1,1,3,1
529,1,1,9,3,1,2,0
530,2,1,10,3,3,1,0
531,2,1,8,6,3,2,2
532,2,5,7,5,1,7,1
533,2,1,3,1,1,5,1
534,1,1,5,1,1,2,1
535,1,1,3,4,2,2,2
536,1,1,10,1,1,1,1
537,1,1,3,1,1,2,0
538,1,2,7,4,2,1,1
539,2,1,2,1,1,2,1
540,1,1,9,5,3,1,0
541,2,1,9,3,1,0,0
542,2,1,7,1,3,3,0
543,1,1,8,4,3,5,0
544,1,9,9,3,1,5,0
545,2,2,4,5,1,9,0
546,2,1,9,5,1,1,1
547,1,2,1,4,1,1,1
548,1,1,4,1,3,2,1
549,2,1,6,4,1,5,1
550,1,1,9,3,1,0,0
551,2,1,5,6,1,5,2
552,2,2,4,3,1,2,1
553,2,2,4,2,1,4,1
554,2,1,5,5,2,0,1
555,2,1,2,3,1,5,1
556,2,5,7,6,3,5,0
557,2,1,7,1,3,8,0
558,2,1,9,5,1,5,0
559,1,1,9,5,1,1,0
560,1,1,5,3,2,5,1
561,1,3,3,1,3,1,1
562,2,1,4,5,1,5,1
563,2,2,3,3,1,2,1
564,2,1,5,3,1,0,1
565,2,1,3,6,2,1,2
566,1,1,1,6,1,3,0
567,1,1,9,6,1,4,1
568,1,1,5,5,1,2,1
569,2,1,6,3,2,6,1
570,2,2,3,1,1,0,0
571,1,1,6,2,2,1,1
572,2,1,11,2,2,0,2
573,2,1,1,4,1,0,1
574,1,2,2,4,1,2,1
575,2,1,5,2,1,5,1
576,2,1,7,1,1,2,1
577,2,1,6,4,1,0,0
578,2,1,9,1,1,3,1
579,2,1,7,5,3,4,0
580,2,1,5,2,2,2,2
581,2,2,5,3,1,4,1
582,2,1,6,1,1,7,0
583,1,1,3,3,2,3,2
584,1,1,1,1,1,0,1
585,1,1,9,1,1,3,1
586,1,1,7,1,1,6,1
587,2,2,4,4,1,5,1
588,1,6,5,2,1,2,1
589,2,2,1,1,1,0,1
590,1,1,3,1,3,3,0
591,2,1,7,1,3,4,2
592,1,1,5,4,2,2,1
593,1,1,4,5,1,4,0
594,2,3,5,1,1,3,1
595,1,1,2,2,1,2,1
596,2,1,9,4,1,2,0
597,2,1,5,5,2,0,2
598,1,1,7,1,3,1,0
599,2,1,6,1,1,4,1
600,2,1,5,4,3,2,1
601,2,2,4,1,1,1,0
602,2,1,9,4,1,1,0
603,1,1,6,3,1,1,1
604,2,6,3,6,2,1,2
605,1,1,7,5,3,1,0
606,1,1,9,4,1,0,0
607,1,3,5,4,1,1,1
608,2,1,2,2,1,0,1
609,2,7,5,1,1,1,1
610,1,1,9,4,2,6,2
611,2,1,5,3,1,3,1
612,2,1,3,4,1,4,1
613,1,1,9,4,1,4,0
614,1,2,9,2,2,2,1
615,1,1,5,6,2,1,1
616,2,2,4,5,1,5,1
617,2,1,9,4,1,2,1
618,1,2,3,3,2,5,1
619,2,2,3,2,1,4,1
620,2,1,7,4,1,4,1
621,2,1,5,4,2,8,1
622,1,1,5,6,1,5,0
623,1,2,3,1,1,2,0
624,1,1,7,5,1,3,1
625,1,1,9,3,1,7,0
626,2,1,7,6,1,7,1
627,1,2,7,3,2,6,2
628,2,7,9,3,1,2,1
629,1,5,2,4,2,5,2
630,2,1,3,1,1,0,0
631,1,1,9,2,1,5,1
632,1,1,9,1,1,4,1
633,1,1,7,2,2,2,2
634,2,1,3,3,1,4,0
635,1,1,5,6,1,4,0
636,2,1,2,1,1,0,1
637,1,1,7,1,1,8,1
638,2,8,9,4,1,4,2
639,2,1,9,1,1,2,1
640,2,4,1,1,1,0,0
641,1,1,9,4,1,0,1
642,1,6,9,1,1,2,1
643,2,1,9,1,1,4,1
644,1,1,5,1,1,4,1
645,2,2,2,2,1,3,1
646,1,1,9,1,1,3,1
647,2,2,5,3,1,2,1
648,2,5,7,1,1,6,1
649,1,1,7,3,2,1,1
650,1,2,9,2,1,1,1
651,2,1,4,5,2,6,1
652,2,1,5,6,1,5,0
653,1,1,4,1,1,0,1
654,1,1,3,5,1,8,1
655,2,1,9,4,1,2,0
656,2,1,3,4,1,5,1
657,2,5,6,6,1,6,2
658,2,1,4,5,2,7,1
659,1,2,7,3,1,7,1
660,1,8,9,4,1,0,1
661,2,5,2,1,1,1,1
662,1,1,9,1,1,2,1
663,1,1,12,4,1,1,1
664,2,1,7,1,2,5,1
665,1,1,5,1,1,4,1
666,2,1,10,1,1,2,1
667,1,9,9,1,1,4,1
668,2,1,3,3,2,6,2
669,1,1,5,1,1,3,1
670,1,1,5,1,1,1,1
671,2,1,5,3,1,2,1
672,1,2,2,1,1,7,1
673,2,6,9,4,1,0,0
674,2,1,4,1,1,6,0
675,2,1,9,4,1,0,0
676,1,2,8,1,1,3,2
677,2,1,7,1,2,1,2
678,2,8,8,5,1,0,0
679,1,8,7,4,1,2,0
680,2,1,9,2,1,1,2
681,1,1,4,4,1,0,0
682,2,1,5,2,2,5,2
683,2,5,5,6,1,5,0
684,1,8,3,5,2,2,2
685,1,1,5,3,1,5,1
686,1,1,8,1,1,2,1
687,2,1,6,1,1,2,1
688,2,2,8,3,1,2,1
689,1,1,5,6,1,9,1
690,1,2,11,1,2,2,1
691,1,2,2,1,1,0,0
692,1,1,2,3,2,1,0
693,2,1,1,1,1,0,0
694,2,1,10,3,2,2,2
695,2,1,4,5,1,5,1
696,2,1,5,2,1,3,1
697,1,1,9,3,1,0,0
698,1,1,9,1,3,2,2
699,1,1,9,3,3,1,2
700,2,1,5,6,1,4,1
701,2,1,7,3,3,4,0
702,2,1,7,1,2,2,1
703,1,1,5,1,1,0,1
704,1,1,9,3,1,2,0
705,2,1,7,3,2,4,1
706,1,1,7,3,1,2,2
707,1,5,2,4,1,1,1
708,1,1,3,6,2,1,2
709,2,1,8,5,2,0,2
710,2,2,7,1,2,1,2
711,2,1,6,1,1,1,1
712,2,1,7,2,2,0,2
713,1,1,8,5,3,6,0
714,1,2,9,6,1,0,0
715,1,2,9,1,2,4,2
716,1,1,7,1,1,9,1
717,2,1,4,4,1,1,0
718,1,2,3,4,1,2,1
719,2,1,5,1,2,6,1
720,2,4,5,2,1,4,1
721,2,1,7,1,1,4,1
722,1,1,3,1,1,4,0
723,2,2,6,3,1,2,1
724,1,7,9,4,1,7,1
725,2,1,5,6,2,3,1
726,1,1,2,1,1,2,1
727,2,1,5,4,2,6,2
728,1,2,7,1,1,6,1
729,1,1,7,3,1,6,1
730,1,1,4,5,2,5,1
731,1,1,1,1,1,4,0
732,1,1,11,5,1,8,1
733,2,1,6,1,1,0,1
734,2,1,10,3,2,5,2
735,1,2,4,3,3,0,1
736,1,1,4,1,1,3,1
737,1,1,3,2,2,3,1
738,2,9,9,4,1,1,0
739,2,1,10,2,2,1,2
740,2,2,6,6,1,2,1
741,2,5,7,1,1,5,1
742,1,1,6,6,3,5,2
743,2,4,9,1,1,2,1
744,2,5,5,1,1,5,0
745,2,1,2,1,1,8,1
746,1,1,2,5,3,7,0
747,2,1,9,6,1,6,0
748,2,1,11,1,1,5,1
749,2,1,2,4,2,6,1
750,2,1,2,1,1,2,0
751,1,1,2,2,1,2,1
752,1,2,1,1,1,3,1
753,2,1,9,6,2,1,1
754,1,1,9,3,1,6,1
755,1,1,7,5,2,5,2
756,1,4,2,2,1,2,1
757,2,8,3,3,1,0,2
758,2,1,3,6,3,0,2
759,1,1,6,2,2,2,1
760,2,1,3,1,2,0,2
761,2,1,2,1,1,2,0
762,2,1,9,6,2,5,0
763,1,2,1,2,1,0,1
764,1,2,7,1,3,2,0
765,1,1,8,6,2,6,2
766,1,2,5,3,1,2,1
767,1,1,5,4,1,5,0
768,2,2,3,5,2,6,1
769,2,1,3,5,1,1,1
770,2,1,8,2,1,5,0
771,1,1,10,6,1,4,2
772,1,1,5,3,2,3,2
773,1,1,6,4,2,5,1
774,2,1,5,6,1,1,0
775,2,5,5,4,1,5,1
776,1,9,9,4,1,4,0
777,1,2,9,1,3,5,2
778,2,5,10,4,1,1,2
779,2,1,9,1,1,6,2
780,1,1,5,2,2,5,1
781,1,1,2,3,2,1,0
782,1,6,7,1,1,4,1
783,2,1,2,1,1,6,1
784,2,1,7,1,3,5,2
785,2,1,7,5,3,1,0
786,2,1,3,1,1,6,1
787,2,1,5,2,2,2,1
788,2,1,9,6,1,3,0
789,1,1,9,1,1,9,1
790,2,2,7,6,2,1,1
791,2,2,2,6,1,3,1
792,1,1,4,1,1,1,0
793,1,1,4,4,1,4,1
794,2,1,7,6,1,3,0
795,1,1,4,1,1,2,1
796,1,8,7,4,1,5,1
797,2,1,3,1,1,1,0
798,1,1,4,3,1,4,0
799,1,1,8,1,2,4,1
800,1,2,8,2,1,1,1
801,1,1,1,1,1,1,0
802,2,1,8,5,1,3,1
803,1,1,5,6,2,3,2
804,2,1,4,6,1,3,1
805,1,1,6,1,1,2,1
806,2,1,2,1,1,3,0
807,2,2,1,4,1,0,0
808,2,8,1,5,2,9,1
809,1,1,11,1,3,4,0
810,2,1,5,1,2,1,2
811,1,1,9,1,2,0,2
812,2,1,4,2,1,3,1
813,1,1,9,3,1,4,0
814,2,1,9,3,1,4,0
815,1,8,4,4,2,2,2
816,1,1,8,4,2,2,1
817,2,1,6,2,2,1,2
818,2,5,2,6,2,9,0
819,1,8,9,1,1,4,1
820,2,1,10,6,1,0,0
821,2,1,9,6,1,1,0
822,1,1,5,4,1,5,0
823,2,2,1,1,1,2,1
824,2,1,1,1,1,1,0
825,1,1,5,4,1,7,1
826,1,1,2,4,3,2,0
827,1,2,5,2,2,2,2
828,2,1,2,6,2,5,2
829,1,1,7,4,2,1,1
830,1,1,3,1,1,4,1
831,1,4,9,4,2,5,1
832,2,1,6,1,1,0,0
833,2,1,3,2,3,5,0
834,2,9,9,2,1,6,1
835,2,1,7,1,3,4,1
836,1,1,5,6,1,2,0
837,2,1,5,1,2,0,1
838,1,6,10,4,2,4,1
839,2,1,9,1,1,2,1
840,1,1,9,1,1,4,1
841,2,1,9,4,1,2,1
842,2,6,1,3,1,1,0
843,1,1,9,3,1,1,0
844,2,1,5,2,2,2,2
845,2,1,6,5,1,3,2
846,2,1,7,6,1,4,0
847,2,2,1,2,1,0,1
848,2,1,6,3,1,4,1
849,1,1,8,6,3,6,0
850,2,1,7,5,1,5,1
851,1,1,4,2,2,6,1
852,1,1,2,3,1,3,1
853,2,1,3,2,2,6,2
854,2,1,9,1,1,4,0
855,2,8,5,1,1,4,1
856,1,5,7,2,1,5,0
857,1,6,6,5,2,4,1
858,2,1,7,3,1,6,1
859,2,1,7,1,2,2,2
860,1,2,2,1,1,2,0
861,1,3,3,3,2,0,0
862,1,1,3,4,1,1,0
863,1,1,6,3,2,4,1
864,1,1,4,2,1,2,1
865,1,1,3,6,1,1,1
866,2,1,9,4,2,5,1
867,1,2,7,1,1,5,1
868,1,1,9,3,3,3,0
