,RAC1P,SEX,EDU,MSP,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
553,1,1,2,3,3,2,0
554,2,2,2,6,2,1,1
555,1,1,9,1,1,3,0
556,6,1,8,5,2,1,2
557,2,2,5,4,2,2,1
558,2,1,3,3,0,2,0
559,1,1,5,6,0,1,1
560,2,2,7,6,2,1,0
561,1,2,7,4,1,1,2
562,7,2,6,1,4,1,2
563,8,1,3,1,4,1,0
564,1,1,5,1,2,3,1
565,6,1,6,4,2,3,0
566,1,1,2,2,1,2,1
567,1,2,3,2,1,1,1
568,1,2,4,1,1,2,0
569,1,2,4,1,1,1,0
570,1,2,5,6,6,1,1
571,5,2,2,6,2,1,0
572,1,1,5,2,3,3,2
573,1,2,4,6,2,1,0
574,1,1,7,6,2,1,1
575,1,1,6,5,4,1,1
576,1,2,2,2,1,1,1
577,1,2,6,3,2,2,1
578,2,2,6,5,2,1,2
579,1,1,12,1,0,1,2
580,6,1,6,6,6,1,1
581,1,2,6,3,1,1,1
582,4,1,4,2,0,3,1
583,1,2,5,2,3,1,1
584,1,1,6,1,3,1,1
585,1,1,3,6,0,1,0
586,1,1,8,1,2,1,2
587,1,2,8,5,3,2,2
588,1,1,6,1,0,3,0
589,2,1,6,1,6,1,1
590,1,1,7,6,3,3,1
591,7,2,9,6,7,3,1
592,7,2,2,1,2,1,0
593,2,1,2,5,1,1,0
594,1,1,7,6,5,3,0
595,2,2,4,3,3,1,1
596,6,1,7,1,5,2,0
597,2,2,2,1,5,3,0
598,1,1,3,2,4,2,0
599,1,2,5,2,1,2,1
600,2,1,7,3,4,3,1
601,8,2,12,1,9,1,1
602,2,1,2,1,0,1,0
603,8,2,8,1,3,3,2
604,1,2,6,1,6,2,0
605,2,1,8,4,2,1,1
606,1,2,7,4,1,2,1
607,1,2,7,4,0,1,1
608,6,1,5,1,3,2,0
609,1,1,7,6,2,3,0
610,1,1,4,1,2,1,0
611,1,1,6,3,1,1,1
612,1,1,6,2,3,1,1
613,3,2,2,1,3,3,1
614,6,2,7,2,3,1,1
615,8,1,6,1,3,1,2
616,2,1,7,1,1,1,1
617,2,1,4,3,1,2,1
618,1,2,1,6,4,1,0
619,1,1,5,1,8,3,0
620,7,1,4,6,1,3,1
621,7,1,4,5,2,3,1
622,1,2,4,2,3,2,2
623,1,1,5,1,2,1,1
624,2,1,2,6,3,1,0
625,1,1,6,1,2,1,2
626,6,1,5,4,1,2,0
627,1,1,7,4,2,3,0
628,3,1,7,6,2,1,0
629,1,2,7,1,2,1,2
630,2,2,5,6,4,3,1
631,2,2,9,1,4,1,1
632,9,2,11,6,8,1,0
633,6,2,6,2,1,1,1
634,1,2,3,3,2,3,1
635,8,2,3,4,0,1,1
636,1,2,5,5,1,2,1
637,8,1,6,1,3,3,1
638,1,2,4,1,0,1,0
639,1,1,7,2,5,2,2
640,1,2,7,5,3,1,1
641,1,1,9,1,5,2,0
642,1,2,4,3,1,2,2
643,1,1,5,3,1,1,1
644,2,2,7,1,2,1,2
645,2,1,6,5,3,1,1
646,1,2,6,4,3,1,1
647,1,1,7,3,1,1,1
648,7,1,8,1,2,1,1
649,1,1,6,1,1,1,1
650,1,2,3,5,2,1,0
651,7,2,9,1,3,1,1
652,1,2,7,1,2,3,1
653,1,1,7,1,6,1,1
654,1,1,6,1,6,1,1
655,1,1,6,3,3,3,1
656,4,1,7,1,3,1,2
657,1,1,6,5,2,1,1
658,2,1,3,6,4,1,0
659,1,1,11,4,2,1,1
660,2,1,6,1,3,1,2
661,6,2,6,6,9,3,1
662,1,2,4,5,0,1,0
663,2,1,2,6,5,1,0
664,1,1,7,3,2,1,1
665,4,2,2,4,3,2,0
666,1,1,6,1,2,1,1
667,1,1,5,1,5,3,1
668,2,2,3,2,2,1,0
669,1,2,9,1,2,1,1
670,1,2,6,1,1,1,2
671,5,2,6,1,1,2,2
672,1,1,4,2,1,1,0
673,1,1,4,3,1,2,1
674,1,2,12,1,2,1,1
675,1,1,5,3,2,3,1
676,1,2,6,4,0,2,1
677,2,1,1,1,2,1,0
678,1,2,7,6,3,3,1
679,8,2,1,4,2,2,1
680,1,1,4,5,1,2,1
681,5,2,6,1,1,1,2
682,6,2,7,6,1,3,1
683,1,1,5,4,1,1,1
684,2,2,5,1,0,2,1
685,1,2,5,2,1,3,0
686,1,2,5,2,0,2,2
687,1,2,3,1,0,2,0
688,4,2,1,6,1,3,1
689,2,1,6,4,2,1,1
690,5,2,8,4,4,1,2
691,1,1,3,1,0,1,0
692,1,1,6,6,8,1,0
693,6,1,6,1,1,1,1
694,2,1,5,2,1,3,0
695,1,2,1,1,2,1,0
696,2,1,4,2,4,1,0
697,7,2,9,1,4,1,2
698,2,2,3,3,7,2,0
699,1,2,3,2,0,2,2
700,1,2,5,4,1,3,1
701,1,1,6,5,3,1,1
702,1,1,6,1,3,1,2
703,4,2,7,5,3,2,1
704,1,1,7,3,1,1,1
705,1,1,6,5,8,1,1
706,2,2,6,1,1,1,1
707,2,1,3,3,3,2,0
708,3,2,5,6,7,3,0
709,1,1,9,1,1,1,2
710,1,2,6,4,2,1,1
711,1,2,7,3,2,1,1
712,4,1,7,3,1,2,1
713,1,1,8,6,5,1,0
714,1,2,4,1,1,1,0
715,1,1,9,1,5,1,1
716,1,2,6,1,2,3,1
717,1,2,7,6,1,3,0
718,7,1,6,1,5,1,1
719,1,2,7,4,1,2,1
720,2,1,3,1,0,1,1
721,1,1,5,6,2,3,1
722,1,1,4,3,0,3,1
723,2,2,3,3,2,1,0
724,1,2,7,3,2,1,1
725,9,1,2,6,2,1,0
726,5,2,6,6,2,3,1
727,8,2,5,1,4,2,1
728,1,1,2,3,1,2,0
729,1,2,6,3,2,1,1
730,6,1,2,4,3,2,0
731,1,1,6,1,1,1,2
732,2,2,9,6,5,1,0
733,1,1,6,1,3,1,1
734,1,1,7,2,4,1,1
735,1,2,6,1,2,1,2
736,1,2,6,1,2,1,2
737,1,2,4,6,4,1,1
738,1,2,2,4,1,2,1
739,1,2,7,2,3,1,1
740,1,2,8,1,2,3,1
741,8,2,6,5,0,3,1
742,1,1,7,1,2,1,2
743,7,2,4,1,0,2,1
744,9,1,3,6,4,1,0
745,1,1,3,1,5,1,0
746,1,1,4,6,4,1,0
747,5,1,8,6,2,1,0
748,1,2,2,3,2,2,1
749,1,2,2,1,2,2,1
750,1,2,6,2,1,3,0
751,2,1,3,4,5,3,2
752,1,1,12,5,2,1,1
753,1,2,8,4,1,3,1
754,1,2,10,1,3,1,2
755,4,2,5,6,1,1,0
756,1,2,6,4,3,1,1
757,2,2,3,1,5,2,0
758,1,2,1,4,2,3,1
759,4,2,9,2,3,3,0
760,2,2,7,5,3,1,1
761,2,1,5,4,2,3,1
762,1,1,7,6,2,1,0
763,1,1,5,2,4,2,0
764,2,2,7,4,3,2,0
765,1,1,7,4,3,1,1
766,1,2,7,4,3,3,0
767,1,1,6,1,2,1,2
768,1,2,8,1,4,2,0
769,1,1,6,1,2,1,2
770,1,1,1,5,3,2,1
771,1,1,6,1,1,1,1
772,1,1,6,5,3,1,1
773,1,1,7,6,3,2,0
774,7,2,6,6,0,1,1
775,1,1,3,5,0,1,0
776,1,1,4,1,4,3,0
777,1,1,5,2,1,3,0
778,1,2,4,4,0,3,0
779,1,2,5,1,2,1,1
780,1,2,5,3,2,2,0
781,1,1,7,1,4,1,1
782,1,2,5,6,1,1,1
783,1,1,3,1,2,2,0
784,1,1,8,6,5,3,1
785,1,1,1,3,1,1,0
786,1,2,6,5,1,1,1
787,9,2,2,6,5,1,0
788,1,2,5,2,0,1,2
789,7,2,5,3,3,1,1
790,1,1,5,6,0,1,0
791,1,1,3,2,1,1,2
792,1,2,7,6,5,1,0
793,2,2,6,1,3,1,2
794,1,1,7,1,0,1,2
795,1,2,3,1,1,2,1
796,1,2,4,6,2,1,0
797,1,1,6,4,1,1,1
798,3,2,10,6,7,1,0
799,1,1,3,1,1,2,0
800,4,2,6,3,1,1,1
801,1,2,7,1,1,1,1
802,1,2,12,1,2,1,1
803,5,2,5,6,5,1,0
804,2,2,4,1,4,1,0
805,1,2,4,4,0,3,2
806,2,1,5,3,1,3,1
807,1,1,3,6,7,1,0
808,2,2,5,1,2,3,0
809,1,2,6,4,0,1,1
810,2,1,7,6,1,1,0
811,2,1,4,5,3,1,0
812,2,2,5,3,3,1,1
813,1,2,5,4,3,1,1
814,1,2,3,2,1,3,1
815,2,2,5,6,9,3,1
816,2,1,4,5,3,2,0
817,7,2,6,1,2,1,1
818,1,1,6,1,2,1,2
819,1,1,6,3,2,1,1
820,1,2,7,2,3,1,1
821,1,1,2,1,7,3,0
822,1,2,3,2,1,2,2
823,1,2,7,2,0,3,0
824,1,1,5,1,3,1,1
825,7,2,6,4,2,2,2
826,8,2,12,5,4,1,1
827,1,1,4,2,5,2,0
828,1,2,7,6,7,1,0
829,2,2,7,2,3,1,1
830,6,2,7,2,3,1,1
831,1,1,8,1,2,1,2
832,1,2,8,4,2,1,1
833,7,2,3,3,2,2,1
834,1,2,2,3,3,2,0
835,1,1,2,2,0,3,1
836,3,2,3,6,5,1,0
837,6,1,3,6,1,1,0
838,3,1,8,1,5,1,1
839,1,1,5,2,2,1,1
840,1,2,6,4,2,1,2
841,2,2,4,6,5,1,1
842,4,2,5,1,7,2,0
843,2,1,5,6,2,1,1
844,7,2,4,3,2,3,0
845,1,1,9,4,1,1,1
846,6,1,8,6,5,1,1
847,1,1,9,2,1,3,0
848,1,2,9,5,2,1,1
849,2,1,6,1,1,1,2
850,1,2,3,2,8,2,2
851,2,2,3,2,5,3,1
852,1,2,6,1,2,1,1
853,5,1,4,2,2,1,0
854,7,2,7,3,3,1,1
855,1,1,5,1,1,3,0
856,1,1,8,4,2,1,2
857,1,2,3,1,0,3,0
858,1,1,2,2,2,1,2
859,1,2,8,4,0,2,2
860,2,2,9,6,6,1,1
861,1,1,3,4,3,3,1
862,2,1,7,6,0,1,0
863,1,2,8,6,4,1,0
864,5,2,5,2,2,3,1
865,2,1,3,4,3,2,1
866,1,1,5,3,2,2,0
867,1,1,5,2,1,3,0
868,1,2,5,6,5,3,1
